ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,eb972dd0-5935-4b11-a440-8bba3c7231b8,eb972dd0-5935-4b11-a440-8bba3c7231b8,7,002,0,0,000,01002000021005400,0,2079-06-06,Адыгейский,0101,0101,,,79215000021,79615445101,10,5d236ae9-9f00-471a-91ef-fe2112df186b,021,010020000210054,385438,,01,пер,2020-08-14,0054,,,2020-08-16,000,0000,000,1,,0000,,0
1,768d9376-b6ad-4320-8b49-a370a74299f4,768d9376-b6ad-4320-8b49-a370a74299f4,7,002,0,0,000,01002000021005200,0,2079-06-06,Архитектурная,0101,0101,,,79215000021,79615445101,10,5d236ae9-9f00-471a-91ef-fe2112df186b,021,010020000210052,385438,,01,ул,2020-08-14,0052,,,2020-08-16,000,0000,000,1,,0000,,0
1,6c9d2f96-c8df-4295-8b94-d1b88348bf52,6c9d2f96-c8df-4295-8b94-d1b88348bf52,7,002,0,0,000,01002000021005300,0,2079-06-06,Лесная,0101,0101,,,79215000021,79615445101,10,5d236ae9-9f00-471a-91ef-fe2112df186b,021,010020000210053,385438,,01,ул,2020-08-14,0053,,,2020-08-16,000,0000,000,1,,0000,,0
1,3c0eaf67-0513-4c4b-a0c4-769b9a73cebf,3c0eaf67-0513-4c4b-a0c4-769b9a73cebf,7,002,0,0,000,01002000021005500,0,2079-06-06,Степная,0101,0101,,,79215000021,79615445101,10,5d236ae9-9f00-471a-91ef-fe2112df186b,021,010020000210055,385438,,01,ул,2020-08-17,0055,,,2020-08-17,000,0000,000,1,,0000,,0
1,a8302c97-1726-4837-94c0-0c17b7a2e2f6,a8302c97-1726-4837-94c0-0c17b7a2e2f6,65,004,0,0,000,01004000012004300,0,2079-06-06,Северо-Западный,0105,0105,,,79222000014,79622407101,10,2ac8e4e7-db2f-4362-a8af-b7e73c7ef6e7,012,010040000120043,385792,,01,кв-л,2020-08-20,0000,,,2020-08-22,000,0000,000,1,,0043,,0
0,002ca3ca-8255-4f11-983e-4a8f10707379,1c223a28-b97e-46d9-bfd2-d5e851241cd2,65,005,0,0,000,01005000019015400,0,2079-06-06,Дружба,0107,0107,725bdbd7-b8ce-4afb-8055-bf4f48a0c565,,79230000019,79630415101,50,e265dd40-e79b-4e9b-8a89-9e5e3f2e3584,019,010050000190154,,3dc342c9-7648-444d-b522-337de1e3a0b9,01,тер. СНТ,2018-02-16,0000,,,2020-08-27,000,0000,000,0,f8d2cce7-b8a9-4874-a929-3841a6eaafaa,0154,,0
0,0701cb7a-60c7-474c-b8b3-bae47b99a904,ad8db72b-584d-4228-bc86-99a0f7399b13,7,000,0,0,001,01000001020000701,1,2079-06-06,Длинная,0105,0105,e17bad58-a34f-4979-8e8c-8bbdfee3e0a1,,79401000000,79701000,1,1571d458-c83e-4c09-899d-a11af99572cd,020,010000010200007,385018,,01,ул,1900-01-01,0007,,,2020-08-27,000,0000,000,0,,0000,,0
0,0701cb7a-60c7-474c-b8b3-bae47b99a904,e17bad58-a34f-4979-8e8c-8bbdfee3e0a1,7,000,0,0,001,01000001020000702,2,2020-05-29,Длинная,0105,0105,2f7fbaf1-b395-43c5-81dc-83955ac2218d,,79401000000,79701000001,21,1571d458-c83e-4c09-899d-a11af99572cd,000,010000010200007,385018,ad8db72b-584d-4228-bc86-99a0f7399b13,01,ул,2017-02-20,0746,,,2020-08-27,000,0000,000,0,,0736,,0
0,0701cb7a-60c7-474c-b8b3-bae47b99a904,2f7fbaf1-b395-43c5-81dc-83955ac2218d,7,000,0,0,001,01000001020000751,51,2018-09-17,Длинная,0105,0105,1c5e4821-a2c7-49ec-956f-ef5b75bf3fe6,,79401000000,79701000001,21,1571d458-c83e-4c09-899d-a11af99572cd,000,010000010200007,,e17bad58-a34f-4979-8e8c-8bbdfee3e0a1,01,ул,2017-05-04,0746,,,2020-08-27,000,0000,000,0,,0736,,0
0,0701cb7a-60c7-474c-b8b3-bae47b99a904,1c5e4821-a2c7-49ec-956f-ef5b75bf3fe6,7,000,0,0,001,01000001000074600,0,2079-06-06,Длинная,0105,0105,5b24367a-d4b4-4b90-8710-de46c28a37cf,,79401000000,79701000001,51,1571d458-c83e-4c09-899d-a11af99572cd,000,010000010000746,,2f7fbaf1-b395-43c5-81dc-83955ac2218d,01,ул,2018-09-17,0746,,,2020-08-27,000,0000,000,0,74835dfe-0f95-4ebf-9c86-b3ec688618c4,0736,,0
