ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
0,002e5786-32aa-4100-834c-9576375a485d,fca7883e-1015-4403-b4be-6852a491c3a8,7,001,0,0,001,02001001037000151,51.0,2079-06-06,Сиреневый,0274,0274,442d6b91-2a0a-4680-918b-546da9471d71,,80401000000,80701000,1,3c90f35b-8811-47b3-a956-07dce513a40f,037,020010010370001,450056,,02,б-р,1900-01-01,0001,,,2020-08-29,000,0000,000,0,,0000,,0
0,002e5786-32aa-4100-834c-9576375a485d,442d6b91-2a0a-4680-918b-546da9471d71,7,001,0,0,001,02001001000134451,51.0,1900-01-01,Сиреневый,0274,0274,07b99b46-43dc-4b18-b1f9-1b849583eff1,,80401375000,80701000,50,7339e834-2cb4-4734-a4c7-1fca2c66e562,000,020010010001344,450056,fca7883e-1015-4403-b4be-6852a491c3a8,02,б-р,1900-01-01,1344,,,2020-08-29,000,0000,000,0,,0000,,0
0,002e5786-32aa-4100-834c-9576375a485d,07b99b46-43dc-4b18-b1f9-1b849583eff1,7,000,0,0,001,02000001000027700,0.0,2079-06-06,Сиреневый,0274,0274,c2bb89c7-f3b5-4aab-992b-ae61b8815eb0,,80401375000,80701000,51,7339e834-2cb4-4734-a4c7-1fca2c66e562,000,020000010000277,450004,442d6b91-2a0a-4680-918b-546da9471d71,02,б-р,1900-01-01,0277,,,2020-08-29,000,0000,000,0,091e1de6-2bcd-48a4-b1c2-e50638d0036d,0000,,0
1,002e5786-32aa-4100-834c-9576375a485d,c2bb89c7-f3b5-4aab-992b-ae61b8815eb0,7,000,0,0,001,02000001000027700,0.0,2079-06-06,Сиреневый,0274,0274,,,80401375000,80701000001,21,7339e834-2cb4-4734-a4c7-1fca2c66e562,000,020000010000277,450004,07b99b46-43dc-4b18-b1f9-1b849583eff1,02,б-р,2020-07-10,0277,,,2020-08-29,000,0000,000,1,,0000,,0
1,f4bf4e98-04d3-47d4-986e-2e3c9e0bfd08,f4bf4e98-04d3-47d4-986e-2e3c9e0bfd08,7,024,0,0,015,02024015000000500,0.0,2079-06-06,Виноградная,0273,0273,,,80228855000,80628455,10,56eb521c-f9ca-43d8-a1e3-1f12e9667271,000,020240150000005,,,02,ул,2020-08-27,0005,0224,0224,2020-08-30,000,0000,000,1,,0002,,0
0,8cf070ad-de47-45fc-bbb8-d8b0db3d003f,8cf070ad-de47-45fc-bbb8-d8b0db3d003f,90,000,0,0,001,02000001000154251,51.0,2016-09-29,СНО им Мичурина,0272,0272,b1a53f77-fdc9-44b6-baee-180ad8eeccbe,,80401365000,80701000,10,7339e834-2cb4-4734-a4c7-1fca2c66e562,000,020000010001542,450000,,02,снт,2015-06-09,0000,,,2020-08-30,000,0000,000,0,,0000,,0
0,8cf070ad-de47-45fc-bbb8-d8b0db3d003f,b1a53f77-fdc9-44b6-baee-180ad8eeccbe,65,000,0,0,001,02000001000154201,1.0,2019-01-21,СНО им Мичурина,0272,0272,e8434ef0-4d0d-48a4-887e-d7de475a3980,,80401365000,80701000,50,7339e834-2cb4-4734-a4c7-1fca2c66e562,000,020000010001542,450000,8cf070ad-de47-45fc-bbb8-d8b0db3d003f,02,снт,2016-09-29,0000,,,2020-08-30,000,0000,000,0,,1542,,0
0,8cf070ad-de47-45fc-bbb8-d8b0db3d003f,e8434ef0-4d0d-48a4-887e-d7de475a3980,65,000,0,0,001,02000001000154200,0.0,2079-06-06,СНО им. Мичурина,0272,0272,04efa760-03fe-4f9c-bcb7-4b34f3b3f542,,80401365000,80701000001,20,7339e834-2cb4-4734-a4c7-1fca2c66e562,000,020000010001542,,b1a53f77-fdc9-44b6-baee-180ad8eeccbe,02,тер,2019-01-21,0000,,,2020-08-30,000,0000,000,0,1c12d8df-7a1d-4879-af01-413c2c96f073,1542,,0
1,8cf070ad-de47-45fc-bbb8-d8b0db3d003f,04efa760-03fe-4f9c-bcb7-4b34f3b3f542,65,000,0,0,001,02000001000154200,0.0,2079-06-06,СНО им. Мичурина,0272,0272,,,80401365000,80701000001,21,7339e834-2cb4-4734-a4c7-1fca2c66e562,000,020000010001542,450095,e8434ef0-4d0d-48a4-887e-d7de475a3980,02,тер,2020-08-27,0000,,,2020-08-30,000,0000,000,1,,1542,,0
1,a8dab04a-14e3-489f-bdef-751ec8967913,a8dab04a-14e3-489f-bdef-751ec8967913,65,028,0,0,000,02028000089000800,0.0,2079-06-06,Павловское раздолье,0277,0277,,,80234832009,80634432131,10,77f783b9-583f-4b84-a6b9-858b59c9878d,089,020280000890008,452360,,02,тер. ТСН,2020-08-28,0000,0228,0228,2020-08-30,000,0000,000,1,,0008,,0
