ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,e256e8ed-dd64-40b1-a3df-461a762a9362,e256e8ed-dd64-40b1-a3df-461a762a9362,65,018,0,0,000,03018000000043300,0.0,2079-06-06,спортивный оздоровительный лагерь Надежда,0309,0309,,,81248822000,81648422,10,158b5445-b2c2-477c-83e7-4217545a7eac,000,030180000000433,,,03,тер.,2020-08-28,0000,0318,0318,2020-08-30,000,0000,000,1,,0433,,0
1,281d1c71-40f1-497a-b9c6-c8560c497d03,281d1c71-40f1-497a-b9c6-c8560c497d03,7,022,0,0,000,03022000015003200,0.0,2079-06-06,Братьев Мамаевых,0323,0323,,,81203554001,81603154141,10,a9fc4720-9a5e-4930-bfad-5640fa6b1b81,015,030220000150032,671622,,03,ул,2020-08-28,0032,0301,0301,2020-08-30,000,0000,000,1,,0029,,0
1,8c9af028-c7a0-48e9-b0f6-e8f66dc4cb37,8c9af028-c7a0-48e9-b0f6-e8f66dc4cb37,7,022,0,0,000,03022000015005500,0.0,2079-06-06,Победы,0323,0323,,,81203554001,81603154141,10,1b39b05b-c0cd-4829-aad0-0c83e8af0be5,015,030220000150055,671622,,03,пер,2020-08-31,0055,0301,0301,2020-09-03,000,0000,000,1,,0028,,0
1,640547ba-ca11-4dd2-97c9-74e9de62e400,640547ba-ca11-4dd2-97c9-74e9de62e400,65,003,0,0,000,03003000019000200,0.0,2079-06-06,Урочище за Топкой,0323,0323,,,81209840001,81609440101,10,ec0c919e-84f0-480b-94d1-9e9a79a326df,019,030030000190002,671374,,03,тер.,2020-09-01,0000,0314,0314,2020-09-03,000,0000,000,1,,0002,,0
1,d0009903-21e0-4ddd-9d98-6cc3a4a6b4f7,d0009903-21e0-4ddd-9d98-6cc3a4a6b4f7,7,022,0,0,000,03022000015005700,0.0,2079-06-06,2-я Солнечная,0323,0323,,,81203554001,81603154141,10,a9fc4720-9a5e-4930-bfad-5640fa6b1b81,015,030220000150057,671622,,03,ул,2020-09-01,0057,0301,0301,2020-09-03,000,0000,000,1,,0029,,0
1,03d04b8e-acac-4ef9-bdda-fe057a1bc49f,03d04b8e-acac-4ef9-bdda-fe057a1bc49f,65,014,0,0,000,03014000000005000,0.0,2079-06-06,Местность Каменная Гора,0323,0323,,,81236847001,81636447,10,3bf41fa7-60a5-4b9c-9ee3-8ab2a5a90a9b,000,030140000000050,,,03,тер.,2020-09-01,0000,0314,0314,2020-09-03,000,0000,000,1,,0050,,0
1,823549e8-d1f4-4796-8864-e1d7664cd349,823549e8-d1f4-4796-8864-e1d7664cd349,7,022,0,0,000,03022000015005900,0.0,2079-06-06,3-я Солнечная,0323,0323,,,81203554001,81603154141,10,a9fc4720-9a5e-4930-bfad-5640fa6b1b81,015,030220000150059,671622,,03,ул,2020-09-02,0059,0301,0301,2020-09-03,000,0000,000,1,,0029,,0
1,6dd8c174-503b-4360-a9b6-340b527c25c8,6dd8c174-503b-4360-a9b6-340b527c25c8,7,022,0,0,000,03022000015005800,0.0,2079-06-06,1-я Солнечная,0323,0323,,,81203554001,81603154141,10,a9fc4720-9a5e-4930-bfad-5640fa6b1b81,015,030220000150058,671622,,03,ул,2020-09-01,0058,0301,0301,2020-09-03,000,0000,000,1,,0029,,0
1,62c327b7-cfda-4b4f-b70e-a763e596700b,62c327b7-cfda-4b4f-b70e-a763e596700b,7,022,0,0,000,03022000015004400,0.0,2079-06-06,Земляничная,0323,0323,,,81203554001,81603154141,10,8d4c38c5-5e9b-4e2d-996a-a219586b713c,015,030220000150044,671622,,03,ул,2020-08-31,0044,0301,0301,2020-09-03,000,0000,000,1,,0030,,0
1,6273854d-03f9-415c-b6cd-77b37ccc555c,6273854d-03f9-415c-b6cd-77b37ccc555c,7,008,0,0,000,03008000013005400,0.0,2079-06-06,Родниковая,0326,0326,,,81222828001,81622428101,10,562b2d66-915b-46b4-b233-25d39f23026b,013,030080000130054,,,03,ул,2020-09-02,0054,,,2020-09-03,000,0000,000,1,,0069,,0
