ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,3abbecd4-e361-4b1e-8ef4-679afe79a791,1a3bad55-e8c0-4216-8de9-3584acee4490,7,009,0,0,000,08009000003000300,0,2079-06-06,Мира,0801,0801,,,85228822001,85628422101,21,2cfd3051-5383-4115-ac43-487095d6ecfa,003,080090000030003,359034,90ddefa2-22b9-4487-af26-c8585b03d13d,08,ул,2020-08-24,0003,,,2020-08-27,000,0000,000,1,,0000,,0
0,3abbecd4-e361-4b1e-8ef4-679afe79a791,90ddefa2-22b9-4487-af26-c8585b03d13d,7,009,0,0,000,08009000003000300,0,2079-06-06,Мира,0801,0801,1a3bad55-e8c0-4216-8de9-3584acee4490,,85228822001,85628422,21,2cfd3051-5383-4115-ac43-487095d6ecfa,003,080090000030003,359034,26de2cd8-5fbf-44d7-8cdb-8d12c551119b,08,ул,2015-02-10,0003,,,2020-08-27,000,0000,000,0,,0000,,0
0,3abbecd4-e361-4b1e-8ef4-679afe79a791,26de2cd8-5fbf-44d7-8cdb-8d12c551119b,7,009,0,0,000,08009000003000302,2,2015-02-10,Мира,0801,0801,90ddefa2-22b9-4487-af26-c8585b03d13d,,85228822001,85628422,21,2cfd3051-5383-4115-ac43-487095d6ecfa,003,080090000030003,359034,8a922b48-e0f9-4fcc-9a6d-4152dd7adb80,08,ул,2011-11-01,0003,0807,0807,2020-08-27,000,0000,000,0,d9ed699b-d49e-4b62-8a8e-876a28bdfe44,0000,,0
0,3abbecd4-e361-4b1e-8ef4-679afe79a791,8a922b48-e0f9-4fcc-9a6d-4152dd7adb80,7,009,0,0,000,08009000003000301,1,2079-06-06,Мира,0817,0817,26de2cd8-5fbf-44d7-8cdb-8d12c551119b,,85228822001,85628422,1,2cfd3051-5383-4115-ac43-487095d6ecfa,003,080090000030003,359034,,08,ул,1900-01-01,0003,0807,0807,2020-08-27,000,0000,000,0,,0000,,0
1,7709d152-f571-459a-8c5c-cbd89b7ab294,14e67615-3481-4b88-bf55-144de50bf711,7,009,0,0,000,08009000003001400,0,2079-06-06,Ленина,0801,0801,,,85228822001,85628422101,21,2cfd3051-5383-4115-ac43-487095d6ecfa,003,080090000030014,359034,117c2eb8-378e-40e3-8d74-031562fc6f56,08,ул,2020-08-24,0014,,,2020-08-27,000,0000,000,1,,0000,,0
0,7709d152-f571-459a-8c5c-cbd89b7ab294,117c2eb8-378e-40e3-8d74-031562fc6f56,7,009,0,0,000,08009000003001400,0,2079-06-06,Ленина,0801,0801,14e67615-3481-4b88-bf55-144de50bf711,,85228822001,85628422,21,2cfd3051-5383-4115-ac43-487095d6ecfa,003,080090000030014,359034,ec57069d-2b12-4895-846e-a4dfb1bc88ee,08,ул,2015-02-10,0014,,,2020-08-27,000,0000,000,0,,0000,,0
0,7709d152-f571-459a-8c5c-cbd89b7ab294,ec57069d-2b12-4895-846e-a4dfb1bc88ee,7,009,0,0,000,08009000003001402,2,2015-02-10,Ленина,0801,0801,117c2eb8-378e-40e3-8d74-031562fc6f56,,85228822001,85628422,21,2cfd3051-5383-4115-ac43-487095d6ecfa,003,080090000030014,359034,aa34bf37-8b8d-4a3d-b062-0586c9e1dd0b,08,ул,2011-11-01,0014,0807,0807,2020-08-27,000,0000,000,0,d9ed699b-d49e-4b62-8a8e-876a28bdfe44,0000,,0
0,7709d152-f571-459a-8c5c-cbd89b7ab294,aa34bf37-8b8d-4a3d-b062-0586c9e1dd0b,7,009,0,0,000,08009000003001401,1,2079-06-06,Ленина,0817,0817,ec57069d-2b12-4895-846e-a4dfb1bc88ee,,85228822001,85628422,1,2cfd3051-5383-4115-ac43-487095d6ecfa,003,080090000030014,359034,,08,ул,1900-01-01,0014,0807,0807,2020-08-27,000,0000,000,0,,0000,,0
1,0686472a-f247-4161-a606-6d4a5e065c16,93e6f34a-4c27-41c3-b398-938ffcb445a1,7,009,0,0,000,08009000003000600,0,2079-06-06,Зеленая,0801,0801,,,85228822001,85628422101,21,2cfd3051-5383-4115-ac43-487095d6ecfa,003,080090000030006,359034,d1368682-3742-4d3e-96a3-8efe05c6677b,08,ул,2020-08-24,0006,,,2020-08-27,000,0000,000,1,,0000,,0
0,0686472a-f247-4161-a606-6d4a5e065c16,d1368682-3742-4d3e-96a3-8efe05c6677b,7,009,0,0,000,08009000003000600,0,2079-06-06,Зеленая,0801,0801,93e6f34a-4c27-41c3-b398-938ffcb445a1,,85228822001,85628422,21,2cfd3051-5383-4115-ac43-487095d6ecfa,003,080090000030006,359034,0634e27b-e8c4-47be-b60f-301f14e7351c,08,ул,2015-02-10,0006,,,2020-08-27,000,0000,000,0,,0000,,0
