ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,f2b033f5-6f35-47ec-92c6-8ea45f173b2d,f2b033f5-6f35-47ec-92c6-8ea45f173b2d,65,000,0,0,002,09000002005000900,0.0,2079-06-06,Пойма реки Кубань,0916,0916,,,91405562000,91705000066,10,81239181-81b1-4fd8-b995-92caf1692edb,005,090000020050009,,,09,тер.,2020-09-02,0000,,,2020-09-03,000,0000,000,1,,0009,,0
1,91fc00e0-e3f3-4f6c-8617-bf472d93b3b8,91fc00e0-e3f3-4f6c-8617-bf472d93b3b8,65,000,0,0,002,09000002007003700,0.0,2079-06-06,Пойма реки Мара,0916,0916,,,91405000002,91705000111,10,84d66b5c-d8b2-457d-aa03-4d59b5dc77f8,007,090000020070037,,,09,тер,2020-09-02,0000,,,2020-09-03,000,0000,000,1,,0037,,0
1,51e04f07-7077-4577-8b8e-b579801ce698,51e04f07-7077-4577-8b8e-b579801ce698,65,000,0,0,002,09000002006001600,0.0,2079-06-06,Пойма реки Кубань,0916,0916,,,91405000006,91705000106,10,74e175b9-6c33-4963-afbe-0fd8d1a89ac4,006,090000020060016,,,09,тер.,2020-09-02,0000,,,2020-09-03,000,0000,000,1,,0016,,0
1,c3b2932c-4989-4f65-b6ea-5f898da49684,c3b2932c-4989-4f65-b6ea-5f898da49684,65,000,0,0,002,09000002000000400,0.0,2079-06-06,Пойма реки Кубань,0916,0916,,,91405000000,91705000001,10,cb390fbd-3149-4ac9-b9fb-6af069d51b71,000,090000020000004,,,09,тер.,2020-09-02,0000,,,2020-09-03,000,0000,000,1,,0004,,0
1,a4032193-53da-41fa-bd8b-0fdfd155cf65,a4032193-53da-41fa-bd8b-0fdfd155cf65,65,000,0,0,002,09000002003001700,0.0,2079-06-06,Пойма реки Аманауз,0916,0916,,,91405553000,91705000056,10,bd40fc40-6113-43cd-b34d-fb856556a841,003,090000020030017,,,09,тер,2020-09-02,0000,,,2020-09-03,000,0000,000,1,,0017,,0
1,08beadf6-5a95-4b63-9902-4a5a92714911,08beadf6-5a95-4b63-9902-4a5a92714911,65,000,0,0,002,09000002004000100,0.0,2079-06-06,Пойма реки Кубань,0916,0916,,,91405558000,91705000061,10,8c2038c2-d22b-4b28-8b4f-27cbc4a8dd27,004,090000020040001,,,09,тер.,2020-09-02,0000,,,2020-09-03,000,0000,000,1,,0001,,0
1,424a66f5-ebd0-4c9c-bf3b-b0c96e5831ae,424a66f5-ebd0-4c9c-bf3b-b0c96e5831ae,65,000,0,0,003,09000003000005200,0.0,2079-06-06,Пойма реки Теберда,0916,0916,,,91405503000,91705000006,10,2edbb310-a924-44a8-a6d0-c9b825214fcf,000,090000030000052,,,09,тер.,2020-09-02,0000,,,2020-09-03,000,0000,000,1,,0052,,0
1,7badc751-0d52-4c28-a865-eb3e73d97a8b,7badc751-0d52-4c28-a865-eb3e73d97a8b,65,000,0,0,002,09000002000000300,0.0,2079-06-06,Пойма реки Теберда,0916,0916,,,91405000000,91705000001,10,cb390fbd-3149-4ac9-b9fb-6af069d51b71,000,090000020000003,,,09,тер.,2020-09-02,0000,,,2020-09-03,000,0000,000,1,,0003,,0
1,45718650-75bc-42bc-acb4-df8f6df8f155,45718650-75bc-42bc-acb4-df8f6df8f155,65,000,0,0,002,09000002007003600,0.0,2079-06-06,Пойма реки Кубань,0916,0916,,,91405000002,91705000111,10,84d66b5c-d8b2-457d-aa03-4d59b5dc77f8,007,090000020070036,,,09,тер.,2020-09-02,0000,,,2020-09-03,000,0000,000,1,,0036,,0
1,555a7b2b-bf5b-495c-8a41-3bf4ce700b53,555a7b2b-bf5b-495c-8a41-3bf4ce700b53,7,008,0,0,001,09008001000014200,0.0,2079-06-06,5-й,0916,0916,,,91235501000,91635101001,10,d12eb95d-a8eb-4834-96c6-116c76e77f5c,000,090080010000142,,,09,км,2020-08-25,0142,,,2020-08-27,000,0000,000,1,,0140,,0
1,a8b21ea2-8067-49ce-bc16-aa2320825bb6,a8b21ea2-8067-49ce-bc16-aa2320825bb6,7,008,0,0,001,09008001000014100,0.0,2079-06-06,1-й,0916,0916,,,91235501000,91635101001,10,40cff695-1da6-4034-8d59-4031e5e1753c,000,090080010000141,,,09,км,2020-08-21,0141,,,2020-08-22,000,0000,000,1,,0137,,0
1,9c02d9d0-00ca-4f9e-908e-2bd7a2d47c46,9c02d9d0-00ca-4f9e-908e-2bd7a2d47c46,7,008,0,0,001,09008001000013900,0.0,2079-06-06,4-й,0916,0916,,,91235501000,91635101001,10,40cff695-1da6-4034-8d59-4031e5e1753c,000,090080010000139,,,09,км,2020-08-21,0139,,,2020-08-22,000,0000,000,1,,0137,,0
1,d12eb95d-a8eb-4834-96c6-116c76e77f5c,d12eb95d-a8eb-4834-96c6-116c76e77f5c,65,008,0,0,001,09008001000014000,0.0,2079-06-06,автодорога А-155 Черкесск-Домбай,0916,0916,,,91235501000,91635101001,10,5de40749-195c-445b-b65a-fd1c397d1440,000,090080010000140,,,09,тер.,2020-08-21,0000,,,2020-08-22,000,0000,000,1,,0140,,0
