ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,644cc2ce-e1ef-442a-b99b-4768ccfcd8b4,644cc2ce-e1ef-442a-b99b-4768ccfcd8b4,7,012,0,0,000,10012000000000800,0.0,2079-06-06,Тенистая,1040,1040,,,86239000080,86639460,10,69014ad9-8f4e-4c8a-9c44-0191cbb8744a,000,100120000000008,186137,,10,ул,2020-09-02,0008,,,2020-09-03,000,0000,000,1,,0007,,0
1,a60b2e77-77a1-4b1b-ab4f-94637762a562,a60b2e77-77a1-4b1b-ab4f-94637762a562,7,006,0,0,000,10006000034000300,0.0,2079-06-06,Лесная,1035,1035,,,86218000032,86618433136,10,68cd40c2-77c1-4610-bd04-a7482673b96e,034,100060000340003,,,10,ул,2020-08-13,0003,,,2020-08-16,000,0000,000,1,,0000,,0
1,e9bb118d-f208-4407-8ac4-742aa6b1a3d1,e9bb118d-f208-4407-8ac4-742aa6b1a3d1,7,001,0,0,000,10001000102000500,0.0,2079-06-06,Цветочная,1040,1040,,,86236000010,86636433101,10,adc38a52-6523-4103-b7f7-e90bfd52f636,102,100010001020005,185501,,10,ул,2020-08-12,0005,1020,1020,2020-08-16,000,0000,000,1,,0000,,0
1,6684908e-0605-4b85-9579-532e0521118f,6684908e-0605-4b85-9579-532e0521118f,7,000,0,0,001,10000001000202200,0.0,2079-06-06,Высотная,1001,1001,,,86401000000,86701000001,10,50c61dfc-1ae4-4f3d-aa1f-2dbdae23e98b,000,100000010002022,,,10,ул,2020-08-17,2022,,,2020-08-17,000,0000,000,1,,0584,,0
1,25675624-d26c-4d7e-945a-8d911bb01369,25675624-d26c-4d7e-945a-8d911bb01369,7,000,0,0,007,10000007015000100,0.0,2079-06-06,Благодатная,1035,1035,,,86410000009,86610411111,10,9d7862e6-f207-46b7-a322-6d3c70b30218,015,100000070150001,,,10,ул,2020-08-17,0001,1007,1007,2020-08-17,000,0000,000,1,,0000,,0
1,aaf3dd9d-5250-4595-95b7-24a559e0be66,aaf3dd9d-5250-4595-95b7-24a559e0be66,65,001,0,0,000,10001000051003100,0.0,2079-06-06,Жилой массив Таёжный,1040,1040,,,86236000045,86636470131,10,07ca51c7-c77c-4703-8fd8-3e44b696d6ae,051,100010000510031,,,10,тер.,2020-08-19,0000,1020,1020,2020-08-20,000,0000,000,1,,0031,,0
1,910ce34d-a7f0-4f03-8d27-3a7a731813e5,910ce34d-a7f0-4f03-8d27-3a7a731813e5,7,001,0,0,000,10001000051003200,0.0,2079-06-06,Лесная,1040,1040,,,86236000045,86636470131,10,aaf3dd9d-5250-4595-95b7-24a559e0be66,051,100010000510032,,,10,ул,2020-08-19,0032,1020,1020,2020-08-20,000,0000,000,1,,0031,,0
1,5c6797f3-3124-4a04-b793-0516aa8f404c,5c6797f3-3124-4a04-b793-0516aa8f404c,7,001,0,0,000,10001000041006600,0.0,2079-06-06,Камышовая,1040,1040,,,86236000045,86636470146,10,1c149713-4780-4791-bca4-520529f42d75,041,100010000410066,185504,,10,ул,2020-08-20,0066,1020,1020,2020-08-22,000,0000,000,1,,0028,,0
1,b38d14d0-4831-476f-8501-a75c11dac0d4,b38d14d0-4831-476f-8501-a75c11dac0d4,7,001,0,0,000,10001000041006000,0.0,2079-06-06,Локомотивная,1040,1040,,,86236000045,86636470146,10,1c149713-4780-4791-bca4-520529f42d75,041,100010000410060,185504,,10,ул,2020-08-20,0060,1020,1020,2020-08-22,000,0000,000,1,,0028,,0
1,6383d44b-3981-42f0-8752-ecc2951659fd,6383d44b-3981-42f0-8752-ecc2951659fd,7,001,0,0,000,10001000041005900,0.0,2079-06-06,Шуйская,1040,1040,,,86236000045,86636470146,10,1c149713-4780-4791-bca4-520529f42d75,041,100010000410059,185504,,10,ул,2020-08-20,0059,1020,1020,2020-08-22,000,0000,000,1,,0028,,0
