ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
0,9b15479b-b1dc-47c2-9ed3-c1173738826a,f1c86e6a-2c39-4481-a7ae-df952d614557,7,010,0,0,000,11010000034003851,51.0,2079-06-06,Горбуновская,1109,1109,7210ae9b-6972-4076-8194-e08eef322d52,,87224840001,87624440,1,650e9c69-34d2-4bbf-9c5d-73736803b11b,034,110100000340038,168150,,11,ул,1900-01-01,0038,1112,1112,2020-09-03,000,0000,000,0,,0000,,0
0,9b15479b-b1dc-47c2-9ed3-c1173738826a,7210ae9b-6972-4076-8194-e08eef322d52,7,010,0,0,000,11010000083000201,1.0,2014-01-05,Горбуновская,1109,1109,e2256ddf-e6f9-4770-91d6-60ceec3b2ada,,87224840001,87624440,1,eb04c22b-4abc-4bee-98e3-87c5f29f479e,083,110100000830002,168150,f1c86e6a-2c39-4481-a7ae-df952d614557,11,ул,1900-01-01,0002,1112,1112,2020-09-03,000,0000,000,0,,0000,,0
0,9b15479b-b1dc-47c2-9ed3-c1173738826a,e2256ddf-e6f9-4770-91d6-60ceec3b2ada,7,010,0,0,000,11010000083000202,2.0,2015-08-05,Горбуновская,1109,1109,ebba6d71-7822-4b1c-8d03-ffac81d70322,,87224840001,87624440101,21,eb04c22b-4abc-4bee-98e3-87c5f29f479e,083,110100000830002,168150,7210ae9b-6972-4076-8194-e08eef322d52,11,ул,2014-01-05,0002,1112,1112,2020-09-03,000,0000,000,0,,0000,,0
0,9b15479b-b1dc-47c2-9ed3-c1173738826a,ebba6d71-7822-4b1c-8d03-ffac81d70322,7,010,0,0,000,11010000083000203,3.0,2014-01-05,Горбуновская,1109,1109,e2256ddf-e6f9-4770-91d6-60ceec3b2ada,,87224840000,87624440,21,eb04c22b-4abc-4bee-98e3-87c5f29f479e,083,110100000830002,168150,e2256ddf-e6f9-4770-91d6-60ceec3b2ada,11,ул,2015-08-05,0002,1112,1112,2020-09-03,000,0000,000,0,,0000,,0
1,9b15479b-b1dc-47c2-9ed3-c1173738826a,be9d6b3d-a54e-40a9-8bbc-ae7593194cd8,7,010,0,0,000,11010000083000200,0.0,2079-06-06,Горбуновская,1109,1109,,,87224840010,87624440146,21,eb04c22b-4abc-4bee-98e3-87c5f29f479e,083,110100000830002,168150,ebba6d71-7822-4b1c-8d03-ffac81d70322,11,ул,2017-01-20,0002,1112,1112,2020-09-03,000,0000,000,1,,0000,,0
0,4defa1cd-da6a-409f-9f56-7462314d9bd6,8821e03f-bdfb-4ff1-be35-061e1243df70,7,000,0,0,008,11000008017000901,1.0,2079-06-06,Пушкина,1102,1102,a6b12244-016f-4d57-b102-5b0c31643ca2,,87425586000,87725000,1,e3475c78-081e-475e-ba21-4c63beba8d82,017,110000080170009,169347,,11,ул,1900-01-01,0009,,,2020-08-17,000,0000,000,0,,0000,,0
0,4defa1cd-da6a-409f-9f56-7462314d9bd6,a6b12244-016f-4d57-b102-5b0c31643ca2,7,000,0,0,008,11000008017000900,0.0,2079-06-06,Пушкина,1102,1102,c95e6849-eb52-41b0-8862-2b371300a480,,87425586000,87725000071,21,e3475c78-081e-475e-ba21-4c63beba8d82,017,110000080170009,,8821e03f-bdfb-4ff1-be35-061e1243df70,11,ул,2014-01-05,0009,,,2020-08-17,000,0000,000,0,,0000,,0
1,4defa1cd-da6a-409f-9f56-7462314d9bd6,c95e6849-eb52-41b0-8862-2b371300a480,7,000,0,0,008,11000008017000900,0.0,2079-06-06,Пушкина,1102,1102,,,87425586000,87725000071,21,e3475c78-081e-475e-ba21-4c63beba8d82,017,110000080170009,169347,a6b12244-016f-4d57-b102-5b0c31643ca2,11,ул,2020-08-17,0009,,,2020-08-17,000,0000,000,1,,0000,,0
0,e2bd17a4-8760-4851-9597-4cc302d6ce30,5a413450-e884-438c-9f45-0c1f3fa4b2b3,7,000,0,0,008,11000008017000401,1.0,2079-06-06,Мира,1102,1102,677436d2-aa30-4c6e-80d0-7b086c21f953,,87425586000,87725000,1,e3475c78-081e-475e-ba21-4c63beba8d82,017,110000080170004,169347,,11,ул,1900-01-01,0004,,,2020-08-17,000,0000,000,0,,0000,,0
0,e2bd17a4-8760-4851-9597-4cc302d6ce30,677436d2-aa30-4c6e-80d0-7b086c21f953,7,000,0,0,008,11000008017000400,0.0,2079-06-06,Мира,1102,1102,adf63de0-b838-49a3-b3a6-60a6f7f777f3,,87425586000,87725000071,21,e3475c78-081e-475e-ba21-4c63beba8d82,017,110000080170004,,5a413450-e884-438c-9f45-0c1f3fa4b2b3,11,ул,2014-01-05,0004,,,2020-08-17,000,0000,000,0,,0000,,0
1,e2bd17a4-8760-4851-9597-4cc302d6ce30,adf63de0-b838-49a3-b3a6-60a6f7f777f3,7,000,0,0,008,11000008017000400,0.0,2079-06-06,Мира,1102,1102,,,87425586000,87725000071,21,e3475c78-081e-475e-ba21-4c63beba8d82,017,110000080170004,169347,677436d2-aa30-4c6e-80d0-7b086c21f953,11,ул,2020-08-17,0004,,,2020-08-17,000,0000,000,1,,0000,,0
0,a4d3d60f-ed78-41ea-9d30-36feca82c8ae,db109735-82ec-410d-934a-74a0d317acba,7,000,0,0,008,11000008017000701,1.0,2079-06-06,Первомайская,1102,1102,86a5d6a8-eef8-45ae-b2a6-e9f0c881e35b,,87425586000,87725000,1,e3475c78-081e-475e-ba21-4c63beba8d82,017,110000080170007,169347,,11,ул,1900-01-01,0007,,,2020-08-17,000,0000,000,0,,0000,,0
0,a4d3d60f-ed78-41ea-9d30-36feca82c8ae,86a5d6a8-eef8-45ae-b2a6-e9f0c881e35b,7,000,0,0,008,11000008017000700,0.0,2079-06-06,Первомайская,1102,1102,6c199730-4830-4e9a-991c-ace8dff1c47b,,87425586000,87725000071,21,e3475c78-081e-475e-ba21-4c63beba8d82,017,110000080170007,,db109735-82ec-410d-934a-74a0d317acba,11,ул,2014-01-05,0007,,,2020-08-17,000,0000,000,0,,0000,,0
1,a4d3d60f-ed78-41ea-9d30-36feca82c8ae,6c199730-4830-4e9a-991c-ace8dff1c47b,7,000,0,0,008,11000008017000700,0.0,2079-06-06,Первомайская,1102,1102,,,87425586000,87725000071,21,e3475c78-081e-475e-ba21-4c63beba8d82,017,110000080170007,169347,86a5d6a8-eef8-45ae-b2a6-e9f0c881e35b,11,ул,2020-08-17,0007,,,2020-08-17,000,0000,000,1,,0000,,0
0,405a78d7-c008-44d5-aa4f-897bf84cdb75,5c80ded8-146c-4600-9434-0921c91f7442,7,000,0,0,008,11000008017000601,1.0,2079-06-06,Октябрьская,1102,1102,d878f69e-ffb5-47f2-860e-64359533633b,,87425586000,87725000,1,e3475c78-081e-475e-ba21-4c63beba8d82,017,110000080170006,169347,,11,ул,1900-01-01,0006,,,2020-08-17,000,0000,000,0,,0000,,0
0,405a78d7-c008-44d5-aa4f-897bf84cdb75,d878f69e-ffb5-47f2-860e-64359533633b,7,000,0,0,008,11000008017000600,0.0,2079-06-06,Октябрьская,1102,1102,22b60c75-a5a0-4e22-9f69-6aaec5351e2a,,87425586000,87725000071,21,e3475c78-081e-475e-ba21-4c63beba8d82,017,110000080170006,,5c80ded8-146c-4600-9434-0921c91f7442,11,ул,2014-01-05,0006,,,2020-08-17,000,0000,000,0,,0000,,0
1,405a78d7-c008-44d5-aa4f-897bf84cdb75,22b60c75-a5a0-4e22-9f69-6aaec5351e2a,7,000,0,0,008,11000008017000600,0.0,2079-06-06,Октябрьская,1102,1102,,,87425586000,87725000071,21,e3475c78-081e-475e-ba21-4c63beba8d82,017,110000080170006,169347,d878f69e-ffb5-47f2-860e-64359533633b,11,ул,2020-08-17,0006,,,2020-08-17,000,0000,000,1,,0000,,0
0,c9a9ac74-5d29-4bd2-ad3a-5c6486efe7e1,bd91399b-97ac-4f87-ab13-b39754c0a7e6,7,000,0,0,008,11000008017001001,1.0,2079-06-06,Советская,1102,1102,f25025e3-0a32-4153-a888-e0e9ccadfe60,,87425586000,87725000,1,e3475c78-081e-475e-ba21-4c63beba8d82,017,110000080170010,169347,,11,ул,1900-01-01,0010,,,2020-08-17,000,0000,000,0,,0000,,0
0,c9a9ac74-5d29-4bd2-ad3a-5c6486efe7e1,f25025e3-0a32-4153-a888-e0e9ccadfe60,7,000,0,0,008,11000008017001000,0.0,2079-06-06,Советская,1102,1102,e595b232-3b10-431f-ab7f-56667bd3e181,,87425586000,87725000071,21,e3475c78-081e-475e-ba21-4c63beba8d82,017,110000080170010,,bd91399b-97ac-4f87-ab13-b39754c0a7e6,11,ул,2014-01-05,0010,,,2020-08-17,000,0000,000,0,,0000,,0
1,c9a9ac74-5d29-4bd2-ad3a-5c6486efe7e1,e595b232-3b10-431f-ab7f-56667bd3e181,7,000,0,0,008,11000008017001000,0.0,2079-06-06,Советская,1102,1102,,,87425586000,87725000071,21,e3475c78-081e-475e-ba21-4c63beba8d82,017,110000080170010,169347,f25025e3-0a32-4153-a888-e0e9ccadfe60,11,ул,2020-08-17,0010,,,2020-08-17,000,0000,000,1,,0000,,0
0,53bd5bb5-8af9-4dcf-8f2c-bffab088f96e,7eea5752-eb15-4dbb-85e2-9dc7028968ca,7,000,0,0,008,11000008017001101,1.0,2079-06-06,Строительная,1102,1102,b7b8ee2d-7c70-43db-adec-c45edc31974a,,87425586000,87725000,1,e3475c78-081e-475e-ba21-4c63beba8d82,017,110000080170011,169347,,11,ул,1900-01-01,0011,,,2020-08-17,000,0000,000,0,,0000,,0
0,53bd5bb5-8af9-4dcf-8f2c-bffab088f96e,b7b8ee2d-7c70-43db-adec-c45edc31974a,7,000,0,0,008,11000008017001100,0.0,2079-06-06,Строительная,1102,1102,f2428a30-de44-4f80-9453-6a497025cc8c,,87425586000,87725000071,21,e3475c78-081e-475e-ba21-4c63beba8d82,017,110000080170011,,7eea5752-eb15-4dbb-85e2-9dc7028968ca,11,ул,2014-01-05,0011,,,2020-08-17,000,0000,000,0,,0000,,0
1,53bd5bb5-8af9-4dcf-8f2c-bffab088f96e,f2428a30-de44-4f80-9453-6a497025cc8c,7,000,0,0,008,11000008017001100,0.0,2079-06-06,Строительная,1102,1102,,,87425586000,87725000071,21,e3475c78-081e-475e-ba21-4c63beba8d82,017,110000080170011,169347,b7b8ee2d-7c70-43db-adec-c45edc31974a,11,ул,2020-08-17,0011,,,2020-08-17,000,0000,000,1,,0000,,0
1,38fce946-263a-49a9-9369-2c18c4646feb,38fce946-263a-49a9-9369-2c18c4646feb,65,007,0,0,000,11007000001003900,0.0,2079-06-06,Кажым Туй,1109,1109,,,87212820001,87612420101,10,5a6da790-bd7e-492a-907e-0a01739a6030,001,110070000010039,,,11,тер.,2020-08-20,0000,1111,1111,2020-08-22,000,0000,000,1,,0039,,0
