ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
0,f3e084ac-0c37-48e5-be16-7ca11b4872db,f3e084ac-0c37-48e5-be16-7ca11b4872db,90,000,0,0,002,13000002000018601,1,2016-09-28,Гаражная N1,1323,1323,edb12cf0-235c-430b-9e2d-d8602e72d4f6,,89410000000,89629101001,10,f4e57701-5416-4719-88bf-d999f110bfa0,000,130000020000186,431354,,13,тер,2015-11-17,0097,,,2020-08-16,000,0000,000,0,d7d85f13-c969-4ea2-820c-183d8ac51d0c,0000,,0
0,f3e084ac-0c37-48e5-be16-7ca11b4872db,edb12cf0-235c-430b-9e2d-d8602e72d4f6,90,000,0,0,002,13000002000018651,51,2016-09-28,Гаражная N1,1323,1323,30fe0fc3-b678-4d31-97b4-1e1c6d7089d8,,89410000000,89629101001,20,53445e0f-9d61-4359-9f4f-4983ff7aec34,000,130000020000186,431354,f3e084ac-0c37-48e5-be16-7ca11b4872db,13,тер,2015-12-14,0000,,,2020-08-16,000,0000,000,0,36c27f6c-0823-447e-b961-5c4564c40661,0186,,0
0,f3e084ac-0c37-48e5-be16-7ca11b4872db,30fe0fc3-b678-4d31-97b4-1e1c6d7089d8,65,000,0,0,002,13000002000018699,99,2020-08-14,Гаражная N1,1323,1323,155c5406-ef59-4a22-a5c8-2486f3eec9f2,,89410000000,89629101001,50,53445e0f-9d61-4359-9f4f-4983ff7aec34,000,130000020000186,431354,edb12cf0-235c-430b-9e2d-d8602e72d4f6,13,тер,2016-09-28,0000,,,2020-08-16,000,0000,000,0,,0186,,0
1,f3e084ac-0c37-48e5-be16-7ca11b4872db,155c5406-ef59-4a22-a5c8-2486f3eec9f2,65,000,0,0,002,13000002000018699,99,2079-06-06,Гаражная N1,1323,1323,,,89410000000,89629101001,30,53445e0f-9d61-4359-9f4f-4983ff7aec34,000,130000020000186,431354,30fe0fc3-b678-4d31-97b4-1e1c6d7089d8,13,тер,2020-08-14,0000,,,2020-08-16,000,0000,000,0,,0186,,0
0,ba3e7bc0-718e-4f22-8275-d2d2e8da602d,ba3e7bc0-718e-4f22-8275-d2d2e8da602d,90,000,0,0,002,13000002000019101,1,2016-09-28,Гаражная N1,1323,1323,751b5300-48a9-4f43-af04-0162316096e1,,89410000000,89629101001,10,953edc22-1110-43a7-92a0-f7ff858d9697,000,130000020000191,431350,,13,тер,2015-11-17,0008,,,2020-08-16,000,0000,000,0,ed941345-5218-4f84-a20b-736edc906156,0000,,0
0,ba3e7bc0-718e-4f22-8275-d2d2e8da602d,751b5300-48a9-4f43-af04-0162316096e1,90,000,0,0,002,13000002000019151,51,2016-09-28,Гаражная N1,1323,1323,125461e4-a1a9-403b-a078-f179bc6785cb,,89410000000,89629101001,20,53445e0f-9d61-4359-9f4f-4983ff7aec34,000,130000020000191,431350,ba3e7bc0-718e-4f22-8275-d2d2e8da602d,13,тер,2015-12-14,0000,,,2020-08-16,000,0000,000,0,a7a22d0c-1ee4-4890-a947-b808e7c40ff7,0191,,0
0,ba3e7bc0-718e-4f22-8275-d2d2e8da602d,125461e4-a1a9-403b-a078-f179bc6785cb,65,000,0,0,002,13000002000019199,99,2020-08-14,Гаражная N1,1323,1323,72999117-5f1d-45c5-bdd3-821259800af9,,89410000000,89629101001,50,53445e0f-9d61-4359-9f4f-4983ff7aec34,000,130000020000191,431350,751b5300-48a9-4f43-af04-0162316096e1,13,тер,2016-09-28,0000,,,2020-08-16,000,0000,000,0,,0191,,0
1,ba3e7bc0-718e-4f22-8275-d2d2e8da602d,72999117-5f1d-45c5-bdd3-821259800af9,65,000,0,0,002,13000002000019199,99,2079-06-06,Гаражная N1,1323,1323,,,89410000000,89629101001,30,53445e0f-9d61-4359-9f4f-4983ff7aec34,000,130000020000191,431350,125461e4-a1a9-403b-a078-f179bc6785cb,13,тер,2020-08-14,0000,,,2020-08-16,000,0000,000,0,,0191,,0
0,ae18a6a8-106e-4469-b51d-e4bf04219039,ae18a6a8-106e-4469-b51d-e4bf04219039,90,000,0,0,002,13000002000014801,1,2016-09-29,Гаражная N3,1323,1323,ec2f8229-ee0f-425a-bb0c-cfb694737016,,89410000000,89629101001,10,25863789-5d86-4103-9d59-219c6e57f939,000,130000020000148,431350,,13,тер,2015-11-11,0100,,,2020-08-16,000,0000,000,0,b89f3a26-437f-4f9f-93cc-348a1fbd9389,0000,,0
0,ae18a6a8-106e-4469-b51d-e4bf04219039,ec2f8229-ee0f-425a-bb0c-cfb694737016,90,000,0,0,002,13000002000014851,51,2016-09-29,Гаражная N3,1323,1323,c1ff1e87-5d2f-46b3-bc18-e98437fa983f,,89410000000,89629101001,20,53445e0f-9d61-4359-9f4f-4983ff7aec34,000,130000020000148,431350,ae18a6a8-106e-4469-b51d-e4bf04219039,13,тер,2015-12-14,0000,,,2020-08-16,000,0000,000,0,56883023-098f-4855-a2a1-9c35f0720469,0148,,0
