ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
0,8bbfeffd-7d77-46d4-96b9-6bb37cf117c4,63361605-8720-4987-ad63-54e0b53738f0,7,016,0,0,000,14016000012003200,0.0,2079-06-06,Алданская,1446,1446,f5644f7c-4e66-4f9f-9015-7c418e348c23,,98229555000,98629155,1,343b54fe-b0f4-4d0e-982a-a52c3b98ee82,012,140160000120032,678080,,14,ул,1900-01-01,0032,1415,1415,2020-08-30,000,0000,000,0,,0000,,0
1,8bbfeffd-7d77-46d4-96b9-6bb37cf117c4,f5644f7c-4e66-4f9f-9015-7c418e348c23,7,016,0,0,000,14016000012003200,0.0,2079-06-06,Алданская,1446,1446,,,98229555000,98629155051,20,343b54fe-b0f4-4d0e-982a-a52c3b98ee82,012,140160000120032,678080,63361605-8720-4987-ad63-54e0b53738f0,14,ул,2020-08-28,0032,1415,1415,2020-08-30,000,0000,000,1,,0000,,0
0,92c3adb6-da36-4f2f-b235-a56c06b097d7,92c3adb6-da36-4f2f-b235-a56c06b097d7,7,026,0,0,000,14026000001015951,51.0,2020-08-27,Автодорожный,1445,1445,783b8828-85e0-4bb4-8cf5-a08b213d4753,,98248855001,98648455,10,39a610f6-3f06-4e20-b34c-b75626818b5b,001,140260000010159,678290,,14,мкр,2016-02-05,0159,1424,1424,2020-08-30,000,0000,000,0,e573ca69-aebd-45b1-9a20-b2cc1a9e8d66,0000,,0
0,92c3adb6-da36-4f2f-b235-a56c06b097d7,783b8828-85e0-4bb4-8cf5-a08b213d4753,7,026,0,0,000,14026000001015951,51.0,2020-08-27,Автодорожный,1445,1445,b25d48bd-30a6-4152-bf24-8a8a6ce42729,,98248855001,98648455101,20,39a610f6-3f06-4e20-b34c-b75626818b5b,001,140260000010159,678290,92c3adb6-da36-4f2f-b235-a56c06b097d7,14,мкр,2020-08-26,0000,1424,1424,2020-08-30,000,0000,000,0,,0002,,0
1,92c3adb6-da36-4f2f-b235-a56c06b097d7,b25d48bd-30a6-4152-bf24-8a8a6ce42729,65,026,0,0,000,14026000001000200,0.0,2079-06-06,Автодорожный,1445,1445,,,98248855001,98648455101,20,39a610f6-3f06-4e20-b34c-b75626818b5b,001,140260000010002,678290,783b8828-85e0-4bb4-8cf5-a08b213d4753,14,мкр,2020-08-27,0000,1424,1424,2020-08-30,000,0000,000,1,,0002,,0
1,f2709b2e-d0d3-4c7c-bdd8-b637a67840e1,f2709b2e-d0d3-4c7c-bdd8-b637a67840e1,65,000,0,0,000,14000000003017400,0.0,2079-06-06,СОТ Аргыс,1447,1447,,,98401554000,98702000051,10,36bda3d3-b6c1-4a67-821b-fb416242cf12,003,140000000030174,,,14,тер. СНТ,2020-08-28,0000,,,2020-08-30,000,0000,000,1,,0174,,0
0,6a16633f-ff57-45bd-ad3c-c1f1a5ffaffe,6a16633f-ff57-45bd-ad3c-c1f1a5ffaffe,7,016,0,0,000,14016000012008751,51.0,2020-08-27,Агрогородок,1446,1446,c99122aa-c058-4a75-bfc2-743f59ca012e,,98229555000,98629155,10,343b54fe-b0f4-4d0e-982a-a52c3b98ee82,012,140160000120087,678080,,14,кв-л,2017-04-04,0087,,,2020-08-30,000,0000,000,0,48ac381e-ee49-4756-a2a6-675d9c01c33c,0000,,0
0,6a16633f-ff57-45bd-ad3c-c1f1a5ffaffe,c99122aa-c058-4a75-bfc2-743f59ca012e,7,016,0,0,000,14016000012008751,51.0,2020-08-27,Агрогородок,1446,1446,6396dfe0-cd79-4cb0-9bf5-5774d4c73c0c,,98229555000,98629155051,20,343b54fe-b0f4-4d0e-982a-a52c3b98ee82,012,140160000120087,678080,6a16633f-ff57-45bd-ad3c-c1f1a5ffaffe,14,кв-л,2020-08-26,0000,,,2020-08-30,000,0000,000,0,,0107,,0
1,6a16633f-ff57-45bd-ad3c-c1f1a5ffaffe,6396dfe0-cd79-4cb0-9bf5-5774d4c73c0c,65,016,0,0,000,14016000012010700,0.0,2079-06-06,Агрогородок,1446,1446,,,98229555000,98629155051,20,343b54fe-b0f4-4d0e-982a-a52c3b98ee82,012,140160000120107,678080,c99122aa-c058-4a75-bfc2-743f59ca012e,14,кв-л,2020-08-27,0000,,,2020-08-30,000,0000,000,1,,0107,,0
1,e26e3242-30d2-4a09-93d9-1ba7d541497f,e26e3242-30d2-4a09-93d9-1ba7d541497f,65,000,0,0,002,14000002009011700,0.0,2079-06-06,Ремонтно производственная база,1434,1434,,,98260565000,98660165051,10,5b2bb5d6-4fae-456a-bcf1-cfb411ed2606,009,140000020090117,,,14,тер.,2020-08-31,0000,,,2020-09-03,000,0000,000,1,,0117,,0
