ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
0,971a7ffe-1822-497c-be16-ed5114050521,20a1b164-3584-43c8-9715-222a169bbc98,7,041,0,0,000,16041000001004401,1.0,2020-08-27,Чишма 2-я,1675,1675,3e3722f9-6c9d-4acf-b9c2-4257406a4ac7,,92256845001,92656445,1,a38ab901-f302-4d65-a01e-d2fe6db160f7,001,160410000010044,422080,,16,ул,1900-01-01,0044,1619,1619,2020-08-30,000,0000,000,0,,0000,,0
0,971a7ffe-1822-497c-be16-ed5114050521,3e3722f9-6c9d-4acf-b9c2-4257406a4ac7,7,041,0,0,000,16041000001004402,2.0,2020-08-27,Чишма 2-я,1675,1675,04ac7709-1349-402a-8e8f-84304ee83b51,,92256000001,92656445,21,a38ab901-f302-4d65-a01e-d2fe6db160f7,001,160410000010044,422080,20a1b164-3584-43c8-9715-222a169bbc98,16,ул,2011-11-29,0044,1619,1619,2020-08-30,000,0000,000,0,,0000,,0
1,971a7ffe-1822-497c-be16-ed5114050521,04ac7709-1349-402a-8e8f-84304ee83b51,7,041,0,0,000,16041000001004400,0.0,2079-06-06,Чишма-2,1675,1675,,,92256000001,92656445101,20,a38ab901-f302-4d65-a01e-d2fe6db160f7,001,160410000010044,422080,3e3722f9-6c9d-4acf-b9c2-4257406a4ac7,16,ул,2020-08-27,0044,1619,1619,2020-08-30,000,0000,000,1,856dc78d-1e76-4b46-9ee6-7ad89bd82288,0000,,0
1,6b1709ed-fde3-4d9c-860a-535128f0fb58,6b1709ed-fde3-4d9c-860a-535128f0fb58,7,040,0,0,000,16040000000201600,0.0,2079-06-06,Магистральная,1674,1674,,,92257000049,92657440,10,78bf4d48-b7cf-422d-af14-f8ac836237b3,000,160400000002016,423897,,16,ул,2020-08-27,2016,1639,1639,2020-08-30,000,0000,000,1,,0218,,0
1,ee8291bf-4e43-443b-9738-4c6dd03274d0,ee8291bf-4e43-443b-9738-4c6dd03274d0,7,040,0,0,000,16040000000203700,0.0,2079-06-06,Молодежная,1674,1674,,,92257000049,92657440,10,78bf4d48-b7cf-422d-af14-f8ac836237b3,000,160400000002037,423897,,16,ул,2020-08-27,2037,1639,1639,2020-08-30,000,0000,000,1,,0218,,0
1,d73ec3e4-472d-4623-9a63-5aa603fdfbee,d73ec3e4-472d-4623-9a63-5aa603fdfbee,7,040,0,0,000,16040000000201800,0.0,2079-06-06,Тупиковая,1674,1674,,,92257000049,92657440,10,78bf4d48-b7cf-422d-af14-f8ac836237b3,000,160400000002018,423897,,16,ул,2020-08-27,2018,1639,1639,2020-08-30,000,0000,000,1,,0218,,0
1,d0614941-24a7-44af-a00b-e671bd4f7d59,d0614941-24a7-44af-a00b-e671bd4f7d59,7,040,0,0,000,16040000000202700,0.0,2079-06-06,Урожайная,1674,1674,,,92257000049,92657440,10,78bf4d48-b7cf-422d-af14-f8ac836237b3,000,160400000002027,423897,,16,ул,2020-08-27,2027,1639,1639,2020-08-30,000,0000,000,1,,0218,,0
1,31c25ada-aade-4849-a6ee-c5185c0f470a,31c25ada-aade-4849-a6ee-c5185c0f470a,7,040,0,0,000,16040000000203900,0.0,2079-06-06,Молдованская,1674,1674,,,92257000049,92657440,10,78bf4d48-b7cf-422d-af14-f8ac836237b3,000,160400000002039,423897,,16,ул,2020-08-27,2039,1639,1639,2020-08-30,000,0000,000,1,,0218,,0
1,8c736217-e168-4dcc-a1b0-8ebe05431ba1,8c736217-e168-4dcc-a1b0-8ebe05431ba1,7,040,0,0,000,16040000000203100,0.0,2079-06-06,Зеленая,1674,1674,,,92257000049,92657440,10,78bf4d48-b7cf-422d-af14-f8ac836237b3,000,160400000002031,423897,,16,ул,2020-08-27,2031,1639,1639,2020-08-30,000,0000,000,1,,0218,,0
1,5cbf86ae-978c-4300-a761-c354f4a34d70,5cbf86ae-978c-4300-a761-c354f4a34d70,7,040,0,0,000,16040000000202600,0.0,2079-06-06,Заречная,1674,1674,,,92257000049,92657440,10,78bf4d48-b7cf-422d-af14-f8ac836237b3,000,160400000002026,423897,,16,ул,2020-08-27,2026,1639,1639,2020-08-30,000,0000,000,1,,0218,,0
1,01f5ee42-873a-4927-aca6-078e95ee6630,01f5ee42-873a-4927-aca6-078e95ee6630,7,040,0,0,000,16040000000202200,0.0,2079-06-06,Березовая,1674,1674,,,92257000049,92657440,10,78bf4d48-b7cf-422d-af14-f8ac836237b3,000,160400000002022,423897,,16,ул,2020-08-27,2022,1639,1639,2020-08-30,000,0000,000,1,,0218,,0
1,aa531b63-bdef-4199-a26e-21bc24586458,aa531b63-bdef-4199-a26e-21bc24586458,7,034,0,0,000,16034000034001800,0.0,2079-06-06,843-й,1686,1686,,,92248000033,92648445,10,ca587532-d907-4267-9cd1-70bf66b62e67,034,160340000340018,422776,,16,км,2020-08-28,0018,1633,1633,2020-08-30,000,0000,000,1,,0016,,0
1,0b524a71-6902-4882-9b91-7dcd2168077f,0b524a71-6902-4882-9b91-7dcd2168077f,65,008,0,0,001,16008001000033300,0.0,2079-06-06,сад-огород Каентау,1644,1644,,,92405000000,92608101001,10,1ca4e6ce-2bc8-40a9-bdf5-113449c3a172,000,160080010000333,,,16,тер.,2020-08-27,0000,,,2020-08-30,000,0000,000,1,,0333,,0
