ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,d5c7c803-6bba-4b3a-85c2-2d1086e70189,d5c7c803-6bba-4b3a-85c2-2d1086e70189,7,025,0,0,000,18025000057000100,0.0,2079-06-06,Лесная,1831,1831,,,94250848002,94650448136,10,5eb00286-b01c-4b46-88f0-1fca2137164e,057,180250000570001,,,18,ул,2020-08-27,0001,,,2020-08-30,000,0000,000,1,,0000,,0
1,2ed05bd7-3a62-43d9-890b-8799d7946ac2,2ed05bd7-3a62-43d9-890b-8799d7946ac2,65,023,0,0,000,18023000000008400,0.0,2079-06-06,Ляльшурское кладбище,1828,1828,,,94246827000,94646427,10,dd78a219-a6b5-4e93-828d-42c286125a3d,000,180230000000084,,,18,тер.,2020-08-27,0000,,,2020-08-30,000,0000,000,1,,0084,,0
1,814a997d-37f6-4102-af1f-5df19205e40c,814a997d-37f6-4102-af1f-5df19205e40c,65,018,0,0,000,18018000000009100,0.0,2079-06-06,Гидротехнический комплекс,1839,1839,,,94235818000,94635418,10,511c2eef-602e-46c3-9aa6-6edab7e2a861,000,180180000000091,,,18,тер.,2020-08-27,0000,,,2020-08-30,000,0000,000,1,,0091,,0
1,779047a9-65ee-4ba8-9cab-e8cbdc408504,779047a9-65ee-4ba8-9cab-e8cbdc408504,65,022,0,0,000,18022000000012200,0.0,2079-06-06,бывшая деревня Логошур,1821,1821,,,94244830000,94644430,10,effd4b1a-3c3c-4ff3-b584-99c9413d485e,000,180220000000122,,,18,тер.,2020-08-27,0000,,,2020-08-30,000,0000,000,1,,0122,,0
1,ffa36752-12a5-4e9f-92c1-658154b268ba,ffa36752-12a5-4e9f-92c1-658154b268ba,65,018,0,0,000,18018000000009200,0.0,2079-06-06,Очистные ЖКХ (Черемушки),1839,1839,,,94235818000,94635418,10,511c2eef-602e-46c3-9aa6-6edab7e2a861,000,180180000000092,,,18,тер.,2020-08-27,0000,,,2020-08-30,000,0000,000,1,,0092,,0
1,f697b519-fad2-44ba-8e17-8ec70820a76f,f697b519-fad2-44ba-8e17-8ec70820a76f,65,017,0,0,000,18017000000014500,0.0,2079-06-06,Полевой участок №2 (Абдэс-Урдэс),1821,1821,,,94233830000,94633430,10,f2973df9-0808-4c27-b171-b10d1cfca1c9,000,180170000000145,,,18,тер.,2020-08-28,0000,,,2020-08-30,000,0000,000,1,,0145,,0
1,7d880504-0491-498e-b283-01cc7c2072de,7d880504-0491-498e-b283-01cc7c2072de,65,017,0,0,000,18017000000014400,0.0,2079-06-06,Полевой участок №1 (Ильинское),1821,1821,,,94233830000,94633430,10,f2973df9-0808-4c27-b171-b10d1cfca1c9,000,180170000000144,,,18,тер.,2020-08-28,0000,,,2020-08-30,000,0000,000,1,,0144,,0
1,9475a5cc-470e-43a4-9e6b-3d62d2e420a6,9475a5cc-470e-43a4-9e6b-3d62d2e420a6,65,019,0,0,000,18019000000025700,0.0,2079-06-06,Гора,1838,1838,,,94237815000,94637415,10,4693325a-809a-48f8-8a53-1dd68e3c0fac,000,180190000000257,,,18,зона,2020-08-28,0000,,,2020-08-30,000,0000,000,1,,0257,,0
1,9bb38d52-2bce-4f0f-adcc-16bc147921f8,9bb38d52-2bce-4f0f-adcc-16bc147921f8,65,017,0,0,000,18017000000014600,0.0,2079-06-06,Полевой участок №3 (Арляново),1821,1821,,,94233830000,94633430,10,f2973df9-0808-4c27-b171-b10d1cfca1c9,000,180170000000146,,,18,тер.,2020-08-28,0000,,,2020-08-30,000,0000,000,1,,0146,,0
1,3d7dab50-0826-444c-9006-9288e0b8b32e,3d7dab50-0826-444c-9006-9288e0b8b32e,65,018,0,0,000,18018000000009300,0.0,2079-06-06,Промплощадка (Лудзи-Шудзи),1839,1839,,,94235818000,94635418,10,511c2eef-602e-46c3-9aa6-6edab7e2a861,000,180180000000093,,,18,тер.,2020-08-28,0000,,,2020-08-30,000,0000,000,1,,0093,,0
1,cde97d48-c01e-452c-96b8-28b88692395e,cde97d48-c01e-452c-96b8-28b88692395e,65,007,0,0,000,18007000000000500,0.0,2079-06-06,Мари-Возжайское кладбище,1839,1839,,,94212844000,94612444,10,48dc8855-8722-4334-b510-fb6ca43cfd46,000,180070000000005,,,18,тер.,2020-09-02,0000,,,2020-09-03,000,0000,000,1,,0005,,0
1,6e8f1a45-0586-4128-aa36-bf2b22a9dc14,6e8f1a45-0586-4128-aa36-bf2b22a9dc14,65,004,0,0,000,18004000024000800,0.0,2079-06-06,Полевой участок 3,1821,1821,,,94206870001,94606470101,10,796429aa-84df-4fbe-a2aa-dd3d7684abf0,024,180040000240008,427328,,18,тер.,2020-09-01,0000,,,2020-09-03,000,0000,000,1,,0008,,0
0,ab7e9787-f3d6-421c-b95a-ec95596ef37f,ab7e9787-f3d6-421c-b95a-ec95596ef37f,90,012,0,0,000,18012000001006451,51.0,2016-09-28,Массив Затон,1838,1838,bdf76da7-238c-46ef-ae47-15119405f037,,94222855001,94622455101,10,ab2abf85-9f00-4b48-b4bf-c00db8490cc1,001,180120000010064,427920,,18,тер,2015-10-16,0000,,,2020-09-03,000,0000,000,0,0d1bc4af-51b7-4250-8cf8-36ea4fc9b3ae,0000,,0
0,ab7e9787-f3d6-421c-b95a-ec95596ef37f,bdf76da7-238c-46ef-ae47-15119405f037,65,012,0,0,000,18012000001006499,99.0,2020-08-31,Массив Затон,1838,1838,2e15658b-b6fd-4b46-a7cd-c53042b8ff4d,,94222855001,94622455101,50,ab2abf85-9f00-4b48-b4bf-c00db8490cc1,001,180120000010064,427920,ab7e9787-f3d6-421c-b95a-ec95596ef37f,18,тер,2016-09-28,0000,,,2020-09-03,000,0000,000,0,,0064,,0
1,ab7e9787-f3d6-421c-b95a-ec95596ef37f,2e15658b-b6fd-4b46-a7cd-c53042b8ff4d,65,012,0,0,000,18012000001006499,99.0,2079-06-06,Массив Затон,1838,1838,,,94222855001,94622455101,30,ab2abf85-9f00-4b48-b4bf-c00db8490cc1,001,180120000010064,427920,bdf76da7-238c-46ef-ae47-15119405f037,18,тер,2020-08-31,0000,,,2020-09-03,000,0000,000,0,,0064,,0
1,61872c9e-28da-42e4-a5ac-55013d8d18a5,61872c9e-28da-42e4-a5ac-55013d8d18a5,65,004,0,0,000,18004000024000700,0.0,2079-06-06,Полевой участок 2,1821,1821,,,94206870001,94606470101,10,796429aa-84df-4fbe-a2aa-dd3d7684abf0,024,180040000240007,427328,,18,тер.,2020-09-01,0000,,,2020-09-03,000,0000,000,1,,0007,,0
1,229f4fc2-5f23-4470-965e-66a4307c6cba,229f4fc2-5f23-4470-965e-66a4307c6cba,65,004,0,0,000,18004000024000600,0.0,2079-06-06,Полевой участок 1,1821,1821,,,94206870001,94606470101,10,796429aa-84df-4fbe-a2aa-dd3d7684abf0,024,180040000240006,427328,,18,тер,2020-09-01,0000,,,2020-09-03,000,0000,000,1,,0006,,0
1,5bc5fc67-caa8-4e2c-8bb0-535ba8753ecc,5bc5fc67-caa8-4e2c-8bb0-535ba8753ecc,65,012,0,0,000,18012000000004800,0.0,2079-06-06,Воложский,1838,1838,,,94222855000,94622455,10,78dfc379-41b1-4e85-bec2-8963127bc355,000,180120000000048,,,18,зона,2020-08-31,0000,,,2020-09-03,000,0000,000,1,,0048,,0
1,f4560e78-fa0e-4ef4-bdd7-c4958ba8f5e9,f4560e78-fa0e-4ef4-bdd7-c4958ba8f5e9,65,009,0,0,000,18009000000108900,0.0,2079-06-06,Север,1841,1841,,,94216820000,94616420,10,0138fa72-5d23-4bc1-ae4f-900249c9e011,000,180090000001089,,,18,тер. СНТ,2020-09-02,0000,,,2020-09-03,000,0000,000,1,,1089,,0
1,08966ea1-9e80-47ee-bd64-c343170b10bc,08966ea1-9e80-47ee-bd64-c343170b10bc,7,009,0,0,000,18009000000108800,0.0,2079-06-06,8,1841,1841,,,94216847000,94616447,10,f420b6b0-47eb-4eb3-850c-a9cc20395013,000,180090000001088,427011,,18,ул,2020-08-31,1088,,,2020-09-03,000,0000,000,1,,0160,,0
1,a188d78a-2d60-4af6-a297-215291bccba6,a188d78a-2d60-4af6-a297-215291bccba6,65,012,0,0,000,18012000000004900,0.0,2079-06-06,Исток,1838,1838,,,94222855000,94622455,10,78dfc379-41b1-4e85-bec2-8963127bc355,000,180120000000049,,,18,зона,2020-08-31,0000,,,2020-09-03,000,0000,000,1,,0049,,0
1,421f625e-8c2b-4ca5-9dad-d76c11310442,421f625e-8c2b-4ca5-9dad-d76c11310442,65,007,0,0,000,18007000000000600,0.0,2079-06-06,Больше-Ерыксинское кладбище,1839,1839,,,94212844000,94612444,10,48dc8855-8722-4334-b510-fb6ca43cfd46,000,180070000000006,,,18,тер.,2020-09-02,0000,,,2020-09-03,000,0000,000,1,,0006,,0
1,0ab3e01b-260d-4e98-99fa-a4d09d250868,0ab3e01b-260d-4e98-99fa-a4d09d250868,65,024,0,0,000,18024000000001700,0.0,2079-06-06,Уни-Гучинское месторождение глины,1837,1837,,,94248800000,94648477,10,85b4bfdb-23a3-425e-b781-b20a294f0da1,000,180240000000017,,,18,тер.,2020-09-01,0000,,,2020-09-03,000,0000,000,1,,0017,,0
1,ac6572b9-f719-4613-a7af-57c3594742ee,ac6572b9-f719-4613-a7af-57c3594742ee,65,024,0,0,000,18024000000001800,0.0,2079-06-06,Мамлейское кладбище,1837,1837,,,94248877000,94648477,10,85b4bfdb-23a3-425e-b781-b20a294f0da1,000,180240000000018,,,18,тер.,2020-09-01,0000,,,2020-09-03,000,0000,000,1,,0018,,0
1,b216a962-0162-4322-a3f9-36d7f747f0b4,b216a962-0162-4322-a3f9-36d7f747f0b4,65,013,0,0,000,18013000000004900,0.0,2079-06-06,Животноводческий комплекс (Ключевское),1837,1837,,,94224828000,94624428,10,7ce7e613-4347-4a44-9fba-8d81ac19ab3c,000,180130000000049,,,18,тер.,2020-09-01,0000,,,2020-09-03,000,0000,000,1,,0049,,0
