ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,7e4cfee6-675c-4d47-8dd6-9808ed237428,7e4cfee6-675c-4d47-8dd6-9808ed237428,7,008,0,0,000,19008000001010000,0.0,2079-06-06,Абрикосовая,1903,1903,,,95230551000,95630151051,10,b91cab01-5ad4-4147-b8d7-61b96f9c37c6,001,190080000010100,,,19,ул,2020-09-01,0100,,,2020-09-03,000,0000,000,1,,0287,,0
1,d03ddc08-b383-442b-93ed-b78164a5e5cf,d03ddc08-b383-442b-93ed-b78164a5e5cf,7,008,0,0,000,19008000001009800,0.0,2079-06-06,Дорожная,1903,1903,,,95230551000,95630151051,10,8fc99a37-7e2c-41de-9bc8-4342b7595b2c,001,190080000010098,,,19,ул,2020-08-31,0098,,,2020-09-03,000,0000,000,1,,0398,,0
1,715a52d7-d7b0-442b-8cb2-b22ac761f4f8,715a52d7-d7b0-442b-8cb2-b22ac761f4f8,7,008,0,0,000,19008000001009700,0.0,2079-06-06,Урожайная,1903,1903,,,95230551000,95630151051,10,8fc99a37-7e2c-41de-9bc8-4342b7595b2c,001,190080000010097,,,19,ул,2020-08-31,0097,,,2020-09-03,000,0000,000,1,,0398,,0
1,69561365-ddce-4960-8aba-4a920a63aa5b,69561365-ddce-4960-8aba-4a920a63aa5b,7,008,0,0,000,19008000001010600,0.0,2079-06-06,Березовая,1903,1903,,,95230551000,95630151051,10,f0d896ef-5a27-476d-8d05-db7cda1119ac,001,190080000010106,,,19,ул,2020-09-01,0106,,,2020-09-03,000,0000,000,1,,0286,,0
1,543001d2-6b93-4b93-899e-56a3c2f62fb6,543001d2-6b93-4b93-899e-56a3c2f62fb6,7,008,0,0,000,19008000001009900,0.0,2079-06-06,Строительная,1903,1903,,,95230551000,95630151051,10,b91cab01-5ad4-4147-b8d7-61b96f9c37c6,001,190080000010099,,,19,ул,2020-09-01,0099,,,2020-09-03,000,0000,000,1,,0287,,0
0,17b1cbed-1421-4263-a243-324784588b8c,17b1cbed-1421-4263-a243-324784588b8c,65,000,0,0,004,19000004024000151,51.0,2020-08-18,Поле 1,1902,1902,06435b4b-0b09-415f-87cc-54de5f2a5676,,95402000000,95702000001,10,edb6b98b-d056-4897-a0b1-ef80c9571bfc,024,190000040240001,655750,,19,зона,2017-03-20,0000,,,2020-08-20,000,0000,000,0,e4a5f5c8-62cb-48c0-be89-b726a74d43fc,0001,,0
0,17b1cbed-1421-4263-a243-324784588b8c,06435b4b-0b09-415f-87cc-54de5f2a5676,65,000,0,0,004,19000004024000151,51.0,2020-08-18,Поле 1,1902,1902,122aa5bc-df5c-4933-952b-b2e097afa303,,95402000000,95702000001,50,edb6b98b-d056-4897-a0b1-ef80c9571bfc,024,190000040240001,655750,17b1cbed-1421-4263-a243-324784588b8c,19,зона,2017-03-20,0301,,,2020-08-20,000,0000,000,0,,0000,,0
1,17b1cbed-1421-4263-a243-324784588b8c,122aa5bc-df5c-4933-952b-b2e097afa303,7,000,0,0,004,19000004024030100,0.0,2079-06-06,Поле 1,1902,1902,,,95402000000,95702000001,20,edb6b98b-d056-4897-a0b1-ef80c9571bfc,024,190000040240301,655750,06435b4b-0b09-415f-87cc-54de5f2a5676,19,ул,2020-08-18,0301,,,2020-08-20,000,0000,000,1,,0000,,0
0,0c4dd691-7daa-461d-9647-59018b3a3694,0c4dd691-7daa-461d-9647-59018b3a3694,65,000,0,0,004,19000004024000251,51.0,2020-08-18,Поле 2,1902,1902,82b70775-159a-471c-bcb9-0f4682f626d0,,95402000000,95702000001,10,edb6b98b-d056-4897-a0b1-ef80c9571bfc,024,190000040240002,655750,,19,зона,2016-10-28,0000,,,2020-08-20,000,0000,000,0,708deedd-864b-4ef6-ab3f-26fe93b3648f,0002,,0
0,0c4dd691-7daa-461d-9647-59018b3a3694,82b70775-159a-471c-bcb9-0f4682f626d0,65,000,0,0,004,19000004024000251,51.0,2020-08-18,Поле 2,1902,1902,5addc8da-6752-4129-a1e1-7b9e6138963c,,95402000000,95702000001,50,edb6b98b-d056-4897-a0b1-ef80c9571bfc,024,190000040240002,655750,0c4dd691-7daa-461d-9647-59018b3a3694,19,зона,2016-10-28,0300,,,2020-08-20,000,0000,000,0,,0000,,0
1,0c4dd691-7daa-461d-9647-59018b3a3694,5addc8da-6752-4129-a1e1-7b9e6138963c,7,000,0,0,004,19000004024030000,0.0,2079-06-06,Поле 2,1902,1902,,,95402000000,95702000001,20,edb6b98b-d056-4897-a0b1-ef80c9571bfc,024,190000040240300,655750,82b70775-159a-471c-bcb9-0f4682f626d0,19,ул,2020-08-18,0300,,,2020-08-20,000,0000,000,1,,0000,,0
1,57fd455b-72c1-4d9f-aae6-5bdf4bf097b1,57fd455b-72c1-4d9f-aae6-5bdf4bf097b1,7,008,0,0,000,19008000001009500,0.0,2079-06-06,2-й ряд,1903,1903,,,95230551000,95630151051,10,8dac1c7d-b5b0-4e1d-b827-e5d1d83f7fe5,001,190080000010095,655100,,19,ул,2020-08-24,0095,,,2020-08-27,000,0000,000,1,,0437,,0
1,f2f14b30-56fc-4a7e-9a7c-5711b68955ba,f2f14b30-56fc-4a7e-9a7c-5711b68955ba,7,000,0,0,004,19000004024030200,0.0,2079-06-06,Поле 3,1902,1902,,,95402000000,95702000001,10,edb6b98b-d056-4897-a0b1-ef80c9571bfc,024,190000040240302,655750,,19,ул,2020-08-25,0302,,,2020-08-27,000,0000,000,1,,0000,,0
1,14953c51-e8f3-4c7b-8a6f-9e061153afda,14953c51-e8f3-4c7b-8a6f-9e061153afda,7,008,0,0,000,19008000001009600,0.0,2079-06-06,1-й ряд,1903,1903,,,95230551000,95630151051,10,8dac1c7d-b5b0-4e1d-b827-e5d1d83f7fe5,001,190080000010096,655100,,19,ул,2020-08-24,0096,,,2020-08-27,000,0000,000,1,,0437,,0
1,43006ad1-d5fb-47c8-b898-8322a00d6c20,43006ad1-d5fb-47c8-b898-8322a00d6c20,7,000,0,0,004,19000004024030300,0.0,2079-06-06,Поле 4,1902,1902,,,95402000000,95702000001,10,edb6b98b-d056-4897-a0b1-ef80c9571bfc,024,190000040240303,655750,,19,ул,2020-08-25,0303,,,2020-08-27,000,0000,000,1,,0000,,0
