ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
0,8a8e3222-3fa2-4a2e-84a8-9231b3a6883e,e9cba48d-6b30-4067-9639-a8f999933736,7,000,0,0,001,20000001000046501,1.0,2017-11-18,Дождевая,2031,2031,d459e47e-8aee-4a51-ab80-49817379f95a,,96401372000,96701000,1,a2072dc5-45be-4db3-ab13-10784ba8b2ae,000,200000010000465,364052,,20,ул,1900-01-01,0465,2016,2016,2020-08-30,000,0000,000,0,,0000,,0
0,8a8e3222-3fa2-4a2e-84a8-9231b3a6883e,d459e47e-8aee-4a51-ab80-49817379f95a,7,000,0,0,001,20000001000046502,2.0,2020-08-28,Л.Ю. Бердукаева,2031,2031,f2e10c88-631d-49e9-b2e2-32cc1f2e0fec,,96401372000,96701000001,20,a2072dc5-45be-4db3-ab13-10784ba8b2ae,000,200000010000465,364052,e9cba48d-6b30-4067-9639-a8f999933736,20,ул,2017-11-18,0465,2016,2016,2020-08-30,000,0000,000,0,284d70de-f1bd-44b0-8a75-a85b82e9bbf3,0000,,0
1,8a8e3222-3fa2-4a2e-84a8-9231b3a6883e,f2e10c88-631d-49e9-b2e2-32cc1f2e0fec,7,000,0,0,001,20000001000046500,0.0,2079-06-06,имени Бердукаевой Лизы Юсуповны,2031,2031,,,96401372000,96701000001,20,a2072dc5-45be-4db3-ab13-10784ba8b2ae,000,200000010000465,364052,d459e47e-8aee-4a51-ab80-49817379f95a,20,ул,2020-08-28,0465,2016,2016,2020-08-30,000,0000,000,1,,0000,,0
1,4675fd44-76d1-4062-bfda-8208806992bf,4675fd44-76d1-4062-bfda-8208806992bf,7,000,0,0,001,20000001000130200,0.0,2079-06-06,1-й Монтажный,2031,2031,,,96401364000,96701000001,10,a2072dc5-45be-4db3-ab13-10784ba8b2ae,000,200000010001302,,,20,пер,2020-08-28,1302,2014,2014,2020-08-30,000,0000,000,1,,0000,,0
0,7f24fd03-66fa-43e4-8c12-810e5545786c,c437e055-da73-4435-8916-d4550633e5b4,7,000,0,0,001,20000001000050851,51.0,2020-08-28,им Дарвина 2-й,2031,2031,71888556-ec2e-4660-b203-af59138bafc5,,96401364000,96701000,1,a2072dc5-45be-4db3-ab13-10784ba8b2ae,000,200000010000508,364031,,20,пер,1900-01-01,0508,2014,2014,2020-08-30,000,0000,000,0,,0000,,0
0,7f24fd03-66fa-43e4-8c12-810e5545786c,71888556-ec2e-4660-b203-af59138bafc5,7,000,0,0,001,20000001000050801,1.0,2019-06-20,им Дарвина 2-й,2031,2031,03f7567d-bdf6-47df-9fdb-3ca82d6c97d4,,96401364000,96701000,40,a2072dc5-45be-4db3-ab13-10784ba8b2ae,000,200000010000508,,c437e055-da73-4435-8916-d4550633e5b4,20,пер,2015-08-14,0508,,,2020-08-30,000,0000,000,0,,0000,,0
0,7f24fd03-66fa-43e4-8c12-810e5545786c,03f7567d-bdf6-47df-9fdb-3ca82d6c97d4,7,000,0,0,001,20000001000050802,2.0,2020-08-28,им Дарвина 2-й,2031,2031,898cc1fd-eef4-447a-902f-7406b1af063a,,96401364000,96701000,21,a2072dc5-45be-4db3-ab13-10784ba8b2ae,000,200000010000508,364031,71888556-ec2e-4660-b203-af59138bafc5,20,пер,2019-06-20,0508,,,2020-08-30,000,0000,000,0,ca5c0f58-301d-47b7-a3ef-7710374992c9,0000,,0
1,7f24fd03-66fa-43e4-8c12-810e5545786c,898cc1fd-eef4-447a-902f-7406b1af063a,7,000,0,0,001,20000001000050800,0.0,2079-06-06,имени Хасбулатова Асланбека Имрановича,2031,2031,,,96401364000,96701000001,20,a2072dc5-45be-4db3-ab13-10784ba8b2ae,000,200000010000508,364031,03f7567d-bdf6-47df-9fdb-3ca82d6c97d4,20,пер,2020-08-28,0508,,,2020-08-30,000,0000,000,1,,0000,,0
1,e3c00e7e-6438-4357-89ec-f27602736c61,e3c00e7e-6438-4357-89ec-f27602736c61,7,000,0,0,001,20000001000130400,0.0,2079-06-06,2-й Дачный,2031,2031,,,96401364000,96701000001,10,a2072dc5-45be-4db3-ab13-10784ba8b2ae,000,200000010001304,,,20,пер,2020-08-28,1304,2014,2014,2020-08-30,000,0000,000,1,,0000,,0
1,8c2e532e-7371-4e42-94b1-b21b6e2b6ce8,8c2e532e-7371-4e42-94b1-b21b6e2b6ce8,7,000,0,0,001,20000001000130300,0.0,2079-06-06,Салгириева Ваида Хизировича,2031,2031,,,96401372000,96701000001,10,a2072dc5-45be-4db3-ab13-10784ba8b2ae,000,200000010001303,,,20,ул,2020-08-28,1303,2016,2016,2020-08-30,000,0000,000,1,,0000,,0
1,b54f4063-25b3-41f7-aa0c-09d14fb750a8,b54f4063-25b3-41f7-aa0c-09d14fb750a8,7,000,0,0,001,20000001000130600,0.0,2079-06-06,Пограничная,2031,2031,,,96401360000,96701000001,10,a2072dc5-45be-4db3-ab13-10784ba8b2ae,000,200000010001306,,,20,ул,2020-08-31,1306,2016,2016,2020-09-03,000,0000,000,1,,0000,,0
1,ba43918c-4ab6-4096-bd28-d9e2acf0e59b,ba43918c-4ab6-4096-bd28-d9e2acf0e59b,7,000,0,0,001,20000001000130800,0.0,2079-06-06,Школьная,2031,2031,,,96401360000,96701000001,10,a2072dc5-45be-4db3-ab13-10784ba8b2ae,000,200000010001308,,,20,ул,2020-08-31,1308,2016,2016,2020-09-03,000,0000,000,1,,0000,,0
1,8d92d81d-5143-47bb-91c6-85b43e059fda,8d92d81d-5143-47bb-91c6-85b43e059fda,7,000,0,0,001,20000001000132100,0.0,2079-06-06,Дачный,2031,2031,,,96401360000,96701000001,10,a2072dc5-45be-4db3-ab13-10784ba8b2ae,000,200000010001321,,,20,пер,2020-09-01,1321,2014,2014,2020-09-03,000,0000,000,1,,0000,,0
1,f7e54eaa-e8f3-4d52-be2f-4c152d5f3f30,f7e54eaa-e8f3-4d52-be2f-4c152d5f3f30,7,000,0,0,001,20000001000132000,0.0,2079-06-06,Летняя,2031,2031,,,96401360000,96701000001,10,a2072dc5-45be-4db3-ab13-10784ba8b2ae,000,200000010001320,,,20,ул,2020-09-01,1320,2014,2014,2020-09-03,000,0000,000,1,,0000,,0
1,063f6a0e-0132-4c37-8745-337de9ce2bc2,063f6a0e-0132-4c37-8745-337de9ce2bc2,7,000,0,0,001,20000001000131400,0.0,2079-06-06,Парадная,2031,2031,,,96401360000,96701000001,10,a2072dc5-45be-4db3-ab13-10784ba8b2ae,000,200000010001314,,,20,ул,2020-09-01,1314,2014,2014,2020-09-03,000,0000,000,1,,0000,,0
1,835456f7-887f-43d5-862a-18db5cdaa997,835456f7-887f-43d5-862a-18db5cdaa997,7,000,0,0,001,20000001000131900,0.0,2079-06-06,Черничная,2031,2031,,,96401360000,96701000001,10,a2072dc5-45be-4db3-ab13-10784ba8b2ae,000,200000010001319,,,20,ул,2020-09-01,1319,2014,2014,2020-09-03,000,0000,000,1,,0000,,0
1,178a7b15-7916-4bee-929d-97e1c0bab535,178a7b15-7916-4bee-929d-97e1c0bab535,7,000,0,0,001,20000001000131100,0.0,2079-06-06,4-ый Сиреневый,2031,2031,,,96401360000,96701000001,10,a2072dc5-45be-4db3-ab13-10784ba8b2ae,000,200000010001311,,,20,пер,2020-09-01,1311,2014,2014,2020-09-03,000,0000,000,1,,0000,,0
1,a1d9bab2-e810-44b5-b4c9-652132fb6373,a1d9bab2-e810-44b5-b4c9-652132fb6373,7,000,0,0,001,20000001000131700,0.0,2079-06-06,Солидная,2031,2031,,,96401360000,96701000001,10,a2072dc5-45be-4db3-ab13-10784ba8b2ae,000,200000010001317,,,20,ул,2020-09-01,1317,2014,2014,2020-09-03,000,0000,000,1,,0000,,0
1,9cb26090-acdc-446e-99e7-f1204e852cff,9cb26090-acdc-446e-99e7-f1204e852cff,7,000,0,0,001,20000001000131000,0.0,2079-06-06,Чапаева,2031,2031,,,96401360000,96701000001,10,a2072dc5-45be-4db3-ab13-10784ba8b2ae,000,200000010001310,,,20,пер,2020-09-01,1310,2015,2015,2020-09-03,000,0000,000,1,,0000,,0
