ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,38d9fa3b-c168-4e13-bfda-f5195c45eca8,38d9fa3b-c168-4e13-bfda-f5195c45eca8,7,007,0,0,000,21007000024001800,0.0,2079-06-06,Канашская,2134,2134,,,97216862003,97616462111,10,81032c93-3248-48f4-84e0-e4ac1de59472,024,210070000240018,,,21,ул,2020-08-27,0018,2106,2106,2020-08-30,000,0000,000,1,,0000,,0
1,bd1b7870-69d5-4c82-9602-08ef7eceb054,bd1b7870-69d5-4c82-9602-08ef7eceb054,7,007,0,0,000,21007000024001400,0.0,2079-06-06,Свободы,2134,2134,,,97216862003,97616462111,10,81032c93-3248-48f4-84e0-e4ac1de59472,024,210070000240014,,,21,ул,2020-08-27,0014,2106,2106,2020-08-30,000,0000,000,1,,0000,,0
1,f0f3dd6b-e845-4a12-ad3b-097f4050fa02,f0f3dd6b-e845-4a12-ad3b-097f4050fa02,7,007,0,0,000,21007000024001500,0.0,2079-06-06,Сеспеля,2134,2134,,,97216862003,97616462111,10,81032c93-3248-48f4-84e0-e4ac1de59472,024,210070000240015,,,21,ул,2020-08-27,0015,2106,2106,2020-08-30,000,0000,000,1,,0000,,0
1,f866bf00-7d4c-4ff1-9a55-bd103959489d,f866bf00-7d4c-4ff1-9a55-bd103959489d,7,007,0,0,000,21007000024001900,0.0,2079-06-06,Победы,2134,2134,,,97216862003,97616462111,10,81032c93-3248-48f4-84e0-e4ac1de59472,024,210070000240019,,,21,ул,2020-08-27,0019,2106,2106,2020-08-30,000,0000,000,1,,0000,,0
1,e72d809c-ce3e-4084-8c39-c80aeb01b399,e72d809c-ce3e-4084-8c39-c80aeb01b399,7,007,0,0,000,21007000024001700,0.0,2079-06-06,Николева,2134,2134,,,97216862003,97616462111,10,81032c93-3248-48f4-84e0-e4ac1de59472,024,210070000240017,,,21,ул,2020-08-27,0017,2106,2106,2020-08-30,000,0000,000,1,,0000,,0
1,5c324ad4-fdd5-4a0a-bfef-3c115437804b,5c324ad4-fdd5-4a0a-bfef-3c115437804b,7,007,0,0,000,21007000024001600,0.0,2079-06-06,Чапаева,2134,2134,,,97216862003,97616462111,10,81032c93-3248-48f4-84e0-e4ac1de59472,024,210070000240016,,,21,ул,2020-08-27,0016,2106,2106,2020-08-30,000,0000,000,1,,0000,,0
1,520943c3-2694-4c79-895b-8f8fa5421602,520943c3-2694-4c79-895b-8f8fa5421602,7,007,0,0,000,21007000041000100,0.0,2079-06-06,Светлая,2134,2134,,,97216824003,97616424111,10,48ba9225-6931-456d-b86c-114b4c5cf6e9,041,210070000410001,429320,,21,ул,2020-08-28,0001,2106,2106,2020-08-30,000,0000,000,1,,0000,,0
1,c37d6616-3313-4c0b-b4fa-c421e9acc085,c37d6616-3313-4c0b-b4fa-c421e9acc085,7,007,0,0,000,21007000041001400,0.0,2079-06-06,Ягодная,2134,2134,,,97216824003,97616424111,10,48ba9225-6931-456d-b86c-114b4c5cf6e9,041,210070000410014,429320,,21,ул,2020-08-31,0014,2106,2106,2020-09-03,000,0000,000,1,,0000,,0
1,5c3bf27b-7479-4fb4-b7d6-b92f5ffe0b8a,5c3bf27b-7479-4fb4-b7d6-b92f5ffe0b8a,7,007,0,0,000,21007000041001500,0.0,2079-06-06,Свободы,2134,2134,,,97216824003,97616424111,10,48ba9225-6931-456d-b86c-114b4c5cf6e9,041,210070000410015,429320,,21,ул,2020-08-31,0015,2106,2106,2020-09-03,000,0000,000,1,,0000,,0
1,4c8f8865-a512-48b7-b4a7-0f5b8e0d9e7e,4c8f8865-a512-48b7-b4a7-0f5b8e0d9e7e,7,007,0,0,000,21007000041001200,0.0,2079-06-06,Радужная,2134,2134,,,97216824003,97616424111,10,48ba9225-6931-456d-b86c-114b4c5cf6e9,041,210070000410012,429320,,21,ул,2020-08-31,0012,2106,2106,2020-09-03,000,0000,000,1,,0000,,0
1,1a6022d2-f855-40ed-a092-ceb3235b73e4,1a6022d2-f855-40ed-a092-ceb3235b73e4,7,007,0,0,000,21007000041001000,0.0,2079-06-06,Садовая,2134,2134,,,97216824003,97616424111,10,48ba9225-6931-456d-b86c-114b4c5cf6e9,041,210070000410010,429320,,21,ул,2020-08-31,0010,2106,2106,2020-09-03,000,0000,000,1,,0000,,0
1,fca1c6a4-7e47-4f80-9a41-8bf08394bd8f,fca1c6a4-7e47-4f80-9a41-8bf08394bd8f,7,007,0,0,000,21007000041001300,0.0,2079-06-06,Весенняя,2134,2134,,,97216824003,97616424111,10,48ba9225-6931-456d-b86c-114b4c5cf6e9,041,210070000410013,429320,,21,ул,2020-08-31,0013,2106,2106,2020-09-03,000,0000,000,1,,0000,,0
1,64c2fa05-1ff7-437c-9e0d-da98b767a993,64c2fa05-1ff7-437c-9e0d-da98b767a993,7,007,0,0,000,21007000041001700,0.0,2079-06-06,Кольцевой,2134,2134,,,97216824003,97616424111,10,48ba9225-6931-456d-b86c-114b4c5cf6e9,041,210070000410017,429320,,21,пер,2020-08-31,0017,2106,2106,2020-09-03,000,0000,000,1,,0000,,0
1,72a9f528-f9b3-469d-b571-b49d27b78872,72a9f528-f9b3-469d-b571-b49d27b78872,7,007,0,0,000,21007000041001600,0.0,2079-06-06,Малая,2134,2134,,,97216824003,97616424111,10,48ba9225-6931-456d-b86c-114b4c5cf6e9,041,210070000410016,429320,,21,ул,2020-08-31,0016,2106,2106,2020-09-03,000,0000,000,1,,0000,,0
1,fd989296-cfeb-4b8f-a3ac-a197b2f82160,fd989296-cfeb-4b8f-a3ac-a197b2f82160,7,007,0,0,000,21007000041001100,0.0,2079-06-06,Мира,2134,2134,,,97216824003,97616424111,10,48ba9225-6931-456d-b86c-114b4c5cf6e9,041,210070000410011,429320,,21,ул,2020-08-31,0011,2106,2106,2020-09-03,000,0000,000,1,,0000,,0
0,5b7bc949-76f5-449e-a2e5-a7592ab91f60,ecfe9090-a6cc-47a5-8090-60336cc37fbb,7,004,0,0,000,21004000026000101,1.0,2079-06-06,60 лет СССР,2132,2132,31fc37c0-7d27-49d1-b3e6-4b8bd3d38012,,97207850005,97607450,1,9faac304-7b4c-496f-b048-a281f0979133,026,210040000260001,429364,,21,ул,1900-01-01,0001,2103,2103,2020-08-16,000,0000,000,0,,0000,,0
0,5b7bc949-76f5-449e-a2e5-a7592ab91f60,31fc37c0-7d27-49d1-b3e6-4b8bd3d38012,7,004,0,0,000,21004000026000100,0.0,2079-06-06,60 лет СССР,2132,2132,976698f0-ef49-4ba9-b571-21f68a0d4478,,97207850005,97607450116,21,9faac304-7b4c-496f-b048-a281f0979133,026,210040000260001,429364,ecfe9090-a6cc-47a5-8090-60336cc37fbb,21,ул,2014-01-10,0001,2103,2103,2020-08-16,000,0000,000,0,,0000,,0
1,5b7bc949-76f5-449e-a2e5-a7592ab91f60,976698f0-ef49-4ba9-b571-21f68a0d4478,7,004,0,0,000,21004000026000100,0.0,2079-06-06,60 лет СССР,2132,2132,,,97207850005,97607450116,21,9faac304-7b4c-496f-b048-a281f0979133,026,210040000260001,429364,31fc37c0-7d27-49d1-b3e6-4b8bd3d38012,21,ул,2020-08-14,0001,2103,2103,2020-08-16,000,0000,000,1,,0000,,0
0,2360f724-4874-4f57-8e86-c300e2ae9907,f9dd9200-90e6-4069-a6ba-41625842d23d,7,009,0,0,000,21009000001001201,1.0,2079-06-06,Кабалина,2132,2132,5986b6de-0e1d-412f-b449-b70cc5d36443,,97221825001,97621425,1,59feb404-d55b-4c68-a3d7-b7433a537519,001,210090000010012,429140,,21,мкр,1900-01-01,0012,2108,2108,2020-08-16,000,0000,000,0,,0000,,0
0,2360f724-4874-4f57-8e86-c300e2ae9907,5986b6de-0e1d-412f-b449-b70cc5d36443,7,009,0,0,000,21009000001001202,2.0,2015-09-01,Кабалина,2132,2132,d03128af-abb6-430b-b49d-e0ccf5df152b,,97221825001,97621425,21,59feb404-d55b-4c68-a3d7-b7433a537519,001,210090000010012,429140,f9dd9200-90e6-4069-a6ba-41625842d23d,21,мкр,2014-01-10,0012,2108,2108,2020-08-16,000,0000,000,0,,0000,,0
0,2360f724-4874-4f57-8e86-c300e2ae9907,d03128af-abb6-430b-b49d-e0ccf5df152b,7,009,0,0,000,21009000001001200,0.0,2079-06-06,Кабалина,2132,2132,e9d79a65-fac8-4a27-8f79-b922a30118c2,,97221825001,97621425101,20,59feb404-d55b-4c68-a3d7-b7433a537519,001,210090000010012,429140,5986b6de-0e1d-412f-b449-b70cc5d36443,21,мкр,2015-09-01,0012,2108,2108,2020-08-16,000,0000,000,0,,0000,,0
1,2360f724-4874-4f57-8e86-c300e2ae9907,e9d79a65-fac8-4a27-8f79-b922a30118c2,7,009,0,0,000,21009000001001200,0.0,2079-06-06,Кабалина,2132,2132,,,97221825001,97621425101,21,59feb404-d55b-4c68-a3d7-b7433a537519,001,210090000010012,429140,d03128af-abb6-430b-b49d-e0ccf5df152b,21,мкр,2020-08-13,0012,2108,2108,2020-08-16,000,0000,000,1,,0000,,0
0,459ce8a5-b243-47ce-969d-d7a2008a0d27,df6d86fc-7787-4f46-88d4-406c292acf19,7,000,0,0,024,21000024000000601,1.0,2079-06-06,Воинов интернационалистов,2124,2124,b36b5dea-f641-49d3-902c-50f8bc98e7e6,,97410000000,97710000,1,32599307-3fe7-4cf4-8fee-640044422d68,000,210000240000006,,,21,ул,1900-01-01,0006,,,2020-08-16,000,0000,000,0,,0000,,0
