ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
0,0d1bd66c-ad83-4ac6-83dc-e6e64a1fe57b,75d2d95d-0aa0-467f-8324-dc264b69d4d4,7,017,0,0,000,22017000003000900,0.0,2079-06-06,Алтайская,2201,2201,fedbd45e-e7cb-4a50-95af-d8e3e264535f,,,01615468,1,d6f5fde5-697b-4f3b-b07d-a84e320536d2,003,220170000030009,659043,,22,ул,1900-01-01,0009,2246,2246,2020-08-30,000,0000,000,0,,0000,,0
1,0d1bd66c-ad83-4ac6-83dc-e6e64a1fe57b,fedbd45e-e7cb-4a50-95af-d8e3e264535f,7,017,0,0,000,22017000003000900,0.0,2079-06-06,Алтайская,2201,2201,,,01215868001,01615468,21,d6f5fde5-697b-4f3b-b07d-a84e320536d2,003,220170000030009,659043,75d2d95d-0aa0-467f-8324-dc264b69d4d4,22,ул,2020-08-27,0009,2246,2246,2020-08-30,000,0000,000,1,,0000,,0
1,199ae46b-453e-4271-b747-6745a085893c,199ae46b-453e-4271-b747-6745a085893c,65,034,0,0,000,22034000000049900,0.0,2079-06-06,Малиновка,2208,2208,,,01232820000,01632420,10,1bed6635-6755-4af2-a9ea-e7a1b6147d7b,000,220340000000499,,,22,тер. ДНТ,2020-08-31,0000,,,2020-09-03,000,0000,000,1,,0499,,0
0,e1c2a117-816d-4523-95d2-446c2e4eaf30,4eaa6d9e-7363-41cf-8063-72709e3237d7,7,043,0,0,000,22043000008001801,1.0,2079-06-06,Школьная,2203,2203,a70a9f52-5b69-429b-b8bb-ab2e066e7e46,,01242820001,01642420,1,c9063052-0f4b-4d87-9a05-6fba1351ee42,008,220430000080018,659548,,22,ул,1900-01-01,0018,2272,2272,2020-08-16,000,0000,000,0,,0000,,0
0,e1c2a117-816d-4523-95d2-446c2e4eaf30,a70a9f52-5b69-429b-b8bb-ab2e066e7e46,7,043,0,0,000,22043000008001802,2.0,2014-11-05,Школьная,2204,2204,08a522d8-9952-46f1-96dd-e3b716984dee,,01242820001,01642420,21,c9063052-0f4b-4d87-9a05-6fba1351ee42,008,220430000080018,659548,4eaa6d9e-7363-41cf-8063-72709e3237d7,22,ул,2013-02-22,0018,2272,2272,2020-08-16,000,0000,000,0,,0000,,0
0,e1c2a117-816d-4523-95d2-446c2e4eaf30,08a522d8-9952-46f1-96dd-e3b716984dee,7,043,0,0,000,22043000008001800,0.0,2079-06-06,Школьная,2204,2204,4d8d6037-f00a-4371-b4cc-b1bb8eef671d,,01242820001,01642420101,21,c9063052-0f4b-4d87-9a05-6fba1351ee42,008,220430000080018,659548,a70a9f52-5b69-429b-b8bb-ab2e066e7e46,22,ул,2014-11-05,0018,2272,2272,2020-08-16,000,0000,000,0,,0000,,0
1,e1c2a117-816d-4523-95d2-446c2e4eaf30,4d8d6037-f00a-4371-b4cc-b1bb8eef671d,7,043,0,0,000,22043000008001800,0.0,2079-06-06,Школьная,2204,2204,,,01242820001,01642420101,21,c9063052-0f4b-4d87-9a05-6fba1351ee42,008,220430000080018,659548,08a522d8-9952-46f1-96dd-e3b716984dee,22,ул,2020-08-13,0018,2272,2272,2020-08-16,000,0000,000,1,,0000,,0
0,2a0f28f7-3e72-416d-b768-db8e984d89ee,44e31026-8e3c-4b35-beb9-59670c6098c7,7,043,0,0,000,22043000008000601,1.0,2079-06-06,Заводской,2203,2203,7693f0e5-c2ac-487c-9110-26068c664e81,,01242820001,01642420,1,c9063052-0f4b-4d87-9a05-6fba1351ee42,008,220430000080006,659548,,22,пер,1900-01-01,0006,2272,2272,2020-08-16,000,0000,000,0,,0000,,0
0,2a0f28f7-3e72-416d-b768-db8e984d89ee,7693f0e5-c2ac-487c-9110-26068c664e81,7,043,0,0,000,22043000008000602,2.0,2014-11-05,Заводской,2204,2204,f4ef6c3d-86f1-4454-9ee9-5b45cbc0c75b,,01242820001,01642420,21,c9063052-0f4b-4d87-9a05-6fba1351ee42,008,220430000080006,659548,44e31026-8e3c-4b35-beb9-59670c6098c7,22,пер,2013-02-22,0006,2272,2272,2020-08-16,000,0000,000,0,,0000,,0
0,2a0f28f7-3e72-416d-b768-db8e984d89ee,f4ef6c3d-86f1-4454-9ee9-5b45cbc0c75b,7,043,0,0,000,22043000008000600,0.0,2079-06-06,Заводской,2204,2204,e120debf-8739-40b9-91b0-aef5eafea6a1,,01242820001,01642420101,21,c9063052-0f4b-4d87-9a05-6fba1351ee42,008,220430000080006,659548,7693f0e5-c2ac-487c-9110-26068c664e81,22,пер,2014-11-05,0006,2272,2272,2020-08-16,000,0000,000,0,,0000,,0
