ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,18a5a93f-8c7b-451d-b61c-208f56aeff15,18a5a93f-8c7b-451d-b61c-208f56aeff15,7,000,0,0,004,23000004003000400,0.0,2079-06-06,Малахитовая,2368,2368,,,03409803002,03709000111,10,a2bff6e8-fe6c-4403-ab81-f3dca06fa12b,003,230000040030004,353273,,23,ул,2020-08-27,0004,2305,2305,2020-08-30,000,0000,000,1,,0054,,0
1,7ccf6e7f-f4b6-4ece-bbb4-0d65abd4d703,7ccf6e7f-f4b6-4ece-bbb4-0d65abd4d703,7,000,0,0,004,23000004003000200,0.0,2079-06-06,Изумрудная,2368,2368,,,03409803002,03709000111,10,a2bff6e8-fe6c-4403-ab81-f3dca06fa12b,003,230000040030002,353273,,23,ул,2020-08-27,0002,2305,2305,2020-08-30,000,0000,000,1,,0054,,0
1,2fe6b298-decd-4f54-8fab-9d3e9ac1642d,2fe6b298-decd-4f54-8fab-9d3e9ac1642d,7,000,0,0,004,23000004003000700,0.0,2079-06-06,Речная,2368,2368,,,03409803002,03709000111,10,a2bff6e8-fe6c-4403-ab81-f3dca06fa12b,003,230000040030007,353273,,23,ул,2020-08-27,0007,2305,2305,2020-08-30,000,0000,000,1,,0054,,0
1,22e35010-25cf-4690-8f76-2a299fb2474b,22e35010-25cf-4690-8f76-2a299fb2474b,7,000,0,0,004,23000004003000800,0.0,2079-06-06,Янтарная,2368,2368,,,03409803002,03709000111,10,a2bff6e8-fe6c-4403-ab81-f3dca06fa12b,003,230000040030008,353273,,23,ул,2020-08-27,0008,2305,2305,2020-08-30,000,0000,000,1,,0054,,0
1,19fe9219-847f-4b78-824f-90e29dac378c,19fe9219-847f-4b78-824f-90e29dac378c,7,029,0,0,000,23029000017004000,0.0,2079-06-06,Кистерева,2348,2348,,,03243555000,03643155051,10,780e7233-ed8c-4de7-90a3-6c9c89acff32,017,230290000170040,,,23,ул,2020-08-27,0040,,,2020-08-30,000,0000,000,1,,0000,,0
1,7a5d4bbb-3c89-42bf-81ad-9965472bede9,7a5d4bbb-3c89-42bf-81ad-9965472bede9,7,000,0,0,004,23000004003001100,0.0,2079-06-06,Янтарный,2368,2368,,,03409803002,03709000111,10,a2bff6e8-fe6c-4403-ab81-f3dca06fa12b,003,230000040030011,353273,,23,пер,2020-08-27,0011,2305,2305,2020-08-30,000,0000,000,1,,0054,,0
1,559de184-60bf-421b-855b-146dc446cc5a,559de184-60bf-421b-855b-146dc446cc5a,7,000,0,0,004,23000004003000600,0.0,2079-06-06,Радужная,2368,2368,,,03409803002,03709000111,10,a2bff6e8-fe6c-4403-ab81-f3dca06fa12b,003,230000040030006,353273,,23,ул,2020-08-27,0006,2305,2305,2020-08-30,000,0000,000,1,,0054,,0
1,a2bff094-1b14-47ab-a170-95934d633d8c,a2bff094-1b14-47ab-a170-95934d633d8c,7,000,0,0,004,23000004003000300,0.0,2079-06-06,Лазурная,2368,2368,,,03409803002,03709000111,10,a2bff6e8-fe6c-4403-ab81-f3dca06fa12b,003,230000040030003,353273,,23,ул,2020-08-27,0003,2305,2305,2020-08-30,000,0000,000,1,,0054,,0
1,617a340b-cf13-4884-adb7-3b52725a4c14,617a340b-cf13-4884-adb7-3b52725a4c14,7,000,0,0,004,23000004003000100,0.0,2079-06-06,Водопадная,2368,2368,,,03409803002,03709000111,10,a2bff6e8-fe6c-4403-ab81-f3dca06fa12b,003,230000040030001,353273,,23,ул,2020-08-27,0001,2305,2305,2020-08-30,000,0000,000,1,,0054,,0
1,6f8cf429-a0c5-4927-82e3-d6a75a0772d9,6f8cf429-a0c5-4927-82e3-d6a75a0772d9,7,000,0,0,004,23000004003000900,0.0,2079-06-06,Прибрежный,2368,2368,,,03409803002,03709000111,10,a2bff6e8-fe6c-4403-ab81-f3dca06fa12b,003,230000040030009,353273,,23,пер,2020-08-27,0009,2305,2305,2020-08-30,000,0000,000,1,,0054,,0
1,c2203e7f-aaae-45b0-91a3-4f6de3d21484,c2203e7f-aaae-45b0-91a3-4f6de3d21484,7,032,0,0,000,23032000032001500,0.0,2079-06-06,Лермонтова,2364,2364,,,03249819005,03649419121,10,c990910d-f7f4-4dd0-a705-99acd8029a6d,032,230320000320015,352374,,23,пер,2020-08-28,0015,,,2020-08-30,000,0000,000,1,,0000,,0
1,354aedb9-85ae-43dd-9c77-47ecb41dfee8,354aedb9-85ae-43dd-9c77-47ecb41dfee8,7,000,0,0,004,23000004003000500,0.0,2079-06-06,Прибрежная,2368,2368,,,03409803002,03709000111,10,a2bff6e8-fe6c-4403-ab81-f3dca06fa12b,003,230000040030005,353273,,23,ул,2020-08-27,0005,2305,2305,2020-08-30,000,0000,000,1,,0054,,0
1,2a56add9-81d0-4418-b957-8f10f8b3c202,2a56add9-81d0-4418-b957-8f10f8b3c202,7,000,0,0,004,23000004003001000,0.0,2079-06-06,Речной,2368,2368,,,03409803002,03709000111,10,a2bff6e8-fe6c-4403-ab81-f3dca06fa12b,003,230000040030010,353273,,23,пер,2020-08-27,0010,2305,2305,2020-08-30,000,0000,000,1,,0054,,0
1,893ff92a-7a8b-455d-9165-180f3a2cbee7,893ff92a-7a8b-455d-9165-180f3a2cbee7,65,000,0,0,007,23000007000012200,0.0,2079-06-06,Авангард ЖСТ,2366,2366,,,03426000000,03726000001,10,79da737a-603b-4c19-9b54-9114c96fb912,000,230000070000122,,,23,тер.,2020-09-01,0000,,,2020-09-03,000,0000,000,1,,0122,,0
0,96d83140-e7c7-40aa-beea-3cac8c3d3cee,96d83140-e7c7-40aa-beea-3cac8c3d3cee,7,000,0,0,001,23000001000459001,1.0,2020-09-01,им. Николая Чечёткина,2311,2311,cde82a01-bc2c-4c69-8771-1c492df4fa4f,,03401000000,03701000001,10,7dfa745e-aa19-4688-b121-b655c11e482f,000,230000010004590,,,23,ул,2019-06-04,4590,,,2020-09-03,000,0000,000,0,a5075067-9a2d-42e4-8560-44b3814f714f,0000,,0
1,96d83140-e7c7-40aa-beea-3cac8c3d3cee,cde82a01-bc2c-4c69-8771-1c492df4fa4f,7,000,0,0,001,23000001000459000,0.0,2079-06-06,им. Николая Чечётко,2311,2311,,,03401000000,03701000001,20,7dfa745e-aa19-4688-b121-b655c11e482f,000,230000010004590,,96d83140-e7c7-40aa-beea-3cac8c3d3cee,23,ул,2020-09-01,4590,,,2020-09-03,000,0000,000,1,,0000,,0
0,f78a05ce-02ef-403a-8fb2-05fe2c770bd8,53a92e0e-7ba9-46b9-b2cf-0312873bf886,7,018,0,0,000,23018000125001601,1.0,2079-06-06,Солнечная,2337,2337,b79fff5a-4b79-4cab-be02-1eb5000c262c,,03225810020,03625410,1,771eb7c2-0b46-4f3b-b8d1-ffac23a14ffd,125,230180001250016,353351,,23,ул,1900-01-01,0016,,,2020-09-03,000,0000,000,0,,0000,,0
0,f78a05ce-02ef-403a-8fb2-05fe2c770bd8,b79fff5a-4b79-4cab-be02-1eb5000c262c,7,018,0,0,000,23018000125001602,2.0,2017-05-04,Солнечная,2337,2337,b9ec4f27-f4bd-4d63-b296-c7a28dfa1fa5,,03225810020,03625410186,21,771eb7c2-0b46-4f3b-b8d1-ffac23a14ffd,103,230180001250016,353351,53a92e0e-7ba9-46b9-b2cf-0312873bf886,23,ул,2014-01-05,0051,,,2020-09-03,000,0000,000,0,,0001,,0
0,f78a05ce-02ef-403a-8fb2-05fe2c770bd8,b9ec4f27-f4bd-4d63-b296-c7a28dfa1fa5,7,018,0,0,000,23018000125001651,51.0,2020-09-01,Солнечная,2376,2376,cdb30784-84c6-4ac9-b4a0-fb5a91eb87dd,,03225810020,03625410186,21,771eb7c2-0b46-4f3b-b8d1-ffac23a14ffd,103,230180001250016,353351,b79fff5a-4b79-4cab-be02-1eb5000c262c,23,ул,2017-05-04,0051,,,2020-09-03,000,0000,000,0,,0001,,0
1,f78a05ce-02ef-403a-8fb2-05fe2c770bd8,cdb30784-84c6-4ac9-b4a0-fb5a91eb87dd,7,018,0,0,000,23018000103005100,0.0,2079-06-06,Солнечная,2376,2376,,,03225810020,03625410186,50,771eb7c2-0b46-4f3b-b8d1-ffac23a14ffd,103,230180001030051,353351,b9ec4f27-f4bd-4d63-b296-c7a28dfa1fa5,23,ул,2020-09-01,0051,,,2020-09-03,000,0000,000,1,,0001,,0
0,c53c622c-53cd-48cb-be4a-12de71c5bd16,45a1eff6-fbf9-4323-b90f-a2495b639867,7,018,0,0,000,23018000125001701,1.0,2079-06-06,Энергетиков,2337,2337,0ce7e824-9f4a-4ce8-a2c6-9605f32874b3,,03225810020,03625410,1,771eb7c2-0b46-4f3b-b8d1-ffac23a14ffd,125,230180001250017,353351,,23,ул,1900-01-01,0017,,,2020-09-03,000,0000,000,0,,0000,,0
0,c53c622c-53cd-48cb-be4a-12de71c5bd16,0ce7e824-9f4a-4ce8-a2c6-9605f32874b3,7,018,0,0,000,23018000125001702,2.0,2017-05-04,Энергетиков,2337,2337,a0994fba-3a42-49bc-a186-02640456f33d,,03225810020,03625410186,21,771eb7c2-0b46-4f3b-b8d1-ffac23a14ffd,103,230180001250017,353351,45a1eff6-fbf9-4323-b90f-a2495b639867,23,ул,2014-01-05,0048,,,2020-09-03,000,0000,000,0,,0001,,0
0,c53c622c-53cd-48cb-be4a-12de71c5bd16,a0994fba-3a42-49bc-a186-02640456f33d,7,018,0,0,000,23018000125001751,51.0,2020-09-01,Энергетиков,2376,2376,bc14cdca-922d-4b70-a512-cedbca4db293,,03225810020,03625410186,21,771eb7c2-0b46-4f3b-b8d1-ffac23a14ffd,103,230180001250017,353351,0ce7e824-9f4a-4ce8-a2c6-9605f32874b3,23,ул,2017-05-04,0048,,,2020-09-03,000,0000,000,0,,0001,,0
1,c53c622c-53cd-48cb-be4a-12de71c5bd16,bc14cdca-922d-4b70-a512-cedbca4db293,7,018,0,0,000,23018000103004800,0.0,2079-06-06,Энергетиков,2376,2376,,,03225810020,03625410186,50,771eb7c2-0b46-4f3b-b8d1-ffac23a14ffd,103,230180001030048,353351,a0994fba-3a42-49bc-a186-02640456f33d,23,ул,2020-09-01,0048,,,2020-09-03,000,0000,000,1,,0001,,0
0,e5a1e16e-db22-45ae-b25d-ac3e0b0f5f3c,f2925640-4698-421c-a00d-9dbcfc11bdce,7,018,0,0,000,23018000125000701,1.0,2079-06-06,Лесная,2337,2337,241e28d7-8c79-40b0-9c8c-a1547ba82839,,03225810020,03625410,1,771eb7c2-0b46-4f3b-b8d1-ffac23a14ffd,125,230180001250007,353351,,23,ул,1900-01-01,0007,,,2020-09-03,000,0000,000,0,,0000,,0
0,e5a1e16e-db22-45ae-b25d-ac3e0b0f5f3c,241e28d7-8c79-40b0-9c8c-a1547ba82839,7,018,0,0,000,23018000125000702,2.0,2017-05-04,Лесная,2337,2337,c9e522ef-3a47-41cd-af34-e6c22846d60c,,03225810020,03625410186,21,771eb7c2-0b46-4f3b-b8d1-ffac23a14ffd,103,230180001250007,353351,f2925640-4698-421c-a00d-9dbcfc11bdce,23,ул,2014-01-05,0053,,,2020-09-03,000,0000,000,0,,0001,,0
0,e5a1e16e-db22-45ae-b25d-ac3e0b0f5f3c,c9e522ef-3a47-41cd-af34-e6c22846d60c,7,018,0,0,000,23018000125000751,51.0,2020-09-01,Лесная,2376,2376,444e3184-23a9-4e10-81a1-60e01766a7fe,,03225810020,03625410186,21,771eb7c2-0b46-4f3b-b8d1-ffac23a14ffd,103,230180001250007,353351,241e28d7-8c79-40b0-9c8c-a1547ba82839,23,ул,2017-05-04,0053,,,2020-09-03,000,0000,000,0,,0001,,0
1,e5a1e16e-db22-45ae-b25d-ac3e0b0f5f3c,444e3184-23a9-4e10-81a1-60e01766a7fe,7,018,0,0,000,23018000103005300,0.0,2079-06-06,Лесная,2376,2376,,,03225810020,03625410186,50,771eb7c2-0b46-4f3b-b8d1-ffac23a14ffd,103,230180001030053,353351,c9e522ef-3a47-41cd-af34-e6c22846d60c,23,ул,2020-09-01,0053,,,2020-09-03,000,0000,000,1,,0001,,0
1,4b167a43-123e-4d39-ae0f-e5348ec16c45,4b167a43-123e-4d39-ae0f-e5348ec16c45,7,000,0,0,006,23000006014013800,0.0,2079-06-06,Хвойная,2315,2315,,,03420826001,03720000176,10,20fa49a0-b86a-4c40-a8d5-3526e50967d4,014,230000060140138,353993,,23,ул,2020-09-01,0138,,,2020-09-03,000,0000,000,1,,0110,,0
1,d01654ad-8486-4fc5-af74-881cc8d49469,d01654ad-8486-4fc5-af74-881cc8d49469,7,000,0,0,006,23000006024034400,0.0,2079-06-06,Капитанская,2315,2315,,,03420000000,03720000001,10,fb486fb4-0533-4488-8498-38f5f10a83de,024,230000060240344,353960,,23,ул,2020-09-01,0344,,,2020-09-03,000,0000,000,1,,0306,,0
0,b10bc576-d749-4b6d-aca7-e36bf0017881,12170a08-48b3-417b-95f9-c2b91574a289,6,018,0,0,000,2301800013401,1.0,2020-08-31,сдт Кубань,2337,2337,31cbeaf6-e1eb-4f55-a9b3-0a84ff3cdb92,,03225813001,03625413,1,08bc759b-aebc-41d7-ada4-f5d56798ee18,068,23018000134,353351,,23,тер,1900-01-01,0000,,,2020-09-03,000,0000,000,0,,0039,,0
0,b10bc576-d749-4b6d-aca7-e36bf0017881,31cbeaf6-e1eb-4f55-a9b3-0a84ff3cdb92,6,018,0,0,000,2301800013402,2.0,2017-05-04,сдт Кубань,2337,2337,60cd5d73-168f-4f4d-bcd5-e4124e2a44b2,,03225813001,03625413101,21,08bc759b-aebc-41d7-ada4-f5d56798ee18,068,23018000134,353351,12170a08-48b3-417b-95f9-c2b91574a289,23,тер,2014-01-05,0000,,,2020-09-03,000,0000,000,0,,0039,,0
0,b10bc576-d749-4b6d-aca7-e36bf0017881,60cd5d73-168f-4f4d-bcd5-e4124e2a44b2,6,018,0,0,000,2301800013451,51.0,2020-08-31,сдт Кубань,2376,2376,4931ce2e-75c5-4106-a3e5-d2855c5d4574,,03225813001,03625413101,21,08bc759b-aebc-41d7-ada4-f5d56798ee18,068,23018000134,,31cbeaf6-e1eb-4f55-a9b3-0a84ff3cdb92,23,тер,2017-05-04,0000,,,2020-09-03,000,0000,000,0,,0039,,0
1,b10bc576-d749-4b6d-aca7-e36bf0017881,4931ce2e-75c5-4106-a3e5-d2855c5d4574,65,018,0,0,000,23018000068003900,0.0,2079-06-06,Кубань,2376,2376,,,03225813001,03625413101,50,08bc759b-aebc-41d7-ada4-f5d56798ee18,068,230180000680039,,60cd5d73-168f-4f4d-bcd5-e4124e2a44b2,23,тер. СНТ,2020-08-31,0000,,,2020-09-03,000,0000,000,1,,0039,,0
0,ec35f375-6bdb-4f35-a69d-5c676ea6c035,5d46c194-5c1e-4956-8612-ae523e273a20,7,018,0,0,000,23018000125001001,1.0,2079-06-06,Водников,2337,2337,34272795-e3e7-431c-9144-a27301ce3240,,03225810020,03625410,1,771eb7c2-0b46-4f3b-b8d1-ffac23a14ffd,125,230180001250010,353351,,23,ул,1900-01-01,0010,,,2020-09-03,000,0000,000,0,,0000,,0
0,ec35f375-6bdb-4f35-a69d-5c676ea6c035,34272795-e3e7-431c-9144-a27301ce3240,7,018,0,0,000,23018000125001002,2.0,2017-05-04,Водников,2337,2337,25098ca5-8921-4680-a6cb-6a69b618f326,,03225810020,03625410186,21,771eb7c2-0b46-4f3b-b8d1-ffac23a14ffd,103,230180001250010,353351,5d46c194-5c1e-4956-8612-ae523e273a20,23,ул,2014-01-05,0047,,,2020-09-03,000,0000,000,0,,0001,,0
0,ec35f375-6bdb-4f35-a69d-5c676ea6c035,25098ca5-8921-4680-a6cb-6a69b618f326,7,018,0,0,000,23018000125001051,51.0,2020-09-01,Водников,2376,2376,dc9e3a95-9c37-480b-b011-727f0b195f72,,03225810020,03625410186,21,771eb7c2-0b46-4f3b-b8d1-ffac23a14ffd,103,230180001250010,353351,34272795-e3e7-431c-9144-a27301ce3240,23,ул,2017-05-04,0047,,,2020-09-03,000,0000,000,0,,0001,,0
1,ec35f375-6bdb-4f35-a69d-5c676ea6c035,dc9e3a95-9c37-480b-b011-727f0b195f72,7,018,0,0,000,23018000103004700,0.0,2079-06-06,Водников,2376,2376,,,03225810020,03625410186,50,771eb7c2-0b46-4f3b-b8d1-ffac23a14ffd,103,230180001030047,353351,25098ca5-8921-4680-a6cb-6a69b618f326,23,ул,2020-09-01,0047,,,2020-09-03,000,0000,000,1,,0001,,0
0,c0c5617f-36bd-4a26-9623-73655d18b920,60c9fdba-d1d7-48a0-bbfb-eb32738a8eeb,6,018,0,0,000,2301800013501,1.0,2020-08-31,сдт Родничок,2337,2337,b124a0e4-0c94-4bbf-b7fa-06a943febef6,,03225813001,03625413,1,08bc759b-aebc-41d7-ada4-f5d56798ee18,068,23018000135,353351,,23,тер,1900-01-01,0000,,,2020-09-03,000,0000,000,0,,0054,,0
0,c0c5617f-36bd-4a26-9623-73655d18b920,b124a0e4-0c94-4bbf-b7fa-06a943febef6,6,018,0,0,000,2301800013502,2.0,2017-05-04,сдт Родничок,2337,2337,e6ed83a7-d233-4fc2-9479-dab0762f61c2,,03225813001,03625413101,21,08bc759b-aebc-41d7-ada4-f5d56798ee18,068,23018000135,353351,60c9fdba-d1d7-48a0-bbfb-eb32738a8eeb,23,тер,2014-01-05,0000,,,2020-09-03,000,0000,000,0,,0054,,0
0,c0c5617f-36bd-4a26-9623-73655d18b920,e6ed83a7-d233-4fc2-9479-dab0762f61c2,6,018,0,0,000,2301800013551,51.0,2020-08-31,сдт Родничок,2376,2376,91087871-439e-4e52-b2c3-a04da8212f5a,,03225813001,03625413101,21,08bc759b-aebc-41d7-ada4-f5d56798ee18,068,23018000135,353351,b124a0e4-0c94-4bbf-b7fa-06a943febef6,23,тер,2017-05-04,0000,,,2020-09-03,000,0000,000,0,,0054,,0
1,c0c5617f-36bd-4a26-9623-73655d18b920,91087871-439e-4e52-b2c3-a04da8212f5a,65,018,0,0,000,23018000068005400,0.0,2079-06-06,Родничок,2376,2376,,,03225813001,03625413101,50,08bc759b-aebc-41d7-ada4-f5d56798ee18,068,230180000680054,353351,e6ed83a7-d233-4fc2-9479-dab0762f61c2,23,тер,2020-08-31,0000,,,2020-09-03,000,0000,000,1,,0054,,0
0,bd8ad58d-1aff-4faa-8787-0b4e969fe8b4,bd8ad58d-1aff-4faa-8787-0b4e969fe8b4,6,000,0,0,004,2300000403501,1.0,2020-09-02,М-4 Дон,2368,2368,ca53f50e-d25d-453d-b15d-39453f23820c,,03409000000,03709000,10,298ebb96-d9c3-4809-b466-386c778234a5,035,23000004035,353290,,23,автодорога,2015-10-27,0000,2305,2305,2020-09-03,000,0000,000,0,dabf1073-8307-44be-a2cd-47b14f6d90c2,0000,,0
0,bd8ad58d-1aff-4faa-8787-0b4e969fe8b4,ca53f50e-d25d-453d-b15d-39453f23820c,6,000,0,0,004,2300000403551,51.0,2020-09-02,М-4 Дон,2368,2368,b0f051b8-9cca-478f-966f-4859b812e164,,03409000000,03709000001,21,298ebb96-d9c3-4809-b466-386c778234a5,000,23000004035,353290,bd8ad58d-1aff-4faa-8787-0b4e969fe8b4,23,автодорога,2016-02-24,0000,2305,2305,2020-09-03,000,0000,000,0,dabf1073-8307-44be-a2cd-47b14f6d90c2,0328,,0
1,bd8ad58d-1aff-4faa-8787-0b4e969fe8b4,b0f051b8-9cca-478f-966f-4859b812e164,65,000,0,0,004,23000004000032800,0.0,2079-06-06,автодорога М-4 Дон,2368,2368,,,03409000000,03709000001,50,298ebb96-d9c3-4809-b466-386c778234a5,000,230000040000328,353290,ca53f50e-d25d-453d-b15d-39453f23820c,23,тер.,2020-09-02,0000,2305,2305,2020-09-03,000,0000,000,1,,0328,,0
0,771eb7c2-0b46-4f3b-b8d1-ffac23a14ffd,b453ff7b-3a1b-41a6-88cb-71124d0a7782,6,018,0,0,000,2301800012501,1.0,2020-09-01,сдт Дружба,2337,2337,efc5e85d-fc0a-4509-8a7e-4f4f1441308b,,03225810020,03625410,1,db21451d-3ce6-4158-bafa-9313fc7cc5e3,103,23018000125,353351,,23,тер,1900-01-01,0000,,,2020-09-03,000,0000,000,0,,0001,,0
0,771eb7c2-0b46-4f3b-b8d1-ffac23a14ffd,efc5e85d-fc0a-4509-8a7e-4f4f1441308b,6,018,0,0,000,2301800012502,2.0,2017-05-04,сдт Дружба,2337,2337,524b5312-1d11-42f2-af05-0c9029135558,,03225810020,03625410186,21,db21451d-3ce6-4158-bafa-9313fc7cc5e3,103,23018000125,353351,b453ff7b-3a1b-41a6-88cb-71124d0a7782,23,тер,2014-01-05,0000,,,2020-09-03,000,0000,000,0,,0001,,0
0,771eb7c2-0b46-4f3b-b8d1-ffac23a14ffd,524b5312-1d11-42f2-af05-0c9029135558,6,018,0,0,000,2301800012551,51.0,2020-09-01,сдт Дружба,2376,2376,2b8a9b5a-d635-4b15-9663-f6dae95f145b,,03225810020,03625410186,21,db21451d-3ce6-4158-bafa-9313fc7cc5e3,103,23018000125,353351,efc5e85d-fc0a-4509-8a7e-4f4f1441308b,23,тер,2017-05-04,0000,,,2020-09-03,000,0000,000,0,,0001,,0
1,771eb7c2-0b46-4f3b-b8d1-ffac23a14ffd,2b8a9b5a-d635-4b15-9663-f6dae95f145b,65,018,0,0,000,23018000103000100,0.0,2079-06-06,Дружба СДТ,2376,2376,,,03225810020,03625410186,50,db21451d-3ce6-4158-bafa-9313fc7cc5e3,103,230180001030001,353351,524b5312-1d11-42f2-af05-0c9029135558,23,тер,2020-09-01,0000,,,2020-09-03,000,0000,000,1,,0001,,0
0,4df2bb89-09e6-43f6-9bab-601d8b11fd5d,225b069c-b966-4cc1-af48-337e061b7134,7,018,0,0,000,23018000125000801,1.0,2079-06-06,Центральная,2337,2337,748dbc2f-8acb-482e-99b6-9caa7ac03c31,,03225810020,03625410,1,771eb7c2-0b46-4f3b-b8d1-ffac23a14ffd,125,230180001250008,353351,,23,ул,1900-01-01,0008,,,2020-09-03,000,0000,000,0,,0000,,0
0,4df2bb89-09e6-43f6-9bab-601d8b11fd5d,748dbc2f-8acb-482e-99b6-9caa7ac03c31,7,018,0,0,000,23018000125000802,2.0,2017-05-04,Центральная,2337,2337,9b8a6305-61d1-477c-8a63-7fb8e608a06e,,03225810020,03625410186,21,771eb7c2-0b46-4f3b-b8d1-ffac23a14ffd,103,230180001250008,353351,225b069c-b966-4cc1-af48-337e061b7134,23,ул,2014-01-05,0046,,,2020-09-03,000,0000,000,0,,0001,,0
0,4df2bb89-09e6-43f6-9bab-601d8b11fd5d,9b8a6305-61d1-477c-8a63-7fb8e608a06e,7,018,0,0,000,23018000125000851,51.0,2020-09-01,Центральная,2376,2376,7f8f32ff-3df9-49b9-8df3-2270c2e279d3,,03225810020,03625410186,21,771eb7c2-0b46-4f3b-b8d1-ffac23a14ffd,103,230180001250008,353351,748dbc2f-8acb-482e-99b6-9caa7ac03c31,23,ул,2017-05-04,0046,,,2020-09-03,000,0000,000,0,,0001,,0
1,4df2bb89-09e6-43f6-9bab-601d8b11fd5d,7f8f32ff-3df9-49b9-8df3-2270c2e279d3,7,018,0,0,000,23018000103004600,0.0,2079-06-06,Центральная,2376,2376,,,03225810020,03625410186,50,771eb7c2-0b46-4f3b-b8d1-ffac23a14ffd,103,230180001030046,353351,9b8a6305-61d1-477c-8a63-7fb8e608a06e,23,ул,2020-09-01,0046,,,2020-09-03,000,0000,000,1,,0001,,0
0,0de28d3c-76e7-4481-bdaf-f85fc0e156a0,5f0009f0-7cbd-40e2-afb3-e4b7dabaa61d,7,018,0,0,000,23018000125000301,1.0,2079-06-06,Молодёжная,2337,2337,9aaed0fe-7f63-48f2-86b7-aa50928dc05c,,03225810020,03625410,1,771eb7c2-0b46-4f3b-b8d1-ffac23a14ffd,125,230180001250003,353351,,23,ул,1900-01-01,0003,,,2020-09-03,000,0000,000,0,,0000,,0
0,0de28d3c-76e7-4481-bdaf-f85fc0e156a0,9aaed0fe-7f63-48f2-86b7-aa50928dc05c,7,018,0,0,000,23018000125000302,2.0,2017-05-04,Молодёжная,2337,2337,eb843b3e-e4b9-4312-9e5a-60f2fc515247,,03225810020,03625410186,21,771eb7c2-0b46-4f3b-b8d1-ffac23a14ffd,103,230180001250003,353351,5f0009f0-7cbd-40e2-afb3-e4b7dabaa61d,23,ул,2014-01-05,0045,,,2020-09-03,000,0000,000,0,,0001,,0
0,0de28d3c-76e7-4481-bdaf-f85fc0e156a0,eb843b3e-e4b9-4312-9e5a-60f2fc515247,7,018,0,0,000,23018000125000351,51.0,2020-09-01,Молодёжная,2376,2376,11b5d82f-2b3a-43f6-a14f-3d38b8c38b60,,03225810020,03625410186,21,771eb7c2-0b46-4f3b-b8d1-ffac23a14ffd,103,230180001250003,353351,9aaed0fe-7f63-48f2-86b7-aa50928dc05c,23,ул,2017-05-04,0045,,,2020-09-03,000,0000,000,0,,0001,,0
