ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,9d73c29e-2be2-4484-ba50-17606b036629,9d73c29e-2be2-4484-ba50-17606b036629,7,011,0,0,000,25011000001038700,0.0,2079-06-06,Светлая,2502,2502,,,05223000013,05623402101,10,a99dfffb-e71f-499d-aded-5fde2bb61985,001,250110000010387,692481,,25,ул,2020-08-28,0387,,,2020-08-30,000,0000,000,1,,0268,,0
1,98b188d1-d96d-49be-b377-5655e4fb5707,98b188d1-d96d-49be-b377-5655e4fb5707,7,011,0,0,000,25011000001038800,0.0,2079-06-06,Ягодная,2502,2502,,,05223000013,05623402101,10,a99dfffb-e71f-499d-aded-5fde2bb61985,001,250110000010388,692481,,25,ул,2020-08-28,0388,,,2020-08-30,000,0000,000,1,,0268,,0
1,604c791d-0155-4225-acee-d8a922c6b4d5,604c791d-0155-4225-acee-d8a922c6b4d5,65,000,0,0,004,25000004000013100,0.0,2079-06-06,Автоспектр,2508,2508,,,05414000000,05714000001,10,225a3506-35aa-4456-8bd7-244bdfbc4eaf,000,250000040000131,,,25,тер. ГСК,2020-08-28,0000,,,2020-08-30,000,0000,000,1,,0131,,0
0,63962a4a-ee93-4622-8c71-07ed433a4cf5,67323a56-1a1b-4812-876d-b003c773ac39,7,000,0,0,007,25000007002003201,1.0,2020-08-28,Гарнизоная,2503,2503,8fc5c3df-2527-4ea3-bb0a-ebf10c221dd2,,05506000002,05706000,1,8f146bbd-8224-4fec-8431-4d29ee7d90de,002,250000070020032,692806,,25,ул,1900-01-01,0032,,,2020-08-30,000,0000,000,0,,0000,,0
0,63962a4a-ee93-4622-8c71-07ed433a4cf5,8fc5c3df-2527-4ea3-bb0a-ebf10c221dd2,7,000,0,0,007,25000007002003202,2.0,2016-01-02,Гарнизоная,2503,2503,63a98dbe-49d9-4a00-acdb-bf9f678bc060,,05506000002,05706000106,21,8f146bbd-8224-4fec-8431-4d29ee7d90de,002,250000070020032,692806,67323a56-1a1b-4812-876d-b003c773ac39,25,ул,2014-01-05,0032,,,2020-08-30,000,0000,000,0,,0000,,0
0,63962a4a-ee93-4622-8c71-07ed433a4cf5,63a98dbe-49d9-4a00-acdb-bf9f678bc060,7,000,0,0,007,25000007002003203,3.0,2020-08-28,Гарнизоная,2503,2503,6a8dda21-244e-4a44-82ab-c72280adfce6,,05406000002,05706000106,21,8f146bbd-8224-4fec-8431-4d29ee7d90de,002,250000070020032,692806,8fc5c3df-2527-4ea3-bb0a-ebf10c221dd2,25,ул,2016-01-02,0032,,,2020-08-30,000,0000,000,0,,0000,,0
1,63962a4a-ee93-4622-8c71-07ed433a4cf5,6a8dda21-244e-4a44-82ab-c72280adfce6,7,000,0,0,007,25000007002003200,0.0,2079-06-06,Гарнизонная,2503,2503,,,05406000002,05706000106,20,8f146bbd-8224-4fec-8431-4d29ee7d90de,002,250000070020032,692806,63a98dbe-49d9-4a00-acdb-bf9f678bc060,25,ул,2020-08-28,0032,,,2020-08-30,000,0000,000,1,,0000,,0
0,7ff03c58-9faa-4f92-8ef5-da77d087e901,a29de8e3-1fc1-4aa4-9557-d741e773db45,7,022,0,0,000,25022000023001901,1.0,2079-06-06,Ленинская,2533,2533,bc4925e1-a341-48fd-ac46-af0802620f94,,05250556000,05650156,1,b69dae45-7a3c-4838-92cf-3274443edeb8,023,250220000230019,692270,,25,ул,1900-01-01,0019,2532,2532,2020-08-30,000,0000,000,0,,0000,,0
0,7ff03c58-9faa-4f92-8ef5-da77d087e901,bc4925e1-a341-48fd-ac46-af0802620f94,7,022,0,0,000,25022000023001900,0.0,2079-06-06,Ленинская,2533,2533,9698b090-ea2f-48f9-bb98-136fcf309a15,,05250556000,05650156,20,b69dae45-7a3c-4838-92cf-3274443edeb8,023,250220000230019,692271,a29de8e3-1fc1-4aa4-9557-d741e773db45,25,ул,2015-10-27,0019,2532,2532,2020-08-30,000,0000,000,0,53bb7b6f-22ca-483d-b199-fd26a8e19ad2,0000,,0
1,7ff03c58-9faa-4f92-8ef5-da77d087e901,9698b090-ea2f-48f9-bb98-136fcf309a15,7,022,0,0,000,25022000023001900,0.0,2079-06-06,Ленинская,2533,2533,,,05250556000,05650156051,21,b69dae45-7a3c-4838-92cf-3274443edeb8,023,250220000230019,692271,bc4925e1-a341-48fd-ac46-af0802620f94,25,ул,2020-08-28,0019,2532,2532,2020-08-30,000,0000,000,1,,0000,,0
