ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
0,bf158c98-4ef1-4426-875b-d72bbeb470d8,ebeba789-01ee-446a-8fc6-63ab4b0bfe28,7,009,0,0,000,26009000012000201,1.0,2079-06-06,Гагарина,2645,2645,d0c79a2c-1dee-4ee0-8da9-83f922edba41,,07217822000,,1,9bb8f87a-18dd-4c61-997e-ff253f972249,012,260090000120002,356263,,26,ул,1900-01-01,0002,2606,2606,2020-08-30,000,0000,000,0,,0000,,0
0,bf158c98-4ef1-4426-875b-d72bbeb470d8,d0c79a2c-1dee-4ee0-8da9-83f922edba41,7,009,0,0,000,26009000012000202,2.0,2015-11-06,Гагарина,2645,2645,fdcad8b4-a8de-43e6-abfc-c49a93bd6d63,,07217822000,,20,9bb8f87a-18dd-4c61-997e-ff253f972249,012,260090000120002,356263,ebeba789-01ee-446a-8fc6-63ab4b0bfe28,26,ул,1900-01-01,0002,2606,2606,2020-08-30,000,0000,000,0,08258242-d0e7-4f3a-893e-a817fd5a1ca7,0000,,0
0,bf158c98-4ef1-4426-875b-d72bbeb470d8,fdcad8b4-a8de-43e6-abfc-c49a93bd6d63,7,009,0,0,000,26009000012000251,51.0,2015-11-06,Гагарина,2645,2645,59656405-a6c8-434c-8b73-4fbfe7cba5c5,,07217822000,07617422,21,9bb8f87a-18dd-4c61-997e-ff253f972249,012,260090000120002,356263,d0c79a2c-1dee-4ee0-8da9-83f922edba41,26,ул,2015-11-06,0002,2606,2606,2020-08-30,000,0000,000,0,08258242-d0e7-4f3a-893e-a817fd5a1ca7,0000,,0
0,bf158c98-4ef1-4426-875b-d72bbeb470d8,59656405-a6c8-434c-8b73-4fbfe7cba5c5,7,009,0,0,000,26009000012000203,3.0,2016-04-28,Гагарина,2645,2645,1d6c5fb0-7827-4d62-9dc9-7e2819a8cb1a,,07217822000,07617422,40,9bb8f87a-18dd-4c61-997e-ff253f972249,012,260090000120002,356263,fdcad8b4-a8de-43e6-abfc-c49a93bd6d63,26,ул,2015-11-06,0002,2606,2606,2020-08-30,000,0000,000,0,25312ed2-63d6-4b43-b684-5ede335819c9,0000,,0
0,bf158c98-4ef1-4426-875b-d72bbeb470d8,1d6c5fb0-7827-4d62-9dc9-7e2819a8cb1a,7,009,0,0,000,26009000012000200,0.0,2079-06-06,Гагарина,2645,2645,b5917616-7d0d-4794-b53b-d456cd40802e,,07217822000,07617422101,21,9bb8f87a-18dd-4c61-997e-ff253f972249,012,260090000120002,356263,59656405-a6c8-434c-8b73-4fbfe7cba5c5,26,ул,2016-04-28,0002,2606,2606,2020-08-30,000,0000,000,0,25312ed2-63d6-4b43-b684-5ede335819c9,0000,,0
1,bf158c98-4ef1-4426-875b-d72bbeb470d8,b5917616-7d0d-4794-b53b-d456cd40802e,7,009,0,0,000,26009000012000200,0.0,2079-06-06,Гагарина,2645,2645,,,07217822001,07617422101,21,9bb8f87a-18dd-4c61-997e-ff253f972249,012,260090000120002,356263,1d6c5fb0-7827-4d62-9dc9-7e2819a8cb1a,26,ул,2020-08-27,0002,2606,2606,2020-08-30,000,0000,000,1,,0000,,0
0,b9fa6aea-ce7b-47c8-84c5-3c08f0ecff38,c06c8362-7f72-47a5-b1cd-749b70f8d1b5,7,027,0,0,000,26027000007001001,1.0,2079-06-06,Молодежный,2645,2645,d5ef097d-cb29-44dc-9ff7-7ae764ebbecb,,07258813001,07658413,1,904cf905-d881-47eb-929f-5445285a5d07,007,260270000070010,356204,,26,пер,1900-01-01,0010,2623,2623,2020-08-30,000,0000,000,0,,0000,,0
0,b9fa6aea-ce7b-47c8-84c5-3c08f0ecff38,d5ef097d-cb29-44dc-9ff7-7ae764ebbecb,7,027,0,0,000,26027000007001002,2.0,2015-11-20,Молодежный,2645,2645,b33a3689-8bc2-42c1-98bb-6218925525fa,,07258813001,07658413,20,904cf905-d881-47eb-929f-5445285a5d07,007,260270000070010,356204,c06c8362-7f72-47a5-b1cd-749b70f8d1b5,26,пер,1900-01-01,0010,2623,2623,2020-08-30,000,0000,000,0,5a911160-1cfd-4ed2-bcc3-6a5575a6a32a,0000,,0
0,b9fa6aea-ce7b-47c8-84c5-3c08f0ecff38,b33a3689-8bc2-42c1-98bb-6218925525fa,7,027,0,0,000,26027000007001003,3.0,2015-12-22,Молодежный,2645,2645,03b40507-b5e6-45b6-a690-6e6efd1727b5,,07258813000,07658413,21,904cf905-d881-47eb-929f-5445285a5d07,007,260270000070010,356204,d5ef097d-cb29-44dc-9ff7-7ae764ebbecb,26,пер,2015-11-20,0010,2623,2623,2020-08-30,000,0000,000,0,5a911160-1cfd-4ed2-bcc3-6a5575a6a32a,0000,,0
0,b9fa6aea-ce7b-47c8-84c5-3c08f0ecff38,03b40507-b5e6-45b6-a690-6e6efd1727b5,7,027,0,0,000,26027000007001000,0.0,2079-06-06,Молодежный,2645,2645,4698452f-f016-4533-b000-72b9f983d262,,07258813000,07658413,21,904cf905-d881-47eb-929f-5445285a5d07,007,260270000070010,356204,b33a3689-8bc2-42c1-98bb-6218925525fa,26,пер,2015-12-22,0010,2623,2623,2020-08-30,000,0000,000,0,5a911160-1cfd-4ed2-bcc3-6a5575a6a32a,0000,,0
1,b9fa6aea-ce7b-47c8-84c5-3c08f0ecff38,4698452f-f016-4533-b000-72b9f983d262,7,027,0,0,000,26027000007001000,0.0,2079-06-06,Молодежный,2645,2645,,,07258813001,07658413,21,904cf905-d881-47eb-929f-5445285a5d07,007,260270000070010,356204,03b40507-b5e6-45b6-a690-6e6efd1727b5,26,пер,2020-08-27,0010,2623,2623,2020-08-30,000,0000,000,1,,0000,,0
0,c11548aa-6a4b-4a61-bcdb-4b045e5677d3,0310cb15-ea42-42f8-bd0f-46454b187ca5,7,008,0,0,000,26008000008017401,1.0,2019-12-12,4 Линия,2625,2625,3cad030a-3a1c-4892-8822-659734519eab,,07215813000,07615413,1,75083262-18c8-460e-bdd9-75a8ab315e95,008,260080000080174,357808,,26,ул,1900-01-01,0174,,,2020-08-30,000,0000,000,0,,0000,,0
0,c11548aa-6a4b-4a61-bcdb-4b045e5677d3,3cad030a-3a1c-4892-8822-659734519eab,7,008,0,0,000,26008000008017402,2.0,2019-12-12,4 Линия,2625,2625,5e3fd0e2-bc22-4e09-aa2e-dfbdfb1072cd,,07215813000,07707000141,21,75083262-18c8-460e-bdd9-75a8ab315e95,008,260080000080174,357808,0310cb15-ea42-42f8-bd0f-46454b187ca5,26,ул,2018-02-21,0174,,,2020-08-30,000,0000,000,0,478078a1-b013-4f9a-b72f-865a9cb4af93,0000,,0
0,c11548aa-6a4b-4a61-bcdb-4b045e5677d3,5e3fd0e2-bc22-4e09-aa2e-dfbdfb1072cd,7,008,0,0,000,26008000008017400,0.0,2079-06-06,4-я Линия,2625,2625,048c1fec-b5c3-4cff-8b09-4370408f0cae,,07215813000,07707000141,20,75083262-18c8-460e-bdd9-75a8ab315e95,008,260080000080174,357808,3cad030a-3a1c-4892-8822-659734519eab,26,ул,2019-12-12,0174,,,2020-08-30,000,0000,000,0,532f69d1-0753-41eb-b13e-7f243d13f419,0000,,0
1,c11548aa-6a4b-4a61-bcdb-4b045e5677d3,048c1fec-b5c3-4cff-8b09-4370408f0cae,7,008,0,0,000,26008000008017400,0.0,2079-06-06,4-я Линия,2625,2625,,,07215813001,07707000141,21,75083262-18c8-460e-bdd9-75a8ab315e95,008,260080000080174,357808,5e3fd0e2-bc22-4e09-aa2e-dfbdfb1072cd,26,ул,2020-08-28,0174,,,2020-08-30,000,0000,000,1,,0000,,0
1,1de215bd-ad13-47c4-a637-7c260e536f87,1de215bd-ad13-47c4-a637-7c260e536f87,65,003,0,0,000,26003000018000900,0.0,2079-06-06,26-17-031701,2648,2648,,,07232802003,07632402111,10,b0774703-456c-4c2f-9c32-cc2ae74533fe,018,260030000180009,357089,,26,кв-л,2020-08-27,0000,2603,2603,2020-08-30,000,0000,000,1,,0009,,0
0,ba457648-c04a-4d7a-bc8a-6dc39e225c4e,2e6ae3d2-59a0-4751-b4af-53e1c5b3e3ad,7,009,0,0,000,26009000012000401,1.0,2079-06-06,Гулевского,2645,2645,54ccff1f-d3c7-4ea1-b90c-302596400e48,,07217822000,,1,9bb8f87a-18dd-4c61-997e-ff253f972249,012,260090000120004,356263,,26,ул,1900-01-01,0004,2606,2606,2020-08-30,000,0000,000,0,,0000,,0
0,ba457648-c04a-4d7a-bc8a-6dc39e225c4e,54ccff1f-d3c7-4ea1-b90c-302596400e48,7,009,0,0,000,26009000012000402,2.0,1990-01-01,Гулевского,2645,2645,7ea5280c-2945-415b-9ea0-8088290153c2,,07217822000,,20,9bb8f87a-18dd-4c61-997e-ff253f972249,012,260090000120004,356263,2e6ae3d2-59a0-4751-b4af-53e1c5b3e3ad,26,ул,1900-01-01,0004,2606,2606,2020-08-30,000,0000,000,0,08258242-d0e7-4f3a-893e-a817fd5a1ca7,0000,,0
0,ba457648-c04a-4d7a-bc8a-6dc39e225c4e,7ea5280c-2945-415b-9ea0-8088290153c2,7,009,0,0,000,26009000012000451,51.0,2016-04-28,Гулевского,2645,2645,f9b11ce3-f9f3-4a35-99d3-4b28fd0d7bce,,07217822000,07617422,20,9bb8f87a-18dd-4c61-997e-ff253f972249,012,260090000120004,356263,54ccff1f-d3c7-4ea1-b90c-302596400e48,26,ул,1990-01-01,0004,2606,2606,2020-08-30,000,0000,000,0,,0000,,0
