ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
0,bacb482f-9793-4e64-9aec-9da1f46e46cc,9554b50a-467d-4bd2-ab3d-f4f967721597,7,008,0,0,000,27008000017000701,1.0,2079-06-06,Гаражный,2713,2713,fced2642-0ea7-4ef7-a5bd-c0cb8a487de6,,08224000007,08624410,1,fb81cc68-1e2f-4fa7-b637-e8abb76d3b17,017,270080000170007,682938,,27,пер,1900-01-01,0007,,,2020-08-30,000,0000,000,0,,0000,,0
0,bacb482f-9793-4e64-9aec-9da1f46e46cc,fced2642-0ea7-4ef7-a5bd-c0cb8a487de6,7,008,0,0,000,27008000017000702,2.0,2014-01-05,Гаражный,2720,2720,34170a86-b8df-49b9-aabf-0fc32c56439c,,08224000007,08624410,21,fb81cc68-1e2f-4fa7-b637-e8abb76d3b17,017,270080000170007,682938,9554b50a-467d-4bd2-ab3d-f4f967721597,27,пер,2012-01-01,0007,2713,2713,2020-08-30,000,0000,000,0,749ca169-da00-4ea1-8270-4affb79fcc93,0000,,0
0,bacb482f-9793-4e64-9aec-9da1f46e46cc,34170a86-b8df-49b9-aabf-0fc32c56439c,7,008,0,0,000,27008000017000703,3.0,2017-02-20,Гаражный,2720,2720,0e904184-9067-4776-89e1-f0ecd3b68d55,,08224000007,08624410111,21,fb81cc68-1e2f-4fa7-b637-e8abb76d3b17,017,270080000170007,682938,fced2642-0ea7-4ef7-a5bd-c0cb8a487de6,27,пер,2014-01-05,0007,2713,2713,2020-08-30,000,0000,000,0,749ca169-da00-4ea1-8270-4affb79fcc93,0000,,0
0,bacb482f-9793-4e64-9aec-9da1f46e46cc,0e904184-9067-4776-89e1-f0ecd3b68d55,7,008,0,0,000,27008000017000704,4.0,2020-08-28,Гаражный,2720,2720,d5395e96-59a6-4b6a-8014-198ba7634cb0,,08224000003,08624410,21,fb81cc68-1e2f-4fa7-b637-e8abb76d3b17,017,270080000170007,682938,34170a86-b8df-49b9-aabf-0fc32c56439c,27,пер,2017-02-20,0007,2713,2713,2020-08-30,000,0000,000,0,749ca169-da00-4ea1-8270-4affb79fcc93,0000,,0
0,bacb482f-9793-4e64-9aec-9da1f46e46cc,d5395e96-59a6-4b6a-8014-198ba7634cb0,7,008,0,0,000,27008000017000700,0.0,2020-08-28,Гаражный,2720,2720,512f1715-e2e8-4993-a314-a14faf3d40db,,08224000007,08624410,20,fb81cc68-1e2f-4fa7-b637-e8abb76d3b17,017,270080000170007,682935,0e904184-9067-4776-89e1-f0ecd3b68d55,27,пер,2017-06-16,0007,2713,2713,2020-08-30,000,0000,000,0,b7d07e13-0ee2-43f5-b2ad-94abf3115d2a,0000,,0
1,bacb482f-9793-4e64-9aec-9da1f46e46cc,512f1715-e2e8-4993-a314-a14faf3d40db,7,008,0,0,000,27008000017000700,0.0,2079-06-06,Гаражный,2720,2720,,,08224000007,08624410111,20,fb81cc68-1e2f-4fa7-b637-e8abb76d3b17,017,270080000170007,682935,d5395e96-59a6-4b6a-8014-198ba7634cb0,27,пер,2020-08-28,0007,2713,2713,2020-08-30,000,0000,000,1,,0000,,0
0,eee31445-bda8-4639-b407-12ff4e48eeb1,f48fd118-078b-4b61-8f94-e4c9906df5c2,7,008,0,0,000,27008000017000401,1.0,2079-06-06,Почтовая,2713,2713,d33258cb-3103-4f91-862d-699c8faf7392,,08224000007,08624410,1,fb81cc68-1e2f-4fa7-b637-e8abb76d3b17,017,270080000170004,682938,,27,ул,1900-01-01,0004,,,2020-09-03,000,0000,000,0,,0000,,0
0,eee31445-bda8-4639-b407-12ff4e48eeb1,d33258cb-3103-4f91-862d-699c8faf7392,7,008,0,0,000,27008000017000402,2.0,2014-01-05,Почтовая,2720,2720,87c709bf-d9be-473a-8939-548071ad1b78,,08224000007,08624410,21,fb81cc68-1e2f-4fa7-b637-e8abb76d3b17,017,270080000170004,682938,f48fd118-078b-4b61-8f94-e4c9906df5c2,27,ул,2012-01-01,0004,2713,2713,2020-09-03,000,0000,000,0,749ca169-da00-4ea1-8270-4affb79fcc93,0000,,0
0,eee31445-bda8-4639-b407-12ff4e48eeb1,87c709bf-d9be-473a-8939-548071ad1b78,7,008,0,0,000,27008000017000403,3.0,2017-02-20,Почтовая,2720,2720,53e965ce-038e-4613-9ecf-4b88dd19ace9,,08224000007,08624410111,21,fb81cc68-1e2f-4fa7-b637-e8abb76d3b17,017,270080000170004,682938,d33258cb-3103-4f91-862d-699c8faf7392,27,ул,2014-01-05,0004,2713,2713,2020-09-03,000,0000,000,0,749ca169-da00-4ea1-8270-4affb79fcc93,0000,,0
0,eee31445-bda8-4639-b407-12ff4e48eeb1,53e965ce-038e-4613-9ecf-4b88dd19ace9,7,008,0,0,000,27008000017000400,0.0,2020-08-31,Почтовая,2720,2720,73d3e056-4a87-4409-8829-faadf47f287c,,08224000007,08624410,21,fb81cc68-1e2f-4fa7-b637-e8abb76d3b17,017,270080000170004,682935,87c709bf-d9be-473a-8939-548071ad1b78,27,ул,2017-02-20,0004,2713,2713,2020-09-03,000,0000,000,0,749ca169-da00-4ea1-8270-4affb79fcc93,0000,,0
1,eee31445-bda8-4639-b407-12ff4e48eeb1,73d3e056-4a87-4409-8829-faadf47f287c,7,008,0,0,000,27008000017000400,0.0,2079-06-06,Почтовая,2720,2720,,,08224000007,08624410111,20,fb81cc68-1e2f-4fa7-b637-e8abb76d3b17,017,270080000170004,682935,53e965ce-038e-4613-9ecf-4b88dd19ace9,27,ул,2020-08-31,0004,2713,2713,2020-09-03,000,0000,000,1,,0000,,0
0,1ed05e52-eeda-4b23-9d6c-43194bb4daa1,5524b389-ce52-4624-b896-bc5a26523d3b,7,008,0,0,000,27008000037000701,1.0,2079-06-06,Строительный,2713,2713,3ac80d57-d2c6-4c9b-a73c-be12895e309b,,08224000014,08624410,1,cef34051-1715-4506-8c70-0fd88979abcd,037,270080000370007,682910,,27,пер,1900-01-01,0007,,,2020-09-03,000,0000,000,0,,0000,,0
0,1ed05e52-eeda-4b23-9d6c-43194bb4daa1,3ac80d57-d2c6-4c9b-a73c-be12895e309b,7,008,0,0,000,27008000037000702,2.0,2014-01-05,Строительный,2720,2720,f0592d3b-cc4d-439e-84a0-b910eea8db1a,,08224000014,08624410,21,cef34051-1715-4506-8c70-0fd88979abcd,037,270080000370007,682910,5524b389-ce52-4624-b896-bc5a26523d3b,27,пер,2012-01-01,0007,2713,2713,2020-09-03,000,0000,000,0,749ca169-da00-4ea1-8270-4affb79fcc93,0000,,0
0,1ed05e52-eeda-4b23-9d6c-43194bb4daa1,f0592d3b-cc4d-439e-84a0-b910eea8db1a,7,008,0,0,000,27008000037000703,3.0,2017-02-20,Строительный,2720,2720,f81a569c-1193-4d1d-99c4-78c26a03513e,,08224000014,08624410116,21,cef34051-1715-4506-8c70-0fd88979abcd,037,270080000370007,682910,3ac80d57-d2c6-4c9b-a73c-be12895e309b,27,пер,2014-01-05,0007,2713,2713,2020-09-03,000,0000,000,0,749ca169-da00-4ea1-8270-4affb79fcc93,0000,,0
