ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,f1936b52-418f-4269-92f3-278acd096daf,f1936b52-418f-4269-92f3-278acd096daf,7,006,0,0,000,29006000064000300,0.0,2079-06-06,Становая,2918,2918,,,11218832019,11618432336,10,cf9d4fc4-d27b-484e-b2a7-0634b54357c9,064,290060000640003,164120,,29,ул,2020-09-01,0003,2911,2911,2020-09-03,000,0000,000,1,,0000,,0
0,7598e1f8-26fb-43f5-856e-3cffeff26d7f,72288a93-c0b9-4e3e-9fbe-96aaa1c911d0,7,000,0,0,003,29000003000002801,1.0,2020-08-31,3-й Пятилетки,2903,2903,04c9a319-7b0c-4f1d-b9c5-ef9bd03a5867,,11415000000,11715000,1,3b0ef6c2-9bcd-44a5-afec-2723bd8190bc,000,290000030000028,,,29,ул,1900-01-01,0028,,,2020-09-03,000,0000,000,0,,0000,,0
0,7598e1f8-26fb-43f5-856e-3cffeff26d7f,04c9a319-7b0c-4f1d-b9c5-ef9bd03a5867,7,000,0,0,003,29000003000002801,1.0,2079-06-06,3-й Пятилетки,2903,2903,6d8b28ba-d913-43a7-82af-b751135d9259,,11415000000,11715000001,21,3b0ef6c2-9bcd-44a5-afec-2723bd8190bc,000,290000030000028,,72288a93-c0b9-4e3e-9fbe-96aaa1c911d0,29,ул,2020-05-21,0028,,,2020-09-03,000,0000,000,0,,0000,,0
1,7598e1f8-26fb-43f5-856e-3cffeff26d7f,6d8b28ba-d913-43a7-82af-b751135d9259,7,000,0,0,003,29000003000002800,0.0,2079-06-06,3-ей Пятилетки,2903,2903,,,11415000000,11715000001,20,3b0ef6c2-9bcd-44a5-afec-2723bd8190bc,000,290000030000028,,04c9a319-7b0c-4f1d-b9c5-ef9bd03a5867,29,ул,2020-08-31,0028,,,2020-09-03,000,0000,000,1,,0000,,0
1,80bd803b-45eb-4221-87db-ab95faa807d8,80bd803b-45eb-4221-87db-ab95faa807d8,7,001,0,0,000,29001000000049900,0.0,2079-06-06,15-я линия,2932,2932,,,11252836000,11652436,10,bde255fd-eac3-4393-940d-f7e0f7afe86b,000,290010000000499,163039,,29,ул,2020-08-17,0499,2921,2921,2020-08-17,000,0000,000,1,,0067,,0
1,81685c94-c1c1-4a14-9f99-71b68aa549a7,81685c94-c1c1-4a14-9f99-71b68aa549a7,7,001,0,0,000,29001000000048800,0.0,2079-06-06,3-я линия,2932,2932,,,11252836000,11652436,10,bde255fd-eac3-4393-940d-f7e0f7afe86b,000,290010000000488,163039,,29,ул,2020-08-17,0488,2921,2921,2020-08-17,000,0000,000,1,,0067,,0
1,3225e536-a210-4f4c-9fe1-4f133add8a92,3225e536-a210-4f4c-9fe1-4f133add8a92,7,001,0,0,000,29001000000049500,0.0,2079-06-06,11-я линия,2932,2932,,,11252836000,11652436,10,bde255fd-eac3-4393-940d-f7e0f7afe86b,000,290010000000495,163039,,29,ул,2020-08-17,0495,2921,2921,2020-08-17,000,0000,000,1,,0067,,0
1,9caac68a-448f-4205-8412-d0bae5cc74b7,9caac68a-448f-4205-8412-d0bae5cc74b7,7,001,0,0,000,29001000000049000,0.0,2079-06-06,6-я линия,2932,2932,,,11252836000,11652436,10,bde255fd-eac3-4393-940d-f7e0f7afe86b,000,290010000000490,163039,,29,ул,2020-08-17,0490,2921,2921,2020-08-17,000,0000,000,1,,0067,,0
1,b6e6e055-6b1b-461e-bd16-bc8e83ad91e3,b6e6e055-6b1b-461e-bd16-bc8e83ad91e3,7,001,0,0,000,29001000000049600,0.0,2079-06-06,12-я линия,2932,2932,,,11252836000,11652436,10,bde255fd-eac3-4393-940d-f7e0f7afe86b,000,290010000000496,163039,,29,ул,2020-08-17,0496,2921,2921,2020-08-17,000,0000,000,1,,0067,,0
1,bfb7c312-e2df-411e-8aac-1f37c411a58b,bfb7c312-e2df-411e-8aac-1f37c411a58b,7,001,0,0,000,29001000000049700,0.0,2079-06-06,13-я линия,2932,2932,,,11252836000,11652436,10,bde255fd-eac3-4393-940d-f7e0f7afe86b,000,290010000000497,163039,,29,ул,2020-08-17,0497,2921,2921,2020-08-17,000,0000,000,1,,0067,,0
1,453f4a92-9d0c-45a7-b0b5-f54be8d36bb3,453f4a92-9d0c-45a7-b0b5-f54be8d36bb3,7,001,0,0,000,29001000000048700,0.0,2079-06-06,2-я линия,2932,2932,,,11252836000,11652436,10,bde255fd-eac3-4393-940d-f7e0f7afe86b,000,290010000000487,163039,,29,ул,2020-08-17,0487,2921,2921,2020-08-17,000,0000,000,1,,0067,,0
