ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,083e35e4-8241-4a71-a564-bc9914f49231,083e35e4-8241-4a71-a564-bc9914f49231,7,000,0,0,001,30000001000052200,0.0,2079-06-06,Портовый,3023,3023,,,12401000000,12701000001,10,92a3869b-2064-4179-9ffe-6186c5614da1,000,300000010000522,414000,,30,пр-д,2020-08-27,0522,,,2020-08-30,000,0000,000,1,,3218,,0
1,a69e7ba0-f191-4ce6-ae01-6a4cb9274826,a69e7ba0-f191-4ce6-ae01-6a4cb9274826,7,000,0,0,001,30000001000052900,0.0,2079-06-06,Навигационный,3023,3023,,,12401000000,12701000001,10,92a3869b-2064-4179-9ffe-6186c5614da1,000,300000010000529,414000,,30,пр-д,2020-08-27,0529,,,2020-08-30,000,0000,000,1,,3218,,0
1,ef4a2c65-957d-45a0-9fed-866a8a4156f3,ef4a2c65-957d-45a0-9fed-866a8a4156f3,7,000,0,0,001,30000001000052100,0.0,2079-06-06,Фиалковый,3019,3019,,,12401000000,12701000001,10,82c1a4e6-5d66-449a-bcfe-9cd9cb965b85,000,300000010000521,414000,,30,пр-д,2020-08-27,0521,,,2020-08-30,000,0000,000,1,,2486,,0
0,aa0ee779-aa0b-453e-b26b-ddf817066304,89e9d443-8a7c-4812-a381-43da20d4c317,7,011,0,0,001,30011001000000201,1.0,2019-03-04,1а,3022,3022,5cb09493-7546-4fbe-9bb8-a8f933b2403d,,,,1,08373220-e187-4094-82de-b8e0864c5f38,000,300110010000002,416010,,30,кв-л,1900-01-01,0002,,,2020-08-30,000,0000,000,0,,0000,,0
0,aa0ee779-aa0b-453e-b26b-ddf817066304,5cb09493-7546-4fbe-9bb8-a8f933b2403d,7,011,0,0,001,30011001000000251,51.0,2019-03-04,1а,3022,3022,f6e60799-4e34-45d1-8c92-1e9f4a6420aa,,,12645101001,20,08373220-e187-4094-82de-b8e0864c5f38,000,300110010000002,416010,89e9d443-8a7c-4812-a381-43da20d4c317,30,кв-л,2018-03-30,0000,,,2020-08-30,000,0000,000,0,d94f6bf2-5823-40b7-8509-5c3fcb73ebb3,0195,,0
0,aa0ee779-aa0b-453e-b26b-ddf817066304,f6e60799-4e34-45d1-8c92-1e9f4a6420aa,65,011,0,0,001,30011001000019500,0.0,2079-06-06,1а,3022,3022,17fa3f63-9eb7-41c8-b64b-be0170052e3e,,,12645101001,50,08373220-e187-4094-82de-b8e0864c5f38,000,300110010000195,416010,5cb09493-7546-4fbe-9bb8-a8f933b2403d,30,кв-л,2019-03-04,0000,,,2020-08-30,000,0000,000,0,937cc501-cefd-4bef-b402-e36df24b74d4,0195,,0
1,aa0ee779-aa0b-453e-b26b-ddf817066304,17fa3f63-9eb7-41c8-b64b-be0170052e3e,65,011,0,0,001,30011001000019500,0.0,2079-06-06,1а,3022,3022,,,12245501000,12645101001,20,08373220-e187-4094-82de-b8e0864c5f38,000,300110010000195,416010,f6e60799-4e34-45d1-8c92-1e9f4a6420aa,30,кв-л,2020-08-28,0000,,,2020-08-30,000,0000,000,1,,0195,,0
0,4d20d664-c837-4782-8e18-204a2722e359,4d20d664-c837-4782-8e18-204a2722e359,90,000,0,0,001,30000001000318051,51.0,2016-09-29,Сатурн,3019,3019,34a7241b-411f-48ab-86a0-ece61804e504,,12401000000,12701000,10,a101dd8b-3aee-4bda-9c61-9df106f145ff,000,300000010003180,414011,,30,гск,1996-12-18,0000,,,2020-08-30,000,0000,000,0,,0000,,0
0,4d20d664-c837-4782-8e18-204a2722e359,34a7241b-411f-48ab-86a0-ece61804e504,65,000,0,0,001,30000001000318001,1.0,2020-08-27,Сатурн,3019,3019,9385299b-6243-4cac-ac1e-7d3a5166e11f,,12401000000,12701000,50,a101dd8b-3aee-4bda-9c61-9df106f145ff,000,300000010003180,414011,4d20d664-c837-4782-8e18-204a2722e359,30,гск,2016-09-29,0000,,,2020-08-30,000,0000,000,0,,3180,,0
1,4d20d664-c837-4782-8e18-204a2722e359,9385299b-6243-4cac-ac1e-7d3a5166e11f,65,000,0,0,001,30000001000318000,0.0,2079-06-06,ГСК Сатурн,3019,3019,,,12401000000,12701000001,20,a101dd8b-3aee-4bda-9c61-9df106f145ff,000,300000010003180,414011,34a7241b-411f-48ab-86a0-ece61804e504,30,тер.,2020-08-27,0000,,,2020-08-30,000,0000,000,1,,3180,,0
