ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
0,943ff1fc-ef34-46a0-a56c-33fe0f2df52a,943ff1fc-ef34-46a0-a56c-33fe0f2df52a,65,022,0,0,000,31022000028006799,99.0,2020-08-31,Каштан,3130,3130,d5948f4e-6863-4f55-bad7-c9f94b01ee7c,,14210802002,14610404106,10,f3604029-e51f-48b8-9b53-79e84c0eb4e1,028,310220000280067,308570,,31,тер. СНТ,2020-03-17,0000,3102,3102,2020-09-03,000,0000,000,0,,0067,,0
1,943ff1fc-ef34-46a0-a56c-33fe0f2df52a,d5948f4e-6863-4f55-bad7-c9f94b01ee7c,65,022,0,0,000,31022000028006799,99.0,2079-06-06,Каштан,3130,3130,,,14210802002,14610404106,30,f3604029-e51f-48b8-9b53-79e84c0eb4e1,028,310220000280067,308570,943ff1fc-ef34-46a0-a56c-33fe0f2df52a,31,тер. СНТ,2020-08-31,0000,3102,3102,2020-09-03,000,0000,000,0,,0067,,0
0,63c8abf8-8939-434d-a6a9-5505346dcaef,63c8abf8-8939-434d-a6a9-5505346dcaef,90,022,0,0,000,31022000028002901,1.0,2016-09-28,Яблонька-2,3130,3130,7034beab-e072-42d1-a3ad-a2d04d921832,,14210802002,14610404,10,f3604029-e51f-48b8-9b53-79e84c0eb4e1,028,310220000280029,308508,,31,снт,2007-01-01,0000,3102,3102,2020-09-03,000,0000,000,0,,0000,,0
0,63c8abf8-8939-434d-a6a9-5505346dcaef,7034beab-e072-42d1-a3ad-a2d04d921832,90,022,0,0,000,31022000028002951,51.0,2016-09-28,Яблонька-2,3130,3130,22713b99-95df-4c7c-befc-4885c0b90ecc,,14210802002,14610404106,21,f3604029-e51f-48b8-9b53-79e84c0eb4e1,028,310220000280029,308508,63c8abf8-8939-434d-a6a9-5505346dcaef,31,снт,2014-01-05,0000,3102,3102,2020-09-03,000,0000,000,0,,0029,,0
0,63c8abf8-8939-434d-a6a9-5505346dcaef,22713b99-95df-4c7c-befc-4885c0b90ecc,65,022,0,0,000,31022000028002999,99.0,2020-08-31,Яблонька-2,3130,3130,42010a5f-dc12-4c31-a760-b42c09b569c7,,14210802002,14610404106,50,f3604029-e51f-48b8-9b53-79e84c0eb4e1,028,310220000280029,308508,7034beab-e072-42d1-a3ad-a2d04d921832,31,снт,2016-09-28,0000,3102,3102,2020-09-03,000,0000,000,0,,0029,,0
1,63c8abf8-8939-434d-a6a9-5505346dcaef,42010a5f-dc12-4c31-a760-b42c09b569c7,65,022,0,0,000,31022000028002999,99.0,2079-06-06,Яблонька-2,3130,3130,,,14210802002,14610404106,30,f3604029-e51f-48b8-9b53-79e84c0eb4e1,028,310220000280029,308508,22713b99-95df-4c7c-befc-4885c0b90ecc,31,снт,2020-08-31,0000,3102,3102,2020-09-03,000,0000,000,0,,0029,,0
0,5c8343bc-598e-484a-93b4-4edba144fc16,5c8343bc-598e-484a-93b4-4edba144fc16,90,022,0,0,000,31022000028002601,1.0,2016-09-29,Яблонька-1,3130,3130,3f5591a1-353d-4a16-909e-b0c8f8ece28e,,14210802002,14610404,10,f3604029-e51f-48b8-9b53-79e84c0eb4e1,028,310220000280026,308508,,31,снт,2007-01-01,0000,3102,3102,2020-09-03,000,0000,000,0,,0000,,0
0,5c8343bc-598e-484a-93b4-4edba144fc16,3f5591a1-353d-4a16-909e-b0c8f8ece28e,90,022,0,0,000,31022000028002651,51.0,2016-09-29,Яблонька-1,3130,3130,95272b9a-6a18-4869-b542-fc51ae2fc117,,14210802002,14610404106,21,f3604029-e51f-48b8-9b53-79e84c0eb4e1,028,310220000280026,308508,5c8343bc-598e-484a-93b4-4edba144fc16,31,снт,2014-01-05,0000,3102,3102,2020-09-03,000,0000,000,0,,0026,,0
0,5c8343bc-598e-484a-93b4-4edba144fc16,95272b9a-6a18-4869-b542-fc51ae2fc117,65,022,0,0,000,31022000028002699,99.0,2020-08-31,Яблонька-1,3130,3130,e8c683c0-3b70-403f-b842-f6b5ad8c2b19,,14210802002,14610404106,50,f3604029-e51f-48b8-9b53-79e84c0eb4e1,028,310220000280026,308508,3f5591a1-353d-4a16-909e-b0c8f8ece28e,31,снт,2016-09-29,0000,3102,3102,2020-09-03,000,0000,000,0,,0026,,0
1,5c8343bc-598e-484a-93b4-4edba144fc16,e8c683c0-3b70-403f-b842-f6b5ad8c2b19,65,022,0,0,000,31022000028002699,99.0,2079-06-06,Яблонька-1,3130,3130,,,14210802002,14610404106,30,f3604029-e51f-48b8-9b53-79e84c0eb4e1,028,310220000280026,308508,95272b9a-6a18-4869-b542-fc51ae2fc117,31,снт,2020-08-31,0000,3102,3102,2020-09-03,000,0000,000,0,,0026,,0
0,e36a3e36-60d7-4195-bc3c-d89179123599,e36a3e36-60d7-4195-bc3c-d89179123599,7,005,0,0,000,31005000010002601,1.0,2020-09-01,Ю.Гагарина,3126,3126,5e9111fc-11f0-48b7-a9af-62756d336097,,14225803001,14625412,10,fec2aecf-36e3-4a8c-9090-d691a78b304b,010,310050000100026,309724,,31,ул,1900-01-01,0026,3105,3105,2020-09-03,000,0000,000,0,,0000,,0
0,e36a3e36-60d7-4195-bc3c-d89179123599,5e9111fc-11f0-48b7-a9af-62756d336097,7,005,0,0,000,31005000010002602,2.0,2020-09-01,Ю.Гагарина,3126,3126,72f4f8d8-27ca-4522-8a10-85f4465dbe04,,14225803001,14625412101,21,fec2aecf-36e3-4a8c-9090-d691a78b304b,010,310050000100026,309724,e36a3e36-60d7-4195-bc3c-d89179123599,31,ул,2014-01-05,0026,3105,3105,2020-09-03,000,0000,000,0,,0000,,0
1,e36a3e36-60d7-4195-bc3c-d89179123599,72f4f8d8-27ca-4522-8a10-85f4465dbe04,7,005,0,0,000,31005000010002600,0.0,2079-06-06,имени космонавта Ю. А. Гагарина,3126,3126,,,14225803001,14625412101,20,fec2aecf-36e3-4a8c-9090-d691a78b304b,010,310050000100026,309724,5e9111fc-11f0-48b7-a9af-62756d336097,31,ул,2020-09-01,0026,3105,3105,2020-09-03,000,0000,000,1,,0000,,0
1,7fe4d656-2351-4347-abbc-c2c6d82a41a0,7fe4d656-2351-4347-abbc-c2c6d82a41a0,65,022,0,0,000,31022000003001500,0.0,2079-06-06,Каштан,3130,3130,,,14210802001,14610404101,10,b4a67b7d-ce38-4d99-8d3f-e53e50076fe8,003,310220000030015,,,31,тер. СНТ,2020-08-31,0000,3102,3102,2020-09-03,000,0000,000,1,,0015,,0
