ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,9ccf4eb2-c747-4732-aa45-cb372bb3ea81,9ccf4eb2-c747-4732-aa45-cb372bb3ea81,7,002,0,0,000,33002000184000200,0.0,2079-06-06,Полевая,3339,3339,,,17205000070,17605448201,10,5a03730b-3ddc-498e-823f-58e2c8917be8,184,330020001840002,601625,,33,ул,2020-08-27,0002,3311,3311,2020-08-30,000,0000,000,1,,0000,,0
1,27bc0578-4b89-4b65-b2e8-eff6c49550d8,27bc0578-4b89-4b65-b2e8-eff6c49550d8,65,000,0,0,003,33000003000050700,0.0,2079-06-06,Район гаражей Минская-3д,3304,3304,,,17420000000,17720000001,10,aa4aa0d7-f97f-4974-9291-c0a530a1ccb6,000,330000030000507,,,33,тер,2020-08-27,0000,3314,3314,2020-08-30,000,0000,000,1,,0507,,0
1,b178c562-79c4-4a8e-803c-4ec771e3e059,b178c562-79c4-4a8e-803c-4ec771e3e059,65,000,0,0,003,33000003000051300,0.0,2079-06-06,Район гаражей Свердлова-31д,3304,3304,,,17420000000,17720000001,10,aa4aa0d7-f97f-4974-9291-c0a530a1ccb6,000,330000030000513,,,33,тер,2020-08-27,0000,3314,3314,2020-08-30,000,0000,000,1,,0513,,0
1,6de42ff4-bca5-4306-b967-5f4b64e1d9fa,6de42ff4-bca5-4306-b967-5f4b64e1d9fa,65,000,0,0,003,33000003000050600,0.0,2079-06-06,Район гаражей Луначарского-5д,3304,3304,,,17420000000,17720000001,10,aa4aa0d7-f97f-4974-9291-c0a530a1ccb6,000,330000030000506,,,33,тер,2020-08-27,0000,3314,3314,2020-08-30,000,0000,000,1,,0506,,0
1,de16bae9-2329-4830-b7d1-246cc1a9ddb2,de16bae9-2329-4830-b7d1-246cc1a9ddb2,65,000,0,0,003,33000003000051400,0.0,2079-06-06,Район гаражей Тамбовская-1,3304,3304,,,17420000000,17720000001,10,aa4aa0d7-f97f-4974-9291-c0a530a1ccb6,000,330000030000514,,,33,тер,2020-08-27,0000,3314,3314,2020-08-30,000,0000,000,1,,0514,,0
1,820856ff-6aca-4a76-8412-041d1fed5323,820856ff-6aca-4a76-8412-041d1fed5323,65,000,0,0,003,33000003000050800,0.0,2079-06-06,Район гаражей Менделеева-1,3304,3304,,,17420000000,17720000001,10,aa4aa0d7-f97f-4974-9291-c0a530a1ccb6,000,330000030000508,,,33,тер,2020-08-27,0000,3314,3314,2020-08-30,000,0000,000,1,,0508,,0
1,484c9e4f-3621-4bb2-a98d-7f5e7d6a1515,484c9e4f-3621-4bb2-a98d-7f5e7d6a1515,65,016,0,0,000,33016000009004300,0.0,2079-06-06,Детсад,3340,3340,,,17254000075,17654432101,10,6f350ede-22cf-44ca-af47-74dd5adf972c,009,330160000090043,601282,,33,тер.,2020-08-27,0000,3325,3325,2020-08-30,000,0000,000,1,,0043,,0
1,bb87a4b3-277f-4024-9a50-db933b1374af,bb87a4b3-277f-4024-9a50-db933b1374af,65,000,0,0,003,33000003000051500,0.0,2079-06-06,Район гаражей Теплицкий-56д,3304,3304,,,17420000000,17720000001,10,aa4aa0d7-f97f-4974-9291-c0a530a1ccb6,000,330000030000515,,,33,тер,2020-08-27,0000,3314,3314,2020-08-30,000,0000,000,1,,0515,,0
1,4f451222-f865-456e-b6f4-1498f354de92,4f451222-f865-456e-b6f4-1498f354de92,65,000,0,0,003,33000003000050900,0.0,2079-06-06,Район гаражей Мясокомбинат,3304,3304,,,17420000000,17720000001,10,aa4aa0d7-f97f-4974-9291-c0a530a1ccb6,000,330000030000509,,,33,тер,2020-08-27,0000,3314,3314,2020-08-30,000,0000,000,1,,0509,,0
1,56f0d96d-f705-49fa-bb71-86eee5eb0a71,56f0d96d-f705-49fa-bb71-86eee5eb0a71,65,000,0,0,003,33000003000051000,0.0,2079-06-06,Район гаражей Писарева-20д,3304,3304,,,17420000000,17720000001,10,aa4aa0d7-f97f-4974-9291-c0a530a1ccb6,000,330000030000510,,,33,тер,2020-08-27,0000,3314,3314,2020-08-30,000,0000,000,1,,0510,,0
1,e076a0e3-071c-45f6-8a34-3b611cd6a7db,e076a0e3-071c-45f6-8a34-3b611cd6a7db,65,000,0,0,003,33000003000051200,0.0,2079-06-06,Район гаражей Садовая,3304,3304,,,17420000000,17720000001,10,aa4aa0d7-f97f-4974-9291-c0a530a1ccb6,000,330000030000512,,,33,тер,2020-08-27,0000,3314,3314,2020-08-30,000,0000,000,1,,0512,,0
1,c7bbd75f-6327-4b28-8847-418e11df597a,c7bbd75f-6327-4b28-8847-418e11df597a,65,000,0,0,003,33000003000051100,0.0,2079-06-06,Район гаражей Пождепо,3304,3304,,,17420000000,17720000001,10,aa4aa0d7-f97f-4974-9291-c0a530a1ccb6,000,330000030000511,,,33,тер,2020-08-27,0000,3314,3314,2020-08-30,000,0000,000,1,,0511,,0
1,d998ea38-d522-42e3-85a3-905a97068db3,d998ea38-d522-42e3-85a3-905a97068db3,7,016,0,0,000,33016000009004600,0.0,2079-06-06,3-ий,3340,3340,,,17254000075,17654432101,10,484c9e4f-3621-4bb2-a98d-7f5e7d6a1515,009,330160000090046,601282,,33,ряд,2020-08-31,0046,3325,3325,2020-09-03,000,0000,000,1,,0043,,0
1,1a69a691-43c7-408f-9023-bf2e6d4fec97,1a69a691-43c7-408f-9023-bf2e6d4fec97,7,016,0,0,000,33016000009004400,0.0,2079-06-06,1-ый,3340,3340,,,17254000075,17654432101,10,484c9e4f-3621-4bb2-a98d-7f5e7d6a1515,009,330160000090044,601282,,33,ряд,2020-08-31,0044,3325,3325,2020-09-03,000,0000,000,1,,0043,,0
1,a797088e-e2f6-4369-898d-e9830bbc3bbf,a797088e-e2f6-4369-898d-e9830bbc3bbf,7,016,0,0,000,33016000009004900,0.0,2079-06-06,6-ой,3340,3340,,,17254000075,17654432101,10,484c9e4f-3621-4bb2-a98d-7f5e7d6a1515,009,330160000090049,601282,,33,ряд,2020-08-31,0049,3325,3325,2020-09-03,000,0000,000,1,,0043,,0
