ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,fb450edd-3786-4667-9795-8d9fc4e60cf8,fb450edd-3786-4667-9795-8d9fc4e60cf8,7,000,0,0,005,34000005000003600,0.0,2079-06-06,Черноплодная,3457,3457,,,18425000000,18725000001,10,2e5879fc-35c2-4354-816b-f1fce74ece87,000,340000050000036,,,34,ул,2020-08-28,0036,,,2020-08-30,000,0000,000,1,,0000,,0
1,f0acb849-22e5-4704-b5c2-18190ca7a005,f0acb849-22e5-4704-b5c2-18190ca7a005,7,000,0,0,005,34000005000005800,0.0,2079-06-06,Станционная,3457,3457,,,18425000000,18725000001,10,2e5879fc-35c2-4354-816b-f1fce74ece87,000,340000050000058,,,34,ул,2020-08-28,0058,,,2020-08-30,000,0000,000,1,,0000,,0
1,e9ad273b-826e-40c2-bcc7-84c79b4d8983,e9ad273b-826e-40c2-bcc7-84c79b4d8983,7,000,0,0,005,34000005000002600,0.0,2079-06-06,Уездная,3457,3457,,,18425000000,18725000001,10,2e5879fc-35c2-4354-816b-f1fce74ece87,000,340000050000026,,,34,ул,2020-08-28,0026,,,2020-08-30,000,0000,000,1,,0000,,0
1,ff9b85b6-b2d4-4a17-8c57-0dccc2f03599,ff9b85b6-b2d4-4a17-8c57-0dccc2f03599,7,000,0,0,005,34000005000005900,0.0,2079-06-06,Петропольская,3457,3457,,,18425000000,18725000001,10,2e5879fc-35c2-4354-816b-f1fce74ece87,000,340000050000059,,,34,ул,2020-08-28,0059,,,2020-08-30,000,0000,000,1,,0000,,0
1,c3b831da-7e86-4b8a-bf60-9d371c2b6469,c3b831da-7e86-4b8a-bf60-9d371c2b6469,7,026,0,0,000,34026000026000500,0.0,2079-06-06,Промзона,3458,3458,,,18249812004,18649412116,10,b7bd3eb8-eb83-48aa-801e-0e855adc5737,026,340260000260005,,,34,кв-л,2020-08-28,0005,,,2020-08-30,000,0000,000,1,,0000,,0
1,dcc28810-4fa6-44ef-8964-d33d7aa2f4b0,dcc28810-4fa6-44ef-8964-d33d7aa2f4b0,7,000,0,0,005,34000005000000500,0.0,2079-06-06,Раздольная,3457,3457,,,18425000000,18725000001,10,2e5879fc-35c2-4354-816b-f1fce74ece87,000,340000050000005,,,34,ул,2020-08-28,0005,,,2020-08-30,000,0000,000,1,,0000,,0
1,d69d8c4f-8adf-43a0-9c59-c26d4e930f98,d69d8c4f-8adf-43a0-9c59-c26d4e930f98,7,000,0,0,005,34000005000007000,0.0,2079-06-06,Атамана Просвирова,3457,3457,,,18425000000,18725000001,10,2e5879fc-35c2-4354-816b-f1fce74ece87,000,340000050000070,,,34,ул,2020-08-28,0070,,,2020-08-30,000,0000,000,1,,0000,,0
1,8d4834e0-ba3a-4700-bda7-f60e4e03e04e,8d4834e0-ba3a-4700-bda7-f60e4e03e04e,7,026,0,0,000,34026000008006400,0.0,2079-06-06,Северный,3458,3458,,,18249812001,18649412101,10,f498a128-8838-4326-9698-d5b46240067d,008,340260000080064,,,34,кв-л,2020-08-28,0064,,,2020-08-30,000,0000,000,1,,0000,,0
0,f60b109e-f790-44a3-9ee0-e07da0425247,28b6466b-6fcf-4952-815e-ab2e0cf48ee3,6,000,0,0,000,3400000000151,51.0,2013-02-12,Уральский,3428,3428,0f9b6891-f03d-4065-b4ad-d3c8718294b7,,18251812014,18710000,1,da051ec8-da2e-4a66-b542-473b8d221ab4,001,34000000001,404143,,34,п,2013-02-11,0000,,,2020-09-03,000,0000,000,0,,0000,,0
0,f60b109e-f790-44a3-9ee0-e07da0425247,0f9b6891-f03d-4065-b4ad-d3c8718294b7,6,000,0,0,002,3400000200801,1.0,1900-01-01,Уральский,3435,3435,a0c81d1e-6e15-46bb-9508-dbac9a41eefe,,18410550000,18710000,1,bc5ed788-84c8-493e-9598-7a15a9f1e4c1,008,34000002008,404114,28b6466b-6fcf-4952-815e-ab2e0cf48ee3,34,п,1900-01-01,0000,,,2020-09-03,000,0000,000,0,,0000,,0
0,f60b109e-f790-44a3-9ee0-e07da0425247,a0c81d1e-6e15-46bb-9508-dbac9a41eefe,6,028,0,0,000,3402800003551,51.0,2013-02-11,Уральский,3454,3454,d77a6727-fe65-42d2-83be-219189a79c6b,,18251812014,18710000,1,b879553e-9487-4b99-b5ef-5d5c35b855cc,035,34028000035,404143,0f9b6891-f03d-4065-b4ad-d3c8718294b7,34,п,1900-01-01,0000,3428,3428,2020-09-03,000,0000,000,0,,0000,,0
0,f60b109e-f790-44a3-9ee0-e07da0425247,d77a6727-fe65-42d2-83be-219189a79c6b,6,000,0,0,002,3400000200802,2.0,1900-01-01,Уральский,3435,3435,0f9b6891-f03d-4065-b4ad-d3c8718294b7,,18410000000,18710000,21,bc5ed788-84c8-493e-9598-7a15a9f1e4c1,008,34000002008,404114,a0c81d1e-6e15-46bb-9508-dbac9a41eefe,34,п,2013-02-11,0000,,,2020-09-03,000,0000,000,0,,0000,,0
1,f60b109e-f790-44a3-9ee0-e07da0425247,679355c4-3323-41b6-95e7-cba2a82f290b,6,000,0,0,002,3400000200899,99.0,2013-02-13,Уральский,3435,3435,,,18410000000,18710000,30,bc5ed788-84c8-493e-9598-7a15a9f1e4c1,008,34000002008,404114,d77a6727-fe65-42d2-83be-219189a79c6b,34,п,2013-02-12,0000,,,2020-09-03,000,0000,000,0,c4d7017c-9c04-4585-b38a-7e74b722f243,0000,,0
1,6d02cd4e-0a46-4f31-87b8-cc19e828b974,6d02cd4e-0a46-4f31-87b8-cc19e828b974,7,000,0,0,003,34000003000028700,0.0,2079-06-06,Авиационная,3453,3453,,,18415000000,18715000001,10,0f9fb687-8d03-41a2-968f-033a2ba44f2f,000,340000030000287,,,34,ул,2020-08-13,0287,,,2020-08-16,000,0000,000,1,,0000,,0
1,411269ca-193c-474c-a5b6-ebb63b6cffeb,411269ca-193c-474c-a5b6-ebb63b6cffeb,65,004,0,0,000,34004000004000700,0.0,2079-06-06,Патвакановка,3455,3455,,,18205805000,18605405101,10,d3710e1b-20bb-4dcb-80ec-bafd625ce626,004,340040000040007,403025,,34,тер.,2020-08-18,0000,,,2020-08-20,000,0000,000,1,,0007,,0
1,47b99405-dd5f-4f35-8ec5-8a29873d0694,47b99405-dd5f-4f35-8ec5-8a29873d0694,7,000,0,0,005,34000005000000200,0.0,2079-06-06,Южная,3457,3457,,,18425000000,18725000001,10,2e5879fc-35c2-4354-816b-f1fce74ece87,000,340000050000002,,,34,ул,2020-08-21,0002,,,2020-08-22,000,0000,000,1,,0000,,0
1,7af41316-354a-4e86-b8e5-de9490c5a58c,7af41316-354a-4e86-b8e5-de9490c5a58c,7,026,0,0,000,34026000013000400,0.0,2079-06-06,Дуслык,3458,3458,,,18249804002,18649404106,10,d1f26e92-cc0d-4f81-84b0-eb7aa0471152,013,340260000130004,,,34,пер,2020-08-20,0004,,,2020-08-22,000,0000,000,1,,0000,,0
1,e25181bc-279e-4b58-8a93-004dbb0e2587,e25181bc-279e-4b58-8a93-004dbb0e2587,7,026,0,0,000,34026000013000500,0.0,2079-06-06,Школьный,3458,3458,,,18249804002,18649404106,10,d1f26e92-cc0d-4f81-84b0-eb7aa0471152,013,340260000130005,,,34,пер,2020-08-20,0005,,,2020-08-22,000,0000,000,1,,0000,,0
1,9295f513-0512-45e0-a8c5-0af8e8e574d1,9295f513-0512-45e0-a8c5-0af8e8e574d1,7,026,0,0,000,34026000013000300,0.0,2079-06-06,Туган Як,3458,3458,,,18249804002,18649404106,10,d1f26e92-cc0d-4f81-84b0-eb7aa0471152,013,340260000130003,,,34,пер,2020-08-20,0003,,,2020-08-22,000,0000,000,1,,0000,,0
1,de96306b-ee83-460a-874d-89a2526af5d0,de96306b-ee83-460a-874d-89a2526af5d0,65,026,0,0,000,34026000025000100,0.0,2079-06-06,Автозаправочная станция,3458,3458,,,18249836001,18649436101,10,1f23cecb-dbde-4cbb-821c-b09ec38a6673,025,340260000250001,,,34,тер,2020-08-21,0000,,,2020-08-22,000,0000,000,1,,0001,,0
1,6bc3aadb-7342-40f1-969c-d3051104970e,6bc3aadb-7342-40f1-969c-d3051104970e,7,026,0,0,000,34026000013000200,0.0,2079-06-06,Яшьлек,3458,3458,,,18249804002,18649404106,10,d1f26e92-cc0d-4f81-84b0-eb7aa0471152,013,340260000130002,,,34,пер,2020-08-20,0002,,,2020-08-22,000,0000,000,1,,0000,,0
1,3199dce7-6aa0-41cf-ae7d-048884bcfb86,3199dce7-6aa0-41cf-ae7d-048884bcfb86,7,026,0,0,000,34026000013000600,0.0,2079-06-06,Зеленый,3458,3458,,,18249804002,18649404106,10,d1f26e92-cc0d-4f81-84b0-eb7aa0471152,013,340260000130006,,,34,пер,2020-08-20,0006,,,2020-08-22,000,0000,000,1,,0000,,0
1,e7da1b42-cca0-4f8d-8111-d15ff0fefcd8,e7da1b42-cca0-4f8d-8111-d15ff0fefcd8,65,028,0,0,000,34028000045000400,0.0,2079-06-06,СПК Молочный дом,3454,3454,,,18251828004,18651408111,10,5dbd9167-eab5-4d64-a533-bba55e8f432a,045,340280000450004,404143,,34,тер.,2020-08-24,0000,,,2020-08-27,000,0000,000,1,,0004,,0
0,f2754876-1276-40b0-b11e-2f5afc926bc9,129439ee-4a2d-477c-98e3-fb7247a5a8bc,7,014,0,0,000,34014000015000101,1.0,2079-06-06,Школьная,3458,3458,07773cac-f01f-4877-8906-38990a59c13e,,18224840001,18624440,1,56c7ca99-81ba-47da-9236-8d5fbb2d3c40,015,340140000150001,404361,,34,ул,1900-01-01,0001,3413,3413,2020-08-27,000,0000,000,0,,0000,,0
0,f2754876-1276-40b0-b11e-2f5afc926bc9,07773cac-f01f-4877-8906-38990a59c13e,7,014,0,0,000,34014000015000102,2.0,2015-10-27,Школьная,3458,3458,b99cf554-2a2e-4774-b79d-293319a4e913,,18224840001,18624440,21,56c7ca99-81ba-47da-9236-8d5fbb2d3c40,015,340140000150001,404361,129439ee-4a2d-477c-98e3-fb7247a5a8bc,34,ул,2013-01-18,0001,3413,3413,2020-08-27,000,0000,000,0,,0000,,0
0,f2754876-1276-40b0-b11e-2f5afc926bc9,b99cf554-2a2e-4774-b79d-293319a4e913,7,014,0,0,000,34014000015000103,3.0,2016-08-26,Школьная,3458,3458,4cfe3fe5-cdbf-4595-9b34-17e8b542572b,,18224840001,18624440101,21,56c7ca99-81ba-47da-9236-8d5fbb2d3c40,015,340140000150001,404361,07773cac-f01f-4877-8906-38990a59c13e,34,ул,2015-10-27,0001,3413,3413,2020-08-27,000,0000,000,0,,0000,,0
0,f2754876-1276-40b0-b11e-2f5afc926bc9,4cfe3fe5-cdbf-4595-9b34-17e8b542572b,7,014,0,0,000,34014000015000100,0.0,2079-06-06,Школьная,3458,3458,18775073-3c94-4046-9e9d-0a9b6f5170b0,,18224840001,18624440101,21,56c7ca99-81ba-47da-9236-8d5fbb2d3c40,015,340140000150001,404361,b99cf554-2a2e-4774-b79d-293319a4e913,34,ул,2016-08-26,0001,,,2020-08-27,000,0000,000,0,,0000,,0
1,f2754876-1276-40b0-b11e-2f5afc926bc9,18775073-3c94-4046-9e9d-0a9b6f5170b0,7,014,0,0,000,34014000015000100,0.0,2079-06-06,Школьная,3458,3458,,,18224840001,18624440101,21,56c7ca99-81ba-47da-9236-8d5fbb2d3c40,015,340140000150001,404361,4cfe3fe5-cdbf-4595-9b34-17e8b542572b,34,ул,2020-08-25,0001,,,2020-08-27,000,0000,000,1,,0000,,0
1,033c8381-c5e3-455a-8a04-a4a74a45cbc2,033c8381-c5e3-455a-8a04-a4a74a45cbc2,65,026,0,0,000,34026000027024300,0.0,2079-06-06,АЗС 171,3458,3458,,,18249840001,18649440101,10,9123ab03-c53a-41c9-9a1d-0b596c196676,027,340260000270243,404186,,34,тер.,2020-08-24,0000,,,2020-08-27,000,0000,000,1,,0243,,0
