ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
0,b93ce476-49b6-4aec-a522-b69e7e509d61,b93ce476-49b6-4aec-a522-b69e7e509d61,7,006,0,0,000,35006000140000700,0.0,2079-06-06,Сосновая,3538,3538,f235d9db-68f4-49dc-b3e2-5ccb85304ad0,,19214828001,19614428126,10,8bbd62d5-4c3f-416e-add8-a6f2318c42e1,140,350060001400007,162393,,35,ул,2011-09-28,0007,3526,3526,2020-08-30,000,0000,000,0,3b0d3ef0-8e86-4852-9029-48ad65a5e2c0,0000,,0
1,b93ce476-49b6-4aec-a522-b69e7e509d61,f235d9db-68f4-49dc-b3e2-5ccb85304ad0,7,006,0,0,000,35006000140000700,0.0,2079-06-06,Сосновая,3538,3538,,,19214828006,19614428126,20,8bbd62d5-4c3f-416e-add8-a6f2318c42e1,140,350060001400007,162393,b93ce476-49b6-4aec-a522-b69e7e509d61,35,ул,2020-08-28,0007,3526,3526,2020-08-30,000,0000,000,1,,0000,,0
1,72fc4592-c1f4-4c97-a297-714b8bccb5e2,72fc4592-c1f4-4c97-a297-714b8bccb5e2,7,001,0,0,000,35001000022003900,0.0,2079-06-06,Вишневый,3529,3529,,,19220864001,19620464101,10,2a6de854-6094-4604-9a91-0fa8ca6c29cc,022,350010000220039,160523,,35,пер,2020-08-27,0039,3507,3507,2020-08-30,000,0000,000,1,,0000,,0
0,3da16026-e86d-4044-a891-8636481b1f2f,3da16026-e86d-4044-a891-8636481b1f2f,65,026,0,0,000,35026006000000151,51.0,2079-06-06,ФГКУ комбинат Балтика Росрезерва,3536,3536,9bcac846-7b45-422b-b3d6-963533ec11e9,,19258828000,19658428,10,6805739a-f5c7-40cd-9066-44e63f7b0b5a,000,350260060000001,162576,,35,тер,2016-10-13,0000,3524,3524,2020-09-03,000,0000,000,0,fd96bec0-016a-4b05-bcfc-3f9e805492db,0027,,0
0,3da16026-e86d-4044-a891-8636481b1f2f,9bcac846-7b45-422b-b3d6-963533ec11e9,65,026,0,0,000,35026006000000151,51.0,2020-05-07,ФГКУ комбинат Балтика Росрезерва,3536,3536,1ae7b4ab-1b95-4fb3-8c6f-5d3fce9027d3,,19258828000,19658428000,20,6805739a-f5c7-40cd-9066-44e63f7b0b5a,000,350260060000001,162576,3da16026-e86d-4044-a891-8636481b1f2f,35,тер,2020-04-29,0000,3524,3524,2020-09-03,000,0000,000,0,,0027,,0
0,3da16026-e86d-4044-a891-8636481b1f2f,1ae7b4ab-1b95-4fb3-8c6f-5d3fce9027d3,65,026,0,0,000,35026006000000151,51.0,2020-08-31,ФГКУ комбинат Балтика Росрезерва,3536,3536,303f1c18-887b-4c3d-a65f-cb1563ccbe01,,19258828000,19658428,50,6805739a-f5c7-40cd-9066-44e63f7b0b5a,000,350260060000001,162576,9bcac846-7b45-422b-b3d6-963533ec11e9,35,тер,2020-05-07,0000,3524,3524,2020-09-03,000,0000,000,0,,0027,,0
1,3da16026-e86d-4044-a891-8636481b1f2f,303f1c18-887b-4c3d-a65f-cb1563ccbe01,65,026,0,0,000,35026000000002700,0.0,2079-06-06,ФГКУ комбинат Балтика Росрезерва,3536,3536,,,19258828000,19658428,50,6805739a-f5c7-40cd-9066-44e63f7b0b5a,000,350260000000027,162576,1ae7b4ab-1b95-4fb3-8c6f-5d3fce9027d3,35,тер,2020-08-31,0000,3524,3524,2020-09-03,000,0000,000,1,,0027,,0
0,0337f83c-a9d0-4115-be7d-c595b41c4ff2,0337f83c-a9d0-4115-be7d-c595b41c4ff2,7,006,0,0,000,35006000140000101,1.0,2020-09-01,Посадский лог,3538,3538,a2a49a35-cdbc-4c87-90be-2e1dd3ca39c4,,19214828001,19614428,10,8bbd62d5-4c3f-416e-add8-a6f2318c42e1,140,350060001400001,162393,,35,ул,2000-01-01,0001,3526,3526,2020-09-03,000,0000,000,0,,0000,,0
0,0337f83c-a9d0-4115-be7d-c595b41c4ff2,a2a49a35-cdbc-4c87-90be-2e1dd3ca39c4,7,006,0,0,000,35006000140000102,2.0,2020-09-01,Посадский лог,3538,3538,1eb42bc5-08f0-485a-a1bd-ea3ca0da7261,,19214828001,19614428126,21,8bbd62d5-4c3f-416e-add8-a6f2318c42e1,140,350060001400001,162393,0337f83c-a9d0-4115-be7d-c595b41c4ff2,35,ул,2016-03-21,0001,3526,3526,2020-09-03,000,0000,000,0,,0000,,0
0,0337f83c-a9d0-4115-be7d-c595b41c4ff2,1eb42bc5-08f0-485a-a1bd-ea3ca0da7261,7,006,0,0,000,35006000140000102,2.0,2020-09-01,Посадский лог,3538,3538,4d4e278d-b848-4142-bbdf-1fb7b18a5bcb,,19214828006,19614428126,20,8bbd62d5-4c3f-416e-add8-a6f2318c42e1,140,350060001400001,162393,a2a49a35-cdbc-4c87-90be-2e1dd3ca39c4,35,ул,2020-08-27,0001,3526,3526,2020-09-03,000,0000,000,0,,0000,,0
