ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
0,671a6c3a-cdd8-4ca0-84eb-0f6f1db6fbef,b1700d09-bd3a-47d9-9b89-33efe490899c,7,030,0,0,000,36030000064000101,1.0,2079-06-06,Солнечная,3629,3629,42a7055d-c38a-4981-b908-2bc1a8a14ca8,,20251880002,20651480,1,ca40b666-39be-49c5-8986-9c47f0b76d34,064,360300000640001,397452,,36,ул,1900-01-01,0001,,,2020-08-30,000,0000,000,0,,0000,,0
0,671a6c3a-cdd8-4ca0-84eb-0f6f1db6fbef,42a7055d-c38a-4981-b908-2bc1a8a14ca8,7,030,0,0,000,36030000064000100,0.0,2079-06-06,Солнечная,3629,3629,e1659456-1d77-4e27-8f9b-19335cb341bd,,20251880002,20651480106,21,ca40b666-39be-49c5-8986-9c47f0b76d34,064,360300000640001,,b1700d09-bd3a-47d9-9b89-33efe490899c,36,ул,2014-01-10,0001,,,2020-08-30,000,0000,000,0,,0000,,0
1,671a6c3a-cdd8-4ca0-84eb-0f6f1db6fbef,e1659456-1d77-4e27-8f9b-19335cb341bd,7,030,0,0,000,36030000064000100,0.0,2079-06-06,Солнечная,3629,3629,,,20251880002,20651480106,21,ca40b666-39be-49c5-8986-9c47f0b76d34,064,360300000640001,397452,42a7055d-c38a-4981-b908-2bc1a8a14ca8,36,ул,2020-08-27,0001,,,2020-08-30,000,0000,000,1,0f61c950-59fd-4b46-90ef-d284648c4bba,0000,,0
0,503bfb4e-e38e-4fcf-8bb8-b7f3fbec5c80,19c9f3ca-b0a8-4584-a24b-3be08b837402,7,030,0,0,000,36030000127000101,1.0,2079-06-06,Центральная,3629,3629,f0168a2f-2bed-4878-bfe7-52e0b4293cfe,,20251880001,20651480,1,a918d6ee-6942-4153-b13c-7bf370253229,127,360300001270001,397454,,36,ул,1900-01-01,0001,,,2020-08-30,000,0000,000,0,,0000,,0
0,503bfb4e-e38e-4fcf-8bb8-b7f3fbec5c80,f0168a2f-2bed-4878-bfe7-52e0b4293cfe,7,030,0,0,000,36030000127000102,2.0,2017-01-01,Центральная,3629,3629,10c13d11-587e-4982-b3f7-102d43772263,,20251880001,20651480101,21,a918d6ee-6942-4153-b13c-7bf370253229,127,360300001270001,397454,19c9f3ca-b0a8-4584-a24b-3be08b837402,36,ул,2014-01-10,0001,,,2020-08-30,000,0000,000,0,,0000,,0
0,503bfb4e-e38e-4fcf-8bb8-b7f3fbec5c80,10c13d11-587e-4982-b3f7-102d43772263,7,030,0,0,000,36030000127000100,0.0,2079-06-06,Центральная,3629,3629,84e55f19-7550-413c-ab32-6c20f11f39f5,,20251880001,20651480104,21,a918d6ee-6942-4153-b13c-7bf370253229,127,360300001270001,,f0168a2f-2bed-4878-bfe7-52e0b4293cfe,36,ул,2017-01-01,0001,,,2020-08-30,000,0000,000,0,,0000,,0
1,503bfb4e-e38e-4fcf-8bb8-b7f3fbec5c80,84e55f19-7550-413c-ab32-6c20f11f39f5,7,030,0,0,000,36030000127000100,0.0,2079-06-06,Центральная,3629,3629,,,20251880001,20651480104,21,a918d6ee-6942-4153-b13c-7bf370253229,127,360300001270001,397454,10c13d11-587e-4982-b3f7-102d43772263,36,ул,2020-08-27,0001,,,2020-08-30,000,0000,000,1,0f61c950-59fd-4b46-90ef-d284648c4bba,0000,,0
0,5a096346-00b7-4d8b-aaa8-1d5a21a42387,737781f3-5932-436e-b3c1-15ae48cb1abf,7,032,0,0,000,36032000041003401,1.0,2079-06-06,Пушкинская,3628,3628,d5e0a4f9-28cc-4072-856f-f192b0aff6bd,,20256860001,20656460,1,25f898d0-1d70-4b20-a5b9-428e15e7bbfc,041,360320000410034,396830,,36,ул,1900-01-01,0034,3631,3631,2020-08-30,000,0000,000,0,,0000,,0
0,5a096346-00b7-4d8b-aaa8-1d5a21a42387,d5e0a4f9-28cc-4072-856f-f192b0aff6bd,7,032,0,0,000,36032000041003402,2.0,2016-03-05,Пушкинская,3628,3628,7fb76b91-256b-4d39-a192-669d6a09a33c,,20256860001,20656460101,21,25f898d0-1d70-4b20-a5b9-428e15e7bbfc,041,360320000410034,396830,737781f3-5932-436e-b3c1-15ae48cb1abf,36,ул,2014-01-10,0034,3631,3631,2020-08-30,000,0000,000,0,,0000,,0
0,5a096346-00b7-4d8b-aaa8-1d5a21a42387,7fb76b91-256b-4d39-a192-669d6a09a33c,7,032,0,0,000,36032000041003403,3.0,2019-11-22,Пушкинская,3628,3628,64f3e00d-d3cc-485f-b17f-77edc68f321b,,20256860001,20656151111,21,25f898d0-1d70-4b20-a5b9-428e15e7bbfc,041,360320000410034,396831,d5e0a4f9-28cc-4072-856f-f192b0aff6bd,36,ул,2016-03-05,0034,3631,3631,2020-08-30,000,0000,000,0,,0000,,0
