ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
0,9a678430-fe15-46bb-8de1-a35c73022b9c,0c502c41-2cb3-470f-9405-803d086f5cad,7,001,0,0,000,38001000437004001,1.0,2079-06-06,Светлая,3827,3827,0c87452e-7d22-4b81-a139-53cacd9f041b,,25212000046,25612440,51,546e7d36-71bd-488c-8c36-b8fa346e6d37,437,380010004370040,664038,9a678430-fe15-46bb-8de1-a35c73022b9c,38,ул,2016-09-29,0040,,,2020-08-30,000,0000,000,0,,0002,,0
0,9a678430-fe15-46bb-8de1-a35c73022b9c,9a678430-fe15-46bb-8de1-a35c73022b9c,91,001,0,0,000,,,2016-09-29,Светлая,3827,3827,0c502c41-2cb3-470f-9405-803d086f5cad,,25212000046,25612440,10,546e7d36-71bd-488c-8c36-b8fa346e6d37,437,,664038,,38,ул,2015-12-28,0000,,,2020-08-30,000,0000,000,0,85058e29-d5c7-4d27-b577-734480a19fc9,0000,,0
0,9a678430-fe15-46bb-8de1-a35c73022b9c,0c87452e-7d22-4b81-a139-53cacd9f041b,7,001,0,0,000,38001000437004051,51.0,2020-08-28,Светлая,3827,3827,43a46aef-f2b9-4367-9bb6-39a6a8003851,,25212000046,25612440101,20,546e7d36-71bd-488c-8c36-b8fa346e6d37,000,380010004370040,664038,0c502c41-2cb3-470f-9405-803d086f5cad,38,ул,2018-04-12,1732,,,2020-08-30,000,0000,000,0,4afb5e84-701d-4bad-9b70-6e8af7df35b1,1716,,0
0,9a678430-fe15-46bb-8de1-a35c73022b9c,43a46aef-f2b9-4367-9bb6-39a6a8003851,7,001,0,0,000,38001000000173200,0.0,2079-06-06,Светлая,3827,3827,d95ea797-61fa-4878-863a-0046404b61e7,,25212000046,25612440101,51,546e7d36-71bd-488c-8c36-b8fa346e6d37,000,380010000001732,664038,0c87452e-7d22-4b81-a139-53cacd9f041b,38,ул,2018-12-20,1732,,,2020-08-30,000,0000,000,0,81eaaf4d-f5fa-4c3e-974a-4b317a516be6,1716,,0
1,9a678430-fe15-46bb-8de1-a35c73022b9c,d95ea797-61fa-4878-863a-0046404b61e7,7,001,0,0,000,38001000000173200,0.0,2079-06-06,Светлая,3827,3827,,,25212000046,25612440,21,546e7d36-71bd-488c-8c36-b8fa346e6d37,000,380010000001732,664038,43a46aef-f2b9-4367-9bb6-39a6a8003851,38,ул,2020-08-28,1732,,,2020-08-30,000,0000,000,1,,1716,,0
0,b250ec29-9bd2-4088-8a7d-b35a35d98885,980d145d-10d2-478f-bb1c-9aaf5b037269,7,129,0,0,000,38129000014001901,1.0,2020-08-27,Гулун-Тумуркая,3849,3849,597dc3e5-20ef-4f30-9111-e859dacb3ad3,,25125932001,25825432,1,5838f9fd-83f5-457b-93c9-e2f4977fdb2c,014,381290000140019,669130,,38,ул,1900-01-01,0019,3845,3845,2020-08-30,000,0000,000,0,,0000,,0
0,b250ec29-9bd2-4088-8a7d-b35a35d98885,597dc3e5-20ef-4f30-9111-e859dacb3ad3,7,129,0,0,000,38129000014001902,2.0,2013-07-19,Гулун-Тумуркая,3849,3849,6522214e-70b3-49a6-98b6-1bd759139a6b,,25125932001,25825432,20,5838f9fd-83f5-457b-93c9-e2f4977fdb2c,014,381290000140019,669130,980d145d-10d2-478f-bb1c-9aaf5b037269,38,ул,2008-11-10,0019,3845,3845,2020-08-30,000,0000,000,0,ebadd84c-a210-48ec-9d0b-8eb1bb85f4df,0000,,0
0,b250ec29-9bd2-4088-8a7d-b35a35d98885,6522214e-70b3-49a6-98b6-1bd759139a6b,7,129,0,0,000,38129000014001903,3.0,2014-02-14,Гулун-Тумуркая,3849,3849,80fa5d12-d8a4-48fe-bb78-13b63df68259,,25125932001,25825432,21,5838f9fd-83f5-457b-93c9-e2f4977fdb2c,014,381290000140019,669130,597dc3e5-20ef-4f30-9111-e859dacb3ad3,38,ул,2013-07-19,0019,,,2020-08-30,000,0000,000,0,ebadd84c-a210-48ec-9d0b-8eb1bb85f4df,0000,,0
0,b250ec29-9bd2-4088-8a7d-b35a35d98885,80fa5d12-d8a4-48fe-bb78-13b63df68259,7,129,0,0,000,38129000014001904,4.0,2015-10-19,Гулун-Тумуркая,3849,3849,4aeca10e-75db-456d-975d-39b172ba17a0,,25125932001,25607432101,21,5838f9fd-83f5-457b-93c9-e2f4977fdb2c,014,381290000140019,669130,6522214e-70b3-49a6-98b6-1bd759139a6b,38,ул,2014-02-14,0019,,,2020-08-30,000,0000,000,0,ebadd84c-a210-48ec-9d0b-8eb1bb85f4df,0000,,0
0,b250ec29-9bd2-4088-8a7d-b35a35d98885,4aeca10e-75db-456d-975d-39b172ba17a0,7,129,0,0,000,38129000014001905,5.0,2020-08-27,Гулун-Тумуркая,3849,3849,69acf450-bf29-4009-95a1-67deaa6d7193,,25207000028,25607432101,21,5838f9fd-83f5-457b-93c9-e2f4977fdb2c,014,381290000140019,669130,80fa5d12-d8a4-48fe-bb78-13b63df68259,38,ул,2015-10-19,0019,,,2020-08-30,000,0000,000,0,,0000,,0
