ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,58c47d33-7dc6-4a52-90ae-1c1ce4320259,58c47d33-7dc6-4a52-90ae-1c1ce4320259,7,004,0,0,000,39004000090001900,0.0,2079-06-06,Калининградская,3917,3917,,,27209813012,27707000346,10,12ad5b2c-d6c1-4d6b-810b-13af15d81387,090,390040000900019,238300,,39,ул,2020-08-27,0019,,,2020-08-30,000,0000,000,1,,0014,,0
1,ba8f5759-4543-4621-9677-b86ebec33eef,ba8f5759-4543-4621-9677-b86ebec33eef,7,004,0,0,000,39004000090003300,0.0,2079-06-06,Лазурная,3917,3917,,,27209813012,27707000346,10,12ad5b2c-d6c1-4d6b-810b-13af15d81387,090,390040000900033,238300,,39,ул,2020-08-27,0033,,,2020-08-30,000,0000,000,1,,0014,,0
1,d3e1fbbd-bce6-4908-8ea8-cd0bb8573b1d,d3e1fbbd-bce6-4908-8ea8-cd0bb8573b1d,7,004,0,0,000,39004000090002100,0.0,2079-06-06,Целинная,3917,3917,,,27209813012,27707000346,10,12ad5b2c-d6c1-4d6b-810b-13af15d81387,090,390040000900021,238300,,39,ул,2020-08-27,0021,,,2020-08-30,000,0000,000,1,,0014,,0
1,e246a35c-ed0c-4454-8aa5-88e85c37e789,e246a35c-ed0c-4454-8aa5-88e85c37e789,7,004,0,0,000,39004000090002200,0.0,2079-06-06,Речная,3917,3917,,,27209813012,27707000346,10,12ad5b2c-d6c1-4d6b-810b-13af15d81387,090,390040000900022,238300,,39,ул,2020-08-27,0022,,,2020-08-30,000,0000,000,1,,0014,,0
1,db7fa1f3-a0d4-4000-99b1-9b1c1bc4e9e1,db7fa1f3-a0d4-4000-99b1-9b1c1bc4e9e1,7,004,0,0,000,39004000090002000,0.0,2079-06-06,Лесной,3917,3917,,,27209813012,27707000346,10,12ad5b2c-d6c1-4d6b-810b-13af15d81387,090,390040000900020,238300,,39,пер,2020-08-27,0020,,,2020-08-30,000,0000,000,1,,0014,,0
1,4a9c0a72-2e9b-4cc6-911d-81b8687e3648,4a9c0a72-2e9b-4cc6-911d-81b8687e3648,7,004,0,0,000,39004000090003000,0.0,2079-06-06,Дружная,3917,3917,,,27209813012,27707000346,10,12ad5b2c-d6c1-4d6b-810b-13af15d81387,090,390040000900030,238300,,39,ул,2020-08-27,0030,,,2020-08-30,000,0000,000,1,,0014,,0
1,f094c186-e259-4159-948d-7d557bed7980,f094c186-e259-4159-948d-7d557bed7980,7,004,0,0,000,39004000090003200,0.0,2079-06-06,Дорожный,3917,3917,,,27209813012,27707000346,10,12ad5b2c-d6c1-4d6b-810b-13af15d81387,090,390040000900032,238300,,39,пер,2020-08-27,0032,,,2020-08-30,000,0000,000,1,,0014,,0
1,dc3b4e01-7f9c-4050-9db5-173b051976d5,dc3b4e01-7f9c-4050-9db5-173b051976d5,7,004,0,0,000,39004000039004300,0.0,2079-06-06,Калининградская,3917,3917,,,27209822007,27707000431,10,9eac9222-6e22-4f42-8b07-c188895f94ad,039,390040000390043,238312,,39,ул,2020-08-27,0043,,,2020-08-30,000,0000,000,1,,0000,,0
1,1209013b-c96c-4961-90a6-403445d74396,1209013b-c96c-4961-90a6-403445d74396,7,004,0,0,000,39004000090002300,0.0,2079-06-06,Гурьевская,3917,3917,,,27209813012,27707000346,10,12ad5b2c-d6c1-4d6b-810b-13af15d81387,090,390040000900023,238300,,39,ул,2020-08-27,0023,,,2020-08-30,000,0000,000,1,,0014,,0
1,605ce425-4ad9-4aaa-9aff-23b3c6019e8f,605ce425-4ad9-4aaa-9aff-23b3c6019e8f,7,004,0,0,000,39004000090002400,0.0,2079-06-06,Васильковская,3917,3917,,,27209813012,27707000346,10,12ad5b2c-d6c1-4d6b-810b-13af15d81387,090,390040000900024,238300,,39,ул,2020-08-27,0024,,,2020-08-30,000,0000,000,1,,0014,,0
1,7653ca0d-4fc5-4c0c-848c-1311ee59e9c4,7653ca0d-4fc5-4c0c-848c-1311ee59e9c4,7,004,0,0,000,39004000090001700,0.0,2079-06-06,Центральная,3917,3917,,,27209813012,27707000346,10,12ad5b2c-d6c1-4d6b-810b-13af15d81387,090,390040000900017,238300,,39,ул,2020-08-27,0017,,,2020-08-30,000,0000,000,1,,0014,,0
1,14530505-dacb-493b-9202-ecbbd16f516d,14530505-dacb-493b-9202-ecbbd16f516d,7,004,0,0,000,39004000090002900,0.0,2079-06-06,Заречный,3917,3917,,,27209813012,27707000346,10,12ad5b2c-d6c1-4d6b-810b-13af15d81387,090,390040000900029,238300,,39,пер,2020-08-27,0029,,,2020-08-30,000,0000,000,1,,0014,,0
1,98b2a4b1-6811-4fa0-ab48-386a7f2f4644,98b2a4b1-6811-4fa0-ab48-386a7f2f4644,7,004,0,0,000,39004000090002600,0.0,2079-06-06,Васильковский,3917,3917,,,27209813012,27707000346,10,12ad5b2c-d6c1-4d6b-810b-13af15d81387,090,390040000900026,238300,,39,пер,2020-08-27,0026,,,2020-08-30,000,0000,000,1,,0014,,0
1,1cc79edb-bf40-4a6e-9215-7758a234e2ce,1cc79edb-bf40-4a6e-9215-7758a234e2ce,7,004,0,0,000,39004000090002800,0.0,2079-06-06,Первомайская,3917,3917,,,27209813012,27707000346,10,12ad5b2c-d6c1-4d6b-810b-13af15d81387,090,390040000900028,238300,,39,ул,2020-08-27,0028,,,2020-08-30,000,0000,000,1,,0014,,0
1,d6ad733e-1b47-41b0-a6e1-9c490070a2a9,d6ad733e-1b47-41b0-a6e1-9c490070a2a9,7,015,0,0,001,39015001000043400,0.0,2079-06-06,Усадебная,3917,3917,,,27405000000,27705000001,10,58eb59d0-c2f7-4415-b966-e65f229466f9,000,390150010000434,238520,,39,ул,2020-08-28,0434,3901,3901,2020-08-30,000,0000,000,1,,0114,,0
1,75cb436b-a5a9-40c5-8ebd-d36cf198fe9b,75cb436b-a5a9-40c5-8ebd-d36cf198fe9b,7,004,0,0,000,39004000090001800,0.0,2079-06-06,Центральный,3917,3917,,,27209813012,27707000346,10,12ad5b2c-d6c1-4d6b-810b-13af15d81387,090,390040000900018,238300,,39,пер,2020-08-27,0018,,,2020-08-30,000,0000,000,1,,0014,,0
1,4b02d8b3-f86f-498d-b791-6b0f3f316288,4b02d8b3-f86f-498d-b791-6b0f3f316288,7,004,0,0,000,39004000090001500,0.0,2079-06-06,Новая,3917,3917,,,27209813012,27707000346,10,12ad5b2c-d6c1-4d6b-810b-13af15d81387,090,390040000900015,238300,,39,ул,2020-08-27,0015,,,2020-08-30,000,0000,000,1,,0014,,0
1,1ca6e721-3928-4cde-851b-211de7e2bf42,1ca6e721-3928-4cde-851b-211de7e2bf42,7,004,0,0,000,39004000090001600,0.0,2079-06-06,Зеленая,3917,3917,,,27209813012,27707000346,10,12ad5b2c-d6c1-4d6b-810b-13af15d81387,090,390040000900016,238300,,39,ул,2020-08-27,0016,,,2020-08-30,000,0000,000,1,,0014,,0
1,9e0b7dbc-5eed-46ee-b92e-4a0f2c6aa185,9e0b7dbc-5eed-46ee-b92e-4a0f2c6aa185,7,004,0,0,000,39004000090003100,0.0,2079-06-06,Дорожная,3917,3917,,,27209813012,27707000346,10,12ad5b2c-d6c1-4d6b-810b-13af15d81387,090,390040000900031,238300,,39,ул,2020-08-27,0031,,,2020-08-30,000,0000,000,1,,0014,,0
1,b777d283-fa45-44a1-9c56-681ae4872cb6,b777d283-fa45-44a1-9c56-681ae4872cb6,7,004,0,0,000,39004000090002700,0.0,2079-06-06,Заречная,3917,3917,,,27209813012,27707000346,10,12ad5b2c-d6c1-4d6b-810b-13af15d81387,090,390040000900027,238300,,39,ул,2020-08-27,0027,,,2020-08-30,000,0000,000,1,,0014,,0
1,a94be418-5618-45ac-9c4c-bdd5c0e8c324,a94be418-5618-45ac-9c4c-bdd5c0e8c324,7,004,0,0,000,39004000090003400,0.0,2079-06-06,Светлая,3917,3917,,,27209813012,27707000346,10,12ad5b2c-d6c1-4d6b-810b-13af15d81387,090,390040000900034,238300,,39,ул,2020-08-27,0034,,,2020-08-30,000,0000,000,1,,0014,,0
1,bfc3ddba-e65c-4fe1-9276-8dc13fedbddf,bfc3ddba-e65c-4fe1-9276-8dc13fedbddf,7,004,0,0,000,39004000090002500,0.0,2079-06-06,Владимировская,3917,3917,,,27209813012,27707000346,10,12ad5b2c-d6c1-4d6b-810b-13af15d81387,090,390040000900025,238300,,39,ул,2020-08-27,0025,,,2020-08-30,000,0000,000,1,,0014,,0
0,7c950611-6686-4aaa-9b7d-99f67b829dd4,7c950611-6686-4aaa-9b7d-99f67b829dd4,91,002,0,0,000,,,2016-09-29,Центральная,3917,3917,f53a9f08-687e-44b4-aa56-02abd0eeb5cc,,27203804007,27603402231,10,b4f0fd35-fb1e-4f3c-8ceb-0378c92540ba,067,,238437,,39,ул,2016-06-29,0000,3915,3915,2020-09-03,000,0000,000,0,8629024c-e46c-4402-9135-0e8a1c88b4cc,0000,,0
0,7c950611-6686-4aaa-9b7d-99f67b829dd4,f53a9f08-687e-44b4-aa56-02abd0eeb5cc,7,002,0,0,000,39002000067001201,1.0,2020-08-31,Центральная,3917,3917,efe19a6a-4447-480d-9106-4e6a485900a2,,27203804007,27603402231,51,b4f0fd35-fb1e-4f3c-8ceb-0378c92540ba,067,390020000670012,238437,7c950611-6686-4aaa-9b7d-99f67b829dd4,39,ул,2016-09-29,0012,3915,3915,2020-09-03,000,0000,000,0,,0007,,0
0,7c950611-6686-4aaa-9b7d-99f67b829dd4,efe19a6a-4447-480d-9106-4e6a485900a2,7,002,0,0,000,39002000067001202,2.0,2018-06-30,Центральная,3917,3917,f997e687-729a-420d-bf26-e3d30c945744,,27203804007,27703000236,21,b4f0fd35-fb1e-4f3c-8ceb-0378c92540ba,067,390020000670012,238437,f53a9f08-687e-44b4-aa56-02abd0eeb5cc,39,ул,2017-02-28,0012,3915,3915,2020-09-03,000,0000,000,0,,0007,,0
0,7c950611-6686-4aaa-9b7d-99f67b829dd4,f997e687-729a-420d-bf26-e3d30c945744,7,002,0,0,000,39002000067001299,99.0,2079-06-06,Центральная,3917,3917,14fea7f7-89c4-4c46-a323-de99ccb0b9cf,,27203804007,27703000236,21,b4f0fd35-fb1e-4f3c-8ceb-0378c92540ba,067,390020000670012,238435,efe19a6a-4447-480d-9106-4e6a485900a2,39,ул,2018-06-30,0012,3915,3915,2020-09-03,000,0000,000,0,6d61dbbb-5856-4b17-8fdb-c42cc93e3898,0007,,0
1,7c950611-6686-4aaa-9b7d-99f67b829dd4,14fea7f7-89c4-4c46-a323-de99ccb0b9cf,7,002,0,0,000,39002000067001299,99.0,2079-06-06,Центральная,3917,3917,,,27203804007,27703000236,30,b4f0fd35-fb1e-4f3c-8ceb-0378c92540ba,067,390020000670012,238435,f997e687-729a-420d-bf26-e3d30c945744,39,ул,2020-08-31,0012,3915,3915,2020-09-03,000,0000,000,0,,0007,,0
1,d9ff4745-e83f-44f0-8e49-c5c99d2c5d35,d9ff4745-e83f-44f0-8e49-c5c99d2c5d35,7,002,0,0,000,39002000087000200,0.0,2079-06-06,Черничная,3917,3917,,,27203819011,27703000466,10,5935d4b8-fb0c-4538-a980-973e5977f839,087,390020000870002,238460,,39,ул,2020-08-31,0002,3915,3915,2020-09-03,000,0000,000,1,,0001,,0
0,4c303e64-64be-47ee-b43e-4fcb647a9462,667635dd-2fbe-45ec-9c7a-e924ed90839e,7,014,0,0,001,39014001000017501,1.0,2020-08-12,Новый Черняховск,3914,3914,20a4859e-f8de-4215-850a-54cb4a9b5226,,27239501000,27735000,1,acde8f61-fd56-4cec-a4df-1f033e2a63ee,000,390140010000175,238151,,39,ст,1900-01-01,0175,,,2020-08-16,000,0000,000,0,,0000,,0
0,4c303e64-64be-47ee-b43e-4fcb647a9462,20a4859e-f8de-4215-850a-54cb4a9b5226,7,014,0,0,001,39014001000017502,2.0,2016-07-05,Новый Черняховск,3914,3914,461a9fab-b4fe-4559-b4fb-64c3f48f6bb5,,27239501000,27639101001,21,acde8f61-fd56-4cec-a4df-1f033e2a63ee,000,390140010000175,238151,667635dd-2fbe-45ec-9c7a-e924ed90839e,39,ст,2015-12-01,0175,,,2020-08-16,000,0000,000,0,ee51660c-5452-425c-916d-208a849416f2,0000,,0
