ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,84b65311-96f2-46ee-b5eb-30e59533fc2f,84b65311-96f2-46ee-b5eb-30e59533fc2f,7,015,0,0,000,40015000067001600,0.0,2079-06-06,Промышленная,4011,4011,,,29223000025,29623420101,10,65fcf94a-44cb-4e4b-8574-1f56f0108261,067,400150000670016,,,40,ул,2020-08-27,0016,,,2020-08-30,000,0000,000,1,,0000,,0
1,8a693e84-7478-48f8-882a-d07c19fddb0f,8a693e84-7478-48f8-882a-d07c19fddb0f,7,015,0,0,000,40015000067001700,0.0,2079-06-06,Степная,4011,4011,,,29223000025,29623420101,10,65fcf94a-44cb-4e4b-8574-1f56f0108261,067,400150000670017,,,40,ул,2020-08-27,0017,,,2020-08-30,000,0000,000,1,,0000,,0
0,26d3b322-c3db-43d3-a518-acb23ae70d97,26d3b322-c3db-43d3-a518-acb23ae70d97,7,004,0,0,000,40004000093000701,1.0,2020-09-01,Живописная,4025,4025,d481953d-298b-4a22-94bd-c55d3cfd182a,,29206808003,29606432,10,2e98e1cc-4a41-4106-8a08-5b686831a17b,093,400040000930007,249009,,40,аллея,2014-12-01,0007,4003,4003,2020-09-03,000,0000,000,0,,0000,,0
0,26d3b322-c3db-43d3-a518-acb23ae70d97,d481953d-298b-4a22-94bd-c55d3cfd182a,7,004,0,0,000,40004000093000702,2.0,2016-04-06,Живописная,4025,4025,ea20738c-7fdf-4c01-a04d-620add4f6738,,29206000053,29606432,21,2e98e1cc-4a41-4106-8a08-5b686831a17b,093,400040000930007,249009,26d3b322-c3db-43d3-a518-acb23ae70d97,40,аллея,2016-01-02,0007,4003,4003,2020-09-03,000,0000,000,0,,0000,,0
0,26d3b322-c3db-43d3-a518-acb23ae70d97,ea20738c-7fdf-4c01-a04d-620add4f6738,7,004,0,0,000,40004000093000703,3.0,2020-09-01,Живописная,4025,4025,34876be0-6c70-42ac-ae85-0979a1ccaa5e,,29206000053,29606432116,21,2e98e1cc-4a41-4106-8a08-5b686831a17b,093,400040000930007,249009,d481953d-298b-4a22-94bd-c55d3cfd182a,40,аллея,2016-04-06,0007,4003,4003,2020-09-03,000,0000,000,0,,0000,,0
1,26d3b322-c3db-43d3-a518-acb23ae70d97,34876be0-6c70-42ac-ae85-0979a1ccaa5e,7,004,0,0,000,40004000093000700,0.0,2079-06-06,Живописная аллея,4025,4025,,,29206000053,29606432116,20,2e98e1cc-4a41-4106-8a08-5b686831a17b,093,400040000930007,249009,ea20738c-7fdf-4c01-a04d-620add4f6738,40,ул,2020-09-01,0007,4003,4003,2020-09-03,000,0000,000,1,,0000,,0
1,fbeb076e-64d7-4a21-b4f5-6bbdec142a0e,fbeb076e-64d7-4a21-b4f5-6bbdec142a0e,7,004,0,0,000,40004000014005300,0.0,2079-06-06,Лесная,4025,4025,,,29206000076,29606432101,10,7c2c3a44-f2a4-4fe1-8c99-a03891ced4fa,014,400040000140053,249018,,40,ул,2020-09-01,0053,4003,4003,2020-09-03,000,0000,000,1,,0037,,0
0,ef015b9b-046e-44b5-b564-c090a76f658c,ef015b9b-046e-44b5-b564-c090a76f658c,65,009,0,0,000,40009000000001001,1.0,2079-06-06,Ясная Поляна,4011,4011,e7d1b1c4-34d0-4d8c-bb35-3b831a33ee63,,29213000110,29613404141,10,5438fbd9-c2f2-4f67-9607-9775c42df7cd,155,400090000000010,249162,,40,тер. СНТ,2018-04-10,0000,,,2020-09-03,000,0000,000,0,1c30009e-5afd-427b-b20b-a5f0dd27ba07,0004,,0
0,ef015b9b-046e-44b5-b564-c090a76f658c,e7d1b1c4-34d0-4d8c-bb35-3b831a33ee63,65,009,0,0,000,40009000000001051,51.0,2020-09-02,Ясная Поляна,4011,4011,9103ae54-74ea-4433-8f2c-fe9fb8c73d23,,29213000107,29613404,20,5438fbd9-c2f2-4f67-9607-9775c42df7cd,155,400090000000010,,ef015b9b-046e-44b5-b564-c090a76f658c,40,тер. СНТ,2018-04-25,0000,,,2020-09-03,000,0000,000,0,1b3fd13a-3867-4283-83f0-0e461d58b5cc,0004,,0
1,ef015b9b-046e-44b5-b564-c090a76f658c,9103ae54-74ea-4433-8f2c-fe9fb8c73d23,65,009,0,0,000,40009000155000400,0.0,2079-06-06,Ясная Поляна,4011,4011,,,29213000110,29613404141,50,5438fbd9-c2f2-4f67-9607-9775c42df7cd,155,400090001550004,,e7d1b1c4-34d0-4d8c-bb35-3b831a33ee63,40,тер. СНТ,2020-09-02,0000,,,2020-09-03,000,0000,000,1,,0004,,0
1,8701bb9d-87bc-4ba9-9da2-4075e00c069c,8701bb9d-87bc-4ba9-9da2-4075e00c069c,7,015,0,0,000,40015000172000200,0.0,2079-06-06,Осенний,4011,4011,,,29223000164,29623432131,10,0914e71a-4d42-4270-84c6-6354cdc3577c,172,400150001720002,,,40,пр-д,2020-08-13,0002,,,2020-08-16,000,0000,000,1,,0000,,0
0,f5bb5ecc-a833-4dd1-bbf3-f3c6bca2c5ec,f5bb5ecc-a833-4dd1-bbf3-f3c6bca2c5ec,7,015,0,0,000,40015000010000601,1.0,2020-08-13,Центральный 1-й,4011,4011,7d9d0427-aa89-4007-903d-78492f9e9bf8,,29223832002,29623432,10,07b8c023-6847-4822-98b6-a6d08b892342,010,400150000100006,249051,,40,проезд,1900-01-01,0006,,,2020-08-16,000,0000,000,0,,0000,,0
0,f5bb5ecc-a833-4dd1-bbf3-f3c6bca2c5ec,7d9d0427-aa89-4007-903d-78492f9e9bf8,7,015,0,0,000,40015000010000602,2.0,2016-01-02,Центральный 1-й,4011,4011,8110e783-c7c3-4398-8df1-19361c2ec9f2,,29223832002,29623432106,21,07b8c023-6847-4822-98b6-a6d08b892342,010,400150000100006,249051,f5bb5ecc-a833-4dd1-bbf3-f3c6bca2c5ec,40,проезд,2014-01-10,0006,,,2020-08-16,000,0000,000,0,,0000,,0
0,f5bb5ecc-a833-4dd1-bbf3-f3c6bca2c5ec,8110e783-c7c3-4398-8df1-19361c2ec9f2,7,015,0,0,000,40015000010000603,3.0,2020-08-13,Центральный 1-й,4011,4011,d50dd500-e186-4152-8108-ea3d1585c1dd,,29223000158,29623432106,21,07b8c023-6847-4822-98b6-a6d08b892342,010,400150000100006,,7d9d0427-aa89-4007-903d-78492f9e9bf8,40,проезд,2016-01-02,0006,,,2020-08-16,000,0000,000,0,,0000,,0
1,f5bb5ecc-a833-4dd1-bbf3-f3c6bca2c5ec,d50dd500-e186-4152-8108-ea3d1585c1dd,7,015,0,0,000,40015000010000600,0.0,2079-06-06,1-й Центральный,4011,4011,,,29223000158,29623432106,20,07b8c023-6847-4822-98b6-a6d08b892342,010,400150000100006,,8110e783-c7c3-4398-8df1-19361c2ec9f2,40,проезд,2020-08-13,0006,,,2020-08-16,000,0000,000,1,,0000,,0
0,7c8137f3-e557-467b-8ac2-9201074b50e2,7c8137f3-e557-467b-8ac2-9201074b50e2,7,015,0,0,000,40015000010000701,1.0,2020-08-13,Центральный 2-й,4011,4011,9ce9ef35-b4d5-4dfc-a5cf-9d292371e1c5,,29223832002,29623432,10,07b8c023-6847-4822-98b6-a6d08b892342,010,400150000100007,249051,,40,проезд,1900-01-01,0007,,,2020-08-16,000,0000,000,0,,0000,,0
0,7c8137f3-e557-467b-8ac2-9201074b50e2,9ce9ef35-b4d5-4dfc-a5cf-9d292371e1c5,7,015,0,0,000,40015000010000702,2.0,2016-01-02,Центральный 2-й,4011,4011,26032ad5-381f-4b21-8ee7-7ea696a2d6c4,,29223832002,29623432106,21,07b8c023-6847-4822-98b6-a6d08b892342,010,400150000100007,249051,7c8137f3-e557-467b-8ac2-9201074b50e2,40,проезд,2014-01-10,0007,,,2020-08-16,000,0000,000,0,,0000,,0
0,7c8137f3-e557-467b-8ac2-9201074b50e2,26032ad5-381f-4b21-8ee7-7ea696a2d6c4,7,015,0,0,000,40015000010000703,3.0,2020-08-13,Центральный 2-й,4011,4011,23c1cf2a-e41f-4b1c-b327-ee84b8427f3f,,29223000158,29623432106,21,07b8c023-6847-4822-98b6-a6d08b892342,010,400150000100007,,9ce9ef35-b4d5-4dfc-a5cf-9d292371e1c5,40,проезд,2016-01-02,0007,,,2020-08-16,000,0000,000,0,,0000,,0
1,7c8137f3-e557-467b-8ac2-9201074b50e2,23c1cf2a-e41f-4b1c-b327-ee84b8427f3f,7,015,0,0,000,40015000010000700,0.0,2079-06-06,2-й Центральный,4011,4011,,,29223000158,29623432106,20,07b8c023-6847-4822-98b6-a6d08b892342,010,400150000100007,,26032ad5-381f-4b21-8ee7-7ea696a2d6c4,40,проезд,2020-08-13,0007,,,2020-08-16,000,0000,000,1,,0000,,0
1,ae27e3a0-7859-42ea-a40b-17e617fea2f8,ae27e3a0-7859-42ea-a40b-17e617fea2f8,7,006,0,0,000,40006000006000500,0.0,2079-06-06,Строительная,4004,4004,,,29208000019,29608410101,10,25485e9f-43d8-4c3a-b159-504a827358bd,006,400060000060005,249841,,40,ул,2020-08-14,0005,,,2020-08-16,000,0000,000,1,,0000,,0
1,e2c4a39a-848e-4c22-9e89-553eca23b5a5,e2c4a39a-848e-4c22-9e89-553eca23b5a5,7,023,0,0,000,40023000013000300,0.0,2079-06-06,Молодежная,4029,4029,,,29244000083,29644428101,10,78a90764-b2a3-48d9-ae38-eb8486ffc176,013,400230000130003,249802,,40,ул,2020-08-18,0003,4020,4020,2020-08-20,000,0000,000,1,,0000,,0
