ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
0,b75d21b6-2c54-4000-a443-78e192c77e06,b75d21b6-2c54-4000-a443-78e192c77e06,7,001,0,0,000,42001000011002651,51.0,2079-06-06,8-я,4250,4250,d11d0fb1-e73e-4640-b88e-d38f3e342f93,,32207826003,32607426111,10,9098e993-d176-4b1b-b131-469354f9e0c3,011,420010000110026,,,42,ал.,2018-12-13,0039,,,2020-09-03,000,0000,000,0,fb14a291-01a9-4a8b-aca2-376e249d594e,0033,,0
0,b75d21b6-2c54-4000-a443-78e192c77e06,d11d0fb1-e73e-4640-b88e-d38f3e342f93,7,001,0,0,000,42001000000039751,51.0,2020-09-02,8-я,4250,4250,37e616c0-6377-444f-b459-4005c6aca636,,32207826003,32607426111,51,9098e993-d176-4b1b-b131-469354f9e0c3,000,420010000000397,,b75d21b6-2c54-4000-a443-78e192c77e06,42,ал.,2019-02-07,0397,,,2020-09-03,000,0000,000,0,c2ebae0f-8ec4-404f-a260-bb8ba03b53d1,0391,,0
0,b75d21b6-2c54-4000-a443-78e192c77e06,37e616c0-6377-444f-b459-4005c6aca636,7,001,0,0,000,42001000000039751,51.0,2079-06-06,8-я,4250,4250,337b3cb0-0e70-4c6b-a904-dc5b47769c55,,32207826003,32507000126,21,9098e993-d176-4b1b-b131-469354f9e0c3,011,420010000000397,,d11d0fb1-e73e-4640-b88e-d38f3e342f93,42,ал.,2020-03-28,0039,,,2020-09-03,000,0000,000,0,,0033,,0
1,b75d21b6-2c54-4000-a443-78e192c77e06,337b3cb0-0e70-4c6b-a904-dc5b47769c55,7,001,0,0,000,42001000011003900,0.0,2079-06-06,8-я,4250,4250,,,32207826003,32507000126,50,9098e993-d176-4b1b-b131-469354f9e0c3,011,420010000110039,,37e616c0-6377-444f-b459-4005c6aca636,42,ал.,2020-09-02,0039,,,2020-09-03,000,0000,000,1,,0033,,0
0,408b0f82-c3ba-4722-a4dc-c2942b69e5ba,408b0f82-c3ba-4722-a4dc-c2942b69e5ba,7,001,0,0,000,42001000011003151,51.0,2079-06-06,2-я,4250,4250,f4063e42-3832-43a5-a76b-409aae4171c0,,32207826003,32607426111,10,9098e993-d176-4b1b-b131-469354f9e0c3,011,420010000110031,,,42,ал.,2018-12-13,0038,,,2020-09-03,000,0000,000,0,fb14a291-01a9-4a8b-aca2-376e249d594e,0033,,0
0,408b0f82-c3ba-4722-a4dc-c2942b69e5ba,f4063e42-3832-43a5-a76b-409aae4171c0,7,001,0,0,000,42001000000040251,51.0,2020-09-02,2-я,4250,4250,8b27d07a-5044-4a19-b701-30a8215c04b9,,32207826003,32607426111,51,9098e993-d176-4b1b-b131-469354f9e0c3,000,420010000000402,,408b0f82-c3ba-4722-a4dc-c2942b69e5ba,42,ал.,2019-02-07,0402,,,2020-09-03,000,0000,000,0,c2ebae0f-8ec4-404f-a260-bb8ba03b53d1,0391,,0
0,408b0f82-c3ba-4722-a4dc-c2942b69e5ba,8b27d07a-5044-4a19-b701-30a8215c04b9,7,001,0,0,000,42001000000040251,51.0,2079-06-06,2-я,4250,4250,474a20ba-959e-4743-9f6d-c3b68ce9b920,,32207826003,32507000126,21,9098e993-d176-4b1b-b131-469354f9e0c3,011,420010000000402,,f4063e42-3832-43a5-a76b-409aae4171c0,42,ал.,2020-03-28,0038,,,2020-09-03,000,0000,000,0,,0033,,0
1,408b0f82-c3ba-4722-a4dc-c2942b69e5ba,474a20ba-959e-4743-9f6d-c3b68ce9b920,7,001,0,0,000,42001000011003800,0.0,2079-06-06,2-я,4250,4250,,,32207826003,32507000126,50,9098e993-d176-4b1b-b131-469354f9e0c3,011,420010000110038,,8b27d07a-5044-4a19-b701-30a8215c04b9,42,ал.,2020-09-02,0038,,,2020-09-03,000,0000,000,1,,0033,,0
0,14f8f7ec-4af0-4606-ac1c-4203d7b61267,35ec2baf-d2d1-478f-8b8b-d5e5ac362e9e,7,001,0,0,000,42001000044000401,1.0,2018-12-07,СНТ Наука,4250,4250,9e1326d7-e2c1-4e20-8aff-b761d56ae168,,32207826007,32607426,1,058ff372-e255-4a01-9f05-8c9bb1158cf1,044,420010000440004,650516,,42,сад,1900-01-01,0000,,,2020-09-03,000,0000,000,0,,0012,,0
0,14f8f7ec-4af0-4606-ac1c-4203d7b61267,9e1326d7-e2c1-4e20-8aff-b761d56ae168,7,001,0,0,000,42001000044000451,51.0,2019-01-29,СНТ Наука,4250,4250,597e77fa-1f63-4a00-a7af-b80ed18dd5f2,,32207826007,32607426126,21,058ff372-e255-4a01-9f05-8c9bb1158cf1,044,420010000440004,650516,35ec2baf-d2d1-478f-8b8b-d5e5ac362e9e,42,сад,2014-01-05,0000,,,2020-09-03,000,0000,000,0,,0012,,0
