ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
0,4d264eb4-a0ad-416f-8a95-43e8a076c0ad,7cd201f7-c20a-4401-b64c-2b0d9814ea6b,7,013,0,0,000,43013000073001101,1.0,2020-08-28,сдт Исуповское(д.Исуповская),4312,4312,8af8c3b0-e3e2-48fc-88e1-eece2669c76e,,33218828010,33618428,1,4c085ad8-7f47-4a13-900b-31bb38b9e04a,000,430130000730011,613016,,43,тер,1900-01-01,0000,,,2020-08-30,000,0000,000,0,,0139,,0
0,4d264eb4-a0ad-416f-8a95-43e8a076c0ad,8af8c3b0-e3e2-48fc-88e1-eece2669c76e,7,013,0,0,000,43013000073001151,51.0,2020-08-28,сдт Исуповское(д.Исуповская),4312,4312,55d1133f-fe9b-4ee7-95cc-ea11f0cee1bf,,33218828010,33618428146,21,4c085ad8-7f47-4a13-900b-31bb38b9e04a,000,430130000730011,613016,7cd201f7-c20a-4401-b64c-2b0d9814ea6b,43,тер,2014-01-05,0000,,,2020-08-30,000,0000,000,0,,0139,,0
1,4d264eb4-a0ad-416f-8a95-43e8a076c0ad,55d1133f-fe9b-4ee7-95cc-ea11f0cee1bf,65,013,0,0,000,43013000000013900,0.0,2079-06-06,сдт Исуповское(д.Исуповская),4312,4312,,,33218828000,33618428,50,4c085ad8-7f47-4a13-900b-31bb38b9e04a,000,430130000000139,613016,8af8c3b0-e3e2-48fc-88e1-eece2669c76e,43,тер,2020-08-28,0000,,,2020-08-30,000,0000,000,1,,0139,,0
1,850b372f-304b-4c76-94f3-17d63e4bd315,850b372f-304b-4c76-94f3-17d63e4bd315,7,031,0,0,000,43031000054001400,0.0,2079-06-06,Спортивная,4329,4329,,,33235852007,33635452131,10,dfac194d-f6c9-4c8d-abaa-26604d6346d2,054,430310000540014,,,43,ул,2020-09-02,0014,,,2020-09-03,000,0000,000,1,,0000,,0
1,e37769d7-062f-4197-9c0b-1e7c37a912da,e37769d7-062f-4197-9c0b-1e7c37a912da,7,038,0,0,000,43038000001000600,0.0,2079-06-06,Горная,4313,4313,,,33247551000,33647151051,10,d6e3f7c9-a55b-4e46-994c-af05c1e8a70e,001,430380000010006,612020,,43,ул,2020-09-01,0006,4337,4337,2020-09-03,000,0000,000,1,,0000,,0
1,1b7c5f55-f392-44d3-8e88-000a2a6a4793,1b7c5f55-f392-44d3-8e88-000a2a6a4793,7,031,0,0,000,43031000054001500,0.0,2079-06-06,Охотничья,4329,4329,,,33235852007,33635452131,10,dfac194d-f6c9-4c8d-abaa-26604d6346d2,054,430310000540015,,,43,ул,2020-09-02,0015,,,2020-09-03,000,0000,000,1,,0000,,0
1,444bf7c2-fbfb-4af8-907c-f81f4d9e9984,444bf7c2-fbfb-4af8-907c-f81f4d9e9984,7,000,0,0,001,43000001000029600,0.0,2079-06-06,Чайкиной/Гастелло,4345,4345,,,33401000000,33701000001,10,452a2ddf-88a1-4e35-8d8d-8635493768d4,000,430000010000296,,,43,ул,2020-08-31,0296,,,2020-09-03,000,0000,000,1,,0000,,0
1,ead16951-7b4c-402a-aba4-fc70d6a60eca,ead16951-7b4c-402a-aba4-fc70d6a60eca,7,031,0,0,000,43031000054001200,0.0,2079-06-06,Каштановая,4329,4329,,,33235852007,33635452131,10,dfac194d-f6c9-4c8d-abaa-26604d6346d2,054,430310000540012,,,43,ул,2020-09-02,0012,,,2020-09-03,000,0000,000,1,,0000,,0
1,096cdbf0-404a-4ba3-a35f-537afe3c7a9a,096cdbf0-404a-4ba3-a35f-537afe3c7a9a,7,031,0,0,000,43031000054001300,0.0,2079-06-06,Семейная,4329,4329,,,33235852007,33635452131,10,dfac194d-f6c9-4c8d-abaa-26604d6346d2,054,430310000540013,,,43,ул,2020-09-02,0013,,,2020-09-03,000,0000,000,1,,0000,,0
0,831a3cd7-5de5-43ba-9dd4-d62f81950e72,0c15180e-1b85-43d1-a575-4b27c7dc1691,7,000,0,0,001,43000001000189151,51.0,2020-09-01,сдт Малинка (Перв),4345,4345,ca8810b1-8b05-4b01-9ce9-ee1f6d5223f1,,33401000000,33701000001,1,452a2ddf-88a1-4e35-8d8d-8635493768d4,000,430000010001891,610040,,43,тер,1900-01-01,1891,,,2020-09-03,000,0000,000,0,,0000,,0
1,831a3cd7-5de5-43ba-9dd4-d62f81950e72,ca8810b1-8b05-4b01-9ce9-ee1f6d5223f1,65,000,0,0,001,43000001000030700,0.0,2079-06-06,сдт Малинка (Перв),4345,4345,,,33401000000,33701000001,20,452a2ddf-88a1-4e35-8d8d-8635493768d4,000,430000010000307,610040,0c15180e-1b85-43d1-a575-4b27c7dc1691,43,тер,2020-09-01,0000,,,2020-09-03,000,0000,000,1,,0307,,0
1,51b2d0e5-4328-46bb-bd89-be7544e86a17,51b2d0e5-4328-46bb-bd89-be7544e86a17,7,031,0,0,000,43031000054001100,0.0,2079-06-06,Ангарская,4329,4329,,,33235852007,33635452131,10,dfac194d-f6c9-4c8d-abaa-26604d6346d2,054,430310000540011,,,43,ул,2020-09-02,0011,,,2020-09-03,000,0000,000,1,,0000,,0
1,126e2fb4-bfeb-4f44-ac67-9b99b3eb8676,126e2fb4-bfeb-4f44-ac67-9b99b3eb8676,7,000,0,0,001,43000001000026200,0.0,2079-06-06,Березниковская/пер. Филейский,4345,4345,,,33401000000,33701000001,10,452a2ddf-88a1-4e35-8d8d-8635493768d4,000,430000010000262,,,43,ул,2020-08-31,0262,,,2020-09-03,000,0000,000,1,,0000,,0
1,baa7f983-a87f-4ba1-98c3-2f76fcb924f9,baa7f983-a87f-4ba1-98c3-2f76fcb924f9,7,031,0,0,000,43031000054001600,0.0,2079-06-06,Первомайский,4329,4329,,,33235852007,33635452131,10,dfac194d-f6c9-4c8d-abaa-26604d6346d2,054,430310000540016,,,43,пер,2020-09-02,0016,,,2020-09-03,000,0000,000,1,,0000,,0
1,3fca4d9d-948c-41d8-9c62-494a3ff6be3a,3fca4d9d-948c-41d8-9c62-494a3ff6be3a,7,000,0,0,001,43000001000030300,0.0,2079-06-06,2-й Опытный/ул. Нагорная,4345,4345,,,33401000000,33701000001,10,452a2ddf-88a1-4e35-8d8d-8635493768d4,000,430000010000303,,,43,пер,2020-09-01,0303,,,2020-09-03,000,0000,000,1,,0000,,0
