ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
0,c2b7b4e4-5b97-40cf-9f27-442c6276090f,cc2534cf-ff7d-4e30-9083-982d5f87f581,7,024,0,0,001,44024001000007901,1,2015-10-21,Куйбышевский М.,4436,4436,a9f0db6f-b861-4dfb-ad6d-524ad2a1ac76,,34430000000,34730000,1,c78b9b9e-ace7-46d0-9f6f-c259d7f65e4f,000,440240010000079,157504,,44,пер,1900-01-01,0079,4407,4407,2020-09-03,000,0000,000,0,,0000,,0
0,c2b7b4e4-5b97-40cf-9f27-442c6276090f,a9f0db6f-b861-4dfb-ad6d-524ad2a1ac76,7,024,0,0,001,44024001000007902,2,2020-09-02,2-й Куйбышева,4436,4436,f984c238-5fef-4ca4-8190-8ee206fbf80e,,34430000000,34730000,20,c78b9b9e-ace7-46d0-9f6f-c259d7f65e4f,000,440240010000079,157504,cc2534cf-ff7d-4e30-9083-982d5f87f581,44,пер,2015-10-21,0079,4407,4407,2020-09-03,000,0000,000,0,b8523ad5-51ce-474b-b32a-7e564f449e49,0000,,0
0,c2b7b4e4-5b97-40cf-9f27-442c6276090f,f984c238-5fef-4ca4-8190-8ee206fbf80e,7,024,0,0,001,44024001000007903,3,2020-09-02,2-й Куйбышева,4436,4436,073066d5-b90f-4721-959b-09be0c530382,,34430000000,34730000001,21,c78b9b9e-ace7-46d0-9f6f-c259d7f65e4f,000,440240010000079,157504,a9f0db6f-b861-4dfb-ad6d-524ad2a1ac76,44,пер,2019-12-17,0079,4407,4407,2020-09-03,000,0000,000,0,c2fd4582-995f-420b-a8e3-71cfec8f167d,0000,,0
1,c2b7b4e4-5b97-40cf-9f27-442c6276090f,073066d5-b90f-4721-959b-09be0c530382,7,024,0,0,001,44024001000007900,0,2079-06-06,Малый Куйбышевский,4436,4436,,,34430000000,34730000001,20,c78b9b9e-ace7-46d0-9f6f-c259d7f65e4f,000,440240010000079,157504,f984c238-5fef-4ca4-8190-8ee206fbf80e,44,пер,2020-09-02,0079,4407,4407,2020-09-03,000,0000,000,1,,0000,,0
1,2599cf2d-72cf-4b99-a0d6-c18f3787096f,2599cf2d-72cf-4b99-a0d6-c18f3787096f,65,013,0,0,000,44013000000001800,0,2079-06-06,ур. Сахареж,4437,4437,,,34226800000,34626450,10,d7649651-6056-40e1-b5af-8827cadbb081,000,440130000000018,,,44,тер,2020-08-19,0000,4405,4405,2020-08-20,000,0000,000,1,,0018,,0
1,c0d7b8e1-c402-4a38-9f2a-356400931db4,c0d7b8e1-c402-4a38-9f2a-356400931db4,7,003,0,0,000,44003000203000100,0,2079-06-06,Производственное,4437,4437,,,34204866222,34604466766,10,7069b14a-a840-493c-a66c-1f5faec4066a,203,440030002030001,157020,,44,м,2020-08-20,0001,4409,4409,2020-08-22,000,0000,000,1,,0000,,0
0,3ce9dd38-cc47-40f0-a3a6-06e76664ec49,950b678f-e6dc-450b-86bc-685542a64dc1,6,024,0,0,000,4402400002101,1,2079-06-06,Боровской,4436,4436,31e3c010-9a5a-40a6-bb5d-786ad16fcaa1,,34248856005,34648456,1,a031240c-d73d-4c40-b839-fd880d6a777c,021,44024000021,157512,,44,п,1900-01-01,0000,4430,4430,2020-08-27,000,0000,000,0,,0000,,0
0,3ce9dd38-cc47-40f0-a3a6-06e76664ec49,31e3c010-9a5a-40a6-bb5d-786ad16fcaa1,6,024,0,0,000,4402400002102,2,2019-12-26,Боровской,4436,4436,f724082e-5369-4d8e-9771-9c5ab086e50e,,34248856005,34648456121,21,a031240c-d73d-4c40-b839-fd880d6a777c,021,44024000021,157512,950b678f-e6dc-450b-86bc-685542a64dc1,44,п,2014-01-05,0000,4430,4430,2020-08-27,000,0000,000,0,,0000,,0
0,3ce9dd38-cc47-40f0-a3a6-06e76664ec49,f724082e-5369-4d8e-9771-9c5ab086e50e,6,024,0,0,000,4402400002100,0,2020-05-15,Боровской,4436,4436,b03e23d3-cea3-40c4-a76d-8dbea811f9d9,,34248856005,34638412101,21,a031240c-d73d-4c40-b839-fd880d6a777c,021,44024000021,157512,31e3c010-9a5a-40a6-bb5d-786ad16fcaa1,44,п,2019-12-26,0000,4430,4430,2020-08-27,000,0000,000,0,86eebd43-cb7f-49e7-97dd-f0d0adc18125,0000,,0
0,3ce9dd38-cc47-40f0-a3a6-06e76664ec49,b03e23d3-cea3-40c4-a76d-8dbea811f9d9,6,024,0,0,000,4402400002100,0,2079-06-06,Боровской,4436,4436,7f62d64c-5165-475b-aa2e-2b24a73a741b,,34248856005,34648456121,21,a031240c-d73d-4c40-b839-fd880d6a777c,021,44024000021,157512,f724082e-5369-4d8e-9771-9c5ab086e50e,44,п,2020-05-15,0000,4430,4430,2020-08-27,000,0000,000,0,86eebd43-cb7f-49e7-97dd-f0d0adc18125,0000,,0
1,3ce9dd38-cc47-40f0-a3a6-06e76664ec49,7f62d64c-5165-475b-aa2e-2b24a73a741b,6,024,0,0,000,4402400002100,0,2079-06-06,Боровской,4436,4436,,,34248856005,34648456121,50,a031240c-d73d-4c40-b839-fd880d6a777c,021,44024000021,157512,b03e23d3-cea3-40c4-a76d-8dbea811f9d9,44,п,2020-08-26,0000,4430,4430,2020-08-27,000,0000,000,1,,0000,,0
