ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,26e79e87-3746-48bf-a5fa-e1433eff7a1a,3ec166c6-fa71-468a-9dc2-507dcd559baf,7,000,0,0,001,45000001000021700,0.0,2079-06-06,Парижской Коммуны,4501,4501,,,37401000000,37701000001,20,3bbda77d-ba3f-4457-9d44-c440815cda89,000,450000010000217,640015,43d547e0-6645-4d7c-b192-cde8af156c68,45,ул,2020-08-27,0217,,,2020-08-30,000,0000,000,1,,0000,,0
0,26e79e87-3746-48bf-a5fa-e1433eff7a1a,43d547e0-6645-4d7c-b192-cde8af156c68,7,000,0,0,001,45000001000021700,0.0,2079-06-06,Парижской Коммуны,4501,4501,3ec166c6-fa71-468a-9dc2-507dcd559baf,,37401000000,37701000,1,3bbda77d-ba3f-4457-9d44-c440815cda89,000,450000010000217,640015,,45,ул,1900-01-01,0217,,,2020-08-30,000,0000,000,0,,0000,,0
0,c9c459f9-4f50-4653-a977-592582ed7b41,c9c459f9-4f50-4653-a977-592582ed7b41,90,009,0,0,000,45009000000005451,51.0,2016-09-29,Коллективный сад Содружество,4510,4510,76afd272-45f3-48bd-b585-0f570125250b,,37214840000,37614440126,10,b4ee11d9-870b-4e92-bfc0-ac8c47d23cb6,000,450090000000054,641303,,45,тер,2012-12-17,0000,,,2020-08-30,000,0000,000,0,701a751e-b02a-403c-88ba-485d2e866d6f,0000,,0
0,c9c459f9-4f50-4653-a977-592582ed7b41,76afd272-45f3-48bd-b585-0f570125250b,65,009,0,0,000,45009000000005401,1.0,2020-08-27,Коллективный сад Содружество,4510,4510,0035429c-f8d9-436d-9872-d600441603b4,,37214840000,37614440126,50,b4ee11d9-870b-4e92-bfc0-ac8c47d23cb6,000,450090000000054,641303,c9c459f9-4f50-4653-a977-592582ed7b41,45,тер,2016-09-29,0000,,,2020-08-30,000,0000,000,0,,0054,,0
1,c9c459f9-4f50-4653-a977-592582ed7b41,0035429c-f8d9-436d-9872-d600441603b4,65,009,0,0,000,45009000000005400,0.0,2079-06-06,СНТ Содружество,4510,4510,,,37214840000,37614440,20,b4ee11d9-870b-4e92-bfc0-ac8c47d23cb6,000,450090000000054,641303,76afd272-45f3-48bd-b585-0f570125250b,45,тер,2020-08-27,0000,,,2020-08-30,000,0000,000,1,,0054,,0
1,4fd277c2-62df-4b45-bb9d-6beb148108b8,da13c64f-c18c-4ebc-a20d-f46e2ba6da25,7,000,0,0,001,45000001000028500,0.0,2079-06-06,Тельмана,4501,4501,,,37401000000,37701000001,20,3bbda77d-ba3f-4457-9d44-c440815cda89,000,450000010000285,,3be628ee-60a5-4d3c-be16-0065d3bb090a,45,ул,2020-08-20,0285,,,2020-08-22,000,0000,000,1,,0000,,0
0,e63cd094-4426-4217-89d3-d8b04dce490c,e63cd094-4426-4217-89d3-d8b04dce490c,7,000,0,0,001,45000001008007951,51.0,2079-06-06,Армейская,4501,4501,1b187fa0-2d70-4126-9195-72763a02ddc1,,37401000000,37701000,10,cab11b43-5052-4bec-b26c-ca279f4dd9c6,008,450000010080079,640040,,45,ул,2015-11-09,0079,,,2020-08-22,000,0000,000,0,c3f4b959-6372-42be-909e-06492751a7f9,0000,,0
1,509147ed-1302-422b-b8c7-57456c1dcd77,509147ed-1302-422b-b8c7-57456c1dcd77,7,022,0,0,000,45022000025001900,0.0,2079-06-06,22 - ой,4508,4508,,,37240836001,37640436,10,29c90536-e793-4ebf-923a-6f96ac7ec77a,025,450220000250019,,,45,км,2020-08-19,0019,,,2020-08-20,000,0000,000,1,,0018,,0
1,29c90536-e793-4ebf-923a-6f96ac7ec77a,29c90536-e793-4ebf-923a-6f96ac7ec77a,65,022,0,0,000,45022000025001800,0.0,2079-06-06,Автодорога Дальняя Кубасова - Кызылбай,4508,4508,,,37240836001,37640436,10,c8b0a50e-9864-4320-99ad-e1b6d153f011,025,450220000250018,,,45,тер.,2020-08-18,0000,,,2020-08-20,000,0000,000,1,,0018,,0
0,ee1590b9-7d36-4c43-9641-53defef5ccbb,22e9ce1f-9e95-4346-9480-b5f6213010fa,7,022,0,0,000,45022000025001101,1.0,2020-08-18,И.Фасук,4508,4508,d03bf7a6-1e9d-4c45-9163-7e050f6fa081,,37240836001,37640436,1,c8b0a50e-9864-4320-99ad-e1b6d153f011,025,450220000250011,641975,,45,пер,1900-01-01,0011,4523,4523,2020-08-20,000,0000,000,0,,0000,,0
