ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,43800948-4ac9-4c50-9b78-fed37705a7f8,43800948-4ac9-4c50-9b78-fed37705a7f8,7,029,0,0,000,46029000111008300,0.0,2079-06-06,Промышленная,4611,4611,,,38220836001,38620436101,10,9cfe8c11-2310-430b-bc7c-b53b5e4591ce,111,460290001110083,,,46,ул,2020-09-01,0083,,,2020-09-03,000,0000,000,1,,0000,,0
1,6a01b77e-5393-4abe-9cf4-9c4c22f842c0,6a01b77e-5393-4abe-9cf4-9c4c22f842c0,7,017,0,0,000,46017000088000900,0.0,2079-06-06,Сиреневая,4611,4611,,,38228836005,38628436116,10,e00b7bd5-90b9-4a03-beda-c600c5c2772c,088,460170000880009,307200,,46,ул,2020-08-13,0009,4617,4617,2020-08-16,000,0000,000,1,,0000,,0
1,3117a5c6-84c4-4115-9875-4790d32f2f21,3117a5c6-84c4-4115-9875-4790d32f2f21,7,017,0,0,000,46017000088000500,0.0,2079-06-06,Тенистая,4611,4611,,,38228836005,38628436116,10,e00b7bd5-90b9-4a03-beda-c600c5c2772c,088,460170000880005,307200,,46,ул,2020-08-13,0005,4617,4617,2020-08-16,000,0000,000,1,,0000,,0
1,6b27d70d-36a0-4383-b95e-e36a1190a354,6b27d70d-36a0-4383-b95e-e36a1190a354,7,017,0,0,000,46017000088001100,0.0,2079-06-06,Радужная,4611,4611,,,38228836005,38628436116,10,e00b7bd5-90b9-4a03-beda-c600c5c2772c,088,460170000880011,307200,,46,ул,2020-08-13,0011,4617,4617,2020-08-16,000,0000,000,1,,0000,,0
1,51bd6d61-a55e-48fb-83d4-69321687fd2e,51bd6d61-a55e-48fb-83d4-69321687fd2e,7,017,0,0,000,46017000088001300,0.0,2079-06-06,Барский Луг,4611,4611,,,38228836005,38628436116,10,e00b7bd5-90b9-4a03-beda-c600c5c2772c,088,460170000880013,307200,,46,ул,2020-08-13,0013,4617,4617,2020-08-16,000,0000,000,1,,0000,,0
1,92988534-a9e9-45b5-8b45-8c325d4bf9ea,92988534-a9e9-45b5-8b45-8c325d4bf9ea,7,017,0,0,000,46017000088000600,0.0,2079-06-06,Кировская,4611,4611,,,38228836005,38628436116,10,e00b7bd5-90b9-4a03-beda-c600c5c2772c,088,460170000880006,307200,,46,ул,2020-08-13,0006,4617,4617,2020-08-16,000,0000,000,1,,0000,,0
1,8829649c-3ab4-49a7-b9af-bcb99e73316d,8829649c-3ab4-49a7-b9af-bcb99e73316d,7,017,0,0,000,46017000088000700,0.0,2079-06-06,Чистых Рос,4611,4611,,,38228836005,38628436116,10,e00b7bd5-90b9-4a03-beda-c600c5c2772c,088,460170000880007,307200,,46,ул,2020-08-13,0007,4617,4617,2020-08-16,000,0000,000,1,,0000,,0
1,e1fe393a-2926-4a40-8a48-bb9545a0114e,e1fe393a-2926-4a40-8a48-bb9545a0114e,7,017,0,0,000,46017000088001200,0.0,2079-06-06,Звездная,4611,4611,,,38228836005,38628436116,10,e00b7bd5-90b9-4a03-beda-c600c5c2772c,088,460170000880012,307200,,46,ул,2020-08-13,0012,4617,4617,2020-08-16,000,0000,000,1,,0000,,0
1,3e6fb137-5a6b-49c4-83fd-13a9f9051edd,3e6fb137-5a6b-49c4-83fd-13a9f9051edd,7,017,0,0,000,46017000088001500,0.0,2079-06-06,Цветочная,4611,4611,,,38228836005,38628436116,10,e00b7bd5-90b9-4a03-beda-c600c5c2772c,088,460170000880015,307200,,46,ул,2020-08-13,0015,4617,4617,2020-08-16,000,0000,000,1,,0000,,0
1,40e7fa6c-54ef-420b-a9fd-3fa2b8d90b82,40e7fa6c-54ef-420b-a9fd-3fa2b8d90b82,7,017,0,0,000,46017000088000400,0.0,2079-06-06,Лазурная,4611,4611,,,38228836005,38628436116,10,e00b7bd5-90b9-4a03-beda-c600c5c2772c,088,460170000880004,307200,,46,ул,2020-08-13,0004,4617,4617,2020-08-16,000,0000,000,1,,0000,,0
1,6998b2d6-8648-4a3e-a21e-59e7406cc64e,6998b2d6-8648-4a3e-a21e-59e7406cc64e,7,017,0,0,000,46017000088001400,0.0,2079-06-06,Родниковая,4611,4611,,,38228836005,38628436116,10,e00b7bd5-90b9-4a03-beda-c600c5c2772c,088,460170000880014,307200,,46,ул,2020-08-13,0014,4617,4617,2020-08-16,000,0000,000,1,,0000,,0
