ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
0,e43afd7a-3fda-4ef9-9ce8-cb9add29ed30,1428de68-a2dc-48d9-a461-9a6ad17ed45b,7,005,0,0,075,47005075003000901,1.0,2079-06-06,1-я,4703,4703,5b6472fe-f19d-4a28-8602-d46b59cbcba0,,41212808001,41612408,1,5b1cdc7c-6d22-4cfd-b60b-9038df103ad9,003,470050750030009,188640,,47,линия,1900-01-01,0009,,,2020-08-30,000,0000,000,0,,0000,,0
0,e43afd7a-3fda-4ef9-9ce8-cb9add29ed30,5b6472fe-f19d-4a28-8602-d46b59cbcba0,7,005,0,0,000,47005075003000951,51.0,2020-08-27,1-я,4703,4703,9386a7cd-0560-4060-a844-9dbc732e3507,,41212808001,41612408101,21,5b1cdc7c-6d22-4cfd-b60b-9038df103ad9,000,470050750030009,188640,1428de68-a2dc-48d9-a461-9a6ad17ed45b,47,линия,2014-04-28,0381,,,2020-08-30,000,0000,000,0,,0379,,0
0,e43afd7a-3fda-4ef9-9ce8-cb9add29ed30,9386a7cd-0560-4060-a844-9dbc732e3507,7,005,0,0,000,47005000000038102,2.0,2019-10-16,1-я,4703,4703,7167576b-e56b-4de6-aff9-f4a772735634,,41212808001,41612408101,51,5b1cdc7c-6d22-4cfd-b60b-9038df103ad9,000,470050000000381,188640,5b6472fe-f19d-4a28-8602-d46b59cbcba0,47,линия,2018-03-20,0381,,,2020-08-30,000,0000,000,0,d47a2741-9896-41a4-aa4e-59ded3463260,0379,,0
0,e43afd7a-3fda-4ef9-9ce8-cb9add29ed30,7167576b-e56b-4de6-aff9-f4a772735634,7,005,0,0,000,47005000000038100,0.0,2079-06-06,1-я,4703,4703,3e304246-c92b-4f6a-85fa-ea912c44b778,,41212000002,41612408101,21,5b1cdc7c-6d22-4cfd-b60b-9038df103ad9,000,470050000000381,188640,9386a7cd-0560-4060-a844-9dbc732e3507,47,линия,2019-10-16,0381,,,2020-08-30,000,0000,000,0,d47a2741-9896-41a4-aa4e-59ded3463260,0379,,0
1,e43afd7a-3fda-4ef9-9ce8-cb9add29ed30,3e304246-c92b-4f6a-85fa-ea912c44b778,7,005,0,0,000,47005000000038100,0.0,2079-06-06,1-я,4703,4703,,,41212000002,41612408,21,5b1cdc7c-6d22-4cfd-b60b-9038df103ad9,000,470050000000381,188640,7167576b-e56b-4de6-aff9-f4a772735634,47,линия,2020-08-27,0381,,,2020-08-30,000,0000,000,1,,0379,,0
0,879a58c5-b36a-465c-80d5-8a170a2a3953,e1802ab8-b468-45cc-bfa0-54b82dc14b25,7,005,0,0,075,47005075003000301,1.0,2079-06-06,7-я,4703,4703,f6d204c3-e650-434e-b200-fa16ce7b6889,,41212808001,41612408,1,5b1cdc7c-6d22-4cfd-b60b-9038df103ad9,003,470050750030003,188640,,47,линия,1900-01-01,0003,,,2020-08-30,000,0000,000,0,,0000,,0
0,879a58c5-b36a-465c-80d5-8a170a2a3953,f6d204c3-e650-434e-b200-fa16ce7b6889,7,005,0,0,000,47005075003000351,51.0,2020-08-27,7-я,4703,4703,487df58c-c161-42e3-8e61-3ca1d1d4f045,,41212808001,41612408101,21,5b1cdc7c-6d22-4cfd-b60b-9038df103ad9,000,470050750030003,188640,e1802ab8-b468-45cc-bfa0-54b82dc14b25,47,линия,2014-04-28,0387,,,2020-08-30,000,0000,000,0,,0379,,0
0,879a58c5-b36a-465c-80d5-8a170a2a3953,487df58c-c161-42e3-8e61-3ca1d1d4f045,7,005,0,0,000,47005000000038702,2.0,2019-10-16,7-я,4703,4703,2c0cebf7-2818-4a87-b5af-6bc05b7160cc,,41212808001,41612408101,51,5b1cdc7c-6d22-4cfd-b60b-9038df103ad9,000,470050000000387,188640,f6d204c3-e650-434e-b200-fa16ce7b6889,47,линия,2018-03-20,0387,,,2020-08-30,000,0000,000,0,d47a2741-9896-41a4-aa4e-59ded3463260,0379,,0
0,879a58c5-b36a-465c-80d5-8a170a2a3953,2c0cebf7-2818-4a87-b5af-6bc05b7160cc,7,005,0,0,000,47005000000038700,0.0,2079-06-06,7-я,4703,4703,785135d2-c403-4269-9cfa-af0da994bda3,,41212000002,41612408101,21,5b1cdc7c-6d22-4cfd-b60b-9038df103ad9,000,470050000000387,188640,487df58c-c161-42e3-8e61-3ca1d1d4f045,47,линия,2019-10-16,0387,,,2020-08-30,000,0000,000,0,d47a2741-9896-41a4-aa4e-59ded3463260,0379,,0
1,879a58c5-b36a-465c-80d5-8a170a2a3953,785135d2-c403-4269-9cfa-af0da994bda3,7,005,0,0,000,47005000000038700,0.0,2079-06-06,7-я,4703,4703,,,41212000002,41612408,21,5b1cdc7c-6d22-4cfd-b60b-9038df103ad9,000,470050000000387,188640,2c0cebf7-2818-4a87-b5af-6bc05b7160cc,47,линия,2020-08-27,0387,,,2020-08-30,000,0000,000,1,,0379,,0
