ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
0,50d575c4-c870-4b53-98c0-d93241bc95f6,d9e96690-fdec-4dc5-8e3a-f897e39acc88,7,016,0,0,000,48016000048001200,0.0,2079-06-06,Суворова,4816,4816,180fe739-38fc-4b1d-887e-7398bfec2caa,,42248866001,42648466101,21,8fca0865-77a0-4732-a68e-aa9c306cd0a3,048,480160000480012,,1f4e3aed-0bde-4ff6-9011-954c31ac5353,48,ул,2016-08-02,0012,,,2020-08-30,000,0000,000,0,,0000,,0
1,50d575c4-c870-4b53-98c0-d93241bc95f6,180fe739-38fc-4b1d-887e-7398bfec2caa,7,016,0,0,000,48016000048001200,0.0,2079-06-06,Суворова,4816,4816,,,42248866001,42648466101,21,8fca0865-77a0-4732-a68e-aa9c306cd0a3,048,480160000480012,399372,d9e96690-fdec-4dc5-8e3a-f897e39acc88,48,ул,2020-08-27,0012,,,2020-08-30,000,0000,000,1,,0000,,0
0,50d575c4-c870-4b53-98c0-d93241bc95f6,afe88d93-2375-4ab3-9a75-1b585e787d6b,7,016,0,0,000,48016000048001201,1.0,2079-06-06,Суворова,4816,4816,1f4e3aed-0bde-4ff6-9011-954c31ac5353,,42248866003,42648466,1,8fca0865-77a0-4732-a68e-aa9c306cd0a3,048,480160000480012,399344,,48,ул,1900-01-01,0012,,,2020-08-30,000,0000,000,0,,0000,,0
0,50d575c4-c870-4b53-98c0-d93241bc95f6,1f4e3aed-0bde-4ff6-9011-954c31ac5353,7,016,0,0,000,48016000048001202,2.0,2016-08-02,Суворова,4816,4816,d9e96690-fdec-4dc5-8e3a-f897e39acc88,,42248866003,42648466101,21,8fca0865-77a0-4732-a68e-aa9c306cd0a3,048,480160000480012,399344,afe88d93-2375-4ab3-9a75-1b585e787d6b,48,ул,2014-01-10,0012,,,2020-08-30,000,0000,000,0,,0000,,0
1,1e3c1e53-7bab-4ae2-9b5a-0a82a4f78852,1e3c1e53-7bab-4ae2-9b5a-0a82a4f78852,7,006,0,0,000,48006000001005400,0.0,2079-06-06,Марии Щербак,4813,4813,,,42215816001,42615416101,10,1f5c5092-97b0-4174-8c5c-ce35ecbe32eb,001,480060000010054,399140,,48,ул,2020-09-01,0054,4805,4805,2020-09-03,000,0000,000,1,,0000,,0
1,a905b739-694f-403d-a7f7-0b1e2a982bd2,a905b739-694f-403d-a7f7-0b1e2a982bd2,7,006,0,0,000,48006000001005500,0.0,2079-06-06,Парковый,4813,4813,,,42215816001,42615416101,10,1f5c5092-97b0-4174-8c5c-ce35ecbe32eb,001,480060000010055,399140,,48,пер,2020-09-01,0055,4805,4805,2020-09-03,000,0000,000,1,,0000,,0
1,eb96507e-7c23-4778-bc61-626a5fb830c0,eb96507e-7c23-4778-bc61-626a5fb830c0,7,000,0,0,001,48000001000004900,0.0,2079-06-06,Песенная,4825,4825,,,42401000000,42701000001,10,eacb5f15-1a2e-432e-904a-ca56bd635f1b,000,480000010000049,,,48,ул,2020-08-13,0049,,,2020-08-16,000,0000,000,1,,0000,,0
1,27502444-0010-4722-b6fa-1ce401b670ca,27502444-0010-4722-b6fa-1ce401b670ca,7,000,0,0,001,48000001000000600,0.0,2079-06-06,Яхонтовая,4825,4825,,,42401000000,42701000001,10,eacb5f15-1a2e-432e-904a-ca56bd635f1b,000,480000010000006,,,48,ул,2020-08-13,0006,,,2020-08-16,000,0000,000,1,,0000,,0
1,c0fff0d4-5fa4-488a-b94d-93cf98d27c41,c0fff0d4-5fa4-488a-b94d-93cf98d27c41,7,000,0,0,001,48000001000008100,0.0,2079-06-06,Сентябрьская,4825,4825,,,42401000000,42701000001,10,eacb5f15-1a2e-432e-904a-ca56bd635f1b,000,480000010000081,,,48,ул,2020-08-13,0081,,,2020-08-16,000,0000,000,1,,0000,,0
1,e353df99-1b4c-4e26-b730-a818c71d3044,e353df99-1b4c-4e26-b730-a818c71d3044,7,000,0,0,001,48000001000002400,0.0,2079-06-06,Фермерская,4825,4825,,,42401000000,42701000001,10,eacb5f15-1a2e-432e-904a-ca56bd635f1b,000,480000010000024,,,48,ул,2020-08-13,0024,,,2020-08-16,000,0000,000,1,,0000,,0
1,da3e5b53-e99a-4f6f-a8b1-38e64e9c7f95,da3e5b53-e99a-4f6f-a8b1-38e64e9c7f95,7,000,0,0,001,48000001000065700,0.0,2079-06-06,Морозная,4825,4825,,,42401000000,42701000001,10,eacb5f15-1a2e-432e-904a-ca56bd635f1b,000,480000010000657,,,48,ул,2020-08-13,0657,,,2020-08-16,000,0000,000,1,,0000,,0
1,b19f490e-d9b6-4fd1-93a6-a282b3f9078b,b19f490e-d9b6-4fd1-93a6-a282b3f9078b,7,000,0,0,001,48000001000065900,0.0,2079-06-06,Романтическая,4825,4825,,,42401000000,42701000001,10,eacb5f15-1a2e-432e-904a-ca56bd635f1b,000,480000010000659,,,48,ул,2020-08-13,0659,,,2020-08-16,000,0000,000,1,,0000,,0
1,7f23ff96-e240-4e2b-8b8a-aa0c429ee6f1,7f23ff96-e240-4e2b-8b8a-aa0c429ee6f1,7,000,0,0,001,48000001000004800,0.0,2079-06-06,Онежская,4825,4825,,,42401000000,42701000001,10,eacb5f15-1a2e-432e-904a-ca56bd635f1b,000,480000010000048,,,48,ул,2020-08-13,0048,,,2020-08-16,000,0000,000,1,,0000,,0
1,f34b8faf-9830-4047-ae7d-bf9a62f6eb13,f34b8faf-9830-4047-ae7d-bf9a62f6eb13,7,000,0,0,001,48000001000002500,0.0,2079-06-06,Ногинская,4825,4825,,,42401000000,42701000001,10,eacb5f15-1a2e-432e-904a-ca56bd635f1b,000,480000010000025,,,48,ул,2020-08-13,0025,,,2020-08-16,000,0000,000,1,,0000,,0
1,c71ab440-1e53-4272-a7aa-3d9770708a7f,c71ab440-1e53-4272-a7aa-3d9770708a7f,7,000,0,0,001,48000001000000400,0.0,2079-06-06,Безоблачная,4825,4825,,,42401000000,42701000001,10,eacb5f15-1a2e-432e-904a-ca56bd635f1b,000,480000010000004,,,48,ул,2020-08-13,0004,,,2020-08-16,000,0000,000,1,,0000,,0
1,972cf742-e42b-453b-ac7f-f4b549094ad8,972cf742-e42b-453b-ac7f-f4b549094ad8,7,000,0,0,001,48000001000004600,0.0,2079-06-06,Кедровая,4825,4825,,,42401000000,42701000001,10,eacb5f15-1a2e-432e-904a-ca56bd635f1b,000,480000010000046,,,48,ул,2020-08-13,0046,,,2020-08-16,000,0000,000,1,,0000,,0
1,252adc04-1861-4625-9402-af30e44caf3b,252adc04-1861-4625-9402-af30e44caf3b,7,000,0,0,001,48000001000003300,0.0,2079-06-06,Акварельная,4825,4825,,,42401000000,42701000001,10,eacb5f15-1a2e-432e-904a-ca56bd635f1b,000,480000010000033,,,48,ул,2020-08-13,0033,,,2020-08-16,000,0000,000,1,,0000,,0
1,72df59c2-937a-43b7-b4e8-4a3ef533e9fe,72df59c2-937a-43b7-b4e8-4a3ef533e9fe,7,000,0,0,001,48000001000002300,0.0,2079-06-06,Барбарисовая,4825,4825,,,42401000000,42701000001,10,eacb5f15-1a2e-432e-904a-ca56bd635f1b,000,480000010000023,,,48,ул,2020-08-13,0023,,,2020-08-16,000,0000,000,1,,0000,,0
1,e5f374b5-fead-4ddf-a33c-ab50a077853c,e5f374b5-fead-4ddf-a33c-ab50a077853c,7,000,0,0,001,48000001000004200,0.0,2079-06-06,Жаворонковая,4825,4825,,,42401000000,42701000001,10,eacb5f15-1a2e-432e-904a-ca56bd635f1b,000,480000010000042,,,48,ул,2020-08-13,0042,,,2020-08-16,000,0000,000,1,,0000,,0
1,4c213b2e-6544-4a83-a78c-d09473e85534,4c213b2e-6544-4a83-a78c-d09473e85534,7,000,0,0,001,48000001000040300,0.0,2079-06-06,Буковая,4825,4825,,,42401000000,42701000001,10,eacb5f15-1a2e-432e-904a-ca56bd635f1b,000,480000010000403,,,48,ул,2020-08-13,0403,,,2020-08-16,000,0000,000,1,,0000,,0
1,8b72b388-8ff3-4a2d-84cc-9ed7927f4041,8b72b388-8ff3-4a2d-84cc-9ed7927f4041,7,000,0,0,001,48000001000004500,0.0,2079-06-06,Ежевичная,4825,4825,,,42401000000,42701000001,10,eacb5f15-1a2e-432e-904a-ca56bd635f1b,000,480000010000045,,,48,ул,2020-08-13,0045,,,2020-08-16,000,0000,000,1,,0000,,0
1,a8e24bd5-f7a1-49b4-97ca-328dcfb06f7b,a8e24bd5-f7a1-49b4-97ca-328dcfb06f7b,7,000,0,0,001,48000001000004700,0.0,2079-06-06,Красочная,4825,4825,,,42401000000,42701000001,10,eacb5f15-1a2e-432e-904a-ca56bd635f1b,000,480000010000047,,,48,ул,2020-08-13,0047,,,2020-08-16,000,0000,000,1,,0000,,0
1,7756ff27-0775-409e-b931-0020b9c3012b,7756ff27-0775-409e-b931-0020b9c3012b,7,000,0,0,001,48000001000000800,0.0,2079-06-06,Лучезарная,4825,4825,,,42401000000,42701000001,10,eacb5f15-1a2e-432e-904a-ca56bd635f1b,000,480000010000008,,,48,ул,2020-08-13,0008,,,2020-08-16,000,0000,000,1,,0000,,0
1,ab958371-9e8e-4c06-aa8d-5fd70676528d,ab958371-9e8e-4c06-aa8d-5fd70676528d,7,000,0,0,001,48000001000000300,0.0,2079-06-06,Авангардная,4825,4825,,,42401000000,42701000001,10,eacb5f15-1a2e-432e-904a-ca56bd635f1b,000,480000010000003,,,48,ул,2020-08-13,0003,,,2020-08-16,000,0000,000,1,,0000,,0
1,7f3f9eec-9920-41b5-bf53-4e1111aebe04,7f3f9eec-9920-41b5-bf53-4e1111aebe04,7,000,0,0,001,48000001000003900,0.0,2079-06-06,Вересковая,4825,4825,,,42401000000,42701000001,10,eacb5f15-1a2e-432e-904a-ca56bd635f1b,000,480000010000039,,,48,ул,2020-08-13,0039,,,2020-08-16,000,0000,000,1,,0000,,0
1,a9154999-deb8-4ddc-8486-e8aa3dcb9685,a9154999-deb8-4ddc-8486-e8aa3dcb9685,7,019,0,0,000,48019000076001000,0.0,2079-06-06,Луговая,4813,4813,,,42240848001,42640448101,10,c07c23aa-cd5c-4698-a535-d42033b394a2,076,480190000760010,398504,,48,ул,2020-08-14,0010,,,2020-08-16,000,0000,000,1,,0000,,0
1,ff7fb501-b278-4742-8f65-158149b4a146,ff7fb501-b278-4742-8f65-158149b4a146,7,019,0,0,000,48019000006001700,0.0,2079-06-06,Цветочная,4813,4813,,,42240804001,42640404101,10,114d250a-0898-4135-8506-f437ea96629a,006,480190000060017,,,48,ул,2020-08-17,0017,,,2020-08-17,000,0000,000,1,,0000,,0
1,09b108d9-9d48-4f5b-9edc-5a07513ef9ce,09b108d9-9d48-4f5b-9edc-5a07513ef9ce,7,019,0,0,000,48019000088001800,0.0,2079-06-06,Малиновая,4813,4813,,,42240884001,42640484101,10,467ff21a-2668-4c70-a415-3654e25cb8fa,088,480190000880018,398513,,48,ул,2020-08-20,0018,,,2020-08-22,000,0000,000,1,,0000,,0
1,cf5ea54d-16f1-4301-96c1-238b276d53b2,cf5ea54d-16f1-4301-96c1-238b276d53b2,7,019,0,0,000,48019000067005500,0.0,2079-06-06,Центральный,4813,4813,,,42240868001,42640468101,10,34025992-3780-4952-b35f-bb0580cf0072,067,480190000670055,398540,,48,б-р,2020-08-20,0055,,,2020-08-22,000,0000,000,1,,0000,,0
1,0f052eb9-28e9-4d38-8384-1b8fde437804,0f052eb9-28e9-4d38-8384-1b8fde437804,7,019,0,0,000,48019000067005700,0.0,2079-06-06,Песочный,4813,4813,,,42240868001,42640468101,10,34025992-3780-4952-b35f-bb0580cf0072,067,480190000670057,398540,,48,пер,2020-08-20,0057,,,2020-08-22,000,0000,000,1,,0000,,0
1,aef7a3e2-72c8-4606-a933-0f284147b6ae,aef7a3e2-72c8-4606-a933-0f284147b6ae,7,019,0,0,000,48019000067005600,0.0,2079-06-06,Северный,4813,4813,,,42240868001,42640468101,10,34025992-3780-4952-b35f-bb0580cf0072,067,480190000670056,398540,,48,пр-кт,2020-08-20,0056,,,2020-08-22,000,0000,000,1,,0000,,0
1,25351b59-86ec-4f16-8c78-05cfd7687064,25351b59-86ec-4f16-8c78-05cfd7687064,7,008,0,0,000,48008000100000300,0.0,2079-06-06,Борисовская,4828,4828,,,42221828002,42621428111,10,76ed22e2-b65c-4541-9d77-0d288eb0baa4,100,480080001000003,,,48,ул,2020-08-20,0003,4807,4807,2020-08-22,000,0000,000,1,,0000,,0
