ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
0,73aa1632-85cf-4a93-b68a-ddbd0fbfeb65,8c2fa2f6-f390-4e92-a266-07190bf94f4a,7,000,0,0,020,50000020000006751,51.0,2020-08-27,Центральная 1-я,5074,5074,6f93c2ae-af1c-4761-a127-fed29ad28dec,,46489000000,46789000,1,b7fc1d20-41d4-44e8-af34-d635f452d74c,000,500000200000067,142172,,50,ул,1900-01-01,0067,5051,5051,2020-08-30,000,0000,000,0,,0000,,0
0,39c9ad99-f3e3-4f7e-82d7-ee3c1b73a9f3,3bc1e403-2219-41e2-9f6e-a3fd94beb339,7,000,0,0,020,50000020000011251,51.0,2020-08-27,Барышевская 2-я,5074,5074,fb486e01-eb8a-4280-a0c5-d1c065e049a0,,46489000000,46789000,1,b7fc1d20-41d4-44e8-af34-d635f452d74c,000,500000200000112,142172,,50,ул,1900-01-01,0112,5051,5051,2020-08-30,000,0000,000,0,,0000,,0
0,b97f47f2-c7c5-4120-b7dd-5dd3bd8eb894,c030a5d9-6be1-4211-a9d0-0d3d67fb2b9f,7,000,0,0,020,50000020000008151,51.0,2020-08-27,Барышевская 1-я,5074,5074,8d4d730b-e723-4a70-80ab-2ab4705db854,,46489000000,46789000,1,b7fc1d20-41d4-44e8-af34-d635f452d74c,000,500000200000081,142172,,50,ул,1900-01-01,0081,5051,5051,2020-08-30,000,0000,000,0,,0000,,0
0,3af6081e-ee04-4743-9b7a-525ebc8506a6,242cae24-c9dd-4fd9-9f74-30ee647f1366,7,000,0,0,018,50000018000001651,51.0,2020-08-27,Мичуринская 1-я,5003,5003,54c8c0cb-5b68-424c-b4ca-6079fd1021ff,,46475000000,46775000,1,7dde11f6-f6ab-4a05-8052-78e0cab8fc59,000,500000180000016,142191,,50,ул,1900-01-01,0016,5046,5046,2020-08-30,000,0000,000,0,,0000,,0
0,0109c433-0ce7-4f4a-aabe-5c8273be79a5,a3dcefde-c4ef-46b0-a862-29be1baa6398,7,000,0,0,018,50000018000000251,51.0,2016-06-17,Богородский 1-й,5003,5003,37c9e684-59b1-4477-abd9-7f131903d8d5,,46475000000,46775000,1,7dde11f6-f6ab-4a05-8052-78e0cab8fc59,000,500000180000002,142191,,50,пер,1900-01-01,0002,5046,5046,2020-08-30,000,0000,000,0,,0000,,0
0,2413fdaa-214a-46d7-90a7-5eabbc58209a,8f3b5aea-1a08-41d2-b65f-224875fd4583,7,000,0,0,018,50000018000000351,51.0,2016-06-17,Богородский 2-й,5003,5003,1d8ce537-3698-47bd-9ae0-1219bbe08a4a,,46475000000,46775000,1,7dde11f6-f6ab-4a05-8052-78e0cab8fc59,000,500000180000003,142191,,50,пер,1900-01-01,0003,5046,5046,2020-08-30,000,0000,000,0,,0000,,0
0,0eb1f72f-2942-41eb-87ea-8fdf149eb31f,93232f92-4082-4c9c-b859-0118cc20ef47,7,000,0,0,020,50000020000006851,51.0,2020-08-27,Центральная 2-я,5074,5074,4e053ef2-53ea-4d88-b3f4-950e9237e543,,46489000000,46789000,1,b7fc1d20-41d4-44e8-af34-d635f452d74c,000,500000200000068,142172,,50,ул,1900-01-01,0068,5051,5051,2020-08-30,000,0000,000,0,,0000,,0
0,b76c1136-4c6c-4f41-8b01-aa5ff3ebc295,e6ee6431-cf3e-4f0f-ac75-eba3e7902514,7,000,0,0,020,50000020000009651,51.0,2020-08-27,Барышевская 3-я,5074,5074,028c8298-84b4-43c8-be8d-f3e118ee5729,,46489000000,46789000,1,b7fc1d20-41d4-44e8-af34-d635f452d74c,000,500000200000096,142172,,50,ул,1900-01-01,0096,5051,5051,2020-08-30,000,0000,000,0,,0000,,0
0,288497fc-6f62-4986-9a16-877935e1c937,46769eb8-8ed6-4de5-b2ac-eccc8501764f,7,000,0,0,018,50000018000002151,51.0,2020-08-27,Октябрьская Б.,5003,5003,f26eba70-12bb-4944-a133-a7a0f29e21dd,,46475000000,46775000,1,7dde11f6-f6ab-4a05-8052-78e0cab8fc59,000,500000180000021,142191,,50,ул,1900-01-01,0021,5046,5046,2020-08-30,000,0000,000,0,,0000,,0
0,876a372f-5a91-4dd0-bd29-dae8ecb53cd8,de72cb31-88f2-40ae-80b2-f584a9dcbef5,7,000,0,0,018,50000018000000451,51.0,2016-06-17,Богородский 3-й,5003,5003,89f454c1-cb39-4526-8308-2a12a5b8ea2b,,46475000000,46775000,1,7dde11f6-f6ab-4a05-8052-78e0cab8fc59,000,500000180000004,142191,,50,пер,1900-01-01,0004,5046,5046,2020-08-30,000,0000,000,0,,0000,,0
0,a2a0c266-c601-4218-82fc-8b86c56e7d1e,211f510b-ad81-4472-99ef-3d0e323e9f84,7,000,0,0,018,50000018000001751,51.0,2020-08-27,Мичуринская 2-я,5003,5003,c0c6118c-8679-4bf9-967b-15c06022c13f,,46475000000,46775000,1,7dde11f6-f6ab-4a05-8052-78e0cab8fc59,000,500000180000017,142191,,50,ул,1900-01-01,0017,5046,5046,2020-08-30,000,0000,000,0,,0000,,0
1,4dd27319-9069-41b8-bc88-3718dca239ea,4dd27319-9069-41b8-bc88-3718dca239ea,7,000,0,0,030,50000030000052800,0.0,2079-06-06,квартал Пятницкий,5047,5047,,,46483000000,46783000001,10,df518993-660b-4a0b-ae72-abf207045957,000,500000300000528,,,50,ул,2020-08-27,0528,,,2020-08-30,000,0000,000,1,,0195,,0
