ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,b16520c7-3907-4992-a867-771a058be1ff,4824a6c5-3ad8-4615-83b1-1dc64d5717ba,7,000,0,0,016,51000016000000100,0.0,2079-06-06,60 лет СССР,5108,5108,,,47417000000,47717000001,21,defed7b3-d1f0-4dbb-baa8-03bdaffa2b18,000,510000160000001,184532,a8145b63-202d-4b34-89b6-eba1b570a9c1,51,ул,2020-04-24,0001,,,2020-09-03,000,0000,000,1,,0000,,0
0,b16520c7-3907-4992-a867-771a058be1ff,a8145b63-202d-4b34-89b6-eba1b570a9c1,7,000,0,0,016,51000016000000100,0.0,1900-01-01,60 лет СССР,5108,5108,,,47417000000,47717000,20,defed7b3-d1f0-4dbb-baa8-03bdaffa2b18,000,510000160000001,184532,c0e9466e-3033-4271-9ce7-e4dfa1aed150,51,ул,1900-01-01,0001,,,2020-09-03,000,0000,000,0,67b08dd6-3e69-40df-993a-d742353f7c35,0000,,0
0,b16520c7-3907-4992-a867-771a058be1ff,c0e9466e-3033-4271-9ce7-e4dfa1aed150,7,000,0,0,007,51000007000000151,51.0,1900-01-01,60 лет СССР,5108,5108,a8145b63-202d-4b34-89b6-eba1b570a9c1,,47417000000,47717000,1,c5fe1817-5163-4e3b-b06a-36d322c6bf57,000,510000070000001,184530,3c0de42e-b8d2-4960-9db0-180919be3c42,51,ул,1900-01-01,0001,,,2020-09-03,000,0000,000,0,,0000,,0
0,b16520c7-3907-4992-a867-771a058be1ff,3c0de42e-b8d2-4960-9db0-180919be3c42,7,000,0,0,007,51000007010000451,51.0,1900-01-01,60 лет СССР,5108,5108,c0e9466e-3033-4271-9ce7-e4dfa1aed150,,47417000000,47717000,1,a180282b-08c4-4b21-ae68-da4af02077bf,010,510000070100004,184538,acea2cb4-ea2f-4b6b-8e3c-1105229f281b,51,ул,1900-01-01,0004,,,2020-09-03,000,0000,000,0,,0000,,0
0,b16520c7-3907-4992-a867-771a058be1ff,acea2cb4-ea2f-4b6b-8e3c-1105229f281b,7,000,0,0,016,51000016000000101,1.0,2079-06-06,60 лет СССР,5108,5108,3c0de42e-b8d2-4960-9db0-180919be3c42,,47417000000,47717000,1,defed7b3-d1f0-4dbb-baa8-03bdaffa2b18,000,510000160000001,184532,,51,ул,1900-01-01,0001,,,2020-09-03,000,0000,000,0,,0000,,0
1,9a5ec6ad-2503-43cc-a981-e4b68ff34ef2,ce4a1ca8-9a89-4751-a3ac-20249784bf58,7,000,0,0,016,51000016000000200,0.0,2079-06-06,Ленинградская,5108,5108,,,47417000000,47717000001,21,defed7b3-d1f0-4dbb-baa8-03bdaffa2b18,000,510000160000002,184532,9b4a3c9f-f496-41e9-b3a7-cdb17e1cc519,51,ул,2020-04-24,0002,,,2020-09-03,000,0000,000,1,,0000,,0
0,9a5ec6ad-2503-43cc-a981-e4b68ff34ef2,9b4a3c9f-f496-41e9-b3a7-cdb17e1cc519,7,000,0,0,016,51000016000000200,0.0,1900-01-01,Ленинградская,5108,5108,,,47417000000,47717000,20,defed7b3-d1f0-4dbb-baa8-03bdaffa2b18,000,510000160000002,184532,da829009-4a87-4228-a1da-c06134315a5f,51,ул,1900-01-01,0002,,,2020-09-03,000,0000,000,0,67b08dd6-3e69-40df-993a-d742353f7c35,0000,,0
0,9a5ec6ad-2503-43cc-a981-e4b68ff34ef2,da829009-4a87-4228-a1da-c06134315a5f,7,000,0,0,007,51000007000002351,51.0,1900-01-01,Ленинградская,5108,5108,9b4a3c9f-f496-41e9-b3a7-cdb17e1cc519,,47417000000,47717000,1,c5fe1817-5163-4e3b-b06a-36d322c6bf57,000,510000070000023,184530,35bf55c0-3673-4094-b6da-4f10be989b4b,51,ул,1900-01-01,0023,,,2020-09-03,000,0000,000,0,,0000,,0
0,9a5ec6ad-2503-43cc-a981-e4b68ff34ef2,35bf55c0-3673-4094-b6da-4f10be989b4b,7,000,0,0,007,51000007010000251,51.0,1900-01-01,Ленинградская,5108,5108,da829009-4a87-4228-a1da-c06134315a5f,,47417000000,47717000,1,a180282b-08c4-4b21-ae68-da4af02077bf,010,510000070100002,184538,a83b7bcc-f821-4497-9504-1c84ac219d8b,51,ул,1900-01-01,0002,,,2020-09-03,000,0000,000,0,,0000,,0
0,9a5ec6ad-2503-43cc-a981-e4b68ff34ef2,a83b7bcc-f821-4497-9504-1c84ac219d8b,7,000,0,0,016,51000016000000201,1.0,2079-06-06,Ленинградская,5108,5108,35bf55c0-3673-4094-b6da-4f10be989b4b,,47417000000,47717000,1,defed7b3-d1f0-4dbb-baa8-03bdaffa2b18,000,510000160000002,184532,,51,ул,1900-01-01,0002,,,2020-09-03,000,0000,000,0,,0000,,0
