ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,f077d76c-7c75-465a-bf66-435462129b8a,f077d76c-7c75-465a-bf66-435462129b8a,7,014,0,0,000,52014000042002800,0.0,2079-06-06,Солнечная,5254,5254,,,22219832013,22619432131,10,afa5b781-52ef-450b-a337-798ce4704a59,042,520140000420028,,,52,ул,2020-08-27,0028,5210,5210,2020-08-30,000,0000,000,1,,0000,,0
1,f2c1dedb-fa7a-42d5-824b-215bde211ed6,f2c1dedb-fa7a-42d5-824b-215bde211ed6,65,029,0,0,000,52029000004000100,0.0,2079-06-06,Автодорога 22 ОП МЗ 22Н-2833,5243,5243,,,22239872002,22639472111,10,4fdcb9ab-395f-467b-bffa-35adb0457b69,004,520290000040001,607807,,52,тер.,2020-08-28,0000,5221,5221,2020-08-30,000,0000,000,1,,0001,,0
1,917e3091-f878-4624-a930-f982f624b53c,917e3091-f878-4624-a930-f982f624b53c,65,024,0,0,000,52024000187000500,0.0,2079-06-06,Черные 1,5248,5248,,,22234812020,22634412331,10,b0877a0f-c507-4998-b4a7-ab047211c302,187,520240001870005,606570,,52,тер.,2020-08-28,0000,5218,5218,2020-08-30,000,0000,000,1,,0005,,0
1,15d30f05-8888-4a00-bfce-ba1e76f5e6a6,15d30f05-8888-4a00-bfce-ba1e76f5e6a6,65,029,0,0,000,52029000071000600,0.0,2079-06-06,Автодорога 22 ОП МЗ 22Н-2807,5243,5243,,,22239872009,22639472136,10,a2804afb-7f16-409c-9034-bccb9bd45781,071,520290000710006,607835,,52,тер.,2020-08-28,0000,5221,5221,2020-08-30,000,0000,000,1,,0006,,0
1,0fe7ef81-10a6-4f4c-86a0-948a4f78548b,0fe7ef81-10a6-4f4c-86a0-948a4f78548b,65,029,0,0,000,52029000049000300,0.0,2079-06-06,Автодорога 22 ОП МЗ 22Н-2806,5243,5243,,,22239872006,22639472121,10,8f270694-d68c-4526-9a31-c55f399ebb2a,049,520290000490003,607806,,52,тер.,2020-08-28,0000,5221,5221,2020-08-30,000,0000,000,1,,0003,,0
1,6ca09e85-5c60-4bc8-acfc-fdfa8399d661,6ca09e85-5c60-4bc8-acfc-fdfa8399d661,7,014,0,0,000,52014000042002700,0.0,2079-06-06,Горького,5254,5254,,,22219832013,22619432131,10,afa5b781-52ef-450b-a337-798ce4704a59,042,520140000420027,,,52,ул,2020-08-27,0027,5210,5210,2020-08-30,000,0000,000,1,,0000,,0
1,5f4096e3-114c-40ed-8ccd-5a5b8eb17b4a,5f4096e3-114c-40ed-8ccd-5a5b8eb17b4a,7,014,0,0,000,52014000042002500,0.0,2079-06-06,Южная,5254,5254,,,22219832013,22619432131,10,afa5b781-52ef-450b-a337-798ce4704a59,042,520140000420025,,,52,ул,2020-08-27,0025,5210,5210,2020-08-30,000,0000,000,1,,0000,,0
1,b7946668-bbcc-4701-a65c-b1ffb5cf66f5,b7946668-bbcc-4701-a65c-b1ffb5cf66f5,65,024,0,0,000,52024000150000100,0.0,2079-06-06,Студенцы,5248,5248,,,22234812015,22634412296,10,35333d9f-924f-4488-9e98-6e12ea1a12e8,150,520240001500001,606570,,52,тер.,2020-08-27,0000,5218,5218,2020-08-30,000,0000,000,1,,0001,,0
1,c8350bc5-7b81-4798-8520-55d315809148,c8350bc5-7b81-4798-8520-55d315809148,65,029,0,0,000,52029000071000500,0.0,2079-06-06,Автодорога 22 ОП МЗ 22Н-2832,5243,5243,,,22239872009,22639472136,10,a2804afb-7f16-409c-9034-bccb9bd45781,071,520290000710005,607835,,52,тер.,2020-08-28,0000,5221,5221,2020-08-30,000,0000,000,1,,0005,,0
1,5fbd8b3d-76de-409a-b7c7-680949148af8,5fbd8b3d-76de-409a-b7c7-680949148af8,7,014,0,0,000,52014000042002600,0.0,2079-06-06,Дачная,5254,5254,,,22219832013,22619432131,10,afa5b781-52ef-450b-a337-798ce4704a59,042,520140000420026,,,52,ул,2020-08-27,0026,5210,5210,2020-08-30,000,0000,000,1,,0000,,0
1,6bedae52-2ac1-4d60-876e-215e2b96a30b,6bedae52-2ac1-4d60-876e-215e2b96a30b,7,014,0,0,000,52014000042002900,0.0,2079-06-06,Спортивная,5254,5254,,,22219832013,22619432131,10,afa5b781-52ef-450b-a337-798ce4704a59,042,520140000420029,,,52,ул,2020-08-27,0029,5210,5210,2020-08-30,000,0000,000,1,,0000,,0
1,ce7373f1-aa4e-4a94-9788-1be82224c2cd,ce7373f1-aa4e-4a94-9788-1be82224c2cd,65,041,0,0,000,52041000067000400,0.0,2079-06-06,Княжуха,5252,5252,,,22250820009,22650420141,10,f32b40ea-8623-40fb-b03d-7738536d9125,067,520410000670004,,,52,тер,2020-08-27,0000,5231,5231,2020-08-30,000,0000,000,1,,0004,,0
