ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,fa55ee47-f5f7-472c-b68b-04526b77a84b,fa55ee47-f5f7-472c-b68b-04526b77a84b,7,020,0,0,000,53020000028001100,0.0,2079-06-06,Медовая,5336,5336,,,49250821019,49650421171,10,2c66efcb-5aaa-4b87-a025-74de824a8868,028,530200000280011,,,53,ул,2020-08-27,0011,5318,5318,2020-08-30,000,0000,000,1,,0000,,0
1,d8e62c39-96c2-4117-b83d-bdccb2a59740,d8e62c39-96c2-4117-b83d-bdccb2a59740,7,020,0,0,000,53020000028001200,0.0,2079-06-06,Майская,5336,5336,,,49250821019,49650421171,10,2c66efcb-5aaa-4b87-a025-74de824a8868,028,530200000280012,,,53,ул,2020-08-27,0012,5318,5318,2020-08-30,000,0000,000,1,,0000,,0
1,a5231b20-901b-47a6-ada1-7a1a60e39098,a5231b20-901b-47a6-ada1-7a1a60e39098,7,020,0,0,000,53020000028001300,0.0,2079-06-06,Мирная,5336,5336,,,49250821019,49650421171,10,2c66efcb-5aaa-4b87-a025-74de824a8868,028,530200000280013,,,53,ул,2020-08-27,0013,5318,5318,2020-08-30,000,0000,000,1,,0000,,0
1,1f8a0083-c17a-4a9d-9ff0-b937c7ba8d76,1f8a0083-c17a-4a9d-9ff0-b937c7ba8d76,7,019,0,0,000,53019000114000100,0.0,2079-06-06,Центральная,5332,5332,,,49247802039,49647402241,10,c450bad1-b5bc-45ab-8c52-e739f56613aa,114,530190001140001,175285,,53,ул,2020-09-02,0001,5317,5317,2020-09-03,000,0000,000,1,,0000,,0
1,f769303b-2fdf-4240-8bb2-446cc8648e6f,f769303b-2fdf-4240-8bb2-446cc8648e6f,65,001,0,0,000,53001000210003400,0.0,2079-06-06,Монастырь,5321,5321,,,49225850050,49625450179,10,8eb411e5-8cb7-44b6-bbcb-64685fb996cb,210,530010002100034,173011,,53,тер.,2020-08-14,0000,5310,5310,2020-08-16,000,0000,000,1,,0034,,0
1,bcd6c01f-30c7-4375-8aa3-7a8b28d5cd3b,bcd6c01f-30c7-4375-8aa3-7a8b28d5cd3b,65,003,0,0,000,53003000000004700,0.0,2079-06-06,Сельхозземли Сидорково-16Г,5331,5331,,,49206858000,49606458,10,dbb5ed6e-9f4c-49d1-ab5b-345222f57856,000,530030000000047,,,53,тер.,2020-08-19,0000,,,2020-08-20,000,0000,000,1,,0047,,0
1,1cb0d69e-091e-4e33-8ad0-9128dffb1998,1cb0d69e-091e-4e33-8ad0-9128dffb1998,65,003,0,0,000,53003000000004800,0.0,2079-06-06,Промземли Княжа-10,5331,5331,,,49206858000,49606458,10,dbb5ed6e-9f4c-49d1-ab5b-345222f57856,000,530030000000048,,,53,тер.,2020-08-19,0000,,,2020-08-20,000,0000,000,1,,0048,,0
1,700dd500-4211-4e59-9cd0-090fde230549,700dd500-4211-4e59-9cd0-090fde230549,65,003,0,0,000,53003000000004600,0.0,2079-06-06,Сельхозземли Княжа-10,5331,5331,,,49206858000,49606458,10,dbb5ed6e-9f4c-49d1-ab5b-345222f57856,000,530030000000046,,,53,тер.,2020-08-19,0000,,,2020-08-20,000,0000,000,1,,0046,,0
1,2c3cec55-2186-48ca-9cc0-1bea9c29af8f,2c3cec55-2186-48ca-9cc0-1bea9c29af8f,7,004,0,0,000,53004000024000600,0.0,2079-06-06,2-й ряд,5331,5331,,,49208840001,49608440101,10,1b23f1ec-4d5f-4b93-a40d-707cbc28fa3d,024,530040000240006,175418,,53,ул,2020-08-18,0006,5302,5302,2020-08-20,000,0000,000,1,,0004,,0
1,9100730e-b4d0-47bb-8c06-e5e72bc88b33,9100730e-b4d0-47bb-8c06-e5e72bc88b33,7,001,0,0,000,53001000211003000,0.0,2079-06-06,Сиреневая,5321,5321,,,49225850051,49625450182,10,21b4b1b1-f5f8-4135-9a01-8e46756388b8,211,530010002110030,173000,,53,ул,2020-08-20,0030,,,2020-08-22,000,0000,000,1,,0000,,0
1,2443018c-205a-47cd-b6ec-9c8ee65e1104,2443018c-205a-47cd-b6ec-9c8ee65e1104,65,003,0,0,000,53003000000004900,0.0,2079-06-06,Сельхозземли Лука-21,5331,5331,,,49206858000,49606458,10,dbb5ed6e-9f4c-49d1-ab5b-345222f57856,000,530030000000049,,,53,тер.,2020-08-20,0000,,,2020-08-22,000,0000,000,1,,0049,,0
