ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
0,537bd256-905c-4240-a4ca-5ebfe8c0e350,656a9dfc-83f1-4e7a-9527-5b014cc6966a,6,015,0,0,000,5501500000301,1.0,2004-07-30,Алексеевка (Пореченский с/о),5510,5510,903aabc7-b49a-4c52-b603-3bb8f94acc7e,,52234831002,52634431,1,c8278271-6040-47d2-8389-447af59b643e,003,55015000003,646447,,55,д,1900-01-01,0000,5522,5522,2020-08-30,000,0000,000,0,,0000,,0
0,537bd256-905c-4240-a4ca-5ebfe8c0e350,903aabc7-b49a-4c52-b603-3bb8f94acc7e,6,015,0,0,000,5501500000302,2.0,2020-08-28,Алексеевка (Пореченского с/п),5510,5510,c8a7dd79-d9b7-4996-91b6-72d0597f9009,,52234831002,52634431,20,c8278271-6040-47d2-8389-447af59b643e,003,55015000003,646447,656a9dfc-83f1-4e7a-9527-5b014cc6966a,55,д,2004-07-30,0000,5522,5522,2020-08-30,000,0000,000,0,,0000,,0
0,537bd256-905c-4240-a4ca-5ebfe8c0e350,c8a7dd79-d9b7-4996-91b6-72d0597f9009,6,015,0,0,000,5501500000303,3.0,2014-01-05,Алексеевка (Пореченского с/п),5535,5535,56bb9b63-58a1-465e-8491-593e2abf5b14,,52234831002,52634431,21,c8278271-6040-47d2-8389-447af59b643e,003,55015000003,646447,903aabc7-b49a-4c52-b603-3bb8f94acc7e,55,д,2012-12-10,0000,5522,5522,2020-08-30,000,0000,000,0,,0000,,0
0,537bd256-905c-4240-a4ca-5ebfe8c0e350,56bb9b63-58a1-465e-8491-593e2abf5b14,6,015,0,0,000,5501500000304,4.0,2015-10-29,Алексеевка (Пореченского с/п),5535,5535,1073e273-f7cc-4017-8cce-e80eb7cabd72,,52234831002,52634431106,21,c8278271-6040-47d2-8389-447af59b643e,003,55015000003,646447,c8a7dd79-d9b7-4996-91b6-72d0597f9009,55,д,2014-01-05,0000,5522,5522,2020-08-30,000,0000,000,0,,0000,,0
0,537bd256-905c-4240-a4ca-5ebfe8c0e350,1073e273-f7cc-4017-8cce-e80eb7cabd72,6,015,0,0,000,5501500000305,5.0,2020-08-28,Алексеевка (Пореченского с/п),5535,5535,1265482e-c9fc-41d3-b7e5-b41c9bd682f0,,52234831002,52634431106,20,c8278271-6040-47d2-8389-447af59b643e,003,55015000003,646447,56bb9b63-58a1-465e-8491-593e2abf5b14,55,д,2015-10-29,0000,5522,5522,2020-08-30,000,0000,000,0,,0000,,0
1,537bd256-905c-4240-a4ca-5ebfe8c0e350,1265482e-c9fc-41d3-b7e5-b41c9bd682f0,6,015,0,0,000,5501500000300,0.0,2079-06-06,Алексеевка,5535,5535,,,52234831002,52634431106,20,c8278271-6040-47d2-8389-447af59b643e,003,55015000003,646447,1073e273-f7cc-4017-8cce-e80eb7cabd72,55,д,2020-08-28,0000,5522,5522,2020-08-30,000,0000,000,1,,0000,,0
0,1f2a817f-93bd-4280-abe2-eacdfdf8fa0d,98fbe278-27aa-45ac-a3eb-b223bc9cff4b,6,017,0,0,000,5501700000901,1.0,2015-10-29,Воскресенка-Хомутинская,5515,5515,600bc1e6-1793-423d-ab77-a6b22123f52b,,52239825002,52639425,1,1e52a59d-2377-4064-aabf-db4bc16dadfc,009,55017000009,646624,,55,д,1900-01-01,0000,5524,5524,2020-08-30,000,0000,000,0,,0000,,0
0,1f2a817f-93bd-4280-abe2-eacdfdf8fa0d,600bc1e6-1793-423d-ab77-a6b22123f52b,6,017,0,0,000,5501700000902,2.0,2015-10-29,Воскресенка-Хомутинская,5515,5515,6c9214a9-4386-4b5e-8a83-732202369cc2,,52239825002,52639425106,21,1e52a59d-2377-4064-aabf-db4bc16dadfc,009,55017000009,646624,98fbe278-27aa-45ac-a3eb-b223bc9cff4b,55,д,2014-01-05,0000,5524,5524,2020-08-30,000,0000,000,0,,0000,,0
0,1f2a817f-93bd-4280-abe2-eacdfdf8fa0d,6c9214a9-4386-4b5e-8a83-732202369cc2,6,017,0,0,000,5501700000903,3.0,2020-08-27,Воскресенка (Хомутинского с/п),5515,5515,dc1d34d4-cec6-45f2-a636-b7f5bb224081,,52239825002,52639425106,20,1e52a59d-2377-4064-aabf-db4bc16dadfc,009,55017000009,646620,600bc1e6-1793-423d-ab77-a6b22123f52b,55,д,2015-10-29,0000,5524,5524,2020-08-30,000,0000,000,0,,0000,,0
1,1f2a817f-93bd-4280-abe2-eacdfdf8fa0d,dc1d34d4-cec6-45f2-a636-b7f5bb224081,6,017,0,0,000,5501700000900,0.0,2079-06-06,Воскресенка,5515,5515,,,52239825002,52639425106,20,1e52a59d-2377-4064-aabf-db4bc16dadfc,009,55017000009,646620,6c9214a9-4386-4b5e-8a83-732202369cc2,55,д,2020-08-27,0000,5524,5524,2020-08-30,000,0000,000,1,,0000,,0
