ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,f05629d6-bced-42e1-9f38-1a6d66c0913b,f05629d6-bced-42e1-9f38-1a6d66c0913b,7,001,0,0,000,57001000083004400,0,2079-06-06,Стальной,5748,5748,,,54247840008,54647440146,10,8d6fe79f-aea4-43c5-9fe6-e8c847bc3f98,083,570010000830044,,,57,пер,2020-08-28,0044,5720,5720,2020-08-30,000,0000,000,1,,0000,,0
1,e28e90e3-6b53-445e-b6b6-99a89a4922b7,e28e90e3-6b53-445e-b6b6-99a89a4922b7,7,001,0,0,000,57001000101002400,0,2079-06-06,Сосновая,5748,5748,,,54247822007,54647422116,10,f109d3b4-9dcf-40f9-bf69-d74172813fd9,101,570010001010024,302531,,57,ул,2020-08-27,0024,5720,5720,2020-08-30,000,0000,000,1,,0016,,0
1,638b3f46-01b5-42c8-a8ec-2d7728b024f1,638b3f46-01b5-42c8-a8ec-2d7728b024f1,7,001,0,0,000,57001000153004800,0,2079-06-06,Фета,5748,5748,,,54247825011,54647425176,10,7dffcb26-df09-4b72-9e87-2829a62ee32a,153,570010001530048,302523,,57,пер,2020-08-19,0048,5720,5720,2020-08-20,000,0000,000,1,,0000,,0
1,449459b4-3fb0-4ae7-ae35-7764bf8bd6f8,449459b4-3fb0-4ae7-ae35-7764bf8bd6f8,7,001,0,0,000,57001000153004900,0,2079-06-06,Пришвина,5748,5748,,,54247825011,54647425176,10,7dffcb26-df09-4b72-9e87-2829a62ee32a,153,570010001530049,302523,,57,пер,2020-08-19,0049,5720,5720,2020-08-20,000,0000,000,1,,0000,,0
1,28ed40df-15c9-44da-8faa-72aeeb07477d,28ed40df-15c9-44da-8faa-72aeeb07477d,7,001,0,0,000,57001000237002600,0,2079-06-06,Песочный,5748,5748,,,54247825022,54647425146,10,bafda024-4cf1-497b-89be-0c765dad3bad,237,570010002370026,302521,,57,пер,2020-08-19,0026,5720,5720,2020-08-20,000,0000,000,1,,0000,,0
1,d198ef2f-c307-4359-8049-b5f4394f0cef,d198ef2f-c307-4359-8049-b5f4394f0cef,7,001,0,0,000,57001000153005000,0,2079-06-06,Ростопчина,5748,5748,,,54247825011,54647425176,10,7dffcb26-df09-4b72-9e87-2829a62ee32a,153,570010001530050,302523,,57,пер,2020-08-19,0050,5720,5720,2020-08-20,000,0000,000,1,,0000,,0
1,977a0237-ddca-416d-9d96-7abb664e8a95,977a0237-ddca-416d-9d96-7abb664e8a95,7,001,0,0,000,57001000153005100,0,2079-06-06,Апухтина,5748,5748,,,54247825011,54647425176,10,7dffcb26-df09-4b72-9e87-2829a62ee32a,153,570010001530051,302523,,57,пер,2020-08-19,0051,5720,5720,2020-08-20,000,0000,000,1,,0000,,0
1,25090b6d-8073-4e8d-8eda-c9a180bb4637,25090b6d-8073-4e8d-8eda-c9a180bb4637,7,001,0,0,000,57001000237002500,0,2079-06-06,Загородная,5748,5748,,,54247825022,54647425146,10,bafda024-4cf1-497b-89be-0c765dad3bad,237,570010002370025,302521,,57,ул,2020-08-19,0025,5720,5720,2020-08-20,000,0000,000,1,,0000,,0
1,72c7ccea-d92a-41fd-b108-37e0544f7e2e,72c7ccea-d92a-41fd-b108-37e0544f7e2e,7,001,0,0,000,57001000153004700,0,2079-06-06,Тютчева,5748,5748,,,54247825011,54647425176,10,7dffcb26-df09-4b72-9e87-2829a62ee32a,153,570010001530047,302523,,57,пер,2020-08-19,0047,5720,5720,2020-08-20,000,0000,000,1,,0000,,0
1,6fbd6b62-9f79-4eee-b56e-152e5a7f8e09,6fbd6b62-9f79-4eee-b56e-152e5a7f8e09,7,001,0,0,000,57001000153004600,0,2079-06-06,Бунина,5748,5748,,,54247825011,54647425176,10,7dffcb26-df09-4b72-9e87-2829a62ee32a,153,570010001530046,302523,,57,пер,2020-08-19,0046,5720,5720,2020-08-20,000,0000,000,1,,0000,,0
1,4b5afcdc-afc2-44fd-90aa-87868bedfea1,4b5afcdc-afc2-44fd-90aa-87868bedfea1,7,005,0,0,000,57005000127000400,0,2079-06-06,Молодёжная,5748,5748,,,54212813012,54612413166,10,7ea96255-f328-40a0-8f9a-3698f777ce61,127,570050001270004,303232,,57,ул,2020-08-20,0004,5707,5707,2020-08-22,000,0000,000,1,,0000,,0
1,6e7360bb-0025-4f9e-9af6-030ea17df3f2,6e7360bb-0025-4f9e-9af6-030ea17df3f2,7,001,0,0,000,57001000153005200,0,2079-06-06,Кинологический,5748,5748,,,54247825011,54647425176,10,7dffcb26-df09-4b72-9e87-2829a62ee32a,153,570010001530052,302523,,57,пер,2020-08-24,0052,5720,5720,2020-08-27,000,0000,000,1,,0000,,0
1,29d33c65-3d2e-4a7f-9821-085ed81ebb9a,29d33c65-3d2e-4a7f-9821-085ed81ebb9a,7,001,0,0,000,57001000153005400,0,2079-06-06,Ольховый,5748,5748,,,54247825011,54647425176,10,7dffcb26-df09-4b72-9e87-2829a62ee32a,153,570010001530054,302523,,57,пер,2020-08-24,0054,5720,5720,2020-08-27,000,0000,000,1,,0000,,0
1,7b9034f4-4948-4345-b12d-fe306a58ff88,7b9034f4-4948-4345-b12d-fe306a58ff88,65,000,0,0,002,57000002000005100,0,2079-06-06,ТЭЦ площадка №2,5743,5743,,,54405000000,54705000001,10,aef2c735-2e21-42e5-8638-9667bade6a2b,000,570000020000051,,,57,тер. ГСК,2020-08-24,0000,,,2020-08-27,000,0000,000,1,,0051,,0
1,057a10f1-d4e9-4674-b765-d4751edd7d51,057a10f1-d4e9-4674-b765-d4751edd7d51,7,001,0,0,000,57001000153005300,0,2079-06-06,Блынского,5748,5748,,,54247825011,54647425176,10,7dffcb26-df09-4b72-9e87-2829a62ee32a,153,570010001530053,302523,,57,пер,2020-08-24,0053,5720,5720,2020-08-27,000,0000,000,1,,0000,,0
1,64846d33-4285-480a-8195-9f016bf8e36e,64846d33-4285-480a-8195-9f016bf8e36e,7,001,0,0,000,57001000083004300,0,2079-06-06,Кленовый,5748,5748,,,54247840008,54647440146,10,8d6fe79f-aea4-43c5-9fe6-e8c847bc3f98,083,570010000830043,,,57,пер,2020-08-24,0043,5720,5720,2020-08-27,000,0000,000,1,,0000,,0
