ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,95f38983-c48c-4253-bce9-6840f8844f0a,95f38983-c48c-4253-bce9-6840f8844f0a,7,020,0,0,000,59020000000079400,0.0,2079-06-06,Восточная,5948,5948,,,57246000169,57646413,10,d125f550-93d7-4b38-9134-64d849fc9998,000,590200000000794,614520,,59,ул,2020-08-28,0794,,,2020-08-30,000,0000,000,1,,0116,,0
0,f03cc8fd-955e-4c00-b546-ce124b32d6aa,f03cc8fd-955e-4c00-b546-ce124b32d6aa,90,000,0,0,006,59000006020008801,1.0,2016-09-28,СТ Солнечный,5914,5914,5d2c2f35-aedc-44c9-a735-86d113752ce9,,57416000080,57616406101,10,230c2f4d-fd9d-46fc-8bbd-b8de26810790,000,590000060200088,618720,,59,снт,2002-10-08,0000,,,2020-08-30,000,0000,000,0,,0190,,0
0,f03cc8fd-955e-4c00-b546-ce124b32d6aa,5d2c2f35-aedc-44c9-a735-86d113752ce9,90,000,0,0,006,59000006020008851,51.0,2017-12-26,СТ Солнечный,5914,5914,c6ddc89c-914c-4cde-a9f7-fe627ed17a0d,,57416000080,57616406,21,230c2f4d-fd9d-46fc-8bbd-b8de26810790,000,590000060200088,618720,f03cc8fd-955e-4c00-b546-ce124b32d6aa,59,снт,2016-03-22,0000,,,2020-08-30,000,0000,000,0,,0190,,0
0,f03cc8fd-955e-4c00-b546-ce124b32d6aa,c6ddc89c-914c-4cde-a9f7-fe627ed17a0d,65,000,0,0,006,59000006020008802,2.0,2020-08-28,СТ Солнечный,5914,5914,216b226c-2a5b-45d4-8ad7-903183d4342e,,57416000080,57616406,50,230c2f4d-fd9d-46fc-8bbd-b8de26810790,000,590000060200088,618720,5d2c2f35-aedc-44c9-a735-86d113752ce9,59,снт,2016-09-28,0000,,,2020-08-30,000,0000,000,0,,0190,,0
0,f03cc8fd-955e-4c00-b546-ce124b32d6aa,216b226c-2a5b-45d4-8ad7-903183d4342e,65,000,0,0,006,59000006020008803,3.0,2020-03-24,СТ Солнечный,5914,5914,099b5c66-165c-4a6e-b09f-fe10724de2cd,,57416000080,57616406101,20,230c2f4d-fd9d-46fc-8bbd-b8de26810790,000,590000060200088,618720,c6ddc89c-914c-4cde-a9f7-fe627ed17a0d,59,снт,2017-12-26,0000,,,2020-08-30,000,0000,000,0,170177f9-a771-4432-bc10-7729efd73e8b,0190,,0
0,f03cc8fd-955e-4c00-b546-ce124b32d6aa,099b5c66-165c-4a6e-b09f-fe10724de2cd,65,000,0,0,006,59000006020008804,4.0,2018-03-16,СТ Солнечный,5914,5914,2a59c930-557b-4228-9995-beb914c58453,,57416000000,57616406101,21,230c2f4d-fd9d-46fc-8bbd-b8de26810790,000,590000060200088,618720,216b226c-2a5b-45d4-8ad7-903183d4342e,59,снт,2018-02-25,0000,,,2020-08-30,000,0000,000,0,0b4a54d2-f69d-45cb-ad0e-6da7ae6ff529,0190,,0
0,f03cc8fd-955e-4c00-b546-ce124b32d6aa,2a59c930-557b-4228-9995-beb914c58453,65,000,0,0,006,59000006020008805,5.0,2018-06-08,СТ Солнечный,5914,5914,4b9a56f2-609e-417c-9e7a-a82ca77bc83e,,57416000080,57616406101,21,230c2f4d-fd9d-46fc-8bbd-b8de26810790,000,590000060200088,618720,099b5c66-165c-4a6e-b09f-fe10724de2cd,59,снт,2018-03-16,0000,,,2020-08-30,000,0000,000,0,0b4a54d2-f69d-45cb-ad0e-6da7ae6ff529,0190,,0
0,f03cc8fd-955e-4c00-b546-ce124b32d6aa,4b9a56f2-609e-417c-9e7a-a82ca77bc83e,65,000,0,0,006,59000006020008851,51.0,2020-08-28,СТ Солнечный,5948,5948,873fbc03-ee44-4668-b04a-0ed86e5597a0,,57416000080,57616406101,21,230c2f4d-fd9d-46fc-8bbd-b8de26810790,000,590000060200088,,2a59c930-557b-4228-9995-beb914c58453,59,снт,2018-06-08,0000,,,2020-08-30,000,0000,000,0,c0d6c14e-595f-458c-9356-51d4f10417b9,0190,,0
0,f03cc8fd-955e-4c00-b546-ce124b32d6aa,873fbc03-ee44-4668-b04a-0ed86e5597a0,65,000,0,0,006,59000006020008851,51.0,2020-04-06,СТ Солнечный,5948,5948,3059c649-f0bd-4128-80e5-0134625ca5fc,,57416000080,57718000126,21,230c2f4d-fd9d-46fc-8bbd-b8de26810790,000,590000060200088,,4b9a56f2-609e-417c-9e7a-a82ca77bc83e,59,снт,2020-03-24,0000,,,2020-08-30,000,0000,000,0,,0190,,0
0,f03cc8fd-955e-4c00-b546-ce124b32d6aa,3059c649-f0bd-4128-80e5-0134625ca5fc,65,000,0,0,006,59000006020008851,51.0,2020-04-06,СТ Солнечный,5948,5948,b47473dd-044b-4f42-abb5-5b284f99978e,,57416000080,57718000126,50,230c2f4d-fd9d-46fc-8bbd-b8de26810790,000,590000060200088,,873fbc03-ee44-4668-b04a-0ed86e5597a0,59,снт,2020-03-24,0000,,,2020-08-30,000,0000,000,0,,0190,,0
