ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,92affd32-66f4-4393-8d62-fa524cd40077,92affd32-66f4-4393-8d62-fa524cd40077,7,015,0,0,000,60015000207000300,0.0,2079-06-06,Зеленая,6032,6032,,,58237828036,58637428161,10,24071c05-afbb-45b6-9dcd-775373223282,207,600150002070003,181294,,60,ул,2020-08-27,0003,6014,6014,2020-08-30,000,0000,000,1,,0000,,0
0,61dc6b0a-6805-4314-a576-571cf1fa10dd,ce519550-e3a5-4f29-b75c-10d39bde5ead,7,014,0,0,001,60014001000003099,99.0,2020-08-28,Озеро,6032,6032,19913b9f-c27a-4bc3-8f4e-39daed9953dc,,58233501000,58633101,1,67d379ab-16ac-40d0-95c0-f5f1cbeb578d,000,600140010000030,181350,,60,ул,1900-01-01,0030,6013,6013,2020-08-30,000,0000,000,0,,0000,,0
1,61dc6b0a-6805-4314-a576-571cf1fa10dd,19913b9f-c27a-4bc3-8f4e-39daed9953dc,7,014,0,0,001,60014001000003099,99.0,2079-06-06,Озеро,6032,6032,,,58233501000,58633101,30,67d379ab-16ac-40d0-95c0-f5f1cbeb578d,000,600140010000030,181350,ce519550-e3a5-4f29-b75c-10d39bde5ead,60,ул,2020-08-28,0030,6013,6013,2020-08-30,000,0000,000,0,,0000,,0
0,c26fc2e2-9afa-4a7f-8b8b-3327810486a5,e347e43f-0126-458e-9868-40711f104b50,7,014,0,0,001,60014001000011299,99.0,2020-08-28,Радиорелейная,6032,6032,18688831-47d6-4751-b825-6127c2e238c2,,58233501000,58633101,1,67d379ab-16ac-40d0-95c0-f5f1cbeb578d,000,600140010000112,181350,,60,линия,1900-01-01,0112,6013,6013,2020-08-30,000,0000,000,0,,0000,,0
1,c26fc2e2-9afa-4a7f-8b8b-3327810486a5,18688831-47d6-4751-b825-6127c2e238c2,7,014,0,0,001,60014001000011299,99.0,2079-06-06,Радиорелейная,6032,6032,,,58233501000,58633101,30,67d379ab-16ac-40d0-95c0-f5f1cbeb578d,000,600140010000112,181350,e347e43f-0126-458e-9868-40711f104b50,60,линия,2020-08-28,0112,6013,6013,2020-08-30,000,0000,000,0,,0000,,0
1,a518a03f-1018-4c42-ba05-b029908dd10e,a518a03f-1018-4c42-ba05-b029908dd10e,7,025,0,0,000,60025000056000100,0.0,2079-06-06,Снетогорская,6027,6027,,,58249868006,58649468136,10,bfffec95-e8a2-4ef6-8e4a-d304e4d22859,056,600250000560001,180550,,60,ул,2020-09-02,0001,6037,6037,2020-09-03,000,0000,000,1,,0000,,0
1,95df84a9-f854-4510-9df0-50a5d326351e,95df84a9-f854-4510-9df0-50a5d326351e,7,025,0,0,000,60025000179000200,0.0,2079-06-06,Сиреневая,6027,6027,,,58249872042,58649472286,10,9bd2c5ff-fe00-46fd-a289-6d4a1e14e384,179,600250001790002,180502,,60,ул,2020-09-01,0002,6037,6037,2020-09-03,000,0000,000,1,,0000,,0
1,bd1250a6-6f62-4966-bd34-f043ebeebe2f,bd1250a6-6f62-4966-bd34-f043ebeebe2f,7,025,0,0,000,60025000728000100,0.0,2079-06-06,Павловых,6027,6027,,,58249868022,58649468206,10,c30d691d-e9c1-40ce-8ce5-073beb65b1f9,728,600250007280001,180550,,60,ул,2020-09-02,0001,6037,6037,2020-09-03,000,0000,000,1,,0000,,0
1,bbd619f6-e792-4e3f-83a4-d399ae0abc6f,bbd619f6-e792-4e3f-83a4-d399ae0abc6f,7,025,0,0,000,60025000836000100,0.0,2079-06-06,Рассветная,6027,6027,,,58249868025,58649468221,10,e66bd0cd-0300-4685-aa8c-3729bbb03044,836,600250008360001,180550,,60,ул,2020-09-02,0001,6037,6037,2020-09-03,000,0000,000,1,,0000,,0
1,e60f1386-bee9-472b-917b-932d7ccaaa11,e60f1386-bee9-472b-917b-932d7ccaaa11,7,025,0,0,000,60025000877000200,0.0,2079-06-06,Липовая,6027,6027,,,58249868012,58649468156,10,ed242c6a-1fcd-4ff1-9791-aacb5f836e6b,877,600250008770002,180550,,60,ул,2020-09-02,0002,6037,6037,2020-09-03,000,0000,000,1,,0000,,0
1,48d4c2a5-ffc6-4eed-a491-204dd7ec133c,48d4c2a5-ffc6-4eed-a491-204dd7ec133c,7,025,0,0,000,60025000877000100,0.0,2079-06-06,Сосновая,6027,6027,,,58249868012,58649468156,10,ed242c6a-1fcd-4ff1-9791-aacb5f836e6b,877,600250008770001,180550,,60,ул,2020-09-02,0001,6037,6037,2020-09-03,000,0000,000,1,,0000,,0
1,5ca0868e-a6b5-4938-8990-af6d711e6991,5ca0868e-a6b5-4938-8990-af6d711e6991,7,025,0,0,000,60025000227000100,0.0,2079-06-06,Весенняя,6027,6027,,,58249868003,58649468111,10,96cda3a3-b30f-402a-9922-7b7176e8a511,227,600250002270001,180004,,60,ул,2020-09-02,0001,6037,6037,2020-09-03,000,0000,000,1,,0000,,0
1,3ea617ed-245b-41bd-9ae7-d655a5c4df79,3ea617ed-245b-41bd-9ae7-d655a5c4df79,7,025,0,0,000,60025000179000100,0.0,2079-06-06,Возрождения,6027,6027,,,58249872042,58649472286,10,9bd2c5ff-fe00-46fd-a289-6d4a1e14e384,179,600250001790001,180502,,60,ул,2020-09-01,0001,6037,6037,2020-09-03,000,0000,000,1,,0000,,0
