ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,79e2d550-fc99-4002-a347-f1cff169719e,79e2d550-fc99-4002-a347-f1cff169719e,7,027,0,0,000,61027000123002300,0.0,2079-06-06,Колхозная,6171,6171,,,60236836002,60636436141,10,e7f3547e-a078-48a3-a0d2-6353cd0fb4f3,123,610270001230023,,,61,ул,2020-08-27,0023,6123,6123,2020-08-30,000,0000,000,1,,0000,,0
1,437573c9-ca14-48ec-bd87-cd92d3db0db9,437573c9-ca14-48ec-bd87-cd92d3db0db9,7,029,0,0,000,61029000035000400,0.0,2079-06-06,Степная,6182,6182,,,60241827001,60641427101,10,2c470caa-f058-41da-8937-75a5d5f74528,035,610290000350004,346488,,61,ул,2020-08-28,0004,6125,6125,2020-08-30,000,0000,000,1,,0000,,0
0,eb1224f0-bf97-4661-a8d7-8f130c4b4835,28f13325-1dde-490f-801b-7430117229c1,7,000,0,0,001,61000001000296501,1.0,2008-05-30,Атаманский 7-й,6193,6193,c463dfd9-f6e0-41b3-a1dd-e41937496b8d,,60401362000,60701000,1,c1cfe4b9-f7c2-423c-abfa-6ed1c05a15c5,000,610000010002965,344000,,61,пер,1900-01-01,2965,6161,6161,2020-09-03,000,0000,000,0,,0000,,0
0,eb1224f0-bf97-4661-a8d7-8f130c4b4835,c463dfd9-f6e0-41b3-a1dd-e41937496b8d,7,000,0,0,001,61000001000296502,2.0,2079-06-06,7-й Атаманский,6193,6193,76ce7cc2-b231-4673-a196-3887ba2f5f69,,60401362000,60701000,20,c1cfe4b9-f7c2-423c-abfa-6ed1c05a15c5,000,610000010002965,344000,28f13325-1dde-490f-801b-7430117229c1,61,пер,2008-05-30,2965,6161,6161,2020-09-03,000,0000,000,0,3eb3125a-2922-486d-9b88-991357b54777,0000,,0
0,eb1224f0-bf97-4661-a8d7-8f130c4b4835,76ce7cc2-b231-4673-a196-3887ba2f5f69,7,000,0,0,001,61000001000296503,3.0,2015-05-14,7-й Атаманский,6193,6193,b75fbcf1-245f-4415-9e7a-0a4527b71121,,60401362000,60701000,21,c1cfe4b9-f7c2-423c-abfa-6ed1c05a15c5,000,610000010002965,344065,c463dfd9-f6e0-41b3-a1dd-e41937496b8d,61,пер,2013-06-11,2965,6161,6161,2020-09-03,000,0000,000,0,8ec5ac88-7578-474d-acf9-d668efe32328,0000,,0
0,eb1224f0-bf97-4661-a8d7-8f130c4b4835,b75fbcf1-245f-4415-9e7a-0a4527b71121,7,000,0,0,001,61000001000296504,4.0,2017-09-28,7-й Атаманский,6193,6193,32366945-fc77-41a3-9b0c-d1621729e074,,60401000000,60701000,21,c1cfe4b9-f7c2-423c-abfa-6ed1c05a15c5,000,610000010002965,344065,76ce7cc2-b231-4673-a196-3887ba2f5f69,61,пер,2015-05-14,2965,6161,6161,2020-09-03,000,0000,000,0,,0000,,0
0,eb1224f0-bf97-4661-a8d7-8f130c4b4835,32366945-fc77-41a3-9b0c-d1621729e074,7,000,0,0,001,61000001000296500,0.0,2079-06-06,7-й Атаманский,6193,6193,e9b16cce-0c77-415d-9dab-7bf69270c435,,60401000000,60701000,21,c1cfe4b9-f7c2-423c-abfa-6ed1c05a15c5,000,610000010002965,344065,b75fbcf1-245f-4415-9e7a-0a4527b71121,61,пер,2017-09-28,2965,6161,6161,2020-09-03,000,0000,000,0,6b10644c-476c-4187-82dc-bac1fe8d4f25,0000,,0
1,eb1224f0-bf97-4661-a8d7-8f130c4b4835,e9b16cce-0c77-415d-9dab-7bf69270c435,7,000,0,0,001,61000001000296500,0.0,2079-06-06,7-й Атаманский,6193,6193,,,60401000000,60701000001,21,c1cfe4b9-f7c2-423c-abfa-6ed1c05a15c5,000,610000010002965,344065,32366945-fc77-41a3-9b0c-d1621729e074,61,пер,2020-09-01,2965,6161,6161,2020-09-03,000,0000,000,1,,0000,,0
0,657168de-ec38-4a92-a0fe-7c48abaae50b,eadc58fe-3db7-44a2-8ac2-d2cff9542341,7,000,0,0,001,61000001000295001,1.0,2016-06-03,Дружный 7-й,6165,6165,86cc5ca6-43ab-4fa1-8a30-2f8143047f73,,60401374000,60701000,1,c1cfe4b9-f7c2-423c-abfa-6ed1c05a15c5,000,610000010002950,344029,,61,пер,1900-01-01,2950,,,2020-09-03,000,0000,000,0,,0000,,0
0,657168de-ec38-4a92-a0fe-7c48abaae50b,86cc5ca6-43ab-4fa1-8a30-2f8143047f73,7,000,0,0,001,61000001000295002,2.0,2016-06-03,Дружный 7-й,6165,6165,da6d442c-50d7-4ca7-bcfc-98d36385de9a,,60401000000,60701000,21,c1cfe4b9-f7c2-423c-abfa-6ed1c05a15c5,000,610000010002950,344029,eadc58fe-3db7-44a2-8ac2-d2cff9542341,61,пер,2015-05-21,2950,,,2020-09-03,000,0000,000,0,,0000,,0
0,657168de-ec38-4a92-a0fe-7c48abaae50b,da6d442c-50d7-4ca7-bcfc-98d36385de9a,7,000,0,0,001,61000001000295003,3.0,2079-06-06,7-й Дружный,6165,6165,24fa11e3-6126-4c2f-b873-827bb4839a07,,60401000000,60701000,20,c1cfe4b9-f7c2-423c-abfa-6ed1c05a15c5,000,610000010002950,344029,86cc5ca6-43ab-4fa1-8a30-2f8143047f73,61,пер,2016-06-03,2950,,,2020-09-03,000,0000,000,0,84f9daf0-3688-44de-b8f8-05bcd810b316,0000,,0
0,657168de-ec38-4a92-a0fe-7c48abaae50b,24fa11e3-6126-4c2f-b873-827bb4839a07,7,000,0,0,001,61000001000295000,0.0,2079-06-06,7-й Дружный,6165,6165,ef121c57-75db-4ab3-9142-4485a565f528,,60401000000,60701000,21,c1cfe4b9-f7c2-423c-abfa-6ed1c05a15c5,000,610000010002950,344029,da6d442c-50d7-4ca7-bcfc-98d36385de9a,61,пер,2017-09-28,2950,,,2020-09-03,000,0000,000,0,6b10644c-476c-4187-82dc-bac1fe8d4f25,0000,,0
1,657168de-ec38-4a92-a0fe-7c48abaae50b,ef121c57-75db-4ab3-9142-4485a565f528,7,000,0,0,001,61000001000295000,0.0,2079-06-06,7-й Дружный,6165,6165,,,60401000000,60701000001,21,c1cfe4b9-f7c2-423c-abfa-6ed1c05a15c5,000,610000010002950,344029,24fa11e3-6126-4c2f-b873-827bb4839a07,61,пер,2020-09-01,2950,,,2020-09-03,000,0000,000,1,,0000,,0
1,3d899fd0-e06c-4ec3-9b06-597641747aa9,3d899fd0-e06c-4ec3-9b06-597641747aa9,7,003,0,0,000,61003000505011500,0.0,2079-06-06,Рижский,6181,6181,,,60202867010,60602436136,10,c85e3add-6317-4d2b-98b3-7ab54db80fcc,505,610030005050115,,,61,пр-д,2020-08-13,0115,6102,6102,2020-08-16,000,0000,000,1,,0000,,0
0,c03f4fde-e070-4569-b9cb-e9946c621615,35d6301a-9dc7-4975-b95b-09ae00afc625,7,037,0,0,000,61037000021000401,1.0,2079-06-06,Петровская,6178,6178,4dcd86b6-4d75-4485-bb65-e67cfcade2cc,,60252826002,60652426,1,75edd7ec-50de-4409-9e79-d693215e3cab,021,610370000210004,347180,,61,ул,1900-01-01,0004,6131,6131,2020-08-17,000,0000,000,0,,0000,,0
0,c03f4fde-e070-4569-b9cb-e9946c621615,4dcd86b6-4d75-4485-bb65-e67cfcade2cc,7,037,0,0,000,61037000021000402,2.0,2020-08-17,Петровская,6192,6192,24290740-cb2d-4c55-8ab8-2ef301b145c5,,60252826001,60652426,21,75edd7ec-50de-4409-9e79-d693215e3cab,021,610370000210004,347180,35d6301a-9dc7-4975-b95b-09ae00afc625,61,ул,2012-01-01,0004,6131,6131,2020-08-17,000,0000,000,0,ed5f0774-2236-4e4c-9ad3-a5bd320fe97f,0000,,0
