ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,465db8f5-92cc-4319-b99a-0fdd0759186c,465db8f5-92cc-4319-b99a-0fdd0759186c,7,001,0,0,000,62001000054004300,0.0,2079-06-06,Берёзовая,6215,6215,,,61234827001,61634427101,10,8c3491e2-914b-477f-a09c-1808447444fd,054,620010000540043,390527,,62,ул,2020-08-27,0043,,,2020-08-30,000,0000,000,1,,0000,,0
0,861ee9b2-3233-4dd5-8e45-70f8944425f0,5233ce77-80cb-489a-9d57-cb4146ec6c46,7,008,0,0,000,62008000020000701,1.0,2020-08-31,Октябрьской Революции,6219,6219,68da2f3c-d64f-4321-8471-a0bbf51c7c47,,61215822001,61615422,1,f8459f35-cc7b-43f8-82e6-69bd1537bc9a,020,620080000200007,391798,,62,ул,1900-01-01,0007,6207,6207,2020-09-03,000,0000,000,0,,0000,,0
0,861ee9b2-3233-4dd5-8e45-70f8944425f0,68da2f3c-d64f-4321-8471-a0bbf51c7c47,7,008,0,0,000,62008000020000702,2.0,2020-08-31,Октябрьской Революции,6219,6219,a6950110-0fd4-44cf-8ee8-1e2fa046d735,,61215822001,61615422101,21,f8459f35-cc7b-43f8-82e6-69bd1537bc9a,020,620080000200007,391798,5233ce77-80cb-489a-9d57-cb4146ec6c46,62,ул,2014-01-05,0007,6207,6207,2020-09-03,000,0000,000,0,,0000,,0
1,861ee9b2-3233-4dd5-8e45-70f8944425f0,a6950110-0fd4-44cf-8ee8-1e2fa046d735,7,008,0,0,000,62008000020000700,0.0,2079-06-06,Октябрьской революции,6219,6219,,,61215822001,61615422101,20,f8459f35-cc7b-43f8-82e6-69bd1537bc9a,020,620080000200007,391798,68da2f3c-d64f-4321-8471-a0bbf51c7c47,62,ул,2020-08-31,0007,6207,6207,2020-09-03,000,0000,000,1,,0000,,0
0,f04d3245-61b6-41d4-8019-dfc3c324b469,4ab040ce-64de-4ae5-8960-2e2c4633c3ef,7,004,0,0,000,62004000001002101,1.0,2020-08-13,Кооперативный 1-й,6232,6232,e6fd0f5b-7ad3-4216-b4d7-18a800c4e111,,61206551000,61606151,1,99d6ee87-25f2-4e0e-8d94-253cbe662ae2,001,620040000010021,391670,,62,пер,1900-01-01,0021,6203,6203,2020-08-16,000,0000,000,0,,0000,,0
0,f04d3245-61b6-41d4-8019-dfc3c324b469,e6fd0f5b-7ad3-4216-b4d7-18a800c4e111,7,004,0,0,000,62004000001002102,2.0,2014-03-04,Кооперативный 1-й,6232,6232,5f21f4ca-4322-470e-94ac-31211a0e494b,,61206551000,61606151,20,99d6ee87-25f2-4e0e-8d94-253cbe662ae2,001,620040000010021,391670,4ab040ce-64de-4ae5-8960-2e2c4633c3ef,62,пер,2012-04-12,0021,6203,6203,2020-08-16,000,0000,000,0,,0000,,0
0,f04d3245-61b6-41d4-8019-dfc3c324b469,5f21f4ca-4322-470e-94ac-31211a0e494b,7,004,0,0,000,62004000001002103,3.0,2020-08-13,Кооперативный 1-й,6232,6232,a6aeec2f-0bcd-429b-b2fa-2c2f6e22b2f3,,61206551000,61606151051,21,99d6ee87-25f2-4e0e-8d94-253cbe662ae2,001,620040000010021,391670,e6fd0f5b-7ad3-4216-b4d7-18a800c4e111,62,пер,2014-03-04,0021,6203,6203,2020-08-16,000,0000,000,0,,0000,,0
1,f04d3245-61b6-41d4-8019-dfc3c324b469,a6aeec2f-0bcd-429b-b2fa-2c2f6e22b2f3,7,004,0,0,000,62004000001002100,0.0,2079-06-06,1-й Кооперативный,6232,6232,,,61206551000,61606151051,20,99d6ee87-25f2-4e0e-8d94-253cbe662ae2,001,620040000010021,391670,5f21f4ca-4322-470e-94ac-31211a0e494b,62,пер,2020-08-13,0021,6203,6203,2020-08-16,000,0000,000,1,,0000,,0
0,f7d2af52-a0d7-48fd-8821-2ff50b83ab6f,a2b18e95-a39a-4663-820f-602794fd3def,7,018,0,0,000,62018000003000301,1.0,2020-08-13,Микрорайон,6232,6232,51da51e6-c35c-4109-9861-37da427deffc,,61242806001,61642406,1,0f1c62a9-39bd-4a8b-95be-0f665ca1cce5,003,620180000030003,391466,,62,п,1900-01-01,0003,6218,6218,2020-08-16,000,0000,000,0,,0000,,0
0,f7d2af52-a0d7-48fd-8821-2ff50b83ab6f,51da51e6-c35c-4109-9861-37da427deffc,7,018,0,0,000,62018000003000302,2.0,2020-08-13,Микрорайон,6232,6232,73d0002c-2b18-4902-9db3-12327c9f79af,,61242806001,61642406101,21,0f1c62a9-39bd-4a8b-95be-0f665ca1cce5,003,620180000030003,391466,a2b18e95-a39a-4663-820f-602794fd3def,62,п,2014-01-05,0003,6218,6218,2020-08-16,000,0000,000,0,,0000,,0
1,f7d2af52-a0d7-48fd-8821-2ff50b83ab6f,73d0002c-2b18-4902-9db3-12327c9f79af,7,018,0,0,000,62018000003000300,0.0,2079-06-06,Микрорайон,6232,6232,,,61242806001,61642406101,20,0f1c62a9-39bd-4a8b-95be-0f665ca1cce5,003,620180000030003,391466,51da51e6-c35c-4109-9861-37da427deffc,62,ул,2020-08-13,0003,6218,6218,2020-08-16,000,0000,000,1,,0000,,0
0,3725038d-7f30-4bb2-a294-05eeea6d8fac,46de952b-2f2a-4ced-934f-85f61b2ef252,7,004,0,0,000,62004000001008101,1.0,2013-04-30,1-й Советский пер.,6232,6232,d8297a55-52ed-41fc-b944-c43a27501c31,,61206551000,61606151,61,99d6ee87-25f2-4e0e-8d94-253cbe662ae2,001,620040000010081,391670,,62,ул,2013-04-29,0081,6203,6203,2020-08-16,000,0000,000,0,,0000,,0
0,3725038d-7f30-4bb2-a294-05eeea6d8fac,d8297a55-52ed-41fc-b944-c43a27501c31,7,004,0,0,000,62004000001008102,2.0,2015-11-26,Советский 1-й переулок,6232,6232,aefc9921-5260-4365-a4d2-c2db831aa751,,61206551000,61606151,20,99d6ee87-25f2-4e0e-8d94-253cbe662ae2,001,620040000010081,391670,46de952b-2f2a-4ced-934f-85f61b2ef252,62,пер,2013-04-30,0081,6203,6203,2020-08-16,000,0000,000,0,,0000,,0
0,3725038d-7f30-4bb2-a294-05eeea6d8fac,aefc9921-5260-4365-a4d2-c2db831aa751,7,004,0,0,000,62004000001008103,3.0,2015-11-26,Советский 1-й переулок,6232,6232,dbc5964d-4d10-43bd-bccb-49280b61a159,,61206551000,61606151051,21,99d6ee87-25f2-4e0e-8d94-253cbe662ae2,001,620040000010081,391670,d8297a55-52ed-41fc-b944-c43a27501c31,62,пер,2015-03-26,0081,6203,6203,2020-08-16,000,0000,000,0,5229069e-9bf5-4302-9bf6-d0d6af923b2c,0000,,0
