ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,fb796d0b-0e5a-4318-bac9-94ca6f4103bd,fb796d0b-0e5a-4318-bac9-94ca6f4103bd,7,028,0,0,000,63028000000149800,0.0,2079-06-06,Ягодная,6330,6330,,,36214804000,36614404,10,7a3ce5ee-609a-48a7-aec5-19a5e3595d58,000,630280000001498,443531,,63,ул,2020-08-27,1498,,,2020-08-30,000,0000,000,1,,0968,,0
1,a390a46e-b658-49ee-8e32-266fcd0093c4,a390a46e-b658-49ee-8e32-266fcd0093c4,7,000,0,0,006,63000006000005500,0.0,2079-06-06,Хвойная,6330,6330,,,36450000000,36750000001,10,90a11c8e-c39f-4bcd-9df4-f89bed18958c,000,630000060000055,,,63,ул,2020-08-27,0055,,,2020-08-30,000,0000,000,1,,0000,,0
1,a0337524-de30-430d-a581-a911016a1720,a0337524-de30-430d-a581-a911016a1720,7,000,0,0,006,63000006000005600,0.0,2079-06-06,Изумрудная,6330,6330,,,36450000000,36750000001,10,90a11c8e-c39f-4bcd-9df4-f89bed18958c,000,630000060000056,,,63,ул,2020-08-27,0056,,,2020-08-30,000,0000,000,1,,0000,,0
1,46388dae-35a8-4967-8eac-06c8e78d3077,46388dae-35a8-4967-8eac-06c8e78d3077,7,000,0,0,006,63000006000006600,0.0,2079-06-06,Медовая,6330,6330,,,36450000000,36750000001,10,90a11c8e-c39f-4bcd-9df4-f89bed18958c,000,630000060000066,,,63,ул,2020-08-27,0066,,,2020-08-30,000,0000,000,1,,0000,,0
0,4aebadc5-0d4c-49ca-9545-f9709d99d0d8,4aebadc5-0d4c-49ca-9545-f9709d99d0d8,90,000,0,0,008,63000008000090551,51.0,2016-09-29,ГСК-18,6325,6325,fdb398d0-9891-4165-8d5c-e284f8326a35,,36435000000,36735000001,10,e9e684ce-7d60-4480-ba14-ca6da658188b,000,630000080000905,,,63,гск,1984-06-26,0000,,,2020-09-03,000,0000,000,0,f3d74ef1-0db7-4a6e-9146-53d413ec0152,0000,,0
0,4aebadc5-0d4c-49ca-9545-f9709d99d0d8,fdb398d0-9891-4165-8d5c-e284f8326a35,65,000,0,0,008,63000008000090501,1.0,2020-09-02,ГСК-18,6325,6325,13ae9f7a-92a4-4271-888e-9eb1039653cf,,36435000000,36735000001,50,e9e684ce-7d60-4480-ba14-ca6da658188b,000,630000080000905,,4aebadc5-0d4c-49ca-9545-f9709d99d0d8,63,гск,2016-09-29,0000,,,2020-09-03,000,0000,000,0,,0905,,0
1,4aebadc5-0d4c-49ca-9545-f9709d99d0d8,13ae9f7a-92a4-4271-888e-9eb1039653cf,65,000,0,0,008,63000008000090500,0.0,2079-06-06,ГСК-18,6325,6325,,,36435000000,36735000001,20,e9e684ce-7d60-4480-ba14-ca6da658188b,000,630000080000905,,fdb398d0-9891-4165-8d5c-e284f8326a35,63,тер.,2020-09-02,0000,,,2020-09-03,000,0000,000,1,,0905,,0
1,323def29-25e8-4d70-8d87-6e5d9f2c01b1,323def29-25e8-4d70-8d87-6e5d9f2c01b1,7,016,0,0,000,63016000020003700,0.0,2079-06-06,Кедровая,6376,6376,,,36228824013,36628424126,10,73a23fb1-49e1-4fce-9a16-c20e6c581b24,020,630160000200037,,,63,ул,2020-08-14,0037,,,2020-08-16,000,0000,000,1,,0000,,0
1,0933ed38-63be-469b-99c5-2a5a3e70db00,0933ed38-63be-469b-99c5-2a5a3e70db00,7,016,0,0,000,63016000020003800,0.0,2079-06-06,Парковая,6376,6376,,,36228824013,36628424126,10,73a23fb1-49e1-4fce-9a16-c20e6c581b24,020,630160000200038,,,63,ул,2020-08-14,0038,,,2020-08-16,000,0000,000,1,,0000,,0
1,507c4f0d-774d-4207-966a-1d70c15559ef,507c4f0d-774d-4207-966a-1d70c15559ef,65,012,0,0,000,63012000000039000,0.0,2079-06-06,ОПХ Поволжской МИС,6350,6350,,,36218844000,36618444,10,f75d18d4-47f4-42db-b105-acde9933fe90,000,630120000000390,,,63,тер.,2020-08-13,0000,,,2020-08-16,000,0000,000,1,,0390,,0
1,71d82372-0612-4504-87d7-843be169d7aa,71d82372-0612-4504-87d7-843be169d7aa,7,016,0,0,000,63016000020003900,0.0,2079-06-06,Еловая,6376,6376,,,36228824013,36628424126,10,73a23fb1-49e1-4fce-9a16-c20e6c581b24,020,630160000200039,,,63,ул,2020-08-14,0039,,,2020-08-16,000,0000,000,1,,0000,,0
1,321b3411-413d-4434-9817-63e2edaeca12,321b3411-413d-4434-9817-63e2edaeca12,7,016,0,0,000,63016000020000500,0.0,2079-06-06,Зеленый,6376,6376,,,36228824013,36628424126,10,73a23fb1-49e1-4fce-9a16-c20e6c581b24,020,630160000200005,,,63,б-р,2020-08-14,0005,,,2020-08-16,000,0000,000,1,,0000,,0
1,bbc33ae6-8121-49a6-b91b-7d8bdcda4d29,bbc33ae6-8121-49a6-b91b-7d8bdcda4d29,65,012,0,0,000,63012000000038900,0.0,2079-06-06,КСХП Богдановское,6350,6350,,,36218812000,36618412,10,f75d18d4-47f4-42db-b105-acde9933fe90,000,630120000000389,,,63,тер.,2020-08-13,0000,,,2020-08-16,000,0000,000,1,,0389,,0
1,ee18c751-6f08-4975-9363-3e0e536ae642,ee18c751-6f08-4975-9363-3e0e536ae642,7,016,0,0,000,63016000000113900,0.0,2079-06-06,2-я,6376,6376,,,36228563000,36628163,10,89cf29a7-5067-4fd6-9faf-70f0ab80c9d8,000,630160000001139,,,63,линия,2020-08-14,1139,,,2020-08-16,000,0000,000,1,,0357,,0
1,9e082159-6efa-40c5-9872-8a1c4d4c2b3f,9e082159-6efa-40c5-9872-8a1c4d4c2b3f,65,012,0,0,000,63012000007006500,0.0,2079-06-06,Промышленная,6350,6350,,,36218812001,36618412101,10,d678ce6b-8a31-42fc-ac5e-86872a908b31,007,630120000070065,446415,,63,зона,2020-08-13,0000,,,2020-08-16,000,0000,000,1,,0065,,0
1,4114e73c-3164-4d3b-b72e-7e5612495177,4114e73c-3164-4d3b-b72e-7e5612495177,7,023,0,0,000,63023000000032700,0.0,2079-06-06,11-й Малиновый,6325,6325,,,36242558000,36642156,10,9e4e4651-cef3-4efb-9a86-947d4fc9b49b,000,630230000000327,445250,,63,туп,2020-08-17,0327,,,2020-08-17,000,0000,000,1,,0050,,0
1,2cb440d9-a504-4ba3-80a2-cb074954594c,2cb440d9-a504-4ba3-80a2-cb074954594c,7,015,0,0,000,63015000000031200,0.0,2079-06-06,2-я,6375,6375,,,36226820000,36626420,10,f187db09-6a69-47f0-8830-be22070637ed,000,630150000000312,446143,,63,линия,2020-08-19,0312,,,2020-08-20,000,0000,000,1,,0001,,0
