ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
0,e4d25ed9-b242-4cd7-80cb-ac2200bb4e8b,3faf7d24-da1e-4346-9173-473bcd0aaac6,7,031,0,0,000,64031000044000102,2.0,2015-10-13,Садовая,6446,6446,783da5c9-9712-4d60-9235-92c1d7a193e1,,63241888005,63641488141,21,a4ea1d4b-f67c-4974-a319-c3f7814b0f22,044,640310000440001,412011,04309e8f-b43f-45dc-b8a2-eb5d73a80300,64,ул,2014-01-10,0001,,,2020-08-30,000,0000,000,0,,0000,,0
0,e4d25ed9-b242-4cd7-80cb-ac2200bb4e8b,783da5c9-9712-4d60-9235-92c1d7a193e1,7,031,0,0,000,64031000044000100,0.0,2020-07-13,Садовая,6446,6446,527c7277-888d-4eda-88fb-4a764968e1ed,,63241888005,63641488,21,a4ea1d4b-f67c-4974-a319-c3f7814b0f22,044,640310000440001,412011,3faf7d24-da1e-4346-9173-473bcd0aaac6,64,ул,2015-10-13,0001,,,2020-08-30,000,0000,000,0,,0000,,0
0,e4d25ed9-b242-4cd7-80cb-ac2200bb4e8b,527c7277-888d-4eda-88fb-4a764968e1ed,7,031,0,0,000,64031000044000100,0.0,2079-06-06,Садовая,6446,6446,b34de749-050d-426d-9dba-6d117961a9ca,,63241000435,63641488141,21,a4ea1d4b-f67c-4974-a319-c3f7814b0f22,044,640310000440001,412011,783da5c9-9712-4d60-9235-92c1d7a193e1,64,ул,2020-07-13,0001,,,2020-08-30,000,0000,000,0,,0000,,0
1,e4d25ed9-b242-4cd7-80cb-ac2200bb4e8b,b34de749-050d-426d-9dba-6d117961a9ca,7,031,0,0,000,64031000044000100,0.0,2079-06-06,Садовая,6446,6446,,,63241000150,63641488141,20,a4ea1d4b-f67c-4974-a319-c3f7814b0f22,044,640310000440001,412011,527c7277-888d-4eda-88fb-4a764968e1ed,64,ул,2020-08-28,0001,,,2020-08-30,000,0000,000,1,,0000,,0
0,902f8a42-13a5-4888-a5ef-ee8a67f918a0,70d6c133-8cf1-4274-879c-c1551ed231f8,7,031,0,0,000,64031000098000201,1.0,2079-06-06,Первомайская,6446,6446,bc874c01-7dff-4d57-b17f-354bc3135feb,,63241818003,63641488,1,16d6150f-1a4f-4655-bbba-7f8709429f85,098,640310000980002,412047,,64,ул,1900-01-01,0002,,,2020-08-30,000,0000,000,0,,0000,,0
0,902f8a42-13a5-4888-a5ef-ee8a67f918a0,bc874c01-7dff-4d57-b17f-354bc3135feb,7,031,0,0,000,64031000098000200,0.0,2020-08-28,Первомайская,6446,6446,4c3d7e24-7df3-48b8-b59a-d9a8c3beaacc,,63241818003,63641488,21,16d6150f-1a4f-4655-bbba-7f8709429f85,098,640310000980002,412047,70d6c133-8cf1-4274-879c-c1551ed231f8,64,ул,2014-01-10,0002,,,2020-08-30,000,0000,000,0,,0000,,0
0,902f8a42-13a5-4888-a5ef-ee8a67f918a0,4c3d7e24-7df3-48b8-b59a-d9a8c3beaacc,7,031,0,0,000,64031000098000200,0.0,2079-06-06,Первомайская,6446,6446,e5619bdb-4075-4e37-8145-73ba5fd32b43,,63241000435,63641488176,21,16d6150f-1a4f-4655-bbba-7f8709429f85,098,640310000980002,412047,bc874c01-7dff-4d57-b17f-354bc3135feb,64,ул,2020-07-13,0002,,,2020-08-30,000,0000,000,0,,0000,,0
1,902f8a42-13a5-4888-a5ef-ee8a67f918a0,e5619bdb-4075-4e37-8145-73ba5fd32b43,7,031,0,0,000,64031000098000200,0.0,2079-06-06,Первомайская,6446,6446,,,63241000445,63641488176,20,16d6150f-1a4f-4655-bbba-7f8709429f85,098,640310000980002,412047,4c3d7e24-7df3-48b8-b59a-d9a8c3beaacc,64,ул,2020-08-28,0002,,,2020-08-30,000,0000,000,1,,0000,,0
0,338fdf33-fc72-4a86-b8a3-d9a3c43f545e,ad5c2365-4096-4f56-9ff7-821292bd9675,6,000,0,0,004,6400000400101,1.0,2020-07-28,Радужный,6439,6439,b6cb9f69-2948-4a8e-9e80-5de48df159e2,,63407000000,63607101,1,45eea4e7-2977-44bb-9b3d-ef8e9198e5d2,001,64000004001,413841,,64,п,1900-01-01,0000,,,2020-08-30,000,0000,000,0,,0000,,0
0,338fdf33-fc72-4a86-b8a3-d9a3c43f545e,b6cb9f69-2948-4a8e-9e80-5de48df159e2,6,000,0,0,004,6400000400102,2.0,2020-07-28,Радужный,6439,6439,bd1cf238-c8cc-4dd3-82d5-c6561c07a8a9,,63407000000,63607101001,20,45eea4e7-2977-44bb-9b3d-ef8e9198e5d2,000,64000004001,413863,ad5c2365-4096-4f56-9ff7-821292bd9675,64,п,2007-09-21,0000,,,2020-08-30,000,0000,000,0,,0777,,0
0,338fdf33-fc72-4a86-b8a3-d9a3c43f545e,bd1cf238-c8cc-4dd3-82d5-c6561c07a8a9,6,000,0,0,004,6400000400151,51.0,2020-07-28,Радужный,6439,6439,99a1e519-8b31-4c99-b994-38eb20921f01,,63207501000,63607101001,21,45eea4e7-2977-44bb-9b3d-ef8e9198e5d2,000,64000004001,,b6cb9f69-2948-4a8e-9e80-5de48df159e2,64,п,2019-12-08,0000,,,2020-08-30,000,0000,000,0,,0777,,0
0,338fdf33-fc72-4a86-b8a3-d9a3c43f545e,99a1e519-8b31-4c99-b994-38eb20921f01,65,000,0,0,004,64000004000077700,0.0,2079-06-06,Радужный,6439,6439,a43cb591-6af8-44dc-a070-d619c0f0784a,,63207501000,63607101,20,45eea4e7-2977-44bb-9b3d-ef8e9198e5d2,000,640000040000777,,bd1cf238-c8cc-4dd3-82d5-c6561c07a8a9,64,р-н,2020-07-28,0000,,,2020-08-30,000,0000,000,0,,0777,,0
1,338fdf33-fc72-4a86-b8a3-d9a3c43f545e,a43cb591-6af8-44dc-a070-d619c0f0784a,65,000,0,0,004,64000004000077700,0.0,2079-06-06,Радужный,6439,6439,,,63207501000,63607101001,50,45eea4e7-2977-44bb-9b3d-ef8e9198e5d2,000,640000040000777,,99a1e519-8b31-4c99-b994-38eb20921f01,64,р-н,2020-08-28,0000,,,2020-08-30,000,0000,000,1,,0777,,0
0,e83acdb4-eef9-40bf-bb7d-a91410b6a76d,31cac56d-89ad-4ef1-ac63-cdeb3d52359f,7,031,0,0,000,64031000044000201,1.0,2079-06-06,Овражная,6446,6446,036eb195-5d80-41d9-8782-e70f1770ea27,,63241888005,63641488,1,a4ea1d4b-f67c-4974-a319-c3f7814b0f22,044,640310000440002,412011,,64,ул,1900-01-01,0002,,,2020-08-30,000,0000,000,0,,0000,,0
0,e83acdb4-eef9-40bf-bb7d-a91410b6a76d,036eb195-5d80-41d9-8782-e70f1770ea27,7,031,0,0,000,64031000044000202,2.0,2015-10-13,Овражная,6446,6446,de74a43c-bb8c-4dbc-852d-8eb02ad09b1d,,63241888005,63641488141,21,a4ea1d4b-f67c-4974-a319-c3f7814b0f22,044,640310000440002,412011,31cac56d-89ad-4ef1-ac63-cdeb3d52359f,64,ул,2014-01-10,0002,,,2020-08-30,000,0000,000,0,,0000,,0
