ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
0,97c58597-4a61-489b-9070-34ca2437a2bc,679f7a39-fecb-424f-a006-ff9175971f3a,7,016,0,0,001,65016001000000301,1.0,2020-08-31,Волкова,6509,6509,711dd204-d7ff-4d85-b022-58a46eb4136c,,64440000000,64754000,1,0d5fd8b6-9e5e-44e1-a341-fff1c3c9e1e0,000,650160010000003,694620,,65,ул,1900-01-01,0003,,,2020-09-03,000,0000,000,0,,0000,,0
0,97c58597-4a61-489b-9070-34ca2437a2bc,711dd204-d7ff-4d85-b022-58a46eb4136c,7,016,0,0,001,65016001000000302,2.0,2014-01-04,Волкова,6509,6509,7e836fb7-f582-4e44-b163-3d0d5129bf86,,64440000000,64754000001,21,0d5fd8b6-9e5e-44e1-a341-fff1c3c9e1e0,000,650160010000003,694620,679f7a39-fecb-424f-a006-ff9175971f3a,65,ул,2014-01-04,0003,,,2020-09-03,000,0000,000,0,,0000,,0
0,97c58597-4a61-489b-9070-34ca2437a2bc,7e836fb7-f582-4e44-b163-3d0d5129bf86,7,016,0,0,001,65016001000000303,3.0,2020-08-31,Волкова,6509,6509,49b35758-3308-49b6-aede-afb877eb2205,,64440000000,64754000001,20,0d5fd8b6-9e5e-44e1-a341-fff1c3c9e1e0,000,650160010000003,694620,711dd204-d7ff-4d85-b022-58a46eb4136c,65,ул,2014-01-04,0003,,,2020-09-03,000,0000,000,0,,0000,,0
0,97c58597-4a61-489b-9070-34ca2437a2bc,49b35758-3308-49b6-aede-afb877eb2205,7,016,0,0,001,65016001000000303,3.0,2079-06-06,Волкова,6509,6509,066499d4-f258-4070-941e-1b39e91338ea,,64254501000,64754000001,21,0d5fd8b6-9e5e-44e1-a341-fff1c3c9e1e0,000,650160010000003,694620,7e836fb7-f582-4e44-b163-3d0d5129bf86,65,ул,2020-04-22,0003,,,2020-09-03,000,0000,000,0,,0000,,0
1,97c58597-4a61-489b-9070-34ca2437a2bc,066499d4-f258-4070-941e-1b39e91338ea,7,016,0,0,001,65016001000000300,0.0,2079-06-06,Владимира Волкова,6509,6509,,,64254501000,64754000001,20,0d5fd8b6-9e5e-44e1-a341-fff1c3c9e1e0,000,650160010000003,694620,49b35758-3308-49b6-aede-afb877eb2205,65,ул,2020-08-31,0003,,,2020-09-03,000,0000,000,1,,0000,,0
1,1f4a8fd5-68cd-4bb0-93b6-b850cd05548d,1f4a8fd5-68cd-4bb0-93b6-b850cd05548d,7,000,0,0,001,65000001000006100,0.0,2079-06-06,имени Александра Сергеевича Челнокова,6501,6501,,,64401000000,64701000001,10,44388ad0-06aa-49b0-bbf9-1704629d1d68,000,650000010000061,,,65,пр-д,2020-08-31,0061,,,2020-09-03,000,0000,000,1,,0000,,0
1,4d20b23f-6052-4bea-8867-d83cdbbf184b,4d20b23f-6052-4bea-8867-d83cdbbf184b,7,000,0,0,001,65000001000006500,0.0,2079-06-06,Вольский,6501,6501,,,64401000000,64701000001,10,44388ad0-06aa-49b0-bbf9-1704629d1d68,000,650000010000065,,,65,пр-д,2020-09-02,0065,,,2020-09-03,000,0000,000,1,,0000,,0
1,2813c34f-8317-448d-adde-a8c5ee8997bf,2813c34f-8317-448d-adde-a8c5ee8997bf,7,002,0,0,000,65002000000001800,0.0,2079-06-06,Северная,6501,6501,,,64208000000,64708000,10,c4542b77-a6b9-4e74-9aab-236679a55b05,000,650020000000018,694030,,65,ул,2020-09-01,0018,6510,6510,2020-09-03,000,0000,000,1,,0006,,0
0,ca83e678-453d-444d-bba0-534fdb704605,ca83e678-453d-444d-bba0-534fdb704605,7,000,0,0,001,65000001000062099,99.0,2020-09-01,Вольский,6501,6501,530d25f6-5a04-4c56-8da2-f3daff27b381,,64401000000,64701000001,10,44388ad0-06aa-49b0-bbf9-1704629d1d68,000,650000010000620,693022,,65,пер,2016-01-15,0620,,,2020-09-03,000,0000,000,0,bb445411-5c71-4807-a626-6c6dd9072e69,0000,,0
1,ca83e678-453d-444d-bba0-534fdb704605,530d25f6-5a04-4c56-8da2-f3daff27b381,7,000,0,0,001,65000001000062099,99.0,2079-06-06,Вольский,6501,6501,,,64401000000,64701000001,30,44388ad0-06aa-49b0-bbf9-1704629d1d68,000,650000010000620,693022,ca83e678-453d-444d-bba0-534fdb704605,65,пер,2020-09-01,0620,,,2020-09-03,000,0000,000,0,,0000,,0
1,a447fccf-0afa-415e-b9c1-729941569078,a447fccf-0afa-415e-b9c1-729941569078,7,000,0,0,001,65000001000004600,0.0,2079-06-06,Медиков,6501,6501,,,64401000000,64701000001,10,989878d1-ca09-43c2-a93b-15e4695be754,000,650000010000046,,,65,ул,2020-08-13,0046,,,2020-08-16,000,0000,000,1,,0808,,0
1,0dd1db82-386a-453d-b77a-671ab5acb86f,0dd1db82-386a-453d-b77a-671ab5acb86f,7,002,0,0,000,65002000010003700,0.0,2079-06-06,Земляничная,6501,6501,,,64208000009,64708000171,10,cbe4371a-82fc-49a7-be7a-fe0717816e76,010,650020000100037,,,65,ул,2020-08-17,0037,6510,6510,2020-08-17,000,0000,000,1,,0000,,0
0,df235b95-e2c4-4d4c-952f-046154a4ec27,df235b95-e2c4-4d4c-952f-046154a4ec27,90,000,0,0,001,65000001000082951,51.0,2016-09-28,Прогресс,6501,6501,dea22c7a-0984-4b66-97ad-7686dd077f58,,64401000000,64701000001,10,44388ad0-06aa-49b0-bbf9-1704629d1d68,000,650000010000829,,,65,снт,2016-05-26,0000,,,2020-08-17,000,0000,000,0,201d03ac-956d-4f00-9193-844a8d3212a6,0000,,0
0,df235b95-e2c4-4d4c-952f-046154a4ec27,dea22c7a-0984-4b66-97ad-7686dd077f58,65,000,0,0,001,65000001000082901,1.0,2020-08-17,Прогресс,6501,6501,120f8924-a1f7-475b-ba96-1892c50f9195,,64401000000,64701000001,50,44388ad0-06aa-49b0-bbf9-1704629d1d68,000,650000010000829,,df235b95-e2c4-4d4c-952f-046154a4ec27,65,снт,2016-09-28,0000,,,2020-08-17,000,0000,000,0,,0829,,0
1,df235b95-e2c4-4d4c-952f-046154a4ec27,120f8924-a1f7-475b-ba96-1892c50f9195,65,000,0,0,001,65000001000082900,0.0,2079-06-06,Прогресс,6501,6501,,,64401000000,64701000001,20,44388ad0-06aa-49b0-bbf9-1704629d1d68,000,650000010000829,,dea22c7a-0984-4b66-97ad-7686dd077f58,65,тер. СНТ,2020-08-17,0000,,,2020-08-17,000,0000,000,1,,0829,,0
0,ec25bfe1-a8f5-4693-8d15-7847e6c0238b,ec25bfe1-a8f5-4693-8d15-7847e6c0238b,65,000,0,0,001,65000001000107101,1.0,2020-08-17,Истоки,6501,6501,d477af0c-3c83-4666-a675-54878d355130,,64401000000,64701000001,10,44388ad0-06aa-49b0-bbf9-1704629d1d68,000,650000010001071,,,65,тер. ДНТ,2018-06-08,0000,,,2020-08-17,000,0000,000,0,085ba936-423e-4d2c-916d-8c90cc3f0c37,1071,,0
1,ec25bfe1-a8f5-4693-8d15-7847e6c0238b,d477af0c-3c83-4666-a675-54878d355130,65,000,0,0,001,65000001000107100,0.0,2079-06-06,Истоки,6501,6501,,,64401000000,64701000001,20,44388ad0-06aa-49b0-bbf9-1704629d1d68,000,650000010001071,,ec25bfe1-a8f5-4693-8d15-7847e6c0238b,65,тер. СНТ,2020-08-17,0000,,,2020-08-17,000,0000,000,1,,1071,,0
