ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,9c7e649f-5e91-454e-b537-26adba3a2c26,9c7e649f-5e91-454e-b537-26adba3a2c26,7,030,0,0,001,66030001000021000,0.0,2079-06-06,Октября,6676,6676,,,65254501000,65726000001,10,45a7312f-5c8b-46d9-b7ff-46d0efa63366,000,660300010000210,,,66,пл,2020-08-28,0210,,,2020-08-30,000,0000,000,1,,0000,,0
0,a80d88c9-53fd-47db-a9f3-c985cc84d778,33d09e4e-0afb-4635-bdb1-770915d2e8b4,7,000,0,0,004,66000004027000801,1.0,2079-06-06,Красная,6606,6606,4d3b306c-b6d0-48aa-a8ed-7fb108621721,,65420808003,65732000,1,e719c02b-21cb-45d6-a3ac-c8907c85bfaa,027,660000040270008,624086,,66,ул,1900-01-01,0008,,,2020-09-03,000,0000,000,0,,0000,,0
0,a80d88c9-53fd-47db-a9f3-c985cc84d778,4d3b306c-b6d0-48aa-a8ed-7fb108621721,7,000,0,0,004,66000004027000802,2.0,2014-01-05,Красная,6686,6686,819b13d6-076f-4475-b136-1b341cf7e6ff,,65420808003,65732000,21,e719c02b-21cb-45d6-a3ac-c8907c85bfaa,027,660000040270008,624086,33d09e4e-0afb-4635-bdb1-770915d2e8b4,66,ул,2012-01-01,0008,,,2020-09-03,000,0000,000,0,42bfcf59-d221-4297-8194-77a3ded25123,0000,,0
0,a80d88c9-53fd-47db-a9f3-c985cc84d778,819b13d6-076f-4475-b136-1b341cf7e6ff,7,000,0,0,004,66000004027000800,0.0,2020-09-01,Красная,6686,6686,6de9e4c5-cef4-4b0b-9b6c-fa798c5383fe,,65420808003,65732000211,21,e719c02b-21cb-45d6-a3ac-c8907c85bfaa,027,660000040270008,,4d3b306c-b6d0-48aa-a8ed-7fb108621721,66,ул,2014-01-05,0008,,,2020-09-03,000,0000,000,0,42bfcf59-d221-4297-8194-77a3ded25123,0000,,0
1,a80d88c9-53fd-47db-a9f3-c985cc84d778,6de9e4c5-cef4-4b0b-9b6c-fa798c5383fe,7,000,0,0,004,66000004027000800,0.0,2079-06-06,Красная,6686,6686,,,65420000021,65732000211,20,e719c02b-21cb-45d6-a3ac-c8907c85bfaa,027,660000040270008,,819b13d6-076f-4475-b136-1b341cf7e6ff,66,ул,2020-09-01,0008,,,2020-09-03,000,0000,000,1,,0000,,0
1,53a7c66e-fb67-428e-bf0e-ffcaafc91de3,53a7c66e-fb67-428e-bf0e-ffcaafc91de3,7,008,0,0,000,66008000008002200,0.0,2079-06-06,Береговая,6633,6633,,,65210000026,65707000116,10,f315d418-bfe0-43a4-b4a1-158f30eb0b83,008,660080000080022,,,66,ул,2020-08-31,0022,,,2020-09-03,000,0000,000,1,,0000,,0
0,febeb8fe-cb01-422b-aa91-1849ace40971,febeb8fe-cb01-422b-aa91-1849ace40971,65,000,0,0,005,66000005000012700,0.0,2079-06-06,Боярский,6683,6683,87478f1b-d0ea-4bd3-9af5-51593be09c1d,,65426000000,65737000,10,8018ae42-55a5-4297-a126-b482aee0b634,000,660000050000127,624250,,66,тер. СНТ,2016-12-01,0000,6639,6639,2020-09-03,000,0000,000,0,a95b2b1d-224b-4542-b8b9-ce5263396c02,0127,,0
1,febeb8fe-cb01-422b-aa91-1849ace40971,87478f1b-d0ea-4bd3-9af5-51593be09c1d,65,000,0,0,005,66000005000012700,0.0,2079-06-06,Боярский,6683,6683,,,65426000000,65737000001,21,8018ae42-55a5-4297-a126-b482aee0b634,000,660000050000127,624250,febeb8fe-cb01-422b-aa91-1849ace40971,66,тер. СНТ,2020-09-02,0000,6639,6639,2020-09-03,000,0000,000,1,,0127,,0
0,61e46a16-e6f0-468b-9577-85b5827c60b1,61e46a16-e6f0-468b-9577-85b5827c60b1,7,000,0,0,005,66000005000011851,51.0,2016-12-07,Горняк,6683,6683,d1f0a394-da81-4208-838f-494d08cfd468,,65426000000,65737000,10,8018ae42-55a5-4297-a126-b482aee0b634,000,660000050000118,624250,,66,снт,2013-12-26,0118,,,2020-09-03,000,0000,000,0,,0000,,0
0,61e46a16-e6f0-468b-9577-85b5827c60b1,d1f0a394-da81-4208-838f-494d08cfd468,65,000,0,0,005,66000005000013700,0.0,2079-06-06,Горняк,6683,6683,91343ab4-6117-4f91-97e0-f726532768ec,,65426000000,65737000,20,8018ae42-55a5-4297-a126-b482aee0b634,000,660000050000137,624250,61e46a16-e6f0-468b-9577-85b5827c60b1,66,тер. СНТ,2016-12-07,0000,,,2020-09-03,000,0000,000,0,b419815c-c0a8-43c8-8589-6d2d7c7c228a,0137,,0
