ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
0,1b18016a-a61d-44d7-aa22-adcada6f6397,3aacf378-f463-40e4-8363-4b317841d7d8,6,016,0,0,000,6701600035201,1.0,2020-02-13,Осиновка ( Рославльское с/пос),6725,6725,af516b80-b39f-471c-ba00-e631bbf55231,,66236880008,66636480,1,8ac93b54-db33-4693-a9ba-7182c8822a1f,352,67016000352,216537,,67,нп,1900-01-01,0000,,,2020-08-30,000,0000,000,0,,0000,,0
0,1b18016a-a61d-44d7-aa22-adcada6f6397,af516b80-b39f-471c-ba00-e631bbf55231,6,016,0,0,000,6701600035202,2.0,2019-10-25,Осиновка ( Рославльское с/пос),6725,6725,c4973950-543d-4ea1-a070-47aec8bf55db,,66236880008,66636480151,21,8ac93b54-db33-4693-a9ba-7182c8822a1f,352,67016000352,216537,3aacf378-f463-40e4-8363-4b317841d7d8,67,нп,2014-01-10,0000,,,2020-08-30,000,0000,000,0,,0000,,0
0,fe55a939-72f4-45f3-99c5-9aff78b7279e,f4a1a303-8256-4b49-8fea-16df9e261c14,6,016,0,0,000,6701600035001,1.0,2020-08-27,Новоселки (Грязенятское с/пос),6725,6725,971acc06-9795-4182-be2e-1984945f2524,,66236820015,66636420,1,8ac93b54-db33-4693-a9ba-7182c8822a1f,350,67016000350,216567,,67,д,1900-01-01,0000,,,2020-08-30,000,0000,000,0,,0000,,0
0,fe55a939-72f4-45f3-99c5-9aff78b7279e,971acc06-9795-4182-be2e-1984945f2524,6,016,0,0,000,6701600035002,2.0,2019-10-25,Новоселки (Грязенятское с/пос),6725,6725,5f0880e1-db59-4315-a19c-a2d12d36558a,,66236820015,66636420166,21,8ac93b54-db33-4693-a9ba-7182c8822a1f,350,67016000350,216567,f4a1a303-8256-4b49-8fea-16df9e261c14,67,д,2014-01-10,0000,,,2020-08-30,000,0000,000,0,,0000,,0
0,fe55a939-72f4-45f3-99c5-9aff78b7279e,5f0880e1-db59-4315-a19c-a2d12d36558a,6,016,0,0,000,6701600035003,3.0,2020-08-27,Новоселки (Грязенятское с/пос),6725,6725,64612166-5e2f-4452-a41f-10784ab24a03,,66236820015,66636460141,21,8ac93b54-db33-4693-a9ba-7182c8822a1f,350,67016000350,216567,971acc06-9795-4182-be2e-1984945f2524,67,д,2019-10-25,0000,,,2020-08-30,000,0000,000,0,,0000,,0
0,1b18016a-a61d-44d7-aa22-adcada6f6397,c4973950-543d-4ea1-a070-47aec8bf55db,6,016,0,0,000,6701600035201,1.0,2020-02-13,Осиновка ( Рославльское с/пос),6725,6725,69e816af-1952-48ef-9e48-5308737553fc,,66236880008,66636470121,21,8ac93b54-db33-4693-a9ba-7182c8822a1f,352,67016000352,216537,af516b80-b39f-471c-ba00-e631bbf55231,67,нп,2019-10-25,0000,,,2020-08-30,000,0000,000,0,,0000,,0
0,1b18016a-a61d-44d7-aa22-adcada6f6397,69e816af-1952-48ef-9e48-5308737553fc,6,016,0,0,000,6701600035203,3.0,2020-08-27,Осиновка,6725,6725,1d513dfa-92da-41e1-836a-ea362f33a2c9,,66236880008,66636470121,20,8ac93b54-db33-4693-a9ba-7182c8822a1f,352,67016000352,216537,c4973950-543d-4ea1-a070-47aec8bf55db,67,нп,2020-02-13,0000,,,2020-08-30,000,0000,000,0,a818bea7-4708-4515-873d-eb929c4d395f,0000,,0
1,1b18016a-a61d-44d7-aa22-adcada6f6397,1d513dfa-92da-41e1-836a-ea362f33a2c9,6,016,0,0,000,6701600035200,0.0,2079-06-06,Осиновка,6725,6725,,,66236880008,66636470121,20,8ac93b54-db33-4693-a9ba-7182c8822a1f,352,67016000352,216537,69e816af-1952-48ef-9e48-5308737553fc,67,д,2020-08-27,0000,,,2020-08-30,000,0000,000,1,,0000,,0
0,5f68e505-95c8-4263-a143-130b18d4e012,21efffce-e7bb-4b26-ab32-ee8f8f358b18,6,016,0,0,000,6701600010501,1.0,2020-08-27,Ивановское (Астапковичское с/пос),6725,6725,00df1bb6-f4b3-4ea0-bbb9-09ff6aaac51d,,66236808007,66636408,1,8ac93b54-db33-4693-a9ba-7182c8822a1f,105,67016000105,216521,,67,д,1900-01-01,0000,,,2020-08-30,000,0000,000,0,,0000,,0
0,5f68e505-95c8-4263-a143-130b18d4e012,00df1bb6-f4b3-4ea0-bbb9-09ff6aaac51d,6,016,0,0,000,6701600010502,2.0,2020-08-27,Ивановское (Астапковичское с/пос),6725,6725,f272c853-8a29-43dc-a5f8-5a088bb84022,,66236808007,66636408131,21,8ac93b54-db33-4693-a9ba-7182c8822a1f,105,67016000105,,21efffce-e7bb-4b26-ab32-ee8f8f358b18,67,д,2014-01-10,0000,,,2020-08-30,000,0000,000,0,,0000,,0
