ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,fb5f9e83-3dfa-40e7-a869-085b54345ebc,fb5f9e83-3dfa-40e7-a869-085b54345ebc,7,001,0,0,000,68001000108006400,0.0,2079-06-06,Б,6820,6820,,,68240899001,68640499101,10,c7b468cd-a8a2-4b2d-a07b-8fd542ae51f2,108,680010001080064,392525,,68,ряд,2020-09-02,0064,,,2020-09-03,000,0000,000,1,,0019,,0
1,23aa8710-9200-46ba-b8cb-69ae50f2f7c9,23aa8710-9200-46ba-b8cb-69ae50f2f7c9,7,001,0,0,000,68001000108005800,0.0,2079-06-06,4-й,6820,6820,,,68240899001,68640499101,10,c7b468cd-a8a2-4b2d-a07b-8fd542ae51f2,108,680010001080058,392525,,68,ряд,2020-09-02,0058,,,2020-09-03,000,0000,000,1,,0019,,0
1,d1cd3057-17a5-4d20-bdcf-e164341c85eb,d1cd3057-17a5-4d20-bdcf-e164341c85eb,7,001,0,0,000,68001000108006200,0.0,2079-06-06,8-й,6820,6820,,,68240899001,68640499101,10,c7b468cd-a8a2-4b2d-a07b-8fd542ae51f2,108,680010001080062,392525,,68,ряд,2020-09-02,0062,,,2020-09-03,000,0000,000,1,,0019,,0
1,d6675909-cf7e-462f-b3ec-b501141176da,d6675909-cf7e-462f-b3ec-b501141176da,7,001,0,0,000,68001000108006000,0.0,2079-06-06,6-й,6820,6820,,,68240899001,68640499101,10,c7b468cd-a8a2-4b2d-a07b-8fd542ae51f2,108,680010001080060,392525,,68,ряд,2020-09-02,0060,,,2020-09-03,000,0000,000,1,,0019,,0
1,bf887586-141a-4fe2-8446-f19eacddcbe9,bf887586-141a-4fe2-8446-f19eacddcbe9,7,001,0,0,000,68001000108006600,0.0,2079-06-06,Г,6820,6820,,,68240899001,68640499101,10,c7b468cd-a8a2-4b2d-a07b-8fd542ae51f2,108,680010001080066,392525,,68,ряд,2020-09-02,0066,,,2020-09-03,000,0000,000,1,,0019,,0
1,7ce126c9-8692-4ccc-98ae-a5b3e8424121,7ce126c9-8692-4ccc-98ae-a5b3e8424121,7,001,0,0,000,68001000108006100,0.0,2079-06-06,7-й,6820,6820,,,68240899001,68640499101,10,c7b468cd-a8a2-4b2d-a07b-8fd542ae51f2,108,680010001080061,392525,,68,ряд,2020-09-02,0061,,,2020-09-03,000,0000,000,1,,0019,,0
1,6d2b0eee-2344-405b-ab19-e0ee790c95b0,6d2b0eee-2344-405b-ab19-e0ee790c95b0,7,001,0,0,000,68001000108006500,0.0,2079-06-06,В,6820,6820,,,68240899001,68640499101,10,c7b468cd-a8a2-4b2d-a07b-8fd542ae51f2,108,680010001080065,392525,,68,ряд,2020-09-02,0065,,,2020-09-03,000,0000,000,1,,0019,,0
1,f2537540-9954-4885-822e-f9171c045ccd,f2537540-9954-4885-822e-f9171c045ccd,7,001,0,0,000,68001000108005600,0.0,2079-06-06,2-й,6820,6820,,,68240899001,68640499101,10,c7b468cd-a8a2-4b2d-a07b-8fd542ae51f2,108,680010001080056,392525,,68,ряд,2020-09-02,0056,,,2020-09-03,000,0000,000,1,,0019,,0
1,7c8dea84-d4e0-4e20-98fb-2e2334c9a511,7c8dea84-d4e0-4e20-98fb-2e2334c9a511,7,001,0,0,000,68001000108005700,0.0,2079-06-06,3-й,6820,6820,,,68240899001,68640499101,10,c7b468cd-a8a2-4b2d-a07b-8fd542ae51f2,108,680010001080057,392525,,68,ряд,2020-09-02,0057,,,2020-09-03,000,0000,000,1,,0019,,0
1,31dec7d9-a552-498b-92a4-2937ec3bbd4e,31dec7d9-a552-498b-92a4-2937ec3bbd4e,7,001,0,0,000,68001000108005900,0.0,2079-06-06,5-й,6820,6820,,,68240899001,68640499101,10,c7b468cd-a8a2-4b2d-a07b-8fd542ae51f2,108,680010001080059,392525,,68,ряд,2020-09-02,0059,,,2020-09-03,000,0000,000,1,,0019,,0
