ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
0,1b28c347-ec06-4741-a218-dd92b5e27c64,1b28c347-ec06-4741-a218-dd92b5e27c64,7,035,0,0,000,69035000000012751,51.0,2079-06-06,Берёзовая,6908,6908,53565969-3489-4ae7-9da5-6b0ed6d42975,,28256840002,28751000,10,749f0149-659a-4535-8749-cb250f1a8e82,000,690350000000127,171843,,69,ул,2020-02-28,0127,,,2020-08-30,000,0000,000,0,,0122,,0
1,1b28c347-ec06-4741-a218-dd92b5e27c64,53565969-3489-4ae7-9da5-6b0ed6d42975,7,000,0,0,007,69000007000025700,0.0,2079-06-06,Берёзовая,6908,6908,,,28256840002,28751000,50,749f0149-659a-4535-8749-cb250f1a8e82,000,690000070000257,171843,1b28c347-ec06-4741-a218-dd92b5e27c64,69,ул,2020-08-28,0257,,,2020-08-30,000,0000,000,1,dab05fd4-1fdf-4df2-a194-2345858e9a47,0256,,0
0,dc932be3-ef8b-4ee7-bdd4-0701d551caf8,02fa306f-4e3c-49d3-9e0f-a47e89f3a910,3,024,0,0,000,6902400000001,1.0,2020-08-27,Осташковский,6913,6913,81293dcf-df48-416d-ae6b-6ca6ddaade1c,,28245000000,,1,61723327-1c20-42fe-8dfa-402638d9b396,000,69024000000,,,69,р-н,1900-01-01,0000,,,2020-08-30,000,0000,000,0,,0000,,0
0,dc932be3-ef8b-4ee7-bdd4-0701d551caf8,81293dcf-df48-416d-ae6b-6ca6ddaade1c,3,024,0,0,000,6902400000099,99.0,2020-08-27,Осташковский,6913,6913,1aff4725-4436-4be9-a92f-3d682867b025,,28245000000,28645000,20,61723327-1c20-42fe-8dfa-402638d9b396,000,69024000000,,02fa306f-4e3c-49d3-9e0f-a47e89f3a910,69,р-н,2017-04-25,0000,,,2020-08-30,000,0000,000,0,196ee5c4-c9ba-4b97-aea4-164c54e7eea8,0000,,0
1,dc932be3-ef8b-4ee7-bdd4-0701d551caf8,1aff4725-4436-4be9-a92f-3d682867b025,3,024,0,0,000,6902400000099,99.0,2079-06-06,Осташковский,6913,6913,,,28245000000,28645000,30,61723327-1c20-42fe-8dfa-402638d9b396,000,69024000000,,81293dcf-df48-416d-ae6b-6ca6ddaade1c,69,р-н,2020-08-27,0000,,,2020-08-30,000,0000,000,0,8d6a6b54-c75a-41da-8351-6c0d3e4700d8,0000,,0
0,ef2f3f3a-ecfe-408d-8b76-28abbdc8214b,53e17c54-53be-40bd-818a-52a217629d35,7,003,0,0,000,69003000251000201,1.0,2079-06-06,Цветочная,6906,6906,d12e8f61-58da-4d29-845c-e2e2d9dd8aea,,28204808019,28604408,1,86ca4c6b-af5e-4bbf-93d4-914b96767de7,251,690030002510002,171949,,69,ул,1900-01-01,0002,,,2020-08-30,000,0000,000,0,,0000,,0
0,ef2f3f3a-ecfe-408d-8b76-28abbdc8214b,d12e8f61-58da-4d29-845c-e2e2d9dd8aea,7,003,0,0,000,69003000251000200,0.0,2079-06-06,Цветочная,6906,6906,25acda66-aa12-4253-bc24-18e9505bd4d8,,28204808019,28604408176,21,86ca4c6b-af5e-4bbf-93d4-914b96767de7,251,690030002510002,171949,53e17c54-53be-40bd-818a-52a217629d35,69,ул,2014-01-10,0002,,,2020-08-30,000,0000,000,0,,0000,,0
1,ef2f3f3a-ecfe-408d-8b76-28abbdc8214b,25acda66-aa12-4253-bc24-18e9505bd4d8,7,003,0,0,000,69003000251000200,0.0,2079-06-06,Цветочная,6906,6906,,,28204808019,28604408176,21,86ca4c6b-af5e-4bbf-93d4-914b96767de7,251,690030002510002,171949,d12e8f61-58da-4d29-845c-e2e2d9dd8aea,69,ул,2020-08-27,0002,,,2020-08-30,000,0000,000,1,,0000,,0
0,749f0149-659a-4535-8749-cb250f1a8e82,749f0149-659a-4535-8749-cb250f1a8e82,65,000,0,0,007,69035000000012251,51.0,2079-06-06,Бочурино,6908,6908,9b2a8efc-2eb3-4339-bbd7-02ec7bb91f0b,,28256840002,28751000,10,5bbf246a-6ff4-4050-9ea6-6d0b0a746651,000,690350000000122,171843,,69,тер,2019-11-01,0000,,,2020-08-30,000,0000,000,0,dab05fd4-1fdf-4df2-a194-2345858e9a47,0256,,0
1,749f0149-659a-4535-8749-cb250f1a8e82,9b2a8efc-2eb3-4339-bbd7-02ec7bb91f0b,65,000,0,0,007,69000007000025600,0.0,2079-06-06,Бочурино,6908,6908,,,28256840002,28751000,50,5bbf246a-6ff4-4050-9ea6-6d0b0a746651,000,690000070000256,171843,749f0149-659a-4535-8749-cb250f1a8e82,69,тер,2020-08-28,0000,,,2020-08-30,000,0000,000,1,dab05fd4-1fdf-4df2-a194-2345858e9a47,0256,,0
