ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,19155fa0-8e00-4b0a-bf2c-87542a105fbb,19155fa0-8e00-4b0a-bf2c-87542a105fbb,7,003,0,0,001,70003001000022500,0.0,2079-06-06,Садовая,7025,7025,,,69208501000,69608101001,10,d0d2e276-eb48-405c-ad73-8b54170457df,000,700030010000225,,,70,ул,2020-08-27,0225,7002,7002,2020-08-30,000,0000,000,1,,0222,,0
1,20b6be3f-157b-4176-bcc6-42514d7ddafe,20b6be3f-157b-4176-bcc6-42514d7ddafe,65,013,0,0,000,70013000024000300,0.0,2079-06-06,Майская поляна,7025,7025,,,69248000024,69648440126,10,9c451c60-e952-45d4-a0a5-2bf69c01812b,024,700130000240003,636955,,70,тер.,2020-08-31,0000,7012,7012,2020-09-03,000,0000,000,1,,0003,,0
1,8f29ba73-a5c2-4f0c-9400-d71f68e47763,8f29ba73-a5c2-4f0c-9400-d71f68e47763,65,017,0,0,000,70017000000054700,0.0,2079-06-06,Рябинка,7014,7014,,,69254000048,69654432,10,3c033223-92b9-46a6-9b3c-e5bc7d178f79,000,700170000000547,,,70,тер. СНТ,2020-08-31,0000,,,2020-09-03,000,0000,000,1,,0547,,0
0,b7bd51b2-1d87-4a6a-9515-1e851b1303b4,d81ef174-c371-4e93-9735-8400d25a68a3,7,010,0,0,000,70010000005001501,1.0,2020-08-31,Строителей,7027,7027,7d506b4c-b8ff-43b7-8440-df34bc2e76c9,,69236810001,69636410,1,3687c35d-b8d4-4a1e-8de3-bcfc3fdee4d2,005,700100000050015,636310,,70,пер,1900-01-01,0015,7009,7009,2020-09-03,000,0000,000,0,,0000,,0
0,b7bd51b2-1d87-4a6a-9515-1e851b1303b4,7d506b4c-b8ff-43b7-8440-df34bc2e76c9,7,010,0,0,000,70010000005001502,2.0,2014-01-10,Строителей,7026,7026,e2bcb82b-b54e-40b8-b6dd-30cba9fda0a4,,69236810001,69636410,21,3687c35d-b8d4-4a1e-8de3-bcfc3fdee4d2,005,700100000050015,636310,d81ef174-c371-4e93-9735-8400d25a68a3,70,пер,2013-01-01,0015,7009,7009,2020-09-03,000,0000,000,0,,0000,,0
0,b7bd51b2-1d87-4a6a-9515-1e851b1303b4,e2bcb82b-b54e-40b8-b6dd-30cba9fda0a4,7,010,0,0,000,70010000005001503,3.0,2017-03-01,Строителей,7026,7026,972bdfdd-fb34-4fc8-85af-905dbd7569b0,,69236810001,69636410101,21,3687c35d-b8d4-4a1e-8de3-bcfc3fdee4d2,005,700100000050015,636310,7d506b4c-b8ff-43b7-8440-df34bc2e76c9,70,пер,2014-01-10,0015,7009,7009,2020-09-03,000,0000,000,0,,0000,,0
0,b7bd51b2-1d87-4a6a-9515-1e851b1303b4,972bdfdd-fb34-4fc8-85af-905dbd7569b0,7,010,0,0,000,70010000005001599,99.0,2079-06-06,Строителей,7026,7026,86c277e6-c484-46ac-be89-26d306f7cbf0,,69236000007,69636410101,21,3687c35d-b8d4-4a1e-8de3-bcfc3fdee4d2,005,700100000050015,636310,e2bcb82b-b54e-40b8-b6dd-30cba9fda0a4,70,пер,2017-03-01,0015,7009,7009,2020-09-03,000,0000,000,0,,0000,,0
1,b7bd51b2-1d87-4a6a-9515-1e851b1303b4,86c277e6-c484-46ac-be89-26d306f7cbf0,7,010,0,0,000,70010000005001599,99.0,2079-06-06,Строителей,7026,7026,,,69236000007,69636410101,30,3687c35d-b8d4-4a1e-8de3-bcfc3fdee4d2,005,700100000050015,636310,972bdfdd-fb34-4fc8-85af-905dbd7569b0,70,пер,2020-08-31,0015,7009,7009,2020-09-03,000,0000,000,0,,0000,,0
1,c80c0cff-9ea6-4795-a332-0e0039dec6e5,c80c0cff-9ea6-4795-a332-0e0039dec6e5,65,003,0,0,000,70003000000003100,0.0,2079-06-06,Большежирово,7025,7025,,,69208000040,69608480,10,8f33c1f9-f707-42f6-9b86-5540c6df2413,000,700030000000031,,,70,тер.,2020-08-14,0000,,,2020-08-16,000,0000,000,1,,0031,,0
1,3dccd859-3546-40a1-99ba-0594d3b2f214,3dccd859-3546-40a1-99ba-0594d3b2f214,65,017,0,0,000,70017000083002600,0.0,2079-06-06,СНТ Контакт,7014,7014,,,69254000064,69654454101,10,eee3c69b-17ab-4188-adef-cbb5e9be3ac7,083,700170000830026,,,70,тер.,2020-08-18,0000,,,2020-08-20,000,0000,000,1,,0026,,0
