ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,66673431-3833-40de-9d7a-9e9e3fcf5f65,66673431-3833-40de-9d7a-9e9e3fcf5f65,65,018,0,0,000,71018000001006300,0.0,2079-06-06,массив Победы 19,7151,7151,,,70236551000,70636151051,10,c2124195-68c9-46e0-ae66-d1a0ef8bb322,001,710180000010063,301440,,71,тер.,2020-08-27,0000,,,2020-08-30,000,0000,000,1,,0063,,0
1,dd2ee7a3-5665-4020-bb8c-93397c1ef853,dd2ee7a3-5665-4020-bb8c-93397c1ef853,65,018,0,0,000,71018000001006400,0.0,2079-06-06,массив Победы 13,7151,7151,,,70236551000,70636151051,10,c2124195-68c9-46e0-ae66-d1a0ef8bb322,001,710180000010064,301440,,71,тер.,2020-08-27,0000,,,2020-08-30,000,0000,000,1,,0064,,0
0,a8da309c-b914-4e74-aba8-03f8afcc8a5d,d75c3dc4-4eb5-4e24-827c-96cace4deaf2,7,011,0,0,000,71011000118000501,1.0,2079-06-06,Микрорайон Л,7148,7148,841d6847-4982-42aa-b95b-9eaa926c87f6,,70222860012,70622435,1,800b136a-8861-4b10-8549-ca95122bc263,118,710110001180005,301000,,71,ул,1900-01-01,0005,7126,7126,2020-09-03,000,0000,000,0,,0000,,0
0,a8da309c-b914-4e74-aba8-03f8afcc8a5d,841d6847-4982-42aa-b95b-9eaa926c87f6,7,011,0,0,000,71011000118000500,0.0,2079-06-06,Микрорайон Л,7148,7148,0d4b051e-6706-4782-8ba6-c2b92f5d5deb,,70222860012,70622435286,21,800b136a-8861-4b10-8549-ca95122bc263,118,710110001180005,301000,d75c3dc4-4eb5-4e24-827c-96cace4deaf2,71,ул,2014-01-05,0005,7126,7126,2020-09-03,000,0000,000,0,,0000,,0
0,a8da309c-b914-4e74-aba8-03f8afcc8a5d,0d4b051e-6706-4782-8ba6-c2b92f5d5deb,7,011,0,0,000,71011000118000500,0.0,2079-06-06,Микрорайон Л,7148,7148,04309585-6575-46b5-acf7-40963c7617fb,,70222860012,70622435286,21,800b136a-8861-4b10-8549-ca95122bc263,118,710110001180005,301000,841d6847-4982-42aa-b95b-9eaa926c87f6,71,ул,2014-01-05,0005,,,2020-09-03,000,0000,000,0,,0000,,0
1,a8da309c-b914-4e74-aba8-03f8afcc8a5d,04309585-6575-46b5-acf7-40963c7617fb,7,011,0,0,000,71011000118000500,0.0,2079-06-06,Микрорайон Л,7148,7148,,,70222860012,70622435286,20,800b136a-8861-4b10-8549-ca95122bc263,118,710110001180005,301017,0d4b051e-6706-4782-8ba6-c2b92f5d5deb,71,ул,2020-09-01,0005,,,2020-09-03,000,0000,000,1,,0000,,0
0,2272fc47-7d0b-4871-8fd6-bb3c8cad8981,27ecf118-6a6e-42f1-b9cd-14a99900eb99,7,000,0,0,001,71000001000054701,1.0,2020-08-31,Московский Вокзал,7104,7104,d015a672-c146-454c-886c-ad8d5516f2b3,,70401368000,70701000,1,b2601b18-6da2-4789-9fbe-800dde06a2bb,000,710000010000547,300013,,71,ул,1900-01-01,0547,,,2020-09-03,000,0000,000,0,,0000,,0
0,2272fc47-7d0b-4871-8fd6-bb3c8cad8981,d015a672-c146-454c-886c-ad8d5516f2b3,7,000,0,0,001,71000001000054799,99.0,2079-06-06,Московский Вокзал,7104,7104,f4f9a536-1fea-44c5-8c9f-8e6473a4dead,,70401368000,70701000001,21,b2601b18-6da2-4789-9fbe-800dde06a2bb,000,710000010000547,300013,27ecf118-6a6e-42f1-b9cd-14a99900eb99,71,ул,2017-11-20,0547,,,2020-09-03,000,0000,000,0,c63ae563-fe0a-42d7-84f6-c77a314289e0,0000,,0
1,2272fc47-7d0b-4871-8fd6-bb3c8cad8981,f4f9a536-1fea-44c5-8c9f-8e6473a4dead,7,000,0,0,001,71000001000054799,99.0,2079-06-06,Московский Вокзал,7104,7104,,,70401368000,70701000001,30,b2601b18-6da2-4789-9fbe-800dde06a2bb,000,710000010000547,300013,d015a672-c146-454c-886c-ad8d5516f2b3,71,ул,2020-08-31,0547,,,2020-09-03,000,0000,000,0,,0000,,0
0,d88b4a46-edee-43a1-b282-ce483e5f2320,d88b4a46-edee-43a1-b282-ce483e5f2320,7,011,0,0,000,71011000118000600,0.0,2079-06-06,Молодежный,7148,7148,241c4f86-7499-4cff-badc-0e257fcb084c,,70222860012,70622435286,10,800b136a-8861-4b10-8549-ca95122bc263,118,710110001180006,301000,,71,мкр,2016-08-16,0006,7126,7126,2020-09-03,000,0000,000,0,90110909-8bc8-4f6b-a78b-7db8afa187a1,0000,,0
0,d88b4a46-edee-43a1-b282-ce483e5f2320,241c4f86-7499-4cff-badc-0e257fcb084c,7,011,0,0,000,71011000118000600,0.0,2079-06-06,Молодежный,7148,7148,0c08723a-17fc-4fca-8d51-79b57c7c67cd,,70222860012,70622435286,21,800b136a-8861-4b10-8549-ca95122bc263,118,710110001180006,301000,d88b4a46-edee-43a1-b282-ce483e5f2320,71,мкр,2016-08-16,0006,,,2020-09-03,000,0000,000,0,,0000,,0
1,d88b4a46-edee-43a1-b282-ce483e5f2320,0c08723a-17fc-4fca-8d51-79b57c7c67cd,7,011,0,0,000,71011000118000600,0.0,2079-06-06,Молодежный,7148,7148,,,70222860012,70622435286,20,800b136a-8861-4b10-8549-ca95122bc263,118,710110001180006,301017,241c4f86-7499-4cff-badc-0e257fcb084c,71,мкр,2020-09-01,0006,,,2020-09-03,000,0000,000,1,,0000,,0
0,1850ed19-3eac-4cfb-998d-fd8548db9e2c,8719d413-497f-49f4-a2b3-33c53b26e590,7,011,0,0,000,71011000118000101,1.0,2079-06-06,Микрорайон А,7148,7148,d6cea6a1-6d45-4497-945f-d8aada330f4a,,70222860012,70622435,1,800b136a-8861-4b10-8549-ca95122bc263,118,710110001180001,301000,,71,ул,1900-01-01,0001,7126,7126,2020-09-03,000,0000,000,0,,0000,,0
0,1850ed19-3eac-4cfb-998d-fd8548db9e2c,d6cea6a1-6d45-4497-945f-d8aada330f4a,7,011,0,0,000,71011000118000100,0.0,2079-06-06,Микрорайон А,7148,7148,09ff1954-e306-4595-b1c8-76dcd5b23f71,,70222860012,70622435286,21,800b136a-8861-4b10-8549-ca95122bc263,118,710110001180001,,8719d413-497f-49f4-a2b3-33c53b26e590,71,ул,2014-01-05,0001,7126,7126,2020-09-03,000,0000,000,0,,0000,,0
0,1850ed19-3eac-4cfb-998d-fd8548db9e2c,09ff1954-e306-4595-b1c8-76dcd5b23f71,7,011,0,0,000,71011000118000100,0.0,2079-06-06,Микрорайон А,7148,7148,49c229c0-3e68-4ad8-9d7e-76b1f5fb20de,,70222860012,70622435286,21,800b136a-8861-4b10-8549-ca95122bc263,118,710110001180001,,d6cea6a1-6d45-4497-945f-d8aada330f4a,71,ул,2014-01-05,0001,,,2020-09-03,000,0000,000,0,,0000,,0
1,1850ed19-3eac-4cfb-998d-fd8548db9e2c,49c229c0-3e68-4ad8-9d7e-76b1f5fb20de,7,011,0,0,000,71011000118000100,0.0,2079-06-06,Микрорайон А,7148,7148,,,70222860012,70622435286,20,800b136a-8861-4b10-8549-ca95122bc263,118,710110001180001,301017,09ff1954-e306-4595-b1c8-76dcd5b23f71,71,ул,2020-09-01,0001,,,2020-09-03,000,0000,000,1,,0000,,0
0,e60a85a9-801a-4e70-b53e-a5f0b4c774a3,1bd55cc1-6932-4093-b442-8538d2367d3c,7,011,0,0,000,71011000118000201,1.0,2079-06-06,Микрорайон Б,7148,7148,bb2e7e8b-082c-469b-b936-076a73d80cf3,,70222860012,70622435,1,800b136a-8861-4b10-8549-ca95122bc263,118,710110001180002,301000,,71,ул,1900-01-01,0002,7126,7126,2020-09-03,000,0000,000,0,,0000,,0
0,e60a85a9-801a-4e70-b53e-a5f0b4c774a3,bb2e7e8b-082c-469b-b936-076a73d80cf3,7,011,0,0,000,71011000118000200,0.0,2079-06-06,Микрорайон Б,7148,7148,88b4e3e8-0f2c-41c4-8a2c-496acaf8c840,,70222860012,70622435286,21,800b136a-8861-4b10-8549-ca95122bc263,118,710110001180002,301000,1bd55cc1-6932-4093-b442-8538d2367d3c,71,ул,2014-01-05,0002,7126,7126,2020-09-03,000,0000,000,0,,0000,,0
