ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,12a5e41a-3f91-4b44-8d6d-6d787bd6e0c3,12a5e41a-3f91-4b44-8d6d-6d787bd6e0c3,7,001,0,0,000,72001000076004100,0.0,2079-06-06,Уютный,7224,7224,,,71244885001,71644485101,10,447efc4c-0f39-4c76-91c0-e07a6763bcd7,076,720010000760041,,,72,пр-д,2020-08-28,0041,,,2020-08-30,000,0000,000,1,,0000,,0
1,ff0b1c79-8f63-4213-be12-796092a18c5f,ff0b1c79-8f63-4213-be12-796092a18c5f,7,001,0,0,000,72001000045005800,0.0,2079-06-06,Александра Пушкина,7224,7224,,,71244850006,71644450126,10,034ce32d-e122-4ab6-8a45-ee1231dd93a9,045,720010000450058,,,72,ул,2020-08-28,0058,,,2020-08-30,000,0000,000,1,,0000,,0
1,851b89a5-2776-494e-a59c-021342b8a5ce,851b89a5-2776-494e-a59c-021342b8a5ce,7,001,0,0,000,72001000076003500,0.0,2079-06-06,Радостная,7224,7224,,,71244885001,71644485101,10,447efc4c-0f39-4c76-91c0-e07a6763bcd7,076,720010000760035,,,72,ул,2020-08-28,0035,,,2020-08-30,000,0000,000,1,,0000,,0
1,604aaab7-ecf6-42ac-acce-d068ed867b24,604aaab7-ecf6-42ac-acce-d068ed867b24,7,001,0,0,000,72001000045006000,0.0,2079-06-06,Льва Толстого,7224,7224,,,71244850006,71644450126,10,034ce32d-e122-4ab6-8a45-ee1231dd93a9,045,720010000450060,,,72,ул,2020-08-28,0060,,,2020-08-30,000,0000,000,1,,0000,,0
1,9a645f71-2630-4a77-9635-f9f57f3b1746,9a645f71-2630-4a77-9635-f9f57f3b1746,7,001,0,0,000,72001000076002900,0.0,2079-06-06,Созидателей,7224,7224,,,71244885001,71644485101,10,447efc4c-0f39-4c76-91c0-e07a6763bcd7,076,720010000760029,,,72,ул,2020-08-28,0029,,,2020-08-30,000,0000,000,1,,0000,,0
1,b0929fd9-3f40-42fe-a6d9-f52123ac84f4,b0929fd9-3f40-42fe-a6d9-f52123ac84f4,7,001,0,0,000,72001000076003900,0.0,2079-06-06,Ясный,7224,7224,,,71244885001,71644485101,10,447efc4c-0f39-4c76-91c0-e07a6763bcd7,076,720010000760039,,,72,пр-д,2020-08-28,0039,,,2020-08-30,000,0000,000,1,,0000,,0
1,7fb57701-c625-4e0c-b9df-f18cb65b2c8d,7fb57701-c625-4e0c-b9df-f18cb65b2c8d,7,001,0,0,000,72001000076003200,0.0,2079-06-06,Душевная,7224,7224,,,71244885001,71644485101,10,447efc4c-0f39-4c76-91c0-e07a6763bcd7,076,720010000760032,,,72,ул,2020-08-28,0032,,,2020-08-30,000,0000,000,1,,0000,,0
1,ea850644-7d35-45ad-99c2-fe91a10f366c,ea850644-7d35-45ad-99c2-fe91a10f366c,7,001,0,0,000,72001000076003600,0.0,2079-06-06,Вишневая,7224,7224,,,71244885001,71644485101,10,447efc4c-0f39-4c76-91c0-e07a6763bcd7,076,720010000760036,,,72,ул,2020-08-28,0036,,,2020-08-30,000,0000,000,1,,0000,,0
1,d0ce929f-a5d4-4509-a4e2-be7f4010528d,d0ce929f-a5d4-4509-a4e2-be7f4010528d,7,001,0,0,000,72001000076004200,0.0,2079-06-06,Семейный,7224,7224,,,71244885001,71644485101,10,447efc4c-0f39-4c76-91c0-e07a6763bcd7,076,720010000760042,,,72,пр-д,2020-08-28,0042,,,2020-08-30,000,0000,000,1,,0000,,0
1,7792185b-0af6-442c-ae6b-2a0ee9942ca8,7792185b-0af6-442c-ae6b-2a0ee9942ca8,7,001,0,0,000,72001000034005300,0.0,2079-06-06,Кузнецкий,7224,7224,,,71244840002,71644440106,10,1fa22bf9-20e5-4795-aa15-35966128ad03,034,720010000340053,,,72,пр-д,2020-08-28,0053,,,2020-08-30,000,0000,000,1,,0000,,0
