ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
0,8f48d560-88ce-4ca0-ab3a-460a820b59ec,8e5e4925-0a04-4ed1-8523-9c4379a0e385,7,000,0,0,001,73000001000057101,1.0,2079-06-06,Свияжная,7326,7326,f0d13175-344f-46c0-91a7-f09aa8213e52,,73401365000,73701000,1,bebfd75d-a0da-4bf9-8307-2e2c85eac463,000,730000010000571,,,73,ул,1900-01-01,0571,,,2020-08-30,000,0000,000,0,,0000,,0
0,8f48d560-88ce-4ca0-ab3a-460a820b59ec,f0d13175-344f-46c0-91a7-f09aa8213e52,7,000,0,0,001,73000001000057100,0.0,2079-06-06,Свияжная,7321,7321,1335ae65-5cc9-4022-961e-45205d44926b,,73401365000,73701000,21,bebfd75d-a0da-4bf9-8307-2e2c85eac463,000,730000010000571,,8e5e4925-0a04-4ed1-8523-9c4379a0e385,73,ул,2018-06-15,0571,,,2020-08-30,000,0000,000,0,350ddcc6-6abf-4427-b95f-aebf4b4f1e02,0000,,0
1,8f48d560-88ce-4ca0-ab3a-460a820b59ec,1335ae65-5cc9-4022-961e-45205d44926b,7,000,0,0,001,73000001000057100,0.0,2079-06-06,Свияжная,7321,7321,,,73401365000,73701000001,21,bebfd75d-a0da-4bf9-8307-2e2c85eac463,000,730000010000571,,f0d13175-344f-46c0-91a7-f09aa8213e52,73,ул,2020-08-28,0571,,,2020-08-30,000,0000,000,1,,0000,,0
0,4bfa00b0-f88f-4f17-8d6f-4fffbe5fc2ad,4bfa00b0-f88f-4f17-8d6f-4fffbe5fc2ad,7,017,0,0,000,73017000033001501,1.0,2020-08-27,Большая дачная,7329,7329,23be7e26-123e-457a-84c0-a7cf25eef3d7,,73242830003,73642430116,10,be6b7831-4d04-4d8a-81b2-94fa894ad7c4,033,730170000330015,433450,,73,ул,2006-01-01,0015,,,2020-08-30,000,0000,000,0,,0000,,0
0,4bfa00b0-f88f-4f17-8d6f-4fffbe5fc2ad,23be7e26-123e-457a-84c0-a7cf25eef3d7,7,017,0,0,000,73017000033001502,2.0,2020-08-27,Большая дачная,7329,7329,ff689f34-2762-4720-a2a9-940e04726f67,,73242830003,73642430116,21,be6b7831-4d04-4d8a-81b2-94fa894ad7c4,033,730170000330015,433460,4bfa00b0-f88f-4f17-8d6f-4fffbe5fc2ad,73,ул,2015-11-25,0015,,,2020-08-30,000,0000,000,0,8d5f93b3-ae28-474e-9a2c-e6a721ed84ef,0000,,0
1,4bfa00b0-f88f-4f17-8d6f-4fffbe5fc2ad,ff689f34-2762-4720-a2a9-940e04726f67,7,017,0,0,000,73017000033001500,0.0,2079-06-06,Большая Дачная,7329,7329,,,73242830003,73642430116,20,be6b7831-4d04-4d8a-81b2-94fa894ad7c4,033,730170000330015,433460,23be7e26-123e-457a-84c0-a7cf25eef3d7,73,ул,2020-08-27,0015,,,2020-08-30,000,0000,000,1,,0000,,0
0,75302797-3aea-4009-bcda-7f3da86c0e31,930d8603-e337-4825-9ad1-f76c7fd889dc,7,000,0,0,003,73000003000001701,1.0,2079-06-06,ГАТП,7306,7306,bcd59fd4-d803-4a94-95e8-431c12c36187,,73204501000,73604101,1,52cccd1a-84fd-448a-a91e-36f113b9946f,000,730000030000017,433751,,73,мкр,1900-01-01,0017,7301,7301,2020-09-03,000,0000,000,0,,0000,,0
0,75302797-3aea-4009-bcda-7f3da86c0e31,bcd59fd4-d803-4a94-95e8-431c12c36187,7,000,0,0,003,73000003000001702,2.0,2014-11-20,ГАТП,7309,7309,1bfbcd6a-eea9-425d-b3c7-ae1dfa920e8b,,73204501000,73604101,21,52cccd1a-84fd-448a-a91e-36f113b9946f,000,730000030000017,433751,930d8603-e337-4825-9ad1-f76c7fd889dc,73,мкр,2013-01-10,0017,7301,7301,2020-09-03,000,0000,000,0,,0000,,0
0,75302797-3aea-4009-bcda-7f3da86c0e31,1bfbcd6a-eea9-425d-b3c7-ae1dfa920e8b,7,000,0,0,003,73000003000001700,0.0,2079-06-06,ГАТП,7309,7309,c162181f-95d5-4468-9c37-e1cb1558e911,,73204501000,73604101,21,52cccd1a-84fd-448a-a91e-36f113b9946f,000,730000030000017,433751,bcd59fd4-d803-4a94-95e8-431c12c36187,73,мкр,2014-11-20,0017,,,2020-09-03,000,0000,000,0,,0000,,0
1,75302797-3aea-4009-bcda-7f3da86c0e31,c162181f-95d5-4468-9c37-e1cb1558e911,7,000,0,0,003,73000003000001700,0.0,2079-06-06,ГАТП,7309,7309,,,73204501000,73604101001,21,52cccd1a-84fd-448a-a91e-36f113b9946f,000,730000030000017,433751,1bfbcd6a-eea9-425d-b3c7-ae1dfa920e8b,73,мкр,2020-08-31,0017,,,2020-09-03,000,0000,000,1,,0000,,0
