ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,50f2a810-143f-47d8-a530-909ebee0359d,50f2a810-143f-47d8-a530-909ebee0359d,7,025,0,0,000,74025000046000800,0.0,2079-06-06,Полевая,7455,7455,,,75203836002,75603436106,10,8562e06d-9649-4437-9f88-e8377d74b2fd,046,740250000460008,,,74,ул,2020-08-28,0008,,,2020-08-30,000,0000,000,1,,0000,,0
1,eeb609b1-6606-484e-a6e0-06ff424f6b9d,eeb609b1-6606-484e-a6e0-06ff424f6b9d,7,000,0,0,001,74000001000142500,0.0,2079-06-06,17-я,7451,7451,,,75401376000,75701370,10,bd4d37ef-1f3d-4f8f-93d3-9eae1b3d076d,000,740000010001425,454000,,74,ул,2020-09-01,1425,,,2020-09-03,000,0000,000,1,,0446,,0
1,e44a1d46-76fb-438a-bb2c-1605b81c0a85,e44a1d46-76fb-438a-bb2c-1605b81c0a85,7,000,0,0,001,74000001000205800,0.0,2079-06-06,9-я,7460,7460,,,75401372000,75701330,10,606323e9-3593-4f29-98a8-780170dd91df,000,740000010002058,454133,,74,ул,2020-09-01,2058,,,2020-09-03,000,0000,000,1,,2914,,0
1,52acfd4c-25a4-4e66-addb-ff0a6043a40f,52acfd4c-25a4-4e66-addb-ff0a6043a40f,7,000,0,0,001,74000001000219100,0.0,2079-06-06,23-я,7451,7451,,,75401376000,75701370,10,8f61a156-06ab-4499-a51c-d14cd6a98ee9,000,740000010002191,454045,,74,ул,2020-09-01,2191,,,2020-09-03,000,0000,000,1,,2930,,0
1,659f35ba-5926-4a7a-a48d-a84a22e7b598,659f35ba-5926-4a7a-a48d-a84a22e7b598,7,000,0,0,001,74000001000218600,0.0,2079-06-06,3-я,7451,7451,,,75401376000,75701370,10,aa7a613d-9eeb-4e72-93f8-8f0653bd8734,000,740000010002186,454000,,74,ул,2020-09-01,2186,,,2020-09-03,000,0000,000,1,,0472,,0
1,357b14ba-3b0f-41cf-b113-d45e5262374e,357b14ba-3b0f-41cf-b113-d45e5262374e,7,000,0,0,001,74000001000224300,0.0,2079-06-06,6-я,7449,7449,,,75401368000,75701320,10,866ffc70-e147-4c49-bbdd-592dd6130e88,000,740000010002243,454139,,74,ул,2020-09-01,2243,,,2020-09-03,000,0000,000,1,,2910,,0
1,7d7e4135-baf3-4f91-956d-be53d88a6fef,7d7e4135-baf3-4f91-956d-be53d88a6fef,7,000,0,0,001,74000001000225100,0.0,2079-06-06,Квартал 3,7451,7451,,,75401376000,75701370,10,cafb6946-0824-4102-9fa7-d0a1837eefef,000,740000010002251,454000,,74,ул,2020-09-02,2251,,,2020-09-03,000,0000,000,1,,0723,,0
0,b60897f2-c81a-451d-a624-df536ffd2b9c,41590f9f-d0f7-4ea7-bc5a-23f8a2786921,7,000,0,0,001,74000001000092301,1.0,2079-06-06,Солнечная,,,67f4407b-2bb7-47f5-954a-f4a735958eca,,,,1,a376e68d-724a-4472-be7c-891bdb09ae32,000,740000010000923,,,74,ул,1900-01-01,0923,,,2020-09-03,000,0000,000,0,,0000,,0
0,b60897f2-c81a-451d-a624-df536ffd2b9c,67f4407b-2bb7-47f5-954a-f4a735958eca,7,000,0,0,001,74000001000092302,2.0,2018-06-25,Солнечная,,,e5c5ec82-fd72-4c48-b400-8d796cc83d0b,,,75701000001,20,a376e68d-724a-4472-be7c-891bdb09ae32,000,740000010000923,,41590f9f-d0f7-4ea7-bc5a-23f8a2786921,74,ул,1900-01-01,0923,,,2020-09-03,000,0000,000,0,745e1e22-4887-4d87-a71f-bf67aeb151db,0000,,0
0,b60897f2-c81a-451d-a624-df536ffd2b9c,e5c5ec82-fd72-4c48-b400-8d796cc83d0b,7,000,0,0,001,74000001000092300,0.0,2020-09-01,Солнечная,,,7f867882-eee0-48d5-821f-b2a33f437397,,,75701000001,21,a376e68d-724a-4472-be7c-891bdb09ae32,000,740000010000923,,67f4407b-2bb7-47f5-954a-f4a735958eca,74,ул,2018-06-25,0923,,,2020-09-03,000,0000,000,0,d2b41678-4f5f-4487-a8c2-14f4164f2371,0000,,0
1,b60897f2-c81a-451d-a624-df536ffd2b9c,7f867882-eee0-48d5-821f-b2a33f437397,7,000,0,0,001,74000001000092300,0.0,2079-06-06,Солнечная,,,,,,75701000001,23,a376e68d-724a-4472-be7c-891bdb09ae32,000,740000010000923,,e5c5ec82-fd72-4c48-b400-8d796cc83d0b,74,ул,2020-09-01,0923,,,2020-09-03,000,0000,000,1,,0000,,0
1,1e86afb5-d281-4b5c-b730-be092c2b6f20,1e86afb5-d281-4b5c-b730-be092c2b6f20,7,000,0,0,001,74000001000160000,0.0,2079-06-06,2-я,7451,7451,,,75401376000,75701370,10,bd4d37ef-1f3d-4f8f-93d3-9eae1b3d076d,000,740000010001600,454000,,74,ул,2020-09-01,1600,,,2020-09-03,000,0000,000,1,,0446,,0
1,364f8ef0-5068-46ce-a8a9-a6bce6f1b344,364f8ef0-5068-46ce-a8a9-a6bce6f1b344,7,000,0,0,001,74000001000207000,0.0,2079-06-06,22-я,7451,7451,,,75401376000,75701370,10,aa7a613d-9eeb-4e72-93f8-8f0653bd8734,000,740000010002070,454000,,74,ул,2020-09-01,2070,,,2020-09-03,000,0000,000,1,,0472,,0
