ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,dd562185-c3b4-4aa7-8f34-c5a06a0735ae,dd562185-c3b4-4aa7-8f34-c5a06a0735ae,7,001,0,0,000,75001000053005900,0.0,2079-06-06,Вишневая,7524,7524,,,76250000045,76650475101,10,6dff8dd2-4d37-45fc-876d-71ea57afae51,053,750010000530059,,,75,ул,2020-08-27,0059,,,2020-08-30,000,0000,000,1,,0000,,0
1,75bdac03-f35a-49c1-9db1-4a45aa602a55,75bdac03-f35a-49c1-9db1-4a45aa602a55,7,005,0,0,000,75005000003000800,0.0,2079-06-06,Набережная,7505,7505,,,76209000017,76609476101,10,d53ef8f4-4194-43d0-b4b1-7348e90cafff,003,750050000030008,674621,,75,ул,2020-08-13,0008,,,2020-08-16,000,0000,000,1,,0000,,0
1,4dc5dfb8-d3d4-4fc8-b2b1-735eaaff83d7,4dc5dfb8-d3d4-4fc8-b2b1-735eaaff83d7,65,005,0,0,000,75005000015000100,0.0,2079-06-06,падь Зурукен,7505,7505,,,76209000016,76609472101,10,22d72cf8-533b-41e3-99fa-422670616dae,015,750050000150001,674614,,75,тер.,2020-08-17,0000,7529,7529,2020-08-17,000,0000,000,1,,0001,,0
1,a6588df1-082a-428f-a901-48efd8de6de2,a6588df1-082a-428f-a901-48efd8de6de2,65,005,0,0,000,75005000015001000,0.0,2079-06-06,падь Широкая,7505,7505,,,76209000016,76609472101,10,22d72cf8-533b-41e3-99fa-422670616dae,015,750050000150010,674614,,75,тер.,2020-08-20,0000,7529,7529,2020-08-22,000,0000,000,1,,0010,,0
1,041fba1e-1c12-4e98-a8f8-c624aef52145,041fba1e-1c12-4e98-a8f8-c624aef52145,65,005,0,0,000,75005000031000200,0.0,2079-06-06,падь Ларкина,7505,7505,,,76209000009,76609440101,10,96cbee10-d83f-44a4-846e-cbec28ce22a5,031,750050000310002,,,75,тер.,2020-08-21,0000,,,2020-08-22,000,0000,000,1,,0002,,0
1,67837407-ff95-4c01-8bba-950720615755,67837407-ff95-4c01-8bba-950720615755,65,005,0,0,000,75005000015001500,0.0,2079-06-06,падь Турпанья,7505,7505,,,76209000016,76609472101,10,22d72cf8-533b-41e3-99fa-422670616dae,015,750050000150015,674614,,75,тер.,2020-08-20,0000,7529,7529,2020-08-22,000,0000,000,1,,0015,,0
1,abd40670-ebe1-4844-9f59-d12837f44855,abd40670-ebe1-4844-9f59-d12837f44855,65,005,0,0,000,75005000015000900,0.0,2079-06-06,падь Большой Эдортуй,7505,7505,,,76209000016,76609472101,10,22d72cf8-533b-41e3-99fa-422670616dae,015,750050000150009,674614,,75,тер.,2020-08-20,0000,7529,7529,2020-08-22,000,0000,000,1,,0009,,0
1,43faee0e-b801-4d7d-a4c6-406d0909c0a5,43faee0e-b801-4d7d-a4c6-406d0909c0a5,65,005,0,0,000,75005000016000900,0.0,2079-06-06,Падь Кадар,7505,7505,,,76209000019,76609488101,10,f867d722-4725-4253-bcb0-3bb2ab75eabc,016,750050000160009,674615,,75,тер.,2020-08-18,0000,7529,7529,2020-08-20,000,0000,000,1,,0009,,0
1,d5f4a060-69bf-497c-a9d2-ce1dc934d808,d5f4a060-69bf-497c-a9d2-ce1dc934d808,65,005,0,0,000,75005000015000600,0.0,2079-06-06,падь Тогойтуй,7505,7505,,,76209000016,76609472101,10,22d72cf8-533b-41e3-99fa-422670616dae,015,750050000150006,674614,,75,тер.,2020-08-18,0000,7529,7529,2020-08-20,000,0000,000,1,,0006,,0
1,110911f1-9ef4-4387-8a9c-2d6de39e1c69,110911f1-9ef4-4387-8a9c-2d6de39e1c69,65,005,0,0,000,75005000022001500,0.0,2079-06-06,Падь Оцолуй,7505,7505,,,76209000005,76609420101,10,2698f1c9-f5f4-4202-bc5c-918477317c36,022,750050000220015,,,75,тер.,2020-08-19,0000,,,2020-08-20,000,0000,000,1,,0015,,0
