ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
0,a89b84ea-0150-468e-9336-34f1a08604ff,a89b84ea-0150-468e-9336-34f1a08604ff,65,001,0,0,000,76001000000019000,0.0,2079-06-06,Шиголость-2,7627,7627,89d51150-222b-439a-ad0a-63e2d50ed644,,78250000000,78650410,10,07842df6-2f70-4e43-a177-4701fb3ff10e,000,760010000000190,,,76,тер.,2020-03-05,0000,,,2020-08-30,000,0000,000,0,,0190,,0
1,a89b84ea-0150-468e-9336-34f1a08604ff,89d51150-222b-439a-ad0a-63e2d50ed644,65,001,0,0,000,76001000000019000,0.0,2079-06-06,Шиголость-2,7627,7627,,,78250000000,78650410,21,07842df6-2f70-4e43-a177-4701fb3ff10e,000,760010000000190,150027,a89b84ea-0150-468e-9336-34f1a08604ff,76,тер.,2020-08-28,0000,,,2020-08-30,000,0000,000,1,,0190,,0
1,57073218-3e3f-452e-b74f-2c804416b635,57073218-3e3f-452e-b74f-2c804416b635,7,015,0,0,001,76015001000014000,0.0,2079-06-06,Янская,7610,7610,,,78415000000,78715000001,10,292c0a6a-47ce-435d-8a75-f80e9ce67fba,000,760150010000140,,,76,ул,2020-09-02,0140,,,2020-09-03,000,0000,000,1,,0000,,0
1,21bd3139-ce97-4853-a821-20d04906cf16,21bd3139-ce97-4853-a821-20d04906cf16,7,015,0,0,001,76015001000011900,0.0,2079-06-06,Шумаровская,7610,7610,,,78415000000,78715000001,10,292c0a6a-47ce-435d-8a75-f80e9ce67fba,000,760150010000119,,,76,ул,2020-09-02,0119,,,2020-09-03,000,0000,000,1,,0000,,0
1,681274ef-7207-4989-ad1c-87c6b8f549b4,681274ef-7207-4989-ad1c-87c6b8f549b4,7,015,0,0,001,76015001000012300,0.0,2079-06-06,Афанасьевская,7610,7610,,,78415000000,78715000001,10,292c0a6a-47ce-435d-8a75-f80e9ce67fba,000,760150010000123,,,76,ул,2020-09-02,0123,,,2020-09-03,000,0000,000,1,,0000,,0
1,aaa49454-e3ab-4fc9-bc75-7b7704747ea3,aaa49454-e3ab-4fc9-bc75-7b7704747ea3,7,015,0,0,001,76015001000012600,0.0,2079-06-06,Копорьевская,7610,7610,,,78415000000,78715000001,10,292c0a6a-47ce-435d-8a75-f80e9ce67fba,000,760150010000126,,,76,ул,2020-09-02,0126,,,2020-09-03,000,0000,000,1,,0000,,0
1,138bc010-fc4a-4843-bb19-4f3af5f3314d,138bc010-fc4a-4843-bb19-4f3af5f3314d,7,015,0,0,001,76015001000013900,0.0,2079-06-06,Иловенская,7610,7610,,,78415000000,78715000001,10,292c0a6a-47ce-435d-8a75-f80e9ce67fba,000,760150010000139,,,76,ул,2020-09-02,0139,,,2020-09-03,000,0000,000,1,,0000,,0
1,e07842fc-5cef-4fe9-9f1c-0fb243ba7f66,e07842fc-5cef-4fe9-9f1c-0fb243ba7f66,7,015,0,0,001,76015001000013200,0.0,2079-06-06,Кулигская,7610,7610,,,78415000000,78715000001,10,292c0a6a-47ce-435d-8a75-f80e9ce67fba,000,760150010000132,,,76,ул,2020-09-02,0132,,,2020-09-03,000,0000,000,1,,0000,,0
1,753fa0eb-e052-4480-bf7e-df70f5450ef3,753fa0eb-e052-4480-bf7e-df70f5450ef3,7,015,0,0,001,76015001000011500,0.0,2079-06-06,Успенская,7610,7610,,,78415000000,78715000001,10,292c0a6a-47ce-435d-8a75-f80e9ce67fba,000,760150010000115,,,76,ул,2020-09-02,0115,,,2020-09-03,000,0000,000,1,,0000,,0
1,247117f0-c847-42c0-a4e5-70cba3250217,247117f0-c847-42c0-a4e5-70cba3250217,7,015,0,0,001,76015001000014100,0.0,2079-06-06,Югская,7610,7610,,,78415000000,78715000001,10,292c0a6a-47ce-435d-8a75-f80e9ce67fba,000,760150010000141,,,76,ул,2020-09-02,0141,,,2020-09-03,000,0000,000,1,,0000,,0
1,222b837e-328f-481a-9227-bab02fd99328,222b837e-328f-481a-9227-bab02fd99328,7,001,0,0,000,76001000581000500,0.0,2079-06-06,Полетаева,7627,7627,,,78250870023,78650470211,10,132314cd-b4cd-43a6-aaab-49bac0a22281,581,760010005810005,150517,,76,ул,2020-09-02,0005,,,2020-09-03,000,0000,000,1,,0000,,0
0,9aa4872a-d2ba-4e0f-a980-601c2ae9d636,b50aaeb8-2749-4dad-ac90-c4c086d0a9a9,6,001,0,0,000,7600100062801,1.0,2079-06-06,Юрьево,7627,7627,e88ec4c9-c15c-4b65-b1eb-b742712b69e6,,78250845021,78650410,1,07842df6-2f70-4e43-a177-4701fb3ff10e,628,76001000628,150515,,76,д,1900-01-01,0000,,,2020-08-16,000,0000,000,0,,0000,,0
0,9aa4872a-d2ba-4e0f-a980-601c2ae9d636,e88ec4c9-c15c-4b65-b1eb-b742712b69e6,6,001,0,0,000,7600100062800,0.0,2020-08-12,Юрьево,7627,7627,c1fe00e0-4942-45de-9075-a3b9758d63b1,,78250845021,78650410,20,07842df6-2f70-4e43-a177-4701fb3ff10e,628,76001000628,,b50aaeb8-2749-4dad-ac90-c4c086d0a9a9,76,д,1900-01-01,0000,,,2020-08-16,000,0000,000,0,8a4d62fd-939a-46a1-bc96-f286e92cdf67,0000,,0
1,9aa4872a-d2ba-4e0f-a980-601c2ae9d636,c1fe00e0-4942-45de-9075-a3b9758d63b1,6,001,0,0,000,7600100062800,0.0,2079-06-06,Юрьево,7627,7627,,,78250845021,78650410276,20,07842df6-2f70-4e43-a177-4701fb3ff10e,628,76001000628,,e88ec4c9-c15c-4b65-b1eb-b742712b69e6,76,д,2020-08-12,0000,,,2020-08-16,000,0000,000,1,5a02afbf-5f8a-44b9-b489-8db6099ac790,0000,,0
