ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
0,7a78206c-b08e-413f-aa29-378680804e86,82f7e1a3-0b90-4a3f-a2b0-bd2c3480b2c7,7,000,0,0,000,77000000000385601,1.0,2020-08-27,Тульский 2-й,7726,7726,31b0f462-eff5-46b1-86f2-f90f49d22cda,,45296561000,45915000,1,0c5b2444-70a0-4932-980c-b4dc0d3f02b5,000,770000000003856,115191,,77,пер,1900-01-01,3856,,,2020-08-30,000,0000,000,0,,0000,,0
0,7a78206c-b08e-413f-aa29-378680804e86,31b0f462-eff5-46b1-86f2-f90f49d22cda,7,000,0,0,000,77000000000385602,2.0,2020-08-27,Тульский 2-й,7726,7726,c6d7a913-b97a-4464-baa1-ee63b24f7002,,45296561000,45915000,20,0c5b2444-70a0-4932-980c-b4dc0d3f02b5,000,770000000003856,115191,82f7e1a3-0b90-4a3f-a2b0-bd2c3480b2c7,77,пер,2016-06-09,3856,,,2020-08-30,000,0000,000,0,60bab98a-562b-4b19-bc2c-ae048a9f64eb,0000,,0
1,7a78206c-b08e-413f-aa29-378680804e86,c6d7a913-b97a-4464-baa1-ee63b24f7002,7,000,0,0,000,77000000000385600,0.0,2079-06-06,2-й Тульский,7726,7726,,,45296561000,45915000,20,0c5b2444-70a0-4932-980c-b4dc0d3f02b5,000,770000000003856,115191,31b0f462-eff5-46b1-86f2-f90f49d22cda,77,пер,2020-08-27,3856,,,2020-08-30,000,0000,000,1,,0000,,0
0,3d873e9c-e286-46b2-ab10-2ef007132d56,7ab1e366-f432-4758-ad3f-6981e4015ab7,7,000,0,0,000,77000000000077901,1.0,2016-05-11,Аэропортовская 1-я,7714,7714,7460a2cf-c235-4588-9ee7-6e462f33c2f4,,45277553000,45333000,1,0c5b2444-70a0-4932-980c-b4dc0d3f02b5,000,770000000000779,125319,,77,ул,1900-01-01,0779,,,2020-08-30,000,0000,000,0,7ab1e366-f432-4758-ad3f-6981e4015ab7,0000,,0
0,3d873e9c-e286-46b2-ab10-2ef007132d56,7460a2cf-c235-4588-9ee7-6e462f33c2f4,7,000,0,0,000,77000000000077902,2.0,2016-05-17,1-я Аэропортовская улица,7714,7714,d30af441-3075-40b0-a380-fa9e0820bfd4,,45277553000,45333000,20,0c5b2444-70a0-4932-980c-b4dc0d3f02b5,000,770000000000779,125319,7ab1e366-f432-4758-ad3f-6981e4015ab7,77,ул,2016-05-11,0779,,,2020-08-30,000,0000,000,0,76f899bc-54c2-487a-a86b-38ba277f2587,0000,,0
0,3d873e9c-e286-46b2-ab10-2ef007132d56,d30af441-3075-40b0-a380-fa9e0820bfd4,7,000,0,0,000,77000000000077903,3.0,2020-08-27,Аэропортовская 1-я,7714,7714,599281fd-d7e8-4aeb-a0d1-da4c1934b534,,45277553000,45333000,20,0c5b2444-70a0-4932-980c-b4dc0d3f02b5,000,770000000000779,125319,7460a2cf-c235-4588-9ee7-6e462f33c2f4,77,ул,2016-05-17,0779,,,2020-08-30,000,0000,000,0,0e3318af-8673-469f-b1ee-803d21e08585,0000,,0
1,3d873e9c-e286-46b2-ab10-2ef007132d56,599281fd-d7e8-4aeb-a0d1-da4c1934b534,7,000,0,0,000,77000000000077900,0.0,2079-06-06,1-я Аэропортовская,7714,7714,,,45277553000,45333000,20,0c5b2444-70a0-4932-980c-b4dc0d3f02b5,000,770000000000779,125319,d30af441-3075-40b0-a380-fa9e0820bfd4,77,ул,2020-08-27,0779,,,2020-08-30,000,0000,000,1,,0000,,0
0,6807eaa0-1b90-4baa-909d-a1cc44527a80,9bfe855c-a5a3-4c58-b543-9f062df7c5cb,7,000,0,0,000,77000000000199701,1.0,2020-08-27,Николопесковский Ср.,7704,7704,4e9608b1-c92b-4f8a-b670-29ef6b1f3cdd,,45286552000,45374000,1,0c5b2444-70a0-4932-980c-b4dc0d3f02b5,000,770000000001997,119002,,77,пер,1900-01-01,1997,,,2020-08-30,000,0000,000,0,,0000,,0
0,6807eaa0-1b90-4baa-909d-a1cc44527a80,4e9608b1-c92b-4f8a-b670-29ef6b1f3cdd,7,000,0,0,000,77000000000199702,2.0,2020-08-27,Николопесковский Ср.,7704,7704,42261937-b99d-4e83-b81c-bc5160304332,,45286552000,45374000,20,0c5b2444-70a0-4932-980c-b4dc0d3f02b5,000,770000000001997,119002,9bfe855c-a5a3-4c58-b543-9f062df7c5cb,77,пер,2016-05-11,1997,,,2020-08-30,000,0000,000,0,de1652cc-6579-4210-8135-217caf4f8baf,0000,,0
1,6807eaa0-1b90-4baa-909d-a1cc44527a80,42261937-b99d-4e83-b81c-bc5160304332,7,000,0,0,000,77000000000199700,0.0,2079-06-06,Средний Николопесковский,7704,7704,,,45286552000,45374000,20,0c5b2444-70a0-4932-980c-b4dc0d3f02b5,000,770000000001997,119002,4e9608b1-c92b-4f8a-b670-29ef6b1f3cdd,77,пер,2020-08-27,1997,,,2020-08-30,000,0000,000,1,,0000,,0
0,23d4cc8b-77c8-4d1c-805b-d07beda48ca9,82475be6-d855-41eb-9983-7d98c60640d9,7,000,0,0,000,77000000000122601,1.0,2020-08-27,Дорогомиловская Б.,7730,7730,e1860f1c-8189-48a4-94bf-1e0dc6d1c1b8,,45268554000,45318000,1,0c5b2444-70a0-4932-980c-b4dc0d3f02b5,000,770000000001226,,,77,ул,1900-01-01,1226,,,2020-08-30,000,0000,000,0,82475be6-d855-41eb-9983-7d98c60640d9,0000,,0
0,23d4cc8b-77c8-4d1c-805b-d07beda48ca9,e1860f1c-8189-48a4-94bf-1e0dc6d1c1b8,7,000,0,0,000,77000000000122602,2.0,2020-08-27,Дорогомиловская Б.,7730,7730,61ac58a8-eafd-4738-be21-97461a93e9e0,,45268554000,45318000,20,0c5b2444-70a0-4932-980c-b4dc0d3f02b5,000,770000000001226,,82475be6-d855-41eb-9983-7d98c60640d9,77,ул,2016-06-09,1226,,,2020-08-30,000,0000,000,0,4689a83d-68f4-45d4-9df4-20854dbc13fb,0000,,0
1,23d4cc8b-77c8-4d1c-805b-d07beda48ca9,61ac58a8-eafd-4738-be21-97461a93e9e0,7,000,0,0,000,77000000000122600,0.0,2079-06-06,Большая Дорогомиловская,7730,7730,,,45268554000,45318000,20,0c5b2444-70a0-4932-980c-b4dc0d3f02b5,000,770000000001226,,e1860f1c-8189-48a4-94bf-1e0dc6d1c1b8,77,ул,2020-08-27,1226,,,2020-08-30,000,0000,000,1,,0000,,0
0,86ccedea-959a-4ce6-bc9c-eac1adcee708,37f2df59-c490-4ec4-be7f-650c6720ca6b,7,000,0,0,000,77000000000420401,1.0,2020-08-27,Радиальная 11-я,7724,7724,cfffaa7d-ef0c-47ce-a85f-32d5d597e937,,45296553000,45911000,1,0c5b2444-70a0-4932-980c-b4dc0d3f02b5,000,770000000004204,115404,,77,ул,1900-01-01,4204,,,2020-08-30,000,0000,000,0,,0000,,0
0,86ccedea-959a-4ce6-bc9c-eac1adcee708,cfffaa7d-ef0c-47ce-a85f-32d5d597e937,7,000,0,0,000,77000000000420402,2.0,2020-08-27,Радиальная 11-я,7724,7724,4a739b6c-15a1-4ee1-b9d0-b26cfe1dc3a2,,45296553000,45911000,20,0c5b2444-70a0-4932-980c-b4dc0d3f02b5,000,770000000004204,115404,37f2df59-c490-4ec4-be7f-650c6720ca6b,77,ул,2016-06-14,4204,,,2020-08-30,000,0000,000,0,347375f0-0830-4e35-bd9f-2f1fd0d3a5cf,0000,,0
1,86ccedea-959a-4ce6-bc9c-eac1adcee708,4a739b6c-15a1-4ee1-b9d0-b26cfe1dc3a2,7,000,0,0,000,77000000000420400,0.0,2079-06-06,11-я Радиальная,7724,7724,,,45296553000,45911000,20,0c5b2444-70a0-4932-980c-b4dc0d3f02b5,000,770000000004204,115404,cfffaa7d-ef0c-47ce-a85f-32d5d597e937,77,ул,2020-08-27,4204,,,2020-08-30,000,0000,000,1,,0000,,0
