ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
0,a3f13d72-3574-45e6-b6f9-cc120a2bfab8,828f34e8-df55-4444-b426-449aa4ebaf17,7,000,0,0,010,86000010000008501,1.0,2079-06-06,Промышленная,8602,8602,32fb1ac5-6066-443d-930d-5de1d5f13174,,71136000000,71876000,1,f1eb1809-47d4-4f0b-9a74-fa416e9d3df2,000,860000100000085,628407,,86,ул,1900-01-01,0085,,,2020-09-03,000,0000,000,0,,0000,,0
0,a3f13d72-3574-45e6-b6f9-cc120a2bfab8,32fb1ac5-6066-443d-930d-5de1d5f13174,7,000,0,0,010,86000010013002051,51.0,1900-01-01,Промышленная,8602,8602,09023ccc-941f-40e2-8244-8eaec6ba44a2,,71136000000,71876000,1,f1eb1809-47d4-4f0b-9a74-fa416e9d3df2,000,860000100130020,628406,828f34e8-df55-4444-b426-449aa4ebaf17,86,ул,1900-01-01,0085,,,2020-09-03,000,0000,000,0,,0000,,0
0,a3f13d72-3574-45e6-b6f9-cc120a2bfab8,09023ccc-941f-40e2-8244-8eaec6ba44a2,7,000,0,0,010,86000010029000751,51.0,2013-07-31,Промышленная,8602,8602,5fcf440d-26cb-4bf9-b910-4a543d47c09d,,71136000000,71876000,1,f1eb1809-47d4-4f0b-9a74-fa416e9d3df2,000,860000100290007,628407,32fb1ac5-6066-443d-930d-5de1d5f13174,86,ул,1900-01-01,0085,,,2020-09-03,000,0000,000,0,,0000,,0
1,a3f13d72-3574-45e6-b6f9-cc120a2bfab8,5fcf440d-26cb-4bf9-b910-4a543d47c09d,7,000,0,0,010,86000010000008500,0.0,1900-01-01,Промышленная,8602,8602,,,71136000000,71876000,21,f1eb1809-47d4-4f0b-9a74-fa416e9d3df2,000,860000100000085,628404,09023ccc-941f-40e2-8244-8eaec6ba44a2,86,ул,2013-07-31,0085,,,2020-09-03,000,0000,000,1,,0000,,0
0,181a83cb-1379-48b8-959f-4ccd3ce18c3c,afe97e71-2e15-4238-b614-357aeafc68da,7,000,0,0,010,86000010000000800,0.0,2079-06-06,Аэрофлотская,8602,8602,8b04b400-47a7-4509-bcbf-8f3f04d75bd2,,71136000000,71876000,1,f1eb1809-47d4-4f0b-9a74-fa416e9d3df2,000,860000100000008,,,86,ул,1900-01-01,0008,,,2020-09-03,000,0000,000,0,,0000,,0
0,181a83cb-1379-48b8-959f-4ccd3ce18c3c,8b04b400-47a7-4509-bcbf-8f3f04d75bd2,7,000,0,0,010,86000010018000451,51.0,1900-01-01,Аэрофлотская,8602,8602,28400249-86b0-4933-9569-a72fd69ce2f4,,71136000000,71876000,1,f1eb1809-47d4-4f0b-9a74-fa416e9d3df2,000,860000100180004,628422,afe97e71-2e15-4238-b614-357aeafc68da,86,ул,1900-01-01,0008,,,2020-09-03,000,0000,000,0,,0000,,0
1,181a83cb-1379-48b8-959f-4ccd3ce18c3c,28400249-86b0-4933-9569-a72fd69ce2f4,7,000,0,0,010,86000010010001451,51.0,1900-01-01,Аэрофлотская,8602,8602,,,71136000000,71876000,1,f1eb1809-47d4-4f0b-9a74-fa416e9d3df2,000,860000100100014,628422,8b04b400-47a7-4509-bcbf-8f3f04d75bd2,86,ул,1900-01-01,0008,,,2020-09-03,000,0000,000,1,,0000,,0
1,e8b3a97a-b7f0-4c7d-afe8-248fca956ad5,e8b3a97a-b7f0-4c7d-afe8-248fca956ad5,7,000,0,0,010,86000010000067600,0.0,2079-06-06,Мирный,8602,8602,,,71100000000,71876000001,10,d7ca0212-45a2-47d4-a7df-071ce7b8b2e5,000,860000100000676,628400,,86,пр-д,2020-08-14,0676,,,2020-08-16,000,0000,000,1,,0359,,0
1,35e0970d-9f7f-4c70-b16e-c3cff239a105,35e0970d-9f7f-4c70-b16e-c3cff239a105,7,000,0,0,010,86000010000069800,0.0,2079-06-06,Огородная,8602,8602,,,71136000000,71876000001,10,f85fb0f0-88f0-47d4-80b5-b7642f4ac469,000,860000100000698,628400,,86,ул,2020-08-14,0698,,,2020-08-16,000,0000,000,1,,0140,,0
1,79754887-903c-4780-ace6-b97f2e43d97a,79754887-903c-4780-ace6-b97f2e43d97a,7,000,0,0,010,86000010000065900,0.0,2079-06-06,Тихий,8602,8602,,,71136000000,71876000001,10,5c7296b7-9bfb-491a-93fb-be7e2541444c,000,860000100000659,,,86,пер,2020-08-14,0659,,,2020-08-16,000,0000,000,1,,0172,,0
1,5522394a-0b16-4f93-a075-afdfd3b6395a,5522394a-0b16-4f93-a075-afdfd3b6395a,7,000,0,0,010,86000010000069600,0.0,2079-06-06,Цветочная,8602,8602,,,71136000000,71876000001,10,f85fb0f0-88f0-47d4-80b5-b7642f4ac469,000,860000100000696,628400,,86,ул,2020-08-14,0696,,,2020-08-16,000,0000,000,1,,0140,,0
1,8615be99-288f-4844-9ba4-d27fa67d0a28,8615be99-288f-4844-9ba4-d27fa67d0a28,7,000,0,0,004,86000004002008100,0.0,2079-06-06,Вишнёвый,8607,8607,,,71133654000,71873000056,10,726f3242-ec7f-4e4c-b7df-3f918dee27c3,002,860000040020081,628690,,86,пр-д,2020-08-14,0081,8605,8605,2020-08-16,000,0000,000,1,,0078,,0
1,bd8e162b-2219-475d-a9f4-da1b7983cf3c,bd8e162b-2219-475d-a9f4-da1b7983cf3c,7,000,0,0,010,86000010000069200,0.0,2079-06-06,Бахчевая,8602,8602,,,71136000000,71876000001,10,f85fb0f0-88f0-47d4-80b5-b7642f4ac469,000,860000100000692,628400,,86,ул,2020-08-14,0692,,,2020-08-16,000,0000,000,1,,0140,,0
1,ac7270e0-4a31-4829-a4fb-0e7987ac5125,ac7270e0-4a31-4829-a4fb-0e7987ac5125,7,000,0,0,010,86000010000066800,0.0,2079-06-06,Болотная,8602,8602,,,71136000000,71876000001,10,5c7296b7-9bfb-491a-93fb-be7e2541444c,000,860000100000668,,,86,ул,2020-08-14,0668,,,2020-08-16,000,0000,000,1,,0172,,0
