ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,4f1abc44-1bfb-4c8d-b41b-5544dde1fa38,02dd311b-dfff-4e9d-8c65-07b90e4d9001,7,000,0,0,006,89000006000010400,0.0,2079-06-06,Северное Кольцо,8904,8904,,,71176000000,71956000001,20,4136d0c1-3ff7-44c0-aa30-fa2e7eb96ef7,000,890000060000104,,dc4fa806-30cb-4b71-a223-3504b8488e77,89,ул,2020-08-25,0104,,,2020-08-27,000,0000,000,1,,0000,,0
0,4f1abc44-1bfb-4c8d-b41b-5544dde1fa38,dc4fa806-30cb-4b71-a223-3504b8488e77,7,000,0,0,006,89000006000010400,0.0,2020-08-25,Северное Кольцо,8904,8904,02dd311b-dfff-4e9d-8c65-07b90e4d9001,,71176000000,71956000,21,4136d0c1-3ff7-44c0-aa30-fa2e7eb96ef7,000,890000060000104,,789843b8-8101-4f72-baa2-aeef3712304a,89,ул,2015-08-31,0104,,,2020-08-27,000,0000,000,0,,0000,,0
0,4f1abc44-1bfb-4c8d-b41b-5544dde1fa38,789843b8-8101-4f72-baa2-aeef3712304a,7,000,0,0,006,89000006000010401,1.0,2079-06-06,Северное Кольцо,8904,8904,dc4fa806-30cb-4b71-a223-3504b8488e77,,71176000000,71956000,1,4136d0c1-3ff7-44c0-aa30-fa2e7eb96ef7,000,890000060000104,629306,,89,ул,1900-01-01,0104,,,2020-08-27,000,0000,000,0,,0000,,0
1,7635a901-83d9-4ce5-8472-ff8f31476566,7635a901-83d9-4ce5-8472-ff8f31476566,7,006,0,0,000,89006000001004500,0.0,2079-06-06,Объездная,8901,8901,,,71166912001,71926412101,10,f696b011-8ba9-4059-8e35-aa202e97eb2d,001,890060000010045,,,89,ул,2020-08-25,0045,,,2020-08-27,000,0000,000,1,,0000,,0
1,a4c5084d-ac51-47ce-a88e-28b695bb8f6d,b9ca540a-c544-43c3-8b84-8525fd37f32f,65,000,0,0,002,89000002000009300,0.0,2079-06-06,13,8911,8911,,,71172000000,71952000001,20,0cb9e3a5-20fa-4248-8c1d-b31d5ce7f691,000,890000020000093,,3c6030f5-d033-4986-bcb8-5262b032b5ff,89,мкр,2020-08-14,0000,8913,8913,2020-08-16,000,0000,000,1,171c97f8-28ac-439f-9303-272d50f48829,0093,,0
0,a4c5084d-ac51-47ce-a88e-28b695bb8f6d,3c6030f5-d033-4986-bcb8-5262b032b5ff,65,000,0,0,002,89000002000009300,0.0,2020-08-14,13,8911,8911,b9ca540a-c544-43c3-8b84-8525fd37f32f,,71172000000,71952000,20,0cb9e3a5-20fa-4248-8c1d-b31d5ce7f691,000,890000020000093,,55685824-485b-41af-8e50-e2e6a473f31e,89,мкр,2017-12-11,0000,8913,8913,2020-08-16,000,0000,000,0,a7869a35-f36a-4681-8645-7555fae3bf2b,0093,,0
0,a4c5084d-ac51-47ce-a88e-28b695bb8f6d,55685824-485b-41af-8e50-e2e6a473f31e,65,000,0,0,002,89000002000009303,3.0,2079-06-06,13,8911,8911,3c6030f5-d033-4986-bcb8-5262b032b5ff,,71172000000,71952000,20,0cb9e3a5-20fa-4248-8c1d-b31d5ce7f691,000,890000020000093,,5cf67763-58dd-4549-b019-03463e6950e7,89,мкр,2016-12-23,0000,8913,8913,2020-08-16,000,0000,000,0,a7869a35-f36a-4681-8645-7555fae3bf2b,0093,,0
0,a4c5084d-ac51-47ce-a88e-28b695bb8f6d,5cf67763-58dd-4549-b019-03463e6950e7,7,000,0,0,002,89000002000001851,51.0,2016-12-23,13,8911,8911,55685824-485b-41af-8e50-e2e6a473f31e,,71172000000,71952000,20,0cb9e3a5-20fa-4248-8c1d-b31d5ce7f691,000,890000020000018,,6e0f22a7-0a0c-48b7-b564-dd2f9816dcdf,89,мкр,2016-02-04,0000,8913,8913,2020-08-16,000,0000,000,0,ac5f5537-cf69-40fd-9398-cca3baf2c7b4,0093,,0
0,a4c5084d-ac51-47ce-a88e-28b695bb8f6d,6e0f22a7-0a0c-48b7-b564-dd2f9816dcdf,7,000,0,0,002,89000002000001802,2.0,2016-12-23,13,8911,8911,5cf67763-58dd-4549-b019-03463e6950e7,,71172000000,71952000,20,0cb9e3a5-20fa-4248-8c1d-b31d5ce7f691,000,890000020000018,629830,49af3b64-547d-4372-82b1-4052ce135eb4,89,мкр,2003-04-18,0000,8913,8913,2020-08-16,000,0000,000,0,cd91e345-cf24-4a77-9bd8-e074a9ea4b69,0093,,0
0,a4c5084d-ac51-47ce-a88e-28b695bb8f6d,49af3b64-547d-4372-82b1-4052ce135eb4,7,000,0,0,002,89000002000001801,1.0,2003-04-18,13-й,8911,8911,6e0f22a7-0a0c-48b7-b564-dd2f9816dcdf,,71172000000,71952000,1,0cb9e3a5-20fa-4248-8c1d-b31d5ce7f691,000,890000020000018,629830,,89,мкр,1900-01-01,0018,8913,8913,2020-08-16,000,0000,000,0,,0000,,0
