ACTSTATUS,AOGUID,AOID,AOLEVEL,AREACODE,AUTOCODE,CENTSTATUS,CITYCODE,CODE,CURRSTATUS,ENDDATE,FORMALNAME,IFNSFL,IFNSUL,NEXTID,OFFNAME,OKATO,OKTMO,OPERSTATUS,PARENTGUID,PLACECODE,PLAINCODE,POSTALCODE,PREVID,REGIONCODE,SHORTNAME,STARTDATE,STREETCODE,TERRIFNSFL,TERRIFNSUL,UPDATEDATE,CTARCODE,EXTRCODE,SEXTCODE,LIVESTATUS,NORMDOC,PLANCODE,CADNUM,DIVTYPE
1,fe893ae4-db60-4276-9c75-2aa0538a909a,fe893ae4-db60-4276-9c75-2aa0538a909a,7,000,0,0,001,91000001000096500,0.0,2079-06-06,Капитана Раскина,9111,9111,,,35412000000,35715000001,10,5cb37760-9ac7-4d35-b3bb-b54e559c0017,000,910000010000965,,,91,пр-д,2020-08-25,0965,,,2020-08-27,000,0000,000,1,,0963,,0
1,01a0fd9b-3c4e-417a-aaf1-006a0ff92dab,01a0fd9b-3c4e-417a-aaf1-006a0ff92dab,7,000,0,0,001,91000001000096700,0.0,2079-06-06,Мира,9111,9111,,,35412000000,35715000001,10,5cb37760-9ac7-4d35-b3bb-b54e559c0017,000,910000010000967,,,91,пр-д,2020-08-25,0967,,,2020-08-27,000,0000,000,1,,0963,,0
1,5f6708b9-7889-47e2-ad79-a7392e10b51a,5f6708b9-7889-47e2-ad79-a7392e10b51a,7,012,0,0,000,91012000125012500,0.0,2079-06-06,Абрикосовая,9109,9109,,,35247000026,35647470116,10,d49d5bd6-3752-4b44-9b3b-064639a1acc1,125,910120001250125,295049,,91,ул,2020-08-24,0125,,,2020-08-27,000,0000,000,1,,0052,,0
1,63ad5b16-0b8e-4e45-9e98-f8fbb5943032,63ad5b16-0b8e-4e45-9e98-f8fbb5943032,7,000,0,0,001,91000001000096100,0.0,2079-06-06,Маршала Говорова,9111,9111,,,35412000000,35715000001,10,1ddbc236-5fa8-4dfc-8ed6-452d89ebb87b,000,910000010000961,,,91,пр-д,2020-08-24,0961,,,2020-08-27,000,0000,000,1,,0088,,0
1,9e554bcd-e797-4452-b708-3ef21e9274b3,9e554bcd-e797-4452-b708-3ef21e9274b3,7,000,0,0,001,91000001000095700,0.0,2079-06-06,Маршала Василевского,9111,9111,,,35412000000,35715000001,10,1ddbc236-5fa8-4dfc-8ed6-452d89ebb87b,000,910000010000957,,,91,ул,2020-08-24,0957,,,2020-08-27,000,0000,000,1,,0088,,0
0,9b752e6a-b896-448a-ad3c-b8e8865ce31e,9b752e6a-b896-448a-ad3c-b8e8865ce31e,91,012,0,0,000,,,2016-09-29,Дачная,9109,9109,bb517d9a-f8e6-4f4e-8c1b-c753a9c2a130,,35000000000,35647454101,10,f3a042fb-2379-406c-ab0e-d7846d544263,055,,297560,,91,ул,2015-02-02,0000,,,2020-08-27,000,0000,000,0,,0000,,0
0,9b752e6a-b896-448a-ad3c-b8e8865ce31e,bb517d9a-f8e6-4f4e-8c1b-c753a9c2a130,91,012,0,0,000,,,2079-06-06,Дачная,9109,9109,6276d3a4-0f6d-4594-a381-f3911ca33ffd,,35247000236,35647454101,21,f3a042fb-2379-406c-ab0e-d7846d544263,000,,297560,9b752e6a-b896-448a-ad3c-b8e8865ce31e,91,ул,2015-07-14,0115,,,2020-08-27,000,0000,000,0,,0111,,0
0,9b752e6a-b896-448a-ad3c-b8e8865ce31e,6276d3a4-0f6d-4594-a381-f3911ca33ffd,7,012,0,0,000,91012000055001851,51.0,2079-06-06,Дачная,9109,9109,36a7c985-df8a-48fc-aec4-e8fca5abe0ba,,35247000236,35647454101,51,f3a042fb-2379-406c-ab0e-d7846d544263,055,910120000550018,,bb517d9a-f8e6-4f4e-8c1b-c753a9c2a130,91,ул,2016-09-29,0018,,,2020-08-27,000,0000,000,0,,0014,,0
0,9b752e6a-b896-448a-ad3c-b8e8865ce31e,36a7c985-df8a-48fc-aec4-e8fca5abe0ba,7,012,0,0,000,91012000000011500,0.0,2079-06-06,Дачная,9109,9109,b5eb7077-885b-418b-9d32-25aee544f5db,,35247000236,35647454101,51,f3a042fb-2379-406c-ab0e-d7846d544263,000,910120000000115,,6276d3a4-0f6d-4594-a381-f3911ca33ffd,91,ул,2018-05-31,0115,,,2020-08-27,000,0000,000,0,7afabf1e-acaa-43c6-8b35-f4de124c1340,0111,,0
1,9b752e6a-b896-448a-ad3c-b8e8865ce31e,b5eb7077-885b-418b-9d32-25aee544f5db,7,012,0,0,000,91012000000011500,0.0,2079-06-06,Дачная,9109,9109,,,35247000236,35647454101,21,f3a042fb-2379-406c-ab0e-d7846d544263,000,910120000000115,297560,36a7c985-df8a-48fc-aec4-e8fca5abe0ba,91,ул,2020-08-25,0115,,,2020-08-27,000,0000,000,1,,0111,,0
